"","query","layer","position","r_value"
"1","q2.1_bert_embedding_data","hidden","CLS",0.136624707746622
"2","q2.1_bert_embedding_data","layer0","CLS",0.0396928859103822
"3","q2.1_bert_embedding_data","layer1","CLS",0.0600626487997324
"4","q2.1_bert_embedding_data","layer10","CLS",0.0607985144483343
"5","q2.1_bert_embedding_data","layer11","CLS",0.136624707746622
"6","q2.1_bert_embedding_data","layer2","CLS",0.0604387075349616
"7","q2.1_bert_embedding_data","layer3","CLS",0.0673364376940941
"8","q2.1_bert_embedding_data","layer4","CLS",0.0754510504555643
"9","q2.1_bert_embedding_data","layer5","CLS",0.0790247887477714
"10","q2.1_bert_embedding_data","layer6","CLS",0.0819528955255909
"11","q2.1_bert_embedding_data","layer7","CLS",0.058919064985409
"12","q2.1_bert_embedding_data","layer8","CLS",0.0284569931411571
"13","q2.1_bert_embedding_data","layer9","CLS",0.0268680039942455
"14","q2.1_bert_embedding_data","hidden","MASK",0.153077768982788
"15","q2.1_bert_embedding_data","layer0","MASK",0.00671531186186181
"16","q2.1_bert_embedding_data","layer1","MASK",0.0124742860039712
"17","q2.1_bert_embedding_data","layer10","MASK",0.116333775308733
"18","q2.1_bert_embedding_data","layer11","MASK",0.153077768982788
"19","q2.1_bert_embedding_data","layer2","MASK",0.0155852254438543
"20","q2.1_bert_embedding_data","layer3","MASK",0.0172427919213785
"21","q2.1_bert_embedding_data","layer4","MASK",0.0150794686533593
"22","q2.1_bert_embedding_data","layer5","MASK",0.0213973690238369
"23","q2.1_bert_embedding_data","layer6","MASK",0.0260230806572847
"24","q2.1_bert_embedding_data","layer7","MASK",0.0315053503433227
"25","q2.1_bert_embedding_data","layer8","MASK",0.0449109454676025
"26","q2.1_bert_embedding_data","layer9","MASK",0.0713428427763624
"27","q2.1_bert_embedding_data","hidden","关系",0.123683125391627
"28","q2.1_bert_embedding_data","layer0","关系",0.0192800075759419
"29","q2.1_bert_embedding_data","layer1","关系",0.0340909256257263
"30","q2.1_bert_embedding_data","layer10","关系",0.109241132638718
"31","q2.1_bert_embedding_data","layer11","关系",0.123683125391627
"32","q2.1_bert_embedding_data","layer2","关系",0.0479808344110581
"33","q2.1_bert_embedding_data","layer3","关系",0.0495492820590422
"34","q2.1_bert_embedding_data","layer4","关系",0.0592012128908247
"35","q2.1_bert_embedding_data","layer5","关系",0.0849701073255259
"36","q2.1_bert_embedding_data","layer6","关系",0.0958757186260845
"37","q2.1_bert_embedding_data","layer7","关系",0.0848562193681672
"38","q2.1_bert_embedding_data","layer8","关系",0.0957447809709116
"39","q2.1_bert_embedding_data","layer9","关系",0.104581178023789
