,问卷呈现,对应的现代人际关系,古代人際關係名稱_文言,query
0,夫妻之間,夫-妻,夫妻之間,夫妻之間
1,父子之間,父-子,父子之間,父子之間
2,父女之間,父-女,父女之間,父女之間
3,母子之間,母-子,母子之間,母子之間
4,母女之間,母-女,母女之間,母女之間
5,兄弟之間,兄-弟,兄弟之間,兄弟之間
6,兄妹之間,兄-妹,兄妹之間,兄妹之間
7,姊弟之間,姐-弟,姊弟之間,姊弟之間
8,姊妹之間,姐-妹,姊妹之間,姊妹之間
9,祖父與孫之間,祖父-孙子,祖父與孫之間,祖父與孫之間
10,祖父與孫女之間,祖父-孙女,祖父與孫女之間,祖父與孫女之間
11,祖母與孫之間,祖母-孙子,祖母與孫之間,祖母與孫之間
12,祖母與孫女之間,祖母-孙女,祖母與孫女之間,祖母與孫女之間
13,外祖父與外孫之間,外祖父-外孙子,外祖父與外孫之間,外祖父與外孫之間
14,外祖父與外孫女之間,外祖父-外孙女,外祖父與外孫女之間,外祖父與外孫女之間
15,外祖母與外孫之間,外祖母-外孙子,外祖母與外孫之間,外祖母與外孫之間
16,外祖母與外孫女之間,外祖母-外孙女,外祖母與外孫女之間,外祖母與外孫女之間
17,曾祖父與曾孫之間,曾祖父-曾孙子,曾祖父與曾孫之間,曾祖父與曾孫之間
18,曾祖父與曾孫女之間,曾祖父-曾孙女,曾祖父與曾孫女之間,曾祖父與曾孫女之間
19,曾祖母與曾孫之間,曾祖母-曾孙子,曾祖母與曾孫之間,曾祖母與曾孫之間
20,曾祖母與曾孫女之間,曾祖母-曾孙女,曾祖母與曾孫女之間,曾祖母與曾孫女之間
21,高祖父與玄孫之間,高祖父-玄孙,高祖父與玄孫之間,高祖父與玄孫之間
22,高祖母與玄孫之間,高祖母-玄孙,高祖母與玄孫之間,高祖母與玄孫之間
23,外曾祖父與外曾孫之間,外曾祖父-外曾孙,外曾祖父與外曾孫之間,外曾祖父與外曾孫之間
24,外曾祖母與外曾孫之間,外曾祖母-外曾孙,外曾祖母與外曾孫之間,外曾祖母與外曾孫之間
25,祖先與後裔之間,祖先-后代,祖先與後裔之間,祖先與後裔之間
26,伯父與侄子之間,伯父-侄子,伯父與侄子之間,伯父與侄子之間
27,伯父與侄女之間,伯父-侄女,伯父與侄女之間,伯父與侄女之間
28,伯母侄子之間,伯母-侄子,伯母與侄子之間,伯母與侄子之間
29,伯母與侄女之間,伯母-侄女,伯母與侄女之間,伯母與侄女之間
30,叔父與侄子之間,叔父-侄子,叔父與侄子之間,叔父與侄子之間
31,叔父與侄女之間,叔父-侄女,叔父與侄女之間,叔父與侄女之間
32,叔母與侄子之間,叔母-侄子,叔母與侄子之間,叔母與侄子之間
33,叔母與侄女之間,叔母-侄女,叔母與侄女之間,叔母與侄女之間
34,姑丈與侄子之間,姑父-侄子,姑丈與侄子之間,姑丈與侄子之間
35,姑丈與侄女之間,姑父-侄女,姑丈與侄女之間,姑丈與侄女之間
36,姑母與侄子之間,姑母-侄子,姑母與侄子之間,姑母與侄子之間
37,姑母與侄女之間,姑母-侄女,姑母與侄女之間,姑母與侄女之間
38,舅父與甥之間,舅父-外甥,舅父與甥之間,舅父與甥之間
39,舅父與甥女之間,舅父-外甥女,舅父與甥女之間,舅父與甥女之間
40,舅母與甥之間,舅母-外甥,舅母與甥之間,舅母與甥之間
41,舅母與甥女之間,舅母-外甥女,舅母與甥女之間,舅母與甥女之間
42,姨丈與甥之間,姨父-外甥,姨丈與甥之間,姨丈與甥之間
43,姨丈與甥女之間,姨父-外甥女,姨丈與甥女之間,姨丈與甥女之間
44,姨母與甥之間,姨母-外甥,姨母與甥之間,姨母與甥之間
45,姨母與甥女之間,姨母-外甥女,姨母與甥女之間,姨母與甥女之間
46,堂兄與堂弟之間,堂兄-堂弟,堂兄與堂弟之間,堂兄與堂弟之間
47,堂兄與堂妹之間,堂兄-堂妹,堂兄與堂妹之間,堂兄與堂妹之間
48,堂姊與堂弟之間,堂姐-堂弟,堂姊與堂弟之間,堂姊與堂弟之間
49,堂姊與堂妹之間,堂姐-堂妹,堂姊與堂妹之間,堂姊與堂妹之間
50,表兄與表弟之間,表兄-表弟,表兄與表弟之間,表兄與表弟之間
51,表兄與表妹之間,表兄-表妹,表兄與表妹之間,表兄與表妹之間
52,表姊與表弟之間,表姐-表弟,表姊與表弟之間,表姊與表弟之間
53,表姊與表妹之間,表姐-表妹,表姊與表妹之間,表姊與表妹之間
54,姑表兄與姑表弟之間,姑表兄-姑表弟,姑表兄與姑表弟之間,姑表兄與姑表弟之間
55,姑表兄與姑表妹之間,姑表兄-姑表妹,姑表兄與姑表妹之間,姑表兄與姑表妹之間
56,姑表姊與姑表弟之間,姑表姐-姑表弟,姑表姊與姑表弟之間,姑表姊與姑表弟之間
57,姑表姊與姑表妹之間,姑表姐-姑表妹,姑表姊與姑表妹之間,姑表姊與姑表妹之間
58,舅表兄與舅表弟之間,舅表兄-舅表弟,舅表兄與舅表弟之間,舅表兄與舅表弟之間
59,舅表兄與舅表妹之間,舅表兄-舅表妹,舅表兄與舅表妹之間,舅表兄與舅表妹之間
60,舅表姊與舅表弟之間,舅表姐-舅表弟,舅表姊與舅表弟之間,舅表姊與舅表弟之間
61,舅表姊與舅表妹之間,舅表姐-舅表妹,舅表姊與舅表妹之間,舅表姊與舅表妹之間
62,姨表兄與姨表弟之間,姨表兄-姨表弟,姨表兄與姨表弟之間,姨表兄與姨表弟之間
63,姨表兄與姨表妹之間,姨表兄-姨表妹,姨表兄與姨表妹之間,姨表兄與姨表妹之間
64,姨表姊與姨表弟之間,姨表姐-姨表弟,姨表姊與姨表弟之間,姨表姊與姨表弟之間
65,姨表姊與姨表妹之間,姨表姐-姨表妹,姨表姊與姨表妹之間,姨表姊與姨表妹之間
66,岳父與子婿之間,岳父-女婿,岳父與子婿之間,岳父與子婿之間
67,岳母與子婿之間,岳母-女婿,岳母與子婿之間,岳母與子婿之間
68,公公與兒媳之間,公公-儿媳,公公與兒媳之間,公公與兒媳之間
69,婆婆與兒媳之間,婆婆-儿媳,婆婆與兒媳之間,婆婆與兒媳之間
70,舅父與甥媳之間,舅父-甥媳,舅父與甥媳之間,舅父與甥媳之間
71,舅父與甥婿之間,舅父-甥女婿,舅父與甥婿之間,舅父與甥婿之間
72,伯父與侄媳之間,伯父-侄媳,伯父與侄媳之間,伯父與侄媳之間
73,伯父與侄婿之間,伯父-侄女婿,伯父與侄婿之間,伯父與侄婿之間
74,姊丈與妻弟之間,姐夫-妻弟,姊丈與妻弟之間,姊丈與妻弟之間
75,妹婿與妻兄之間,妹夫-妻兄,妹婿與妻兄之間,妹婿與妻兄之間
76,妹婿與妻姊之間,妹夫-妻姐,妹婿與妻姊之間,妹婿與妻姊之間
77,叔與嫂之間,叔-嫂,叔與嫂之間,叔與嫂之間
78,姑與嫂之間,姑-嫂,姑與嫂之間,姑與嫂之間
79,弟媳與伯之間,弟媳-伯,弟媳與伯之間,弟媳與伯之間
80,兄妻與弟妻之間,兄妻-弟妻,兄妻與弟妻之間,兄妻與弟妻之間
81,姊丈與妹婿之間,姐夫-妹夫,姊丈與妹婿之間,姊丈與妹婿之間
82,"婚家與婚家	",亲家-亲家,婚家與婚家,婚家與婚家
83,從祖父與從孫之間,从祖父-从孙子,從祖父與從孫之間,從祖父與從孫之間
84,從祖父與從孫女之間,从祖父-从孙女,從祖父與從孫女之間,從祖父與從孫女之間
85,從祖母與從孫之間,从祖母-从孙子,從祖母與從孫之間,從祖母與從孫之間
86,從祖母與從孫女之間,从祖母-从孙女,從祖母與從孫女之間,從祖母與從孫女之間
87,從祖姑與從侄孫之間,从祖姑-从侄孙,從祖姑與從侄孫之間,從祖姑與從侄孫之間
88,再從兄與再從弟之間,再从兄-再从弟,再從兄與再從弟之間,再從兄與再從弟之間
89,三從兄與三從弟之間,三从兄-三从弟,三從兄與三從弟之間,三從兄與三從弟之間
90,堂伯與堂侄之間,堂伯-堂侄,堂伯與堂侄之間,堂伯與堂侄之間
91,表叔與表侄之間,表叔-表侄,表叔與表侄之間,表叔與表侄之間
92,族伯叔與族侄之間,族伯叔-族侄,族伯叔與族侄之間,族伯叔與族侄之間
93,族兄與族弟之間,族兄-族弟,族兄與族弟之間,族兄與族弟之間
94,族姊與族妹之間,族姐-族妹,族姊與族妹之間,族姊與族妹之間
95,堂祖父與堂侄孫之間,堂祖父-堂侄孙,堂祖父與堂侄孫之間,堂祖父與堂侄孫之間
96,堂祖母與堂侄孫之間,堂祖母-堂侄孙,堂祖母與堂侄孫之間,堂祖母與堂侄孫之間
97,堂姊丈與堂妻弟之間,堂姐夫-堂内弟,堂姊丈與堂妻弟之間,堂姊丈與堂妻弟之間
98,表嫂與表叔之間,表嫂-表小叔,表嫂與表叔之間,表嫂與表叔之間
99,姻伯叔與姻侄之間,姻伯叔-姻侄,姻伯叔與姻侄之間,姻伯叔與姻侄之間
100,舅公與甥孫之間,舅公-甥孙,舅公與甥孫之間,舅公與甥孫之間
101,姨婆與姨甥孫之間,姨婆-姨甥孙,姨婆與姨甥孫之間,姨婆與姨甥孫之間
102,繼祖父與繼孫之間,继祖父-继孙子,繼祖父與繼孫之間,繼祖父與繼孫之間
103,繼祖父與繼孫女之間,继祖父-继孙女,繼祖父與繼孫女之間,繼祖父與繼孫女之間
104,繼祖母與繼孫之間,继祖母-继孙子,繼祖母與繼孫之間,繼祖母與繼孫之間
105,繼祖母與繼孫女之間,继祖母-继孙女,繼祖母與繼孫女之間,繼祖母與繼孫女之間
106,繼外祖父與繼外孫之間,继外祖父-继外孙子,繼外祖父與繼外孫之間,繼外祖父與繼外孫之間
107,繼外祖父與繼外孫女之間,继外祖父-继外孙女,繼外祖父與繼外孫女之間,繼外祖父與繼外孫女之間
108,繼外祖母與繼外孫之間,继外祖母-继外孙子,繼外祖母與繼外孫之間,繼外祖母與繼外孫之間
109,繼外祖母與繼外孫女之間,继外祖母-继外孙女,繼外祖母與繼外孫女之間,繼外祖母與繼外孫女之間
110,繼父與繼子之間,继父-继子,繼父與繼子之間,繼父與繼子之間
111,繼父與繼女之間,继父-继女,繼父與繼女之間,繼父與繼女之間
112,繼母與繼子之間,继母-继子,繼母與繼子之間,繼母與繼子之間
113,繼母與繼女之間,继母-继女,繼母與繼女之間,繼母與繼女之間
114,繼兄與繼弟之間,继兄-继弟,繼兄與繼弟之間,繼兄與繼弟之間
115,繼兄與繼妹之間,继兄-继妹,繼兄與繼妹之間,繼兄與繼妹之間
116,繼姊與繼弟之間,继姐-继弟,繼姊與繼弟之間,繼姊與繼弟之間
117,繼姊與繼妹之間,继姐-继妹,繼姊與繼妹之間,繼姊與繼妹之間
118,養父與養子之間,养父-养子,養父與養子之間,養父與養子之間
119,養父與養女之間,养父-养女,養父與養女之間,養父與養女之間
120,養母與養子之間,养母-养子,養母與養子之間,養母與養子之間
121,養母與養女之間,养母-养女,養母與養女之間,養母與養女之間
122,義父與義子之間,义父-义子,義父與義子之間,義父與義子之間
123,義父與義女之間,义父-义女,義父與義女之間,義父與義女之間
124,義母與義子之間,义母-义子,義母與義子之間,義母與義子之間
125,義母與義女之間,义母-义女,義母與義女之間,義母與義女之間
126,妻與妾之間,原配-第三者,妻與妾之間,妻與妾之間
127,夫與妾之間,出轨者-第三者,夫與妾之間,夫與妾之間
128,夫與原配之間,夫-妻,夫與原配之間,夫與原配之間
129,夫與繼室之間,夫-妻,夫與繼室之間,夫與繼室之間
130,原配與繼室之間,原配-继室,原配與繼室之間,原配與繼室之間
131,嫡母與嫡子女之間,母亲-亲生子女,嫡母與嫡子女之間,嫡母與嫡子女之間
132,嫡母與庶子女之間,母亲-非亲生子女,嫡母與庶子女之間,嫡母與庶子女之間
133,庶母與嫡子女之間,继母-继子女,庶母與嫡子女之間,庶母與嫡子女之間
134,庶母與庶子女之間,继母-继子女,庶母與庶子女之間,庶母與庶子女之間
135,宗子與支子,兄-弟,宗子與支子,宗子與支子
136,嫡子女與庶子女之間,同父异母子女-同父异母子女,嫡子女與庶子女之間,嫡子女與庶子女之間
137,嫡長子與嫡次子之間,兄-弟,嫡長子與嫡次子之間,嫡長子與嫡次子之間
138,嫡次子與庶長子之間,同父异母兄-同父异母弟,嫡次子與庶長子之間,嫡次子與庶長子之間
139,嫡兄與庶弟之間,同父异母兄-同父异母弟,嫡兄與庶弟之間,嫡兄與庶弟之間
140,嫡兄與庶妹之間,同父异母兄-同父异母妹,嫡兄與庶妹之間,嫡兄與庶妹之間
141,嫡姊與庶弟之間,同父异母姐-同父异母弟,嫡姊與庶弟之間,嫡姊與庶弟之間
142,嫡姊與庶妹之間,同父异母姐-同父异母妹,嫡姊與庶妹之間,嫡姊與庶妹之間
