Column1,Formality,Activeness,Valence,Exchange,Equality,rel
三从兄-三从弟,-0.205946376,2.137288693,-1.285964932,-2.552949756,-0.992768312,三从兄-三从弟
义母-义女,0.133177364,-0.490618754,-0.159092326,1.167863186,0.177737066,义母-义女
义母-义子,0.635443852,-0.184879891,0.058197571,0.763096597,0.582442356,义母-义子
义父-义女,1.305768023,1.152110319,0.388068815,-0.437854093,1.803219806,义父-义女
义父-义子,1.643301968,-1.556441322,1.064537401,-0.271295691,1.090502907,义父-义子
亲家-亲家,0.094906062,-0.959745375,-1.669052007,0.889772597,0.589459685,亲家-亲家
从祖姑-从侄孙,0.697572641,-0.084320964,1.007085534,0.513212846,-1.191010082,从祖姑-从侄孙
从祖母-从孙女,-1.564664363,1.231422873,3.214667919,1.407112067,0.734393582,从祖母-从孙女
从祖父-从孙女,-1.884875108,-0.553014453,0.1785555,-1.945357324,1.189345796,从祖父-从孙女
从祖父-从孙子,-0.562901244,-0.499046526,-0.065013101,-0.187289477,0.038542558,从祖父-从孙子
伯母-侄女,-1.21176108,1.268204198,-0.361164081,1.868318033,-0.191796737,伯母-侄女
伯母-侄子,0.444123138,2.036462535,1.015192694,0.420498216,0.221934242,伯母-侄子
伯父-侄女婿,0.194326532,1.727126696,0.730596772,-1.665407503,-0.518363536,伯父-侄女婿
伯父-侄媳,-0.219855267,0.150614249,0.16095238,-0.376662928,-0.113278595,伯父-侄媳
伯父-侄子,0.204095332,-0.476913542,0.002889403,-0.741043156,1.208578739,伯父-侄子
兄-妹,-0.022009313,-1.074690244,-0.026105168,0.040594073,-0.889410304,兄-妹
兄-弟,-0.169726258,-1.183469813,-1.211738215,-0.073744099,-0.188277205,兄-弟
公公-儿媳,-0.416873497,0.222431016,0.679002822,-1.468703736,1.404390934,公公-儿媳
养母-养女,0.323152482,-0.546375971,0.005921905,0.102580106,-0.400901677,养母-养女
养母-养子,1.943607421,-0.270041116,0.943028656,-0.066816418,0.198872474,养母-养子
养父-养女,1.351182979,-0.260443995,1.161909816,0.043064704,-0.104898819,养父-养女
养父-养子,-0.496397255,-1.135377246,2.037853519,0.565469403,-1.21118915,养父-养子
再从兄-再从弟,1.108664246,0.275651988,-0.358766454,-1.069629507,1.375004205,再从兄-再从弟
叔-嫂,-0.600562047,0.766612363,-1.151792708,0.821613765,0.93934415,叔-嫂
叔母-侄女,-0.798260012,0.456479818,-0.100091995,-0.589987204,0.358010682,叔母-侄女
叔母-侄子,-0.06238804,-0.283556925,-0.093643177,-0.522846972,2.056198294,叔母-侄子
叔父-侄女,-0.135386846,-1.157821243,0.27388589,1.862070661,-0.651556976,叔父-侄女
叔父-侄子,-0.414792238,0.33088206,-0.343700812,-1.373522942,-3.040664804,叔父-侄子
同母异父兄-同母异父妹,1.383036741,-0.360267652,-0.736653039,-0.814018544,-0.251565639,同母异父兄-同母异父妹
同母异父兄-同母异父弟,2.195398129,-0.709180696,0.396395668,-0.556034557,0.720127501,同母异父兄-同母异父弟
同母异父姐-同母异父妹,2.172547238,0.126232675,-0.169937245,-0.025408404,-0.770481699,同母异父姐-同母异父妹
同母异父姐-同母异父弟,1.029622004,-0.093601457,-0.399554539,0.056798016,-0.467619521,同母异父姐-同母异父弟
同父异母兄-同父异母妹,2.129457443,0.271645046,0.309818551,0.533058419,0.773042032,同父异母兄-同父异母妹
同父异母兄-同父异母弟,0.465310049,-0.938309303,-1.221228984,0.965778506,0.301103279,同父异母兄-同父异母弟
同父异母姐-同父异母妹,1.381507086,-0.297289249,-0.366230622,-0.078702694,0.041313041,同父异母姐-同父异母妹
堂伯-堂侄,-0.222898933,0.100865753,-0.693989408,0.082196665,-0.024661238,堂伯-堂侄
