Column1,Èý´ÓÐÖ-Èý´ÓµÜ,ÒåÄ¸-ÒåÅ®,ÒåÄ¸-Òå×Ó,Òå¸¸-ÒåÅ®,Òå¸¸-Òå×Ó,Ç×¼Ò-Ç×¼Ò,´Ó×æ¹Ã-´ÓÖ¶Ëï,´Ó×æÄ¸-´ÓËïÅ®,´Ó×æ¸¸-´ÓËïÅ®,´Ó×æ¸¸-´ÓËï×Ó,²®Ä¸-Ö¶Å®,²®Ä¸-Ö¶×Ó,²®¸¸-Ö¶Å®Ðö,²®¸¸-Ö¶Ï±,²®¸¸-Ö¶×Ó,ÐÖ-ÃÃ,ÐÖ-µÜ,¹«¹«-¶ùÏ±,ÑøÄ¸-ÑøÅ®,ÑøÄ¸-Ñø×Ó,Ñø¸¸-ÑøÅ®,Ñø¸¸-Ñø×Ó,ÔÙ´ÓÐÖ-ÔÙ´ÓµÜ,Êå-É©,ÊåÄ¸-Ö¶Å®,ÊåÄ¸-Ö¶×Ó,Êå¸¸-Ö¶Å®,Êå¸¸-Ö¶×Ó,Í¬Ä¸Òì¸¸ÐÖ-Í¬Ä¸Òì¸¸ÃÃ,Í¬Ä¸Òì¸¸ÐÖ-Í¬Ä¸Òì¸¸µÜ,Í¬Ä¸Òì¸¸½ã-Í¬Ä¸Òì¸¸ÃÃ,Í¬Ä¸Òì¸¸½ã-Í¬Ä¸Òì¸¸µÜ,Í¬¸¸ÒìÄ¸ÐÖ-Í¬¸¸ÒìÄ¸ÃÃ,Í¬¸¸ÒìÄ¸ÐÖ-Í¬¸¸ÒìÄ¸µÜ,Í¬¸¸ÒìÄ¸½ã-Í¬¸¸ÒìÄ¸ÃÃ,ÌÃ²®-ÌÃÖ¶,ÌÃÐÖ-ÌÃÃÃ,ÌÃÐÖ-ÌÃµÜ,ÌÃ½ã·ò-ÌÃÄÚµÜ,ÌÃ½ã-ÌÃÃÃ,ÌÃ½ã-ÌÃµÜ,ÌÃ×æÄ¸-ÌÃÖ¶Ëï,ÌÃ×æ¸¸-ÌÃÖ¶Ëï,ÍâÔø×æÄ¸-ÍâÔøËï,ÍâÔø×æ¸¸-ÍâÔøËï,Íâ×æÄ¸-ÍâËïÅ®,Íâ×æÄ¸-ÍâËï×Ó,Íâ×æ¸¸-ÍâËïÅ®,Íâ×æ¸¸-ÍâËï×Ó,·ò-ÆÞ,ÃÃ·ò-ÆÞ½ã,½ã·ò-ÃÃ·ò,½ã·ò-ÆÞµÜ,½ã-ÃÃ,½ã-µÜ,¹Ã-É©,¹ÃÄ¸-Ö¶Å®,¹ÃÄ¸-Ö¶×Ó,¹Ã¸¸-Ö¶×Ó,¹Ã±íÐÖ-¹Ã±íÃÃ,¹Ã±íÐÖ-¹Ã±íµÜ,¹Ã±í½ã-¹Ã±íÃÃ,¹Ã±í½ã-¹Ã±íµÜ,ÒÌÄ¸-ÍâÉû,ÒÌÄ¸-ÍâÉûÅ®,ÒÌ¸¸-ÍâÉû,ÒÌ±íÐÖ-ÒÌ±íÃÃ,ÒÌ±íÐÖ-ÒÌ±íµÜ,ÒÌ±í½ã-ÒÌ±íÃÃ,ÒÌ±í½ã-ÒÌ±íµÜ,ÆÅÆÅ-¶ùÏ±,ÔÀÄ¸-Å®Ðö,ÔÀ¸¸-Å®Ðö,¸ÉÂè-¸ÉÅ®¶ù,¸Éµù-¸É¶ù×Ó,Òì¸¸ÒìÄ¸ÐÖ-Òì¸¸ÒìÄ¸ÃÃ,Òì¸¸ÒìÄ¸½ã-Òì¸¸ÒìÄ¸ÃÃ,Òì¸¸ÒìÄ¸½ã-Òì¸¸ÒìÄ¸µÜ,µÜÏ±-²®,×å²®Êå-×åÖ¶,×å½ã-×åÃÃ,Ôø×æÄ¸-ÔøËïÅ®,Ôø×æÄ¸-ÔøËï×Ó,Ôø×æ¸¸-ÔøËïÅ®,Ôø×æ¸¸-ÔøËï×Ó,Ä¸-Å®,Ä¸-×Ó,¸¸-Å®,¸¸-×Ó,×æÏÈ-ºó´ú,×æÄ¸-ËïÅ®,×æÄ¸-Ëï×Ó,×æ¸¸-ËïÅ®,×æ¸¸-Ëï×Ó,¼ÌÐÖ-¼ÌÃÃ,¼ÌÐÖ-¼ÌµÜ,¼ÌÍâ×æÄ¸-¼ÌÍâËïÅ®,¼ÌÍâ×æ¸¸-¼ÌÍâËï×Ó,¼Ì½ã-¼ÌÃÃ,¼Ì½ã-¼ÌµÜ,¼ÌÄ¸-¼ÌÅ®,¼ÌÄ¸-¼Ì×Ó,¼Ì¸¸-¼ÌÅ®,¼Ì¸¸-¼Ì×Ó,¼Ì×æÄ¸-¼ÌËïÅ®,¼Ì×æÄ¸-¼ÌËï×Ó,¼Ì×æ¸¸-¼ÌËïÅ®,¼Ì×æ¸¸-¼ÌËï×Ó,¾Ë¹«-ÉûËï,¾ËÄ¸-ÍâÉû,¾ËÄ¸-ÍâÉûÅ®,¾Ë¸¸-ÍâÉû,¾Ë¸¸-ÍâÉûÅ®,¾Ë¸¸-ÉûÅ®Ðö,¾Ë±íÐÖ-¾Ë±íµÜ,¾Ë±í½ã-¾Ë±íÃÃ,¾Ë±í½ã-¾Ë±íµÜ,±íÐÖ-±íµÜ,±í½ã-±íÃÃ,±í½ã-±íµÜ,±íÉ©-±íÐ¡Êå,¸ß×æÄ¸-ÐþËï,¸ß×æ¸¸-ÐþËï
Èý´ÓÐÖ-Èý´ÓµÜ,1,-0.296087629,0.06099577,0.195447375,-0.119498079,-0.290361864,-0.157415442,-0.154615793,-0.101793247,-0.086759845,-0.213154918,0.244462394,0.488773118,0.184241607,-0.008959963,-0.187881504,-0.069826379,-0.09366175,0.124535142,0.065876378,-0.144649768,-0.373173376,0.236425447,0.0022369,0.138706023,-0.117742117,-0.360718622,0.184957319,0.288702913,0.09490694,0.348911114,0.172857261,0.14860432,-0.3463013,0.129635674,0.105381111,-0.157080807,0.363476669,0.206580512,-0.092742002,0.006196327,-0.260787357,-0.356179436,-0.23820652,-0.255756538,-0.356147216,-0.410834871,-0.018878619,-0.128235673,-0.175781944,0.30969457,0.334212658,0.207571896,-0.289328967,-0.155730531,0.373311714,0.131049056,-0.17571221,0.177996876,0.376807003,-0.006905857,0.074262305,0.089347233,0.164292968,-0.218866157,-0.446964164,-0.238374171,0.258162095,-0.052408305,-0.028275431,0.034663195,0.045754211,-0.058511021,-0.020663749,0.105392272,0.261221443,0.404272145,-0.115208213,-0.069327806,0.122645217,0.188240717,-0.214116933,-0.193384145,-0.353613209,-0.303879793,-0.276546897,-0.325445646,-0.316459685,-0.373005458,0.440601698,-0.331510603,-0.180961978,0.012313281,-0.162766551,0.195147649,-0.060356892,-0.062641257,0.204425489,0.176465196,0.159286638,-0.297481487,0.175986052,-0.072654587,-0.024130093,0.259537732,0.012419212,0.044147426,-0.29067355,-0.021477459,-0.300226299,0.236431267,-0.461088853,-0.272555976,-0.216261163,-0.069202039,0.09010549,-0.146631625,-0.075982643,0.154936167,-0.151351185,-0.250048421,0.021005668,-0.073440135
ÒåÄ¸-ÒåÅ®,-0.296087629,1,0.477072948,0.016449659,0.013788594,0.021013832,-0.039448252,-0.16805247,-0.270962777,-0.039869012,0.205789625,-0.080703016,-0.056462367,-0.017249956,0.194996911,0.058604623,-0.104818653,-0.15777323,0.385031714,-0.273292624,-0.037411706,0.104544064,-0.147677167,0.098336948,0.062107445,0.11588838,0.3926022,-0.040326004,-0.268221403,-0.161427435,-0.255271134,-0.029185674,-0.232136908,0.284999887,-0.179146635,0.130382926,0.215238291,-0.177437636,-0.269479404,0.184894242,0.032746809,0.243162681,0.048463216,0.173088103,-0.064568426,0.251920861,0.097852628,0.288197108,0.276366655,0.131411097,-0.036626879,-0.297078674,-0.03644055,0.267648044,-0.03190829,-0.295650872,-0.154681693,-0.224427614,-0.247685184,-0.406133796,0.013225183,-0.106584709,-0.249813632,-0.072049131,0.202581329,0.457767313,0.315422127,-0.28099639,0.187799692,0.316551001,-0.326706504,-0.163766676,-0.121398574,-0.087467505,-0.209203272,-0.020834358,-0.35196676,0.181109186,0.031230286,0.075946311,-0.053817933,-0.13336258,-0.065055885,0.239795443,0.223048108,-0.070582948,0.083116268,0.321517984,0.182192879,0.046950335,0.299569313,0.22893617,-0.034045713,0.196586897,-0.161250988,0.225536638,0.001646618,-0.044707413,-0.242247645,-0.18095441,0.164588602,-0.21448019,-0.04365508,-0.178156448,0.014080356,-0.076878982,-0.145810601,0.088923696,-0.201628568,0.252268901,0.224605358,0.057161305,0.05518149,0.028444741,0.24412713,0.086505073,0.315661679,0.22056891,-0.137304136,0.009486561,0.209515911,-0.050082023,-0.002390975
ÒåÄ¸-Òå×Ó,0.06099577,0.477072948,1,0.46886228,0.239841616,0.035018394,0.063698707,-0.211885558,-0.300070276,-0.298426444,-0.093608772,-0.042025924,-0.040339824,-0.08640631,0.444616712,-0.230156924,-0.139682475,0.109202997,0.286780253,0.207364869,0.412896,-0.118611445,0.355253893,-0.089402338,-0.110175802,0.352005415,0.054657149,-0.236308377,0.07658619,0.425954342,0.167721915,0.163191387,0.241038162,0.12090122,0.221124629,0.021089335,-0.207253703,-0.064186513,-0.244666577,-0.502626608,0.201127349,0.198323528,-0.160516233,-0.260188644,0.016800504,-0.330182588,-0.168796998,-0.040544537,0.139356197,-0.008341124,0.277656786,-0.086875472,0.230034617,-0.174456888,-0.197607585,-0.288678622,-0.419591294,-0.248156203,0.28423514,0.077821244,0.322432811,-0.405424893,-0.384241382,-0.00478932,-0.105978791,0.010793341,-0.016749404,-0.329712237,-0.396012946,0.256703513,0.030672179,0.202706183,0.454648027,-0.19784186,-0.366071694,0.073112497,-0.06735173,-0.066234203,0.288892502,-0.307229484,-0.389116894,-0.296510168,-0.476504459,-0.001415058,-0.049026208,-0.211955896,-0.159691921,0.346919226,-0.072353373,-0.075061727,-0.167995527,-0.228893612,-0.217871223,-0.292588495,0.293821474,0.095368745,0.000435652,0.310005419,-0.057188322,0.265222127,0.470053742,0.325991194,0.386299193,0.243727595,0.171225735,0.231245006,0.1900698,-0.145646186,0.046433715,0.089582226,-0.108276393,-0.007144581,-0.183854688,-0.039909243,-0.040900495,-0.110438994,-0.18054652,-0.22239215,-0.381059903,-0.213279034,0.025515493,0.151417476,-0.28533646
Òå¸¸-ÒåÅ®,0.195447375,0.016449659,0.46886228,1,0.131631057,-0.149158216,0.138821817,-0.202523251,-0.244370434,-0.129463673,-0.443130635,0.369300868,0.290559123,-0.120949404,0.413328555,-0.446337948,-0.477675018,0.204437229,-0.045019836,0.369200382,0.492498854,-0.365661418,0.485108922,-0.041412562,-0.147221485,0.432657814,-0.44294849,-0.500031067,0.29195387,0.625562572,0.474417336,0.335873557,0.473967922,-0.009999925,0.57113861,-0.021659317,-0.549290508,0.217924008,-0.180450423,-0.590940468,0.203046962,0.060159939,-0.130337674,-0.576673366,-0.084941999,-0.693199948,-0.451472405,-0.132022171,-0.278595926,-0.10011406,0.678618447,0.249391749,0.006589033,-0.450113632,-0.445290146,-0.223354582,-0.529199619,-0.071739026,0.604499287,0.380305317,0.524649294,-0.255113301,-0.341001206,0.224136684,-0.344823304,-0.271573851,-0.45133867,0.121265518,-0.371805218,0.10408161,0.195770323,0.497491608,0.608008107,-0.224463602,-0.398341958,-0.188120757,0.209714885,-0.345691908,0.475479453,-0.170411822,-0.183351641,-0.377334539,-0.325772056,-0.324380244,-0.223771923,-0.404218278,-0.287018713,-0.11820291,-0.34619439,-0.132552372,-0.574551434,-0.261695493,-0.076756559,-0.505076846,0.678213181,-0.24580345,-0.125176472,0.576537569,0.028972884,0.600331997,0.27826101,0.594237351,0.607310027,0.56167795,0.249285307,0.371212816,0.425465366,-0.314328831,0.275231843,-0.060799287,-0.166367996,-0.032520055,-0.329990129,-0.167348902,-0.090140422,-0.325359929,-0.347226389,-0.556256769,-0.609615494,-0.178063516,-0.127106075,0.271409119,-0.577047775
Òå¸¸-Òå×Ó,-0.119498079,0.013788594,0.239841616,0.131631057,1,-0.010204323,-0.179153124,-0.212303019,-0.141892442,-0.092549232,-0.440715268,0.004063801,0.018744437,-0.145818446,0.38538144,-0.222664879,-0.08354034,0.282904876,0.120345457,0.500595365,0.340530054,-0.262076267,0.425339697,-0.151345553,-0.23433821,0.400449211,-0.277776804,-0.24074316,0.32281602,0.590228438,0.307705813,0.142103788,0.506707067,0.128684452,0.337947937,-0.311117531,-0.233675358,0.077977047,-0.434730974,-0.405636951,0.431465252,0.27010621,0.036053149,-0.350397836,-0.174269986,-0.070493312,-0.281306607,-0.234061967,-0.480203878,0.243193266,0.018429798,-0.058423269,-0.297849061,-0.045770148,0.109442273,-0.223876054,-0.498775217,0.137806465,0.175564823,0.076493949,0.623731682,-0.304570937,-0.036157583,-0.192775531,-0.261622584,-0.102995291,-0.15036343,-0.073714375,-0.276617957,0.257123559,0.268025539,0.464294756,0.455000006,-0.543135396,-0.468880107,-0.305826099,-0.180643019,-0.370663407,0.091918203,-0.08270751,-0.182444695,0.110366455,-0.079279415,0.002420249,-0.201673786,0.180378603,0.185059081,0.295471767,-0.054440576,-0.201605034,-0.360318388,-0.044555424,-0.3386615,-0.396338082,0.436533302,-0.005318154,-0.288408045,0.043504507,0.268270266,0.409575724,0.45197073,0.49652991,0.415002573,0.439772442,0.041360717,0.442250112,0.236122896,-0.275991366,0.353546163,0.007704429,-0.395014421,0.200566739,-0.175855935,0.022346578,-0.023795246,-0.442184583,-0.248356811,-0.243860682,-0.458775151,0.110264573,0.009366631,-0.119169429,-0.404265452
Ç×¼Ò-Ç×¼Ò,-0.290361864,0.021013832,0.035018394,-0.149158216,-0.010204323,1,-0.178898519,-0.30792661,0.189162365,0.165399521,-0.074746027,-0.446583935,-0.503109426,-0.141316754,0.171452389,0.231092359,0.514608118,-0.048574903,-0.06971688,-0.205469086,-0.183307846,-0.130237912,-0.05465133,0.155910484,-0.10187312,0.21059532,0.2929202,-0.269606709,-0.048052648,-0.015864068,-0.17905937,-0.114699163,-0.112729022,0.691305255,0.01089866,0.214580099,0.473921512,0.046660724,-0.047575678,0.386755172,0.339306635,-0.197539777,0.268568549,0.149716494,-0.220976409,0.313885338,0.166368098,-0.103969101,0.121893286,0.283097115,-0.126063024,-0.008147259,0.248664609,0.334143637,0.49439417,-0.117872592,-0.175059913,0.147337758,-0.002824173,-0.143884463,0.070763461,0.166273324,0.419715432,-0.535791602,0.153571044,0.04966856,0.565257681,-0.190535705,0.291223441,0.452462954,-0.0807499,-0.102920187,0.009857077,-0.10271355,-0.134175419,0.259884134,-0.063559977,0.385534418,0.188437006,-0.594702552,-0.1000264,0.04328765,-0.082723319,0.052805642,0.004395905,0.110872059,0.036727553,0.263143526,0.284858019,-0.543845767,-0.114244686,-0.407830757,-0.452470142,-0.000773924,-0.027614461,0.604122121,-0.00647236,-0.145850385,0.145701384,0.101893344,0.165810255,-0.055693272,0.000930494,-0.093206625,-0.493078081,-0.385563956,-0.437944504,-0.209880858,0.076408935,0.264069055,-0.345916921,-0.190960026,-0.204713486,-0.180918958,0.318691691,0.232284076,-0.18392521,0.570599368,0.172769541,0.397024604,0.655979244,-0.561399222,-0.100858793
´Ó×æ¹Ã-´ÓÖ¶Ëï,-0.157415442,-0.039448252,0.063698707,0.138821817,-0.179153124,-0.178898519,1,0.166957189,-0.317964472,0.139217088,-0.033506528,0.001023161,0.004028659,0.017819793,-0.116739884,0.135065106,-0.294081009,-0.262476736,0.042746598,-0.003218035,0.248686866,0.221111485,-0.231664941,-0.465546456,-0.23559752,-0.245410852,0.215593199,0.185953908,-0.140983541,0.036452669,0.117510746,0.152903318,-0.023932865,-0.091965353,0.135860172,-0.110600644,-0.029181002,-0.031346335,0.143917463,-0.253407928,-0.307553256,0.055126954,-0.331988587,0.044467939,0.569183222,-0.113927121,0.133994304,0.116952947,-0.015709716,-0.271096429,0.114766659,-0.230586383,0.067150821,-0.151447088,0.00079007,0.131417648,0.086624655,-0.274863972,0.120862424,0.306107799,-0.039354923,0.064182396,-0.215163794,0.255689722,-0.160044431,-0.091850577,-0.176773901,0.021182409,-0.37231672,-0.233259217,-0.230622338,0.021300854,-0.058263073,0.248391305,0.18277734,-0.027205287,0.064834928,0.003301515,0.06200681,-0.061180257,0.127037442,0.013102204,0.03732912,-0.085027347,-0.02870683,-0.270576166,-0.037673976,-0.053923293,-0.059754418,0.006444247,0.140844329,0.142969377,0.297143132,-0.013807043,0.03408824,-0.155210068,-0.009798272,-0.146977754,0.031718774,-0.362105175,0.047258115,-0.011033005,-0.02411898,-0.128547212,0.245639732,0.049068035,0.389550654,0.27977777,-0.400355614,-0.025154847,-0.050477853,0.216331479,0.389009174,0.630105407,-0.388327771,-0.14846384,0.045044251,-0.252884393,-0.075628558,-0.363397124,-0.092741028,0.46747251,0.144981035
´Ó×æÄ¸-´ÓËïÅ®,-0.154615793,-0.16805247,-0.211885558,-0.202523251,-0.212303019,-0.30792661,0.166957189,1,0.097301067,-0.038007699,0.302226935,0.229587494,-0.037880155,-0.077691605,-0.365460527,0.036252454,-0.264376845,-0.039381026,-0.269883529,-0.197891436,-0.073678475,0.497253945,-0.347283362,0.15111072,0.084488103,-0.183086615,0.254367011,-0.134419103,-0.52081335,-0.363406143,-0.348259222,-0.346949206,-0.145044692,-0.29845605,-0.24984362,-0.162485667,0.023727784,-0.571390597,0.051852555,-0.073760496,-0.328661605,0.026513932,0.007129803,0.16089384,0.329204352,0.072644544,0.452921609,0.140506235,0.400677866,-0.170356437,-0.345096243,-0.308668978,-0.200615478,-0.152291219,-0.206836121,-0.207200915,0.330391351,-0.231043761,-0.211466154,-0.098394227,-0.416706158,-0.154851373,-0.159953782,0.456616444,0.391620095,0.146715043,-0.11551971,-0.147658376,-0.051225412,-0.352137684,-0.124865809,-0.121016242,-0.132072369,0.199540018,0.066045252,-0.111394978,-0.158148708,0.086484263,-0.237584294,0.443524162,-0.192544371,-0.008945008,0.054031611,0.374856452,0.351242572,0.054436367,0.178022066,0.124569715,0.236856312,0.311926629,0.519867527,0.389277034,0.53181406,0.10192934,-0.310533324,-0.280945273,0.561399238,-0.006737065,-0.325181204,-0.383824826,-0.009020934,-0.220660011,-0.168644055,0.014434787,0.006742817,-0.011931946,0.073736562,0.33292885,-0.095748172,0.017343204,-0.023439354,0.450020465,0.249634029,0.099105306,-0.307188466,0.133580496,0.172625995,-0.254523248,-0.028261171,-0.294229197,-0.072203863,0.521914173,0.455263453
´Ó×æ¸¸-´ÓËïÅ®,-0.101793247,-0.270962777,-0.300070276,-0.244370434,-0.141892442,0.189162365,-0.317964472,0.097301067,1,0.156406897,-0.108982391,-0.437123098,-0.199619596,0.169867331,0.046044594,0.217850422,0.392514216,0.401854566,-0.088531444,-0.289136777,-0.407554703,0.231247785,-0.173388315,-0.043866765,0.282477763,0.147055368,0.037081045,-0.089787295,-0.128974962,-0.208049217,-0.424572614,-0.421059162,-0.41556775,-0.021147379,-0.312438841,0.063066129,0.222628458,-0.232761269,-0.256553612,0.211244106,0.227149701,0.244263665,0.527276836,0.434797537,-0.151398026,0.334915932,0.256797965,0.014717598,-0.00089035,0.305630546,-0.498223376,-0.280840525,-0.117391902,0.300754982,0.185421975,-0.043212209,0.330095475,0.578442227,-0.27984741,-0.370708513,-0.314379496,0.189681821,0.2880479,-0.360928486,0.197795116,0.166225312,0.301056892,-0.333750297,-0.114197834,0.033720646,0.173924508,-0.231755132,-0.168271863,0.336753813,-0.084846834,-0.183578111,-0.072522598,-0.200261287,-0.079424629,0.133114943,-0.193322325,0.674712759,0.42154407,0.383499475,0.258487998,0.753514171,0.281727237,0.192629474,0.501725656,0.131092862,0.177164747,0.091683758,0.076706789,0.307831238,-0.47451173,-0.024827548,-0.081785525,-0.15073778,-0.363349666,0.04319266,-0.166193328,-0.388545698,-0.106282243,-0.013568552,-0.531432754,-0.294780712,-0.613709608,0.009197632,0.542396118,0.241791467,-0.103102687,-0.11230678,-0.187633676,-0.32549872,0.143717963,-0.12920596,-0.240894103,0.274129649,0.324916195,0.513867355,0.145760125,-0.383784318,0.075774875
´Ó×æ¸¸-´ÓËï×Ó,-0.086759845,-0.039869012,-0.298426444,-0.129463673,-0.092549232,0.165399521,0.139217088,-0.038007699,0.156406897,1,-0.094304042,-0.090580395,0.038320661,-0.238642054,0.019424346,0.322014748,-0.046397913,-0.138289632,0.220360613,-0.248318361,-0.324343315,-0.000906633,-0.323530943,-0.134976656,0.096275126,0.003123164,0.26233321,0.048545938,-0.110254187,-0.213567672,-0.204727959,-0.2078573,-0.20809049,-0.05761679,-0.163248613,0.100376337,0.375804022,0.194020277,-0.365232305,0.112404233,0.089292106,-0.10232064,0.089663422,0.196917676,0.039194324,0.476230057,0.376360054,0.007341531,0.018932708,-0.032554685,-0.240264836,-0.29730014,-0.159003935,0.07821628,0.242921878,0.054224925,-0.093978849,0.018317917,-0.015323378,-0.302486539,-0.061103213,-0.047209684,0.058319625,-0.116074758,0.162803452,0.190318714,0.138486836,0.153583288,0.082036912,0.08288119,-0.399781633,-0.081933848,-0.278427812,0.098139579,0.047178945,-0.406842756,-0.185296154,-0.054856523,0.099092851,0.066172582,0.188463039,0.26319174,0.597444605,0.107965203,0.254523691,0.066934967,0.33560399,0.072682584,0.311702002,-0.062701961,0.121107029,0.187308059,0.145623809,0.441316325,-0.239700469,0.133008683,0.044393452,-0.183175191,-0.301975903,-0.136018653,-0.299100066,-0.153894762,-0.37660017,0.01897927,-0.265930393,-0.084672566,-0.267584364,-0.034970059,0.202082997,0.161938154,-0.008852318,0.02910565,0.104063328,0.067758112,0.085306053,0.068755663,-0.017314262,0.254722821,0.028137208,0.18683512,0.17499785,-0.285198857,-0.185490841
