"","表嫂-表小叔","表叔-表侄","表兄-表弟","表兄-表妹","表姐-表弟","表姐-表妹","伯父-侄女","伯父-侄媳","伯父-侄女婿","伯父-侄子","伯母-侄女","伯母-侄子","曾祖父-曾孙女","曾祖父-曾孙子","曾祖母-曾孙女","曾祖母-曾孙子","从祖父-从孙女","从祖父-从孙子","从祖姑-从侄孙","从祖母-从孙女","从祖母-从孙子","兄-弟","同父异母兄-同父异母弟","母亲-亲生子女","母亲-非亲生子女","同父异母兄-同父异母弟","同父异母兄-同父异母妹","同父异母子女-同父异母子女","同父异母姐-同父异母弟","同父异母姐-同父异母妹","弟媳-伯","夫-妻","夫-妻","出轨者-第三者","夫-妻","父-女","父-子","高祖父-玄孙","高祖母-玄孙","公公-儿媳","姑表兄-姑表弟","姑表兄-姑表妹","姑表姐-姑表弟","姑表姐-姑表妹","姑母-侄女","姑母-侄子","姑-嫂","姑父-侄女","姑父-侄子","亲家-亲家","继父-继女","继父-继子","继母-继女","继母-继子","继外祖父-继外孙女","继外祖父-继外孙子","继外祖母-继外孙女","继外祖母-继外孙子","继兄-继弟","继兄-继妹","继姐-继弟","继姐-继妹","继祖父-继孙女","继祖父-继孙子","继祖母-继孙女","继祖母-继孙子","舅表兄-舅表弟","舅表兄-舅表妹","舅表姐-舅表弟","舅表姐-舅表妹","舅父-外甥女","舅父-甥媳","舅父-甥女婿","舅父-外甥","舅公-甥孙","舅母-外甥女","舅母-外甥","妹夫-妻兄","妹夫-妻姐","母-女","母-子","婆婆-儿媳","原配-第三者","三从兄-三从弟","叔父-侄女","叔父-侄子","叔母-侄女","叔母-侄子","叔-嫂","继母-继子女","继母-继子女","堂伯-堂侄","堂兄-堂弟","堂兄-堂妹","堂姐-堂弟","堂姐-堂妹","堂姐夫-堂内弟","堂祖父-堂侄孙","堂祖母-堂侄孙","外曾祖父-外曾孙","外曾祖母-外曾孙","外祖父-外孙女","外祖父-外孙子","外祖母-外孙女","外祖母-外孙子","兄-弟","兄-妹","兄妻-弟妻","养父-养女","养父-养子","养母-养女","养母-养子","姨表兄-姨表弟","姨表兄-姨表妹","姨表姐-姨表弟","姨表姐-姨表妹","姨母-外甥女","姨母-外甥","姨婆-姨甥孙","姨父-外甥女","姨父-外甥","义父-义女","义父-义子","义母-义女","义母-义子","姻伯叔-姻侄","原配-继室","岳父-女婿","岳母-女婿","再从兄-再从弟","姐-弟","姐-妹","姐夫-妹夫","姐夫-妻弟","兄-弟","族伯叔-族侄","族兄-族弟","族姐-族妹","祖父-孙女","祖父-孙子","祖母-孙女","祖母-孙子","祖先-后代"
"表嫂-表小叔",1,0.419947448378323,-0.0304495713446095,-0.0553828087588442,-0.123646913727466,-0.0343741433377031,-0.23024831757095,0.0397803413399463,0.472503683308522,-0.200924680077306,-0.110314843711001,-0.295826149850289,-0.240421412046886,-0.131713014246219,-0.0722615355920242,-0.150511780364697,-0.10836329632989,-0.219453819764892,-0.197922935066827,-0.3115345178742,-0.252404836840759,0.349478137382255,0.414862031357934,-0.216533906109035,-0.372574051660043,0.293504311078165,-0.229120807280868,0.174575377252162,-0.394623616111224,-0.327271407150405,0.625634813633805,-0.10069479815314,-0.258092693702499,-0.269264883671934,-0.163337730185149,-0.151586018351853,-0.14920156326599,-0.123457570695777,-0.267737137805552,0.381498953715659,-0.151562309515279,-0.183466237136144,-0.123707977469515,-0.0627321815845239,-0.291970547073232,-0.317119578261474,0.523020870704291,-0.378220322471858,0.322749627833183,-0.0621963554132691,-0.393382544376148,-0.256878516410991,-0.387603389184933,-0.437192608211125,-0.306167842244082,-0.344791313236537,-0.368328262837782,-0.262642340216838,0.0279203682992634,0.270449135642462,0.393539857543306,0.300631111728365,0.378785212453463,0.434673425969461,-0.238351509871125,0.347761073210038,-0.222385073459753,-0.0994557738511256,-0.236846608691804,-0.0432796861471408,-0.331939646378547,0.422380939631664,0.454412587050236,-0.314639207054508,0.427728322290295,-0.374380663118441,-0.333586760231258,0.586741707992863,0.612407907145794,-0.0352185883709133,-0.148854540821684,0.151301739789464,-0.290034660954187,-0.126314785947272,0.3277448363838,0.337633986233809,0.105393526893461,0.357220835931978,0.44118419035705,-0.351033886139325,-0.246310948345471,0.398706932806229,-0.311148044104168,-0.107420340208881,-0.41538950149228,-0.126580328763419,0.594686667869855,0.338584305816206,0.434032494570583,0.0972090826605446,-0.239511939218401,0.204993241534329,0.272245456097337,-0.164243808193108,-0.0726194821673079,-0.190395941602037,-0.150628749597689,-0.188863440985597,-0.304095645000981,0.230121699571453,-0.215664896011846,-0.242430540665812,-0.101915374143281,-0.241097917401309,-0.166125294665404,0.601696866574187,-0.385318143090808,-0.32763172496652,0.552695494097549,-0.32261599843155,-0.361084671621139,-0.121403013005354,0.0116935063552681,0.0324287172148247,-0.117010701294986,0.664101393584589,-0.154896385391732,0.49271161104013,0.504919992838213,-0.18854602330674,-0.249771285989336,-0.120973940331344,-0.246725527205827,0.683039978773134,0.371876850968056,0.484242051368905,0.53744013767613,0.513644174816361,0.130623086595664,-0.262737567955772,0.389753678857983,0.416188141321184,-0.215475659387023
"表叔-表侄",0.419947448378323,1,-0.00965588179498794,0.0593372309328218,-0.0411858262772118,-0.0775734263210114,-0.220585478366358,0.285450746534184,0.233414508020452,-0.0711045183599158,-0.0472797613201559,-0.10746369528073,-0.2372956017646,-0.0765608719926879,-0.217944006817757,-0.144831225615059,-0.206017531128132,-0.0930836309884724,-0.275029633391219,-0.224464268701,-0.166804851235218,0.428946435069901,0.372438731175423,-0.383872870185204,-0.335776863255555,0.245836971574251,-0.0735945576762209,0.141850803472897,-0.351902500267744,-0.369082544751567,0.396128956408687,-0.370110548433418,-0.24856235571811,-0.313188253680141,-0.18060807161123,-0.209102735428912,-0.304494702987119,-0.122396455257144,-0.125517934418104,0.338487918753406,-0.197503113883315,-0.119117991625575,-0.0181976437188398,-0.00922243502957642,-0.264736328037804,-0.225249415901506,0.699169942980293,-0.278078344585381,0.378248389569801,0.0139049130858421,-0.276041484005956,-0.230907851949658,-0.287054111293691,-0.199636780103565,-0.304554000883865,-0.211027901968479,-0.112554483037751,-0.107682834202952,-0.105036746541128,0.296570364064663,0.202170769423477,0.358907300432547,0.317648818773319,0.399394863157969,-0.103842406306217,0.385270591947639,-0.16479741451231,-0.261876703143036,-0.333285668959502,-0.27823375618235,-0.126568161688472,0.168706256628087,0.157921487025877,-0.249781614167861,0.430572346397749,-0.231437227056485,-0.208610723682282,0.409061250593649,0.486151315495171,-0.198718282839978,-0.284198995781614,0.297315684836208,-0.339572238748604,-0.14776926786884,0.241094743956615,0.170401826869023,0.057523304087788,0.284887118453501,0.434867307045758,-0.272673453696514,-0.398749746784143,0.51371355642517,-0.130827333551362,-0.291252263884086,-0.228355594920198,-0.176445250356055,0.737275003168956,0.601150036655611,0.395369057959777,0.152043454545886,-0.0602854249032011,0.209076723331136,0.348724431917054,-0.0590093898324363,-0.187054224029829,-0.280420131623583,-0.214521902272078,-0.262421901609895,-0.151415369147089,0.13085035365158,-0.263388661962487,-0.0893296727155423,-0.265482154400326,-0.19146491644031,-0.225105501001114,0.45264341525125,-0.295554866755017,-0.314369347537357,0.479993201956138,-0.293905656006082,-0.10726849280061,-0.112127895316075,-0.234502505723558,0.0415223368528988,0.16440323212698,0.513745436478117,0.0348329004462076,0.467334591313069,0.349082918371783,-0.333268519179857,-0.252562741510702,-0.203323982747825,-0.297406297383322,0.3462038199035,0.383930673347575,0.438762967921587,0.567204058557439,0.586073289265787,0.019069316074169,-0.233246944632234,0.13461924535631,0.275501009493546,-0.16655304258148
"表兄-表弟",-0.0304495713446095,-0.00965588179498794,1,0.519499218326464,0.285399430482687,0.510724826551895,-0.069924675654692,-0.161862010735285,-0.318628734731141,0.0996562430527026,0.121672782456222,0.0477808008475071,0.19394587622563,0.0789546576799846,0.252447811391484,0.225711624909629,0.0822349714763379,-0.0877322225858854,-0.10867464432205,-0.0646555588100771,-0.205188227153728,-0.195938576135583,-0.154312502511293,0.11338019186085,-0.261382729671421,-0.068499704224055,0.358072264107096,0.0312155712704367,0.0891369109273649,0.023276641729962,-0.167292932952465,0.14190565484368,0.0177068949739546,0.153108090448272,0.0028634568853018,0.0732628451893791,-0.0421228820987205,0.186092745739534,0.254379880828578,-0.0233188719931478,0.231903563891349,0.0384836130174489,0.602885962207692,0.239231707448369,0.0364954466940943,0.00607414475617719,-0.0880540416911615,0.0510298405295766,-0.299730878349062,0.0361249908063947,-0.0125409717562787,-0.15940916479935,0.047252211685318,0.00864969853058767,0.0305501037477348,0.177353516906939,0.071428122153858,-0.125366745442918,-0.194855171869802,-0.261424442608771,-0.304761327134421,-0.242006211128988,-0.173675312788297,-0.209278775005691,0.0689134984486009,-0.0257157945977563,0.19562165181868,0.362962183202421,0.109942854324862,0.288179992369002,0.120452383290477,-0.229950261851674,-0.0844846595617284,-0.00185241712128386,-0.14880556134382,0.129572032253193,0.111817307631989,0.0300817373481163,-0.0614928182020757,0.138208721582621,0.160692252035997,-0.21448467074371,-0.114444807165652,-0.0682076989347025,-0.347512111182198,-0.231756125796262,-0.302169957078741,-0.185770878101369,-0.188038529642915,-0.185574766260159,-0.204291429635841,-0.204984911702319,-0.104826383956253,-0.0907276163027301,0.144467635653961,-0.14150702473323,-0.0528437463828741,-0.250648339582809,-0.191538743522633,0.311152957078132,0.151715463630945,-0.470876420111663,-0.203268549185,0.174928288047472,0.293901769127214,0.129779240889942,0.0432364116068043,0.322053451172449,0.0594618870812345,-0.262301287785748,-0.115577228561963,0.0595102984209371,0.360505084172616,0.123168327978199,0.0574184454353301,0.0380360595853053,0.0678550512584465,0.0848346394620909,-0.000308013556951699,0.120186172816907,0.175961730879932,0.0429218203169206,0.254686746798745,0.10470225831185,0.062845464595369,-0.151354548974408,-0.0935100800416691,-0.00533443636485507,0.0531421345064231,-0.187164355548878,-0.0169819896801859,0.0230632422097325,0.232415057891019,-0.131302142165835,-0.155806675582824,-0.155511654790355,0.119671824415489,-0.0142711329112047,-0.374897718035488,-0.115716628218327,-0.231310215051428,-0.274462680509532,0.00575351846011465
"表兄-表妹",-0.0553828087588442,0.0593372309328218,0.519499218326464,1,0.263505338931363,0.430843307948437,0.0337379181836712,-0.0736463735250441,-0.171647525398909,0.206858132915995,0.126926973740734,0.0295180913510689,0.244903572469856,0.203125399264305,0.097414081269135,0.3086335166454,0.0531075391554718,-0.18664321951457,-0.116859138619145,-0.143767042090476,-0.02709612328757,-0.143506698454173,-0.0954863640020176,-0.0600038652570782,-0.199681575023157,-0.223633423404809,0.425571051107699,-0.158418901196983,0.0330659876924593,-0.0837197665915236,-0.0589837000357716,0.174267513006671,-0.0146497499975948,0.0498990802250254,0.0977031343935343,0.184036700229667,0.0802303804365813,0.214687069361335,0.201020244887174,-0.150924219433042,0.0882381437624902,0.0921447784883507,0.464786825163585,0.296380830235647,0.0815023762748567,0.0695590282548918,-0.0311451191346692,0.0347881284436718,-0.27912272759626,0.152116268213009,-0.0843460071505303,-0.13039511243308,-0.000279765259984347,-0.0629906071813125,-0.00624139646939933,0.0706040855662216,0.117562377907053,-0.0636581402657857,-0.180670104005245,-0.361059925563916,-0.286394662032011,-0.287924359328842,-0.212412422691504,-0.223733705356608,-0.0202358738430053,0.00430359444733145,0.300631373525662,0.333514847869963,0.069308110598715,0.0713692628873017,0.133696381446706,-0.258197763298929,-0.0339534002999732,-0.144544675135667,-0.177762627887119,0.0300566475380712,0.0425991598753709,0.0512162789459783,-0.122776809896082,0.145325405206222,0.150652570428422,-0.247910174475492,0.0236319649152122,0.0188519801040809,-0.384564036742204,-0.353142189846536,-0.294892450232551,-0.30642241363131,-0.240065798352018,-0.110047798637574,-0.164217979437648,-0.285651005113583,0.0204592821139172,-0.0405824291440893,0.131289246730584,0.0202494738906899,-0.0387801373134325,-0.226791312301139,-0.131198836352375,0.418103649405626,0.238838273074341,-0.405358819863299,-0.242969339908929,0.217404369940178,0.294651814304245,0.0767424644666476,-0.00378117481499096,0.231323742125239,-0.127332995659054,-0.394893482677408,-0.119735275300087,0.0678922441996773,0.239460722925793,0.216877066922171,0.0369456381827417,-0.0453892536932562,0.088119286830012,-0.0461985490256399,-0.0825605607141465,0.10082502264419,0.207372225661131,0.161618778072787,0.205443187965609,0.156073328442477,0.173466864729321,-0.128062836257804,-0.0790311199376385,-0.0735588709543271,-0.012942409437756,-0.149087360512405,-0.0237506906131675,0.142349082151616,0.278703669940138,-0.0347338147997125,-0.0814151135371409,-0.207373012105766,0.0677082692775908,-0.00924297177470373,-0.358575617999845,-0.0776804287629712,-0.271650728756119,-0.377465618905547,0.122009784809134
"表姐-表弟",-0.123646913727466,-0.0411858262772118,0.285399430482687,0.263505338931363,1,0.401165288334109,-0.148397488054014,-0.294879273893484,-0.227252387311263,0.0374319759515906,-0.0902226658850008,0.0275460736230204,0.148209192568971,-0.199664646110201,-0.0645553456130844,-0.0327912216755087,0.191479256551817,0.0571540495125686,-0.234005826822991,0.0199849011646858,-0.0339091648195234,-0.328757224158035,-0.359922239228552,-0.0200874856632337,-0.0943236390052854,0.0271880767158422,-0.031801900252584,-0.213058134039805,0.436092855438093,0.33350766793918,-0.0916738491880617,0.0783842754306393,-0.0155013092587329,0.0423520416525943,-0.196442846041221,-0.100314858377795,-0.0859170527490908,0.156225526427833,0.117453588494579,0.251306689573174,0.275943470087439,0.293238831110957,0.223340080192625,0.128623087742938,0.398845151711555,0.411863277792937,-0.160991210510046,0.10034183153581,-0.34368718114223,0.0877598419625371,0.278238343812959,-0.00149559279735028,0.124088798408511,0.0806982273351427,0.177646547128399,0.305077299859807,-0.0165848190246535,-0.0572225256914185,-0.185196076671342,-0.200610939109661,-0.190885210620065,-0.00768737768812667,-0.191070200164069,-0.204480628222718,-0.21022759382546,-0.256108382752148,0.248500699693404,-0.0255937022333041,0.341349258412655,0.524444302698328,0.425111282560624,-0.444590862722185,-0.253270369166552,0.0121928130502579,-0.336107089422534,0.0499520750598019,0.0680163577257913,-0.156275808175082,-0.325358060010035,-0.145771409475857,-0.0813915514860732,0.00264591298677295,-0.00497486818329658,-0.256450930627238,-0.0586149926421781,-0.227588501816904,-0.0998128651011117,-0.127557820324637,-0.234038936807202,-0.0242051521273822,-0.0721707877502981,-0.230498405579119,-0.0558034555628813,0.024500133691571,0.324523015695652,0.0879007514897624,-0.274656860232737,-0.368476584348231,-0.32225351081564,0.0236138386305217,0.440527609541002,-0.240915824971715,0.00787505826469557,-0.0606893290876069,-0.0108594767318948,0.0365826187857461,0.0749654690775362,0.431138691292905,-0.0200172838895414,-0.197566090911526,-0.15610147668857,-0.277572334280487,0.673050827634485,0.376700816654714,0.13959799134567,-0.0473592490719595,0.344570926656571,0.118049623943483,0.0490836456572664,0.23119186337864,0.366700425277434,0.0480461381959622,-0.00294226219614916,-0.0517523349056303,0.140692049991437,-0.286414602544586,-0.146979324465778,0.129731125639306,0.299199949313962,-0.0838176931959224,-0.0966701407969519,0.0272483910093957,0.443069826408836,-0.0648569348235867,-0.224114754759044,-0.175439913027102,-0.109454946315386,-0.192825858457352,-0.181579226114366,0.0588194871704827,-0.11747014598538,-0.166744708868458,-0.142738743537816
"表姐-表妹",-0.0343741433377031,-0.0775734263210114,0.510724826551895,0.430843307948437,0.401165288334109,1,-0.00834672292358885,-0.333345235656703,-0.290878248965055,0.165261489680684,0.215707085434311,-0.0190608611051204,0.123492226408509,0.0682048001127405,0.22046416179987,0.215024920449852,0.2105742714677,0.0216124895654457,-0.144459413238339,-0.0663338600269107,-0.235725455153724,-0.350453010852245,-0.232075284914352,0.0698899769925115,-0.24696637151229,-0.20866194711694,0.24973067610044,-0.207061632502052,0.179183036164872,0.169572160625915,-0.13306201458384,0.0893071521524394,0.0228578948871205,0.168588086002119,-0.0356682234308371,0.143485873470691,0.00596633365821695,0.242711333934722,0.336097342070809,-0.0404069651497333,0.276397151231043,0.01410793116558,0.548383405131596,0.438196057693762,0.200987052303342,0.101487455783747,-0.149780277427305,0.0159711960059776,-0.408261204798006,0.131508367144915,-0.0367260803325697,-0.161563185793596,0.0191631155731304,-0.133332715986797,0.173162706618199,0.148538626192968,0.0694853083607078,-0.128628780998427,-0.27254583347692,-0.308048366091159,-0.279419909182518,-0.146110499638429,-0.212207057528391,-0.177781962216701,0.0620639674740277,-0.171815760458729,0.145132774084289,0.281667354229459,0.159253243915946,0.379952523755379,0.207851101960375,-0.286912516836352,-0.131207191543797,-0.110644926387092,-0.233492398801826,0.116856218182829,0.106236094188305,-0.0964207898060952,-0.188908001980145,0.243080824564943,0.131598558709135,-0.178966933430267,-0.159086830052392,-0.101133208131311,-0.338415134608291,-0.22280090552619,-0.2343105622164,-0.204830125837582,-0.252878741033037,-0.177376949308901,-0.0553094793775397,-0.218323100390599,-0.145433206416859,-0.00721910625605983,0.110115816090253,0.0309909266759024,-0.118982034497405,-0.316962907528003,-0.206017309660089,0.239784249546214,0.145674683381156,-0.425356773054631,-0.256233985897157,0.207456222264208,0.367981370792918,0.159269154993949,0.109979455416878,0.242047992817666,-0.147086299754981,-0.383245883881387,-0.0739706339727396,-0.0567934244573396,0.469445395361539,0.145568179337306,0.117378839904649,0.0246092712612436,0.100248360764493,0.00383797877453224,-0.075586495888554,0.207149559536716,0.173260557904348,0.216833461613712,0.307602472090889,0.0273633344601793,0.115794031597144,-0.186442085806519,-0.189273641083156,0.0984998606574672,0.183814926609552,-0.140172876712513,-0.0289099083036374,0.139435413741889,0.351659488830175,-0.083051312758256,-0.132658906786796,-0.10876847801197,-0.0651839617650967,-0.11569310321629,-0.413379444747365,-0.0884558012588608,-0.110022699243233,-0.213634793618604,-0.0264314428387331
"伯父-侄女",-0.23024831757095,-0.220585478366358,-0.069924675654692,0.0337379181836712,-0.148397488054014,-0.00834672292358885,1,0.12011630545575,0.0125834209462125,0.289560255412476,0.303283583540323,0.613405282277688,0.0680306577580509,0.204395533163381,-0.0403724877487783,0.108169222284793,-0.130276821958264,0.00231008478609271,0.373128297980055,-0.0612396347669957,0.00302029823477207,-0.147247674222091,-0.186119876883364,-0.15611834284155,0.0505281100718455,-0.278917580029093,0.109047933415591,-0.176396107902994,-0.0369144133764008,0.204973461173559,-0.231282791278956,-0.0385641074030546,0.0860072708373937,0.0409052972415095,0.108677430204657,0.158798411660234,0.230333523462783,-0.0458054160939591,-0.056869841474897,-0.337211171362436,0.0106976096379566,-0.080074312000676,-0.0116129504202982,0.162786593580012,-0.123361621539782,-0.00520578462775653,-0.21802522269792,0.167208880847147,0.00546307426010912,-0.0332006228453202,-0.0495907759012027,0.205788146055842,-0.145544798117974,-0.145846470987035,0.0455042084984077,-0.0730434250958739,0.223742391630999,0.275793410530973,0.134472648017658,-0.180640683621354,-0.188086397991241,-0.206750870192958,-0.141553785158093,-0.174101126421812,0.378736068693456,-0.225716335373885,0.063758556604816,0.139974229081072,0.0303114612318899,-0.0605202776310537,-0.120363397778203,0.119831024387158,0.160402787013779,0.0300701185534633,-0.232151116666524,0.0583184505648776,0.0385030156530452,-0.252808415737171,-0.0912457967796139,0.0989073555092936,0.248778844870209,-0.16429383798795,0.0974686347720222,0.210820904654582,-0.283374175090223,-0.294249949945644,-0.0302589459326269,-0.323226961066557,-0.204368712495161,0.0457126150734581,0.0998385582820649,-0.15501926548487,0.109082147963589,0.132429913055312,-0.0532063982775769,0.117040582685629,-0.142804901164709,-0.0117133728172881,-0.0530723091947151,0.168243262547334,-0.19565023889766,-0.116829774609279,-0.312835154014552,0.0517485084254408,0.0112040205888517,0.0801944397848817,0.105349917700585,-0.186419202883912,-0.0670830613265203,-0.209255685460989,0.340867078038474,0.308109540876889,-0.143728597690246,-0.0729978510884066,0.018623821999683,-0.304616412006428,-0.0323195205440748,-0.00990342189047368,-0.23175446730475,-0.0515655125714758,-0.125948182682263,0.428812714280354,0.324237680955976,0.116109383435955,0.30134875270676,-0.222642178634731,0.187321123983103,-0.201244578759501,-0.243842822530698,0.313622181942237,0.0819124613817073,0.0267182376136155,0.123886025594085,-0.231666098452575,-0.255104799370178,-0.0936179434532627,-0.189831546341913,-0.181975987398157,-0.0940946579195643,-0.0914987581808457,-0.269678446117497,-0.222373763295201,0.195807986510031
"伯父-侄媳",0.0397803413399463,0.285450746534184,-0.161862010735285,-0.0736463735250441,-0.294879273893484,-0.333345235656703,0.12011630545575,1,0.41537211693076,-0.0298536071184556,0.0167718599667687,0.202039503903737,0.0391632817370283,0.27286922565976,-0.114500340440659,0.150375929276032,-0.300564049329171,-0.154936560024498,-0.10291499832873,-0.179247795237059,0.161583694213756,0.120336967843323,0.0788810202376762,-0.306651519859311,0.150097490376066,0.0131923147336737,0.0887114635684991,0.181620810886444,-0.346355650747919,-0.225576753918651,0.127549082141225,-0.332695513667994,0.0810448011171083,-0.228573334796987,-0.0656685400020541,-0.122932420762145,-0.000481301785079753,-0.129415435368875,-0.0652723642932103,0.120262335167431,-0.321760407786617,-0.0421193484911761,-0.0615235209029612,-0.023093662356673,-0.301576123884011,-0.296122495680814,0.257367427094761,-0.0167836048187657,0.245391283260639,-0.0404729124685482,-0.189658238085633,-0.0326132456706013,-0.171854965502348,-0.0947152583384243,-0.388266059752889,-0.236222270207192,0.147163742165237,0.044214758159311,-0.0580261135088964,0.0142386814990572,0.0627554795941312,-0.0448196195184926,0.306812022976166,0.118751070431805,0.234357902778617,0.311414499359986,0.028404935549191,-0.0593977113191399,-0.180174367959714,-0.413155132414689,-0.206442008748639,0.42359337157914,0.468974360383511,-0.130385511960538,0.179474892383468,-0.142388155429267,-0.138033059590805,0.0825743447270158,0.221118451617342,-0.239936405345432,-0.10025014823526,0.233741132224741,0.169117909135021,-0.00615581420345796,-0.0189278157136708,-0.117159836923892,0.145640282172063,0.0119368627219252,0.214547910443615,0.108827513034685,-0.228159445414491,0.0601684003636428,0.00369178017105038,-0.157749300763176,-0.198120755353677,-0.110389863087777,0.297306037128545,0.317312778994771,0.261172860698358,-0.044390835602733,-0.00734990013566135,0.230426744119447,-0.00880797372603946,0.13192156327312,-0.193130277443218,-0.235961239087546,-0.236113325168412,-0.272177342770015,0.032432192095743,-0.0156262668637911,0.0423749640013715,0.266868344682318,-0.414233275113874,-0.0708680005981756,-0.0252214752039912,0.0216115127761924,-0.26059275059815,-0.229571521987331,0.234090770590142,-0.271395688401196,-0.205381370124494,0.0621696021224475,0.0126901596202853,0.00646597744391027,0.194766995464447,0.112600940870342,0.279228092542904,0.122322789713427,0.00303508196072347,-0.072847064115958,-0.156934933552929,-0.203890801438175,-0.316739750936341,0.144518865537113,-0.0806430244826678,0.0960824590223191,0.245889824105502,0.35540628471641,0.256303358688592,-0.113729026512415,-0.132419867158028,-0.0587788891282812,0.230945955049447
"伯父-侄女婿",0.472503683308522,0.233414508020452,-0.318628734731141,-0.171647525398909,-0.227252387311263,-0.290878248965055,0.0125834209462125,0.41537211693076,1,-0.0257648119364983,-0.106717458588462,-0.0612320816480296,-0.0870685417726077,-0.0342755469508118,-0.102836101990359,-0.00342255900347013,-0.224051320790565,-0.185755282667685,-0.142167074439036,-0.204723208902319,-0.109961898338317,0.273090605473833,0.252294839987588,-0.32036926359916,-0.151348542989904,0.21117930026253,-0.227457571039849,0.252101625552789,-0.283444713251059,-0.183851855819072,0.447024926205026,-0.345028996794136,-0.143283522329328,-0.327983710027505,-0.198712161789339,-0.228273114282266,-0.0861989050682939,-0.176804821499037,-0.295737745089041,0.28300215496993,-0.322691043218274,-0.24421392359123,-0.260177867257714,-0.111024716187323,-0.220961644876845,-0.226985473367121,0.309219022371893,-0.189639400844937,0.492624421707597,-0.24812783614008,-0.213243514059289,-0.134866024876471,-0.308204502433662,-0.210253821537485,-0.391179492029771,-0.361611036796341,-0.0554278569939645,-0.133884355238395,0.068236298892701,0.234999968321076,0.501258416127144,0.189136717634549,0.508729417087184,0.338000970928199,-0.127443282786161,0.346739837305917,-0.103368788838887,-0.118442741074222,-0.198373885642693,-0.20441126284524,-0.208998443021705,0.511325512667267,0.559640760959591,-0.213947906088722,0.335613576598269,-0.316139765869387,-0.35831367661067,0.40187246517004,0.482307768373913,-0.157603903526984,-0.0985569676943576,0.288641141025356,-0.0982909426498203,-0.122636675777219,0.362888199037936,0.153124957699142,0.17440132634277,0.148029391508357,0.37261383878563,-0.109324440399726,-0.202116785893081,0.267667064574297,-0.246906612156358,-0.205860139692119,-0.292252174335378,-0.178619944183699,0.35760710690161,0.262262540180286,0.305520583322288,-0.0307170076113881,-0.211366060273864,0.26694865680122,0.331405394648951,-0.0389871703331958,-0.139919486192794,-0.243737978615865,-0.301944872075583,-0.280061374656647,-0.129159732081859,0.165198438366896,-0.0312446605107522,-0.0310019658139074,-0.282217373863703,-0.254944325820304,-0.190186318132256,0.320197366336005,-0.183790980798404,-0.308979272294077,0.459467345138212,-0.362233279704665,-0.27179398330281,-0.0215382029400569,0.0269193661820866,-0.0587645582811452,0.016792713290299,0.415415613634768,0.0305072988817891,0.342628772099484,0.271188682750818,-0.120203594723364,-0.229970494819811,-0.17902797248061,-0.338245799544526,0.614639490221279,0.161776072282696,0.365876701588086,0.350573634225992,0.36313519751889,0.413253224297643,-0.223958265619768,0.187773088615238,0.358571594509508,-0.00208447169157535
"伯父-侄子",-0.200924680077306,-0.0711045183599158,0.0996562430527026,0.206858132915995,0.0374319759515906,0.165261489680684,0.289560255412476,-0.0298536071184556,-0.0257648119364983,1,0.281117505260375,0.327719002726234,0.229118455840092,0.0259022952495852,0.0326271261372742,0.170327191904827,-0.0777762329391782,-0.0867076098305677,0.278090471532268,-0.102373443513288,-0.121378292780284,-0.058146519069028,-0.174371768698743,-0.154140728076492,-0.145878614954336,-0.248235778519789,0.227426490075668,-0.133048857488319,0.0197621076310702,0.0259351304232041,-0.131197498795528,-0.00303690367473788,0.026768129055,-0.165954185478456,0.157039607105018,0.232318402726326,0.228020461086268,0.0402181549385413,0.206040972373078,-0.24353806889455,-0.113724163583338,-0.099115845534657,0.153563229859735,0.420350682625889,0.0372819265954851,0.0489207970951195,-0.169918600635186,0.13586152727944,-0.0174320158829502,-0.124829045035927,-0.0539182394773855,-0.0187607716245586,-0.0938137519336875,-0.11545121405539,-0.0498023734913503,-0.000971243002245739,0.218736326914164,0.147004486200647,0.0296846365571942,-0.266936210685086,-0.13107556236952,-0.224738988637559,-0.0114188767531351,-0.132529152223277,0.145637895914734,-0.136006845344611,0.226640702129292,0.189111282924022,0.00703748672432548,0.0103805480004917,0.136189488210003,-0.129391505148827,-0.0757896965510041,-0.0861912758353576,0.0709066819701896,0.090928761684287,0.03491481312993,-0.181107807011774,-0.0688230466486895,0.117329908721666,0.22628018048993,-0.313503569715814,0.00939179578838245,0.216797618154729,-0.326372196924726,-0.286472810537865,-0.311559323033481,-0.389476187366703,-0.144626110935998,-0.0863299674705726,-0.058988854375051,-0.067299929870465,-0.0923730614433373,-0.0580700466877196,0.0860028758476967,0.146183281977897,-0.0963678005176824,-0.0948909942317623,-0.145843030708951,0.257406983468931,0.12583562581435,-0.307786958021844,-0.258707083561958,0.178992237447627,0.268863200303503,0.184006297992852,0.166501966856712,0.039165088966248,-0.113413286065117,-0.312717960849122,0.130478362341352,0.0802616729679031,-0.0311215718869639,-0.0127031745072582,-0.176761662510777,-0.274570675181637,0.0284177624552201,-0.0479004303961945,-0.0955842726532884,0.0564644190698699,0.103752228904835,0.441909984981659,0.232920474179017,-0.0119620035679818,0.239445968463215,-0.204534283272067,0.185197557909468,-0.234584659627802,-0.199025742631005,0.19072672998923,0.180844468709179,0.221220055697603,0.0793060012195277,-0.106462229184592,-0.069459083473583,-0.0638806399862007,-0.0619956123106124,-0.0657122721403188,-0.252869414314456,-0.122567132487892,-0.314492189423658,-0.204297279542404,0.101133266655071
