"","表嫂-表小叔","表叔-表侄","表兄-表弟","表兄-表妹","表姐-表弟","表姐-表妹","伯父-侄女","伯父-侄媳","伯父-侄女婿","伯父-侄子","伯母-侄女","伯母-侄子","曾祖父-曾孙女","曾祖父-曾孙子","曾祖母-曾孙女","曾祖母-曾孙子","从祖父-从孙女","从祖父-从孙子","从祖姑-从侄孙","从祖母-从孙女","从祖母-从孙子","兄-弟","同父异母兄-同父异母弟","母亲-亲生子女","母亲-非亲生子女","同父异母兄-同父异母弟","同父异母兄-同父异母妹","同父异母子女-同父异母子女","同父异母姐-同父异母弟","同父异母姐-同父异母妹","弟媳-伯","夫-妻","夫-妻","出轨者-第三者","夫-妻","父-女","父-子","高祖父-玄孙","高祖母-玄孙","公公-儿媳","姑表兄-姑表弟","姑表兄-姑表妹","姑表姐-姑表弟","姑表姐-姑表妹","姑母-侄女","姑母-侄子","姑-嫂","姑父-侄女","姑父-侄子","亲家-亲家","继父-继女","继父-继子","继母-继女","继母-继子","继外祖父-继外孙女","继外祖父-继外孙子","继外祖母-继外孙女","继外祖母-继外孙子","继兄-继弟","继兄-继妹","继姐-继弟","继姐-继妹","继祖父-继孙女","继祖父-继孙子","继祖母-继孙女","继祖母-继孙子","舅表兄-舅表弟","舅表兄-舅表妹","舅表姐-舅表弟","舅表姐-舅表妹","舅父-外甥女","舅父-甥媳","舅父-甥女婿","舅父-外甥","舅公-甥孙","舅母-外甥女","舅母-外甥","妹夫-妻兄","妹夫-妻姐","母-女","母-子","婆婆-儿媳","原配-第三者","三从兄-三从弟","叔父-侄女","叔父-侄子","叔母-侄女","叔母-侄子","叔-嫂","继母-继子女","继母-继子女","堂伯-堂侄","堂兄-堂弟","堂兄-堂妹","堂姐-堂弟","堂姐-堂妹","堂姐夫-堂内弟","堂祖父-堂侄孙","堂祖母-堂侄孙","外曾祖父-外曾孙","外曾祖母-外曾孙","外祖父-外孙女","外祖父-外孙子","外祖母-外孙女","外祖母-外孙子","兄-弟","兄-妹","兄妻-弟妻","养父-养女","养父-养子","养母-养女","养母-养子","姨表兄-姨表弟","姨表兄-姨表妹","姨表姐-姨表弟","姨表姐-姨表妹","姨母-外甥女","姨母-外甥","姨婆-姨甥孙","姨父-外甥女","姨父-外甥","义父-义女","义父-义子","义母-义女","义母-义子","姻伯叔-姻侄","原配-继室","岳父-女婿","岳母-女婿","再从兄-再从弟","姐-弟","姐-妹","姐夫-妹夫","姐夫-妻弟","兄-弟","族伯叔-族侄","族兄-族弟","族姐-族妹","祖父-孙女","祖父-孙子","祖母-孙女","祖母-孙子","祖先-后代"
"表嫂-表小叔",1,0.633896176868903,-0.0838821709368019,-0.0591161130127357,-0.133318567941339,-0.129537867996042,-0.356994387923148,0.165193892229959,0.22585873563099,-0.136044616979973,-0.253193623972868,-0.140560732261582,-0.128400869223879,-0.2044605185084,-0.187225144028442,-0.334927975985419,-0.196597376167354,0.0533521760695964,-0.152204602272747,-0.501438870346255,-0.225973646031997,0.268807359501106,0.270215860094056,-0.357104517914446,-0.365403703423036,0.345914349844155,-0.196283338943947,0.168387593422111,-0.0846358811570097,-0.0512486252019222,0.283673378844409,-0.177287502855296,-0.27950973861806,-0.414556945423562,-0.195278752794707,-0.325210307692641,-0.317232498660751,-0.0541282693524504,-0.194218243895336,0.187494472783834,0.0664944559646724,0.189772319756143,0.0118579368634169,-0.142311930848162,-0.240307548895936,-0.272578990649624,0.399172919496563,-0.189418589723523,0.459163582902345,0.0708458385147474,-0.247318690128581,-0.286123455789764,-0.376608936142934,-0.344437141502464,-0.411558105208543,-0.2453096595717,-0.280043330813468,-0.140860779113035,0.0153048371571116,-0.0942530042038077,0.128155054396197,-0.00553950186145626,0.287366604806322,0.308615800000076,-0.50998812932174,0.246604416671237,-0.0480008345448303,0.0506348145117614,-0.0603859801212874,-0.104662507181658,-0.282363013621332,0.407338561883336,0.353096188130327,-0.142529630459112,0.463268018971893,-0.185623466828968,-0.108605476391644,0.545264427424134,0.264071540371139,-0.174237792393553,-0.284490457699148,0.227206953372101,-0.216295140169184,-0.112968171861426,-0.00990751396187182,0.141439249855418,0.0924509301926622,0.0468290428102517,0.181767900713001,-0.0863435421427323,-0.0697491264639398,0.322607794544836,-0.0495490446405201,-0.11161775504364,-0.157873058234199,-0.111803683237415,0.580676040597173,0.32847477243441,0.484093647597567,0.0458863123251562,-0.121865930420013,0.255362027285344,0.0536657307722234,-0.306267195469907,-0.226360647012533,-0.309485019530135,-0.155032000630017,-0.188412699433774,-0.0718397572725167,0.0231666879802771,-0.368093404218263,-0.482893794371162,-0.0404382899405093,0.14490268457982,-0.0519371740116112,0.434789281481601,-0.204737638121222,-0.0381374573522442,0.542394713507878,-0.20084677247809,-0.125036029695978,-0.389063716920629,-0.190978659678862,-0.357114570123439,-0.276676273725528,0.560989691423026,-0.236769785533381,0.377683966045708,0.470300837543576,-0.134726378323332,-0.177134046873183,-0.261582257475992,0.0369475651843854,0.436000557431919,0.353023284712785,0.484949807935184,0.361582485133917,0.521064637464571,0.029526475812618,-0.348348645981235,0.13862431103817,-0.0610154123078753,-0.362234146965047
"表叔-表侄",0.633896176868903,1,-0.133030219896976,-0.202615774518436,-0.262539629615218,-0.21234996896707,-0.307850266210836,0.3120382248009,0.219696135011289,-0.0546172900784687,-0.268892588901485,-0.0503452913085629,-0.297847588219791,-0.384226142116832,-0.330133741874733,-0.452887527672977,-0.220414648254237,0.0829240923831997,-0.0779812156600775,-0.465816974601702,-0.153241755858792,0.302355116103391,0.389865531126176,-0.400421586159486,-0.275472107932171,0.311978461040091,-0.363785096978568,0.236610194137853,-0.166059746363527,-0.264911261443018,0.281571840359384,-0.272526521783962,-0.171631057379572,-0.354254859267951,-0.217863738954244,-0.335168123815376,-0.375360359577545,-0.157018375613329,-0.274289658176121,0.219573144749252,-0.00585791267460745,0.0620552470754833,-0.0700070748394593,-0.313021542730411,-0.181983917366949,-0.149703690490521,0.474826436737585,-0.138967138576518,0.616432584902451,-0.0934631662956011,-0.215278017654252,-0.125339491050934,-0.350433391534325,-0.253135194435403,-0.322291313089303,-0.158513127417737,-0.338282845854467,-0.00748496508505864,0.0733701899801212,0.0642539064969079,0.194480223783361,0.124221232198413,0.334295183887374,0.354289740913549,-0.450360997856264,0.324284392712721,-0.0268923896684726,-0.022876715339335,-0.128936014493218,-0.229062364217304,-0.17947493673539,0.408279253329668,0.354684808222338,-0.0866307017258803,0.506898667030699,-0.0533874200858841,-0.00599587050231651,0.496878042337514,0.178209343617573,-0.229258641935174,-0.394941922691965,0.201743627684746,-0.226388195017394,-0.201945147521463,0.0980948689797669,0.140829468877977,0.151691544478673,0.283647924710025,0.0850577332611919,-0.08718562437966,-0.0557021329096771,0.470116056225883,-0.105287220006263,-0.175056533356188,-0.080198767719998,-0.131980726559776,0.576953740452129,0.44523521413163,0.498145067498494,-0.104727538150571,-0.164259217934204,0.372087327757498,0.240956757676671,-0.303873942800151,-0.277120899398209,-0.434228173553596,-0.142837337215415,-0.319325680600231,0.0290886650113904,0.14763818576534,-0.380085876437188,-0.452793565500807,-0.154300500520332,0.0608119829994988,-0.0755207098368409,0.416058221700991,-0.17953933716813,0.149986453261389,0.628018979391431,-0.0649610965371383,0.0481760047630541,-0.32672383231826,-0.207993568852315,-0.419019751605069,-0.270256681644781,0.487633245064571,-0.193432127523013,0.428264815578217,0.486591269042166,-0.197744751718937,-0.160245706051586,-0.238415099860539,-0.113288947543292,0.358233411902047,0.312576623237761,0.382918034569721,0.295898053438491,0.443305488980538,0.123027143106186,-0.483018025412757,0.144521668217916,0.12014958662309,-0.46672482000749
"表兄-表弟",-0.0838821709368019,-0.133030219896976,1,0.533451530029249,0.536418259910831,0.50643127424238,0.189502735923882,-0.393316049429804,-0.436971169456219,0.0345560988059623,0.23828080064029,-0.00940221204455543,0.329259672464782,0.00371581614203776,0.241927541883885,0.273022743992179,0.348836742664738,0.177197160236624,0.0804608061946062,0.0319469210252858,0.0564507283553163,-0.203665305694181,-0.242686066997324,-0.116723649276275,-0.0753384628813014,-0.353316835512673,0.354214855828343,-0.132834157716283,0.285529537844066,0.335423043192305,-0.188641850122308,0.174821774166956,-0.0915266096644796,-0.165726643812727,-0.221145816669535,0.195328973470786,-0.0139528684243377,0.327623997785831,0.406691507906481,-0.137538732245545,0.407156874791781,0.447144439410061,0.553202943894046,0.342653035443974,-0.0671773715821269,-0.186536115926146,-0.221522768808801,-0.0678219738630205,-0.358419206388165,0.323915789302635,-0.279573660803286,-0.250993829246402,-0.0415207878960768,-0.138941488935816,0.0771180364183185,-0.00940324979844002,0.244399620608879,-0.0420682089547145,0.022249565634718,-0.441605265343211,-0.494407843488094,-0.342138952523671,-0.280677209611884,-0.209446903428255,0.197521698924462,-0.0778134005195242,0.431924901786978,0.365321430805442,0.673746361462066,0.558939489550966,-0.0189339034591848,-0.332023744543827,-0.36816528491084,-0.29385149275656,-0.302905646456036,-0.0936353780103495,-0.0685910898132507,0.0131804902791299,-0.0790247638875674,0.169873312976041,0.0814726799443874,-0.157168214945665,-0.194336969030696,0.188813545637075,-0.374717946777315,-0.489286960733749,-0.416738405404626,-0.345931850271539,-0.216294762291147,-0.0978599375596803,-0.160786185293808,-0.100764731068341,-0.06202643114052,0.112846811062224,-0.0710919106833544,0.25666611440498,-0.226106073689653,-0.252049029404562,-0.16803262274811,0.348531804767949,0.441013463625148,-0.514406892471561,-0.555116178050044,0.259438214867614,0.358082048218378,-0.225120721719168,-0.284357717230187,0.394666310842729,-0.530904712185562,-0.40203228113403,-0.0466634304258338,0.180671587666063,0.45678520027277,0.499082750924722,0.448403175577709,0.100677141103211,-0.233833676180962,-0.142966282008607,-0.166386405184138,0.0194079593247488,-0.00251632840753333,0.178614967454659,0.128045909496709,-0.0194043907469426,0.107029192186908,-0.172504340662081,0.204006391479202,-0.0660318387003501,-0.133859066319583,0.236894314252793,-0.163881889895044,-0.118461615173787,0.364129352400923,-0.204243468563956,-0.26099287790838,-0.0741234282951621,-0.0710443885445225,-0.144872881604871,-0.561684090435292,-0.04928512891106,-0.534305453851083,-0.48658110991813,0.135302398161087
"表兄-表妹",-0.0591161130127357,-0.202615774518436,0.533451530029249,1,0.632959174156491,0.511893485784872,0.054312337253661,-0.337225682371166,-0.329104136371879,-0.0131202346981224,0.160608413585315,-0.124106127259637,0.312471571712886,0.088801639313607,0.236907037347615,0.295342586253435,0.3260858086235,0.121445167490076,0.0442522830584293,-0.0367127693895485,-0.0608780598594564,-0.321725885792246,-0.29912506645796,-0.0357838376605907,-0.151034619660866,-0.320304153343333,0.290325154689559,-0.244326903918424,0.271205719262687,0.341751072870658,-0.134935311112858,0.205076883510508,-0.112412102596564,-0.100375854856425,-0.0772397079563976,0.277928440808637,0.127176981685718,0.297162417833058,0.314609849905452,-0.108846147199666,0.515396788743591,0.553075027727135,0.579713351928519,0.426751084917382,-0.204204559778202,-0.228953528774166,-0.227194381422112,-0.21879897813241,-0.393190688256776,0.458936359002516,-0.203101416337378,-0.2133113318496,-0.0146357050956851,-0.0814750249651194,0.0211802874882074,-0.217693003442833,0.265472159593756,-0.249757411584213,-0.0755423587337023,-0.403742355279949,-0.467492682563901,-0.330700842179267,-0.177349153010136,-0.239425255673467,0.00405187454625445,-0.199621127243074,0.394810239241795,0.435422423881967,0.55972525684778,0.549106130033476,-0.118767681102352,-0.309098989468736,-0.218957341995288,-0.18688724637682,-0.229291624748927,-0.292508381631063,-0.132844448023932,0.00544902529455069,-0.0006550943636706,0.2119497375605,0.163641061629976,0.0523144616753074,-0.124732557447488,0.0900273990184686,-0.414909818362152,-0.430861335268083,-0.367484973209515,-0.432007657199222,-0.08200971657895,-0.198367007904483,-0.18573662098721,-0.236626010417809,-0.173062703414793,0.162495411233253,-0.106397599801597,0.159742844466559,-0.222878935490426,-0.334445150181771,-0.264740708132953,0.32963334399837,0.3343690440209,-0.264296065799798,-0.519205106873741,0.277467138838567,0.327970982431911,-0.145116322511228,-0.177083169731136,0.368900773499385,-0.358796327407667,-0.396464181166832,-0.0465253031358352,0.168119989681024,0.439369296776696,0.525685520511248,0.489132276126935,0.133019485431033,-0.227596700795293,-0.250116638453631,-0.265009787388244,-0.13447931924076,-0.140020819104234,0.11459315587216,0.177744033499769,-0.0148383999674452,0.112663165086629,-0.120327443590179,-0.0130974730245123,-0.0158598217444531,-0.0919693896947072,0.0575562244188899,-0.236069199423204,-0.027413111636809,0.457412952479661,-0.0156086021973579,-0.253609341491853,-0.0892101529138573,-0.0374040371364719,-0.192519573932274,-0.436886974561827,0.0336582770466645,-0.322255550861834,-0.412475691250404,0.221524793405395
"表姐-表弟",-0.133318567941339,-0.262539629615218,0.536418259910831,0.632959174156491,1,0.562104556329572,0.162988368884181,-0.427955700792527,-0.369427490977076,0.0378310730244469,0.239596935687159,-0.111526665210363,0.376868857395863,0.126985368502075,0.255906548717456,0.417995963361138,0.498905625350358,0.20507159130389,0.0344263185360893,-0.0240167273234913,-0.0846568431116932,-0.259409774273951,-0.22270462085512,-0.0711855069926258,-0.107698239594317,-0.313177209226341,0.41386556632616,-0.200205015499225,0.490023569049253,0.551384806538842,-0.136828066513137,0.244208885341685,-0.177219666065464,-0.112147657301575,-0.274395380590652,0.442118119484732,0.161576443322538,0.38628967602969,0.419967552326984,0.0130888457504904,0.478638944895929,0.524658405948487,0.561261409859171,0.376899959754168,-0.146507364023529,-0.261421017835643,-0.233255608719802,-0.26487225063868,-0.443510597057654,0.433075414532015,-0.235771651340708,-0.335419896071598,0.0199886581368968,-0.152958211457966,0.0993469238181219,-0.206945721678053,0.16222279564794,-0.218733406017118,-0.176969641421497,-0.536872218551079,-0.436784432189814,-0.415310752212601,-0.193142605071175,-0.31916660414448,0.0370540882326556,-0.209740352091475,0.264122396102885,0.358855185131034,0.625908285054397,0.550367719244931,-0.133990861025383,-0.384596626059806,-0.264916915110306,-0.241261274585213,-0.313563586122972,-0.311402885969798,-0.190699827248853,-0.0335319497394452,-0.0225271703732666,0.334831038784872,0.278100312482416,0.154165770426383,-0.109437505659774,-0.00925172113269848,-0.453108570690946,-0.476194433973007,-0.390302438923938,-0.463002403339649,-0.154035661803231,-0.177382291731399,-0.185653515471658,-0.216557245373187,-0.249781353115689,-0.00989614121555217,0.00235618393822162,0.0945333852198534,-0.288911411715384,-0.439976578092277,-0.37266281390518,0.27579528183108,0.43171154388015,-0.375232512896478,-0.518671520857047,0.416614037893194,0.344820780782076,-0.188263210184817,-0.240370967683985,0.427608851827339,-0.494421037817288,-0.523649820420024,0.0259583854661114,0.167797648818794,0.491720276259261,0.527155222995147,0.70954330210522,0.0685013876162472,-0.198916186136782,-0.278861778816763,-0.309308581914297,-0.180468376225188,-0.155463537906394,0.270522597032533,0.218268847836705,-0.00503757228509752,0.126926540627099,-0.137897698054601,0.0158828822163998,-0.0108323257015759,-0.092934505483449,0.0134292820177856,-0.0347767835041298,-0.123529146478755,0.46162425655535,-0.0151828035339843,-0.319745367399449,-0.193386162831926,-0.158207186992419,-0.179556173557613,-0.449437730141819,0.0689935931930656,-0.445390012016181,-0.503166511898465,0.259607479494966
"表姐-表妹",-0.129537867996042,-0.21234996896707,0.50643127424238,0.511893485784872,0.562104556329572,1,0.0245774573258031,-0.486134712682307,-0.267349241875892,-0.084424545618943,0.186643098291782,-0.241848011653064,0.241476625592409,-0.00911164447365454,0.239819517831823,0.345312477750141,0.446637460851417,0.101814177799663,0.0431288326612629,0.116577810785086,-0.0633132972815573,-0.41287302394355,-0.386927833463647,-0.0358502605202136,-0.120866998285906,-0.520113853253329,0.164630874791915,-0.22196101458802,0.279889248492316,0.466961843506236,-0.229693745857548,0.145213662049789,-0.042969012741433,-0.0541620743040022,-0.29128671069038,0.333559489290115,0.0768337111866824,0.318117110921698,0.360442047386438,-0.139338220765287,0.442057576721448,0.309695323186098,0.499175055890038,0.572242302560893,0.0241702317733829,-0.109625183112981,-0.353583169299685,-0.127708748062979,-0.418997412439391,0.30819679226521,-0.26449932405775,-0.390540896468823,0.234678979931044,-0.217334774513028,0.182237530990152,0.00170724795939869,0.303885041430054,-0.0114956612150884,-0.224164729678684,-0.5100436977168,-0.390408190154431,-0.244538874029359,-0.179198154142315,-0.243981485142936,0.181960516745739,-0.202897934909715,0.373491667992998,0.398497947921044,0.439512151462507,0.709904484608601,0.0398540265011665,-0.4891781830726,-0.231545700017182,-0.229402429701205,-0.306521265714223,-0.1218525255788,-0.10439102075883,-0.15689513557834,-0.12107697505079,0.373034001145771,0.1267324922367,0.0306792397097534,-0.0927297727020106,0.051976495880879,-0.373871464539904,-0.491806350436598,-0.302589212826637,-0.448169250492583,-0.371518431032298,-0.212042253108633,-0.115883756156483,-0.368482789117734,-0.148376957880268,-0.0548142169357695,-0.0473304726958599,0.348391672424366,-0.217419457359185,-0.407260557858103,-0.287242052831099,0.283946529317662,0.459812709566709,-0.296353759500866,-0.408620672043961,0.465560577891336,0.263044153578984,-0.128338549885463,-0.239132074787213,0.318648183785829,-0.449591841193301,-0.470114753907675,0.0465130402500724,0.161410514682185,0.537068704597286,0.438379726546354,0.488300027443899,0.0718433145331375,-0.0504476551935051,-0.257447148914051,-0.232335896999126,-0.00976234682559984,-0.0444054280543477,0.368666188807659,0.257014143866349,0.116691803215982,0.186141908668588,-0.220243573406886,0.0723829607161762,-0.0799867023221789,-0.103563935201554,0.0721377541887108,-0.0819276562875008,0.134088185515859,0.537595272769893,-0.0734789269520518,-0.34584684423802,-0.171008790245302,-0.211668644750859,-0.234232301748347,-0.462268730890828,0.124702553969425,-0.363668227470277,-0.346328221198207,0.308777366715251
"伯父-侄女",-0.356994387923148,-0.307850266210836,0.189502735923882,0.054312337253661,0.162988368884181,0.0245774573258031,1,-0.164163848013694,-0.269130072468692,0.327861138644606,0.47442154805088,0.27488948529563,0.138856879476251,0.145329149686146,0.14616244286439,0.217916728615752,0.109896752944578,-0.000699958260923706,0.206172556833734,0.371255633663705,0.214868863669932,-0.274860760600547,-0.255109400856845,0.282319200605083,0.295050878426915,-0.27497816722814,0.339016370387952,-0.159462848456987,0.152260188670244,0.12469678384117,-0.187144238477205,0.108367492617816,0.167556426242055,0.293261058838276,0.156388593836202,0.285950694022636,0.227386504374238,0.0508776405778221,0.168886773124882,-0.265457538640103,-0.0691870722420912,-0.0904679501127008,0.0523737336649709,0.0363527371552418,0.200592854463986,0.254946335754096,-0.282889258850923,0.225564168428987,-0.249858639282989,-0.0236098252906433,0.279006388284745,0.122026222867572,0.201027173281129,0.148037507764797,0.343716912920628,0.253622012764562,0.117563267156821,0.143995103334914,0.00359717584630647,-0.0986908757683437,-0.227694337526909,-0.22083277414874,-0.311021478806621,-0.226732351426542,0.380715401302142,-0.198746054993773,0.0776159743225752,-0.0521970876312781,0.141335796507168,0.0678912576312071,0.26628550176396,-0.243110382358794,-0.292297688134614,0.12408627255001,-0.262226855790616,0.268843275364195,0.171191295956,-0.396693877506018,-0.310786460353624,0.0629897464283625,0.228443080697845,-0.34500937154945,0.230931360757206,0.112003079840636,0.0379681340287896,-0.128687531254334,-0.188908727589743,-0.0625955531217528,-0.105847566445902,0.130415443202198,0.0576480029903758,-0.144401263643009,-0.0411226139152985,0.105342232008702,0.0884042696552771,0.0824950828313467,-0.4616182468781,-0.193630033067974,-0.412698658402682,0.0330592160683251,0.0540521356758909,-0.321499317393942,-0.202417831134305,0.207663072703985,0.209646711686467,0.0793156889182002,0.0899548036723777,0.121445960006738,-0.176975730208135,-0.200478942531904,0.218039574986807,0.211349674033658,-0.0600142958118615,-0.1655069088468,0.0371623159968549,-0.356645586808359,0.215153583721763,0.0872391668235234,-0.338833208269693,0.227665434970531,0.201552232090052,0.293372596989738,0.0595564231426301,0.253079394514991,0.11068468020494,-0.36405533550807,0.153007179478006,-0.358003763284397,-0.399695042558516,0.243059213890603,0.168881146198661,0.0281214868749152,-0.117116372152864,-0.428905378657924,-0.287921268462437,-0.222775226429669,-0.251114346717589,-0.404169053676924,-0.153722576960164,0.196370234062632,-0.310671202722595,-0.171782996174419,0.206504510754468
"伯父-侄媳",0.165193892229959,0.3120382248009,-0.393316049429804,-0.337225682371166,-0.427955700792527,-0.486134712682307,-0.164163848013694,1,0.368454813361176,-0.0582707456574886,-0.116527429860001,0.0589275764776311,-0.325196167457351,-0.148033860813663,-0.227102854100648,-0.39172904406085,-0.378145708700645,-0.0906105615230723,-0.154761267733393,-0.263773348414011,-0.10238544762387,0.412578695528343,0.330910312873417,-0.209245179706318,-0.158145569326473,0.521961196675475,-0.331273279265905,0.287176651478693,-0.29418585400299,-0.295956157730108,0.502510264027373,-0.134753735656513,-0.0857811472017134,-0.126070564168194,0.0710336685478105,-0.322067728209921,-0.0847080229059951,-0.221853369324104,-0.362499133516976,0.437706017437955,-0.332780502655472,-0.279266815216779,-0.298734141905173,-0.435827680308797,-0.138616237562976,-0.172001705522488,0.358670081531806,-0.0517155958602742,0.453928931881107,-0.183239269444516,0.0550615481697085,0.0477568417600004,-0.222911837095952,-0.0569944072507024,-0.310923606639831,-0.174842654998994,-0.241523365216783,-0.0967543945827632,-0.0370099512810716,0.412975410182297,0.348216325982322,0.245569890269512,0.334204010941094,0.256688573296693,-0.239852335613834,0.308554779040284,-0.214527338539532,-0.410881259544232,-0.320243358190019,-0.449657310262138,-0.15920645158509,0.658123233378026,0.422851029535262,-0.039768068894368,0.424638764710879,-0.0676332365707428,-0.0409588713443638,0.361403179871745,0.244291294940682,-0.29827941891245,-0.261607995277083,0.162435547649631,-0.0660535241304282,-0.0937588205368731,0.292391304218513,0.465970164152597,0.359928277103171,0.475300710999116,0.396739335485422,-0.0794598973353629,-0.150302421442997,0.436433049479773,0.0584783492281134,-0.00336984641513378,-0.0876386058973672,-0.177251177672576,0.33465272109634,0.332028472425247,0.32084138186728,-0.268473345772939,-0.356015928495688,0.41710346513581,0.385629834125237,-0.400835139891938,-0.385316603567744,-0.0326457366349236,0.0736742598087192,-0.283878632288414,0.321585853558874,0.394415778592597,-0.217385059147591,-0.30622607747621,-0.425284427822981,-0.233874639056733,-0.346761933427982,0.109275048356575,-0.178069276161126,-0.0475981723609367,0.313355768201659,-0.167461756954294,-0.153734938823542,-0.342281725010337,-0.320959578808438,-0.250143819317559,-0.278107442817954,0.328227528196882,-0.273495336594836,0.308193547719386,0.307625619060425,-0.190033190712104,-0.0619798724697472,-0.170697572827473,-0.339161319226831,0.263501870772913,0.41955319611332,0.349112518988559,0.366555009982847,0.313311717591653,0.395127239801573,-0.186939192169028,0.445965045469786,0.288947231737457,-0.242138237986561
"伯父-侄女婿",0.22585873563099,0.219696135011289,-0.436971169456219,-0.329104136371879,-0.369427490977076,-0.267349241875892,-0.269130072468692,0.368454813361176,1,-0.179234112854414,-0.161720345719739,-0.120331076029715,-0.145005325854254,-0.129401861979238,-0.204866140562438,-0.197343985812971,-0.203360400110857,-0.235402054790165,-0.247241365445729,-0.168275538978788,-0.327544568648369,0.118978816108348,0.110879637180485,-0.0803029351139289,-0.208567389462513,0.300746103406769,-0.40580850729293,0.142086773524403,-0.343309309778201,-0.306357304116931,0.297012702928214,-0.236991745897971,-0.196314700962034,-0.108994673067929,-0.0621303388963628,-0.247959946246639,-0.157222127014082,-0.262985888156462,-0.268081831470685,0.220661408013647,-0.231028751702925,-0.248051369487417,-0.395668424764551,-0.236601764186945,0.0253127473879661,-0.0141317848490162,0.201579419005796,-0.0166715363521159,0.349570579905831,-0.133701287390005,0.0413034577769441,0.0146521706141728,-0.167888698686961,-0.103912436215949,-0.211321538029943,-0.138627519437508,-0.20652385778647,-0.201006204959499,-0.248919854256346,0.235914997256189,0.45086654680741,0.291674776749721,0.358948044130557,0.223500525998045,-0.346810061462805,0.127053231107478,-0.211924845236872,-0.203625178791843,-0.468068908240567,-0.328796614810112,-0.0627121472686775,0.344256982001138,0.590502834973395,0.0311852206128074,0.434488521648353,-0.0155341193809186,-0.0811351519268927,0.250532237111633,0.365438864178904,-0.0977130820908136,-0.184018913429387,0.285852091221601,-0.0793352546099848,-0.29643552928739,0.390607987885814,0.420618323741948,0.494609222641521,0.292705868323331,0.123501514335734,-0.181191228053808,-0.135142207720205,0.0989872660897912,-0.0262392824764004,-0.0976379152532725,-0.0439315138832786,-0.124980096084882,0.282738100654983,0.133675745345534,0.334430549821068,-0.206514554473336,-0.291812419906232,0.552283948323868,0.510962203357061,-0.19850600241185,-0.28393280496436,0.0321317399414243,0.0814891490100812,-0.258425425852496,0.316881469513501,0.266182318944001,-0.127035937614415,-0.292650969771226,-0.244663600713786,-0.266649869333027,-0.359686052364104,0.128262969990896,0.0797571494868975,-0.0182033111176998,0.273749348793676,0.00223902742362815,-0.0611336701716516,-0.162350762070228,-0.199023651042171,-0.145893215939708,-0.143419369479002,0.301214329851544,-0.292542516616821,0.29692150536002,0.360665087340618,-0.290493547864237,-0.0757595298082809,-0.0144212617333664,-0.169235856473821,0.447717695799643,0.265056103648952,0.124845062853997,0.200139193983419,0.255107207731395,0.545082909631146,-0.0442844301088411,0.500531943158745,0.412969729735157,-0.102197128677197
"伯父-侄子",-0.136044616979973,-0.0546172900784687,0.0345560988059623,-0.0131202346981224,0.0378310730244469,-0.084424545618943,0.327861138644606,-0.0582707456574886,-0.179234112854414,1,0.197209587260378,0.439762305101403,0.152465740475831,0.221056305948668,0.142004039468662,0.227590713720312,0.0275115871426822,0.209725569120479,0.25254517385713,-0.0115506907079392,0.198332477867,-0.0342659588915634,-0.0893652920042648,0.164921929229226,0.036959652437092,-0.0115262297699825,0.0924365185998661,-0.120290555471044,0.0615625068533188,0.0080988555680465,-0.0544997042294384,0.0771899265928037,0.0477591697596688,-0.127577924062033,0.128691279941348,0.0615404581718569,0.255926029702689,0.100850978344904,0.187277146777085,-0.150319236572511,0.167288734919572,0.0389853090952124,0.0800062488872634,-0.0767861287235419,0.126992656724691,0.0874704646720791,0.0291755269763187,0.0263674736639053,-0.0189911539556742,-0.031261521242263,0.00753089455214813,-0.0202883258382102,0.0260540113714226,-0.0172222044006953,-0.0911850140761456,-0.03422380394482,-0.100762494522518,0.119733130325003,0.090452583391204,-0.126633885729453,-0.127081399971529,-0.212928820935297,-0.186714300202246,0.00176646223090827,0.0568440403881926,-0.0117816220586174,0.18167574294156,0.0632430080340222,0.100391736863762,-0.0157513524936491,-0.00654517963866446,-0.174743630356764,-0.193775928351494,0.206987409917411,-0.0161625211813577,0.0543204301957279,0.127706824362217,-0.250768133653082,-0.350413064798662,0.0684247968743443,0.218545393874961,-0.122482290035442,-0.00770837510185631,0.0477170678491598,-0.120043064839526,-0.0700775290997922,-0.152085196667408,-0.108270301842338,-0.118400624223766,0.151536508481655,0.00306752783758382,0.00632198761868541,0.107374674290378,-0.120156581770456,0.0515555466877514,-0.02786204834858,-0.257223117114598,-0.0122118933758924,-0.156474998107909,0.0893839071141733,0.0822779753850515,-0.267034805670415,-0.147919104633042,0.078911077873198,0.178008341313322,0.0189879800775544,-0.122666404086256,0.0425050874502947,-0.0464436135308386,-0.178230981829942,-0.0514894132076346,0.0477922556385045,0.0224715772099197,0.0123435468193321,0.0207146632101429,-0.301695140988064,-0.0215500458407132,0.223946182326407,-0.0078493201368584,0.0298189230325578,0.180677913952886,0.0596156106878895,0.0211885315090862,-0.109577383977683,0.0815152803690273,-0.136567349367929,0.0559793847579495,-0.115420527414202,-0.241961728282169,0.129579755849613,0.145380051232221,-0.246873656129367,-0.068646459134525,-0.234162874487552,0.0148723253018242,-0.134013508321163,-0.245331086539374,-0.267348869112956,-0.222372445352711,0.111490145887668,-0.269788747648766,-0.127667021652819,-0.0113519825911801
