"","表嫂-表小叔","表叔-表侄","表兄-表弟","表兄-表妹","表姐-表弟","表姐-表妹","伯父-侄女","伯父-侄媳","伯父-侄女婿","伯父-侄子","伯母-侄女","伯母-侄子","曾祖父-曾孙女","曾祖父-曾孙子","曾祖母-曾孙女","曾祖母-曾孙子","从祖父-从孙女","从祖父-从孙子","从祖姑-从侄孙","从祖母-从孙女","从祖母-从孙子","兄-弟","同父异母兄-同父异母弟","母亲-亲生子女","母亲-非亲生子女","同父异母兄-同父异母弟","同父异母兄-同父异母妹","同父异母子女-同父异母子女","同父异母姐-同父异母弟","同父异母姐-同父异母妹","弟媳-伯","夫-妻","夫-妻","出轨者-第三者","夫-妻","父-女","父-子","高祖父-玄孙","高祖母-玄孙","公公-儿媳","姑表兄-姑表弟","姑表兄-姑表妹","姑表姐-姑表弟","姑表姐-姑表妹","姑母-侄女","姑母-侄子","姑-嫂","姑父-侄女","姑父-侄子","亲家-亲家","继父-继女","继父-继子","继母-继女","继母-继子","继外祖父-继外孙女","继外祖父-继外孙子","继外祖母-继外孙女","继外祖母-继外孙子","继兄-继弟","继兄-继妹","继姐-继弟","继姐-继妹","继祖父-继孙女","继祖父-继孙子","继祖母-继孙女","继祖母-继孙子","舅表兄-舅表弟","舅表兄-舅表妹","舅表姐-舅表弟","舅表姐-舅表妹","舅父-外甥女","舅父-甥媳","舅父-甥女婿","舅父-外甥","舅公-甥孙","舅母-外甥女","舅母-外甥","妹夫-妻兄","妹夫-妻姐","母-女","母-子","婆婆-儿媳","原配-第三者","三从兄-三从弟","叔父-侄女","叔父-侄子","叔母-侄女","叔母-侄子","叔-嫂","继母-继子女","继母-继子女","堂伯-堂侄","堂兄-堂弟","堂兄-堂妹","堂姐-堂弟","堂姐-堂妹","堂姐夫-堂内弟","堂祖父-堂侄孙","堂祖母-堂侄孙","外曾祖父-外曾孙","外曾祖母-外曾孙","外祖父-外孙女","外祖父-外孙子","外祖母-外孙女","外祖母-外孙子","兄-弟","兄-妹","兄妻-弟妻","养父-养女","养父-养子","养母-养女","养母-养子","姨表兄-姨表弟","姨表兄-姨表妹","姨表姐-姨表弟","姨表姐-姨表妹","姨母-外甥女","姨母-外甥","姨婆-姨甥孙","姨父-外甥女","姨父-外甥","义父-义女","义父-义子","义母-义女","义母-义子","姻伯叔-姻侄","原配-继室","岳父-女婿","岳母-女婿","再从兄-再从弟","姐-弟","姐-妹","姐夫-妹夫","姐夫-妻弟","兄-弟","族伯叔-族侄","族兄-族弟","族姐-族妹","祖父-孙女","祖父-孙子","祖母-孙女","祖母-孙子","祖先-后代"
"表嫂-表小叔",1,0.48286573187485,-0.069268673937464,-0.147775409600126,0.027010809476994,-0.0387140714328326,-0.251912620280504,0.313070959111068,0.157629852516835,0.0725188930175424,-0.137318673986498,-0.0418639749176363,-0.117313417919305,0.304584538612509,-0.11823343717133,0.129012917878871,-0.221015243292396,-0.330386701691609,-0.165269204691706,0.0823728525610371,-0.224896998845905,0.189835652658882,0.0503582134584377,-0.332394291950226,-0.106558219156191,0.000153257509544412,-0.188383179547202,0.0629219247977783,-0.556018267028526,-0.585264770391484,0.480401240076748,-0.2017165514693,-0.0958824854805239,-0.432010016011612,-0.0318783676844345,-0.126717396935373,0.544921009987354,0.00181367415614691,-0.0675311498336378,0.359803623894262,-0.411419771110095,-0.19704955130091,-0.103109453527528,-0.228507126795656,-0.0855110560525265,-0.274556020323761,0.563241819117938,0.075763715693666,-0.116229985886137,-0.508477680564711,-0.0657010958104749,-0.228723850355425,-0.405675345972434,-0.22792636570576,-0.409430963896219,-0.378464622141186,-0.423500341142355,-0.288213348334833,-0.122329580758213,0.101611161182843,0.115157791106066,0.0377527822924964,0.400856572214518,0.438272903179602,-0.0835068219449519,-0.0566032911645554,0.260014512188463,0.293541019246976,-0.374433159354975,-0.0841288429562022,-0.0663875373636025,0.368155821127563,0.299447342356618,0.191349020069345,0.36933752736561,0.033519666147308,0.188779099944649,0.110808571769262,0.266783204840891,-0.171568571881935,0.116630073593942,-0.149857506522754,-0.0981177478820033,-0.11473236949905,0.15305813414395,-0.209260574233105,-0.168057526348541,-0.277348780676,0.370344825911562,-0.208069035105505,-0.198431261794872,0.523090908480841,-0.489567084833963,-0.0769011647991396,-0.245648648435777,-0.114027867017144,0.481399229143303,0.165826507466752,0.212636056667658,0.0674054069635726,-0.058555922914633,0.0417906976467797,-0.157753920113155,0.216921780371711,-0.0927691635163581,0.0540453888940456,-0.0344733040522767,-0.194209279717919,-0.0144385033283984,0.165178813141367,0.28750649909622,-0.0843629002741008,0.0662622058906363,-0.179402222477203,-0.180181970214028,0.0771272718005437,-0.268761107925796,0.157261041732358,0.488194884019968,0.144949319506216,-0.0317735246809132,0.338520978876898,0.256240571772402,-0.323510965181028,0.0155345035411175,0.647976829089771,0.186301091764834,0.447072649716245,0.299070618317041,-0.0240627955244227,-0.160973309415931,0.0906646219849248,-0.465441605101005,0.633866742434155,0.182186243413173,0.48781062801812,0.193118010646153,0.130418530916753,-0.0446682997539056,-0.391688928215837,-0.16716806218069,0.175292199042871,0.0657560662896117
"表叔-表侄",0.48286573187485,1,-0.0154631451080155,-0.0642637671604017,-0.209719527524033,0.119550070818138,0.0559022662412235,0.451864946121854,-0.00117002884130525,0.266464320680227,0.202959698219624,0.098297713654483,-0.139039636536864,0.39808295028759,-0.0458395631344817,0.000569235899912318,-0.452212488568732,-0.181187790139513,-0.107908186960182,-0.0756192355966301,-0.232456093993569,0.218379511569539,-0.00310660056293971,-0.347470753153161,-0.118950607358749,0.151430624986293,-0.0765427707468808,0.139340844964295,-0.545060361672409,-0.464041010378722,0.247618734059911,-0.603838916916779,-0.193525206868961,-0.426810059167269,-0.0747248702758865,-0.222428764092412,0.265814482242499,-0.115306684077278,0.0390695140506028,-0.0167414027059782,-0.401075784449594,-0.288573710031273,0.116565256148147,0.167617645108934,-0.133768441137618,-0.250731475924397,0.671428527090632,0.175332372803404,0.0435885652793816,-0.287773209979639,-0.188179992162226,-0.201014383233944,-0.294294378360738,-0.209845211958697,-0.355721844900231,-0.200237931336957,-0.126043172905978,-0.0564026460808799,-0.172321783940463,0.290561742666143,0.0774637478065231,0.201239633443962,0.279375564182726,0.30312151181616,0.0671536987383782,0.118421228595137,0.0248757004430085,0.0391393535766388,-0.518201535830966,-0.4266968460397,-0.159765988073238,0.487015054831382,0.235635485889946,0.0297409342195937,0.539683498377434,0.233808416750809,0.212247193419735,0.0747622984094532,0.514787224634136,-0.252044653269655,-0.112112849390952,-0.0761856636897303,-0.113677219145857,-0.0526952651389267,-0.00908571283626505,-0.235095146940347,-0.090827732334802,-0.224099854361628,0.527061131395462,-0.192409075377894,-0.218724370301431,0.696841664426434,-0.410055900993884,-0.195932687014859,-0.200378742519785,-0.17476202723919,0.753801431880865,0.388756274395169,0.249942809383705,-0.0271343889198318,-0.295608572245354,0.00477529286713489,-0.100945517219544,0.0811385835451399,-0.0980129814548929,0.174054155218051,0.0823165723606162,-0.47705291816067,0.0719171543923857,0.0360756513505236,0.0818224682021784,0.23134026131103,-0.307800888512583,-0.296507277054536,-0.194583766415149,0.156014130465638,-0.318634972103346,-0.053387143436814,0.260377885392092,-0.0667380031222977,-0.150038396911151,0.244092564452272,0.388637019239009,-0.232038335612853,0.0188227800732844,0.364290872960536,0.164099846231173,0.336940395585192,0.212432834694106,-0.166348557234479,0.0467557081553308,0.137281190142525,-0.579167316848612,0.350780277296815,-0.077430748569826,0.596959711316115,0.530984318268529,0.346654322324154,-0.162591159687761,-0.465700902269543,-0.16266142866471,0.173006618519767,-0.138321931502731
"表兄-表弟",-0.069268673937464,-0.0154631451080155,1,0.508078953140059,0.231023640928776,0.698885300795322,-0.0108436904845304,-0.292658619529954,-0.383351895303833,0.209579688269633,0.257104439775961,-0.0922771718927,0.434908825938443,0.0305986698463506,0.609207973442795,0.0854835369142858,0.213437811902816,0.0884269068346337,0.104942083247254,-0.311920108151611,-0.254307770875876,0.0484313689051564,0.366274140517136,0.118361962948416,-0.235451269350494,0.238095523534301,0.615731014694999,0.256176568812983,0.295459369728322,0.177933076680885,-0.227581194652163,0.0972002366716502,-0.163579249451165,0.219717238923095,-0.249223784095292,0.425379346222144,-0.0177929959718903,0.23657015701196,0.581070714076373,-0.0840737624836465,0.277182295226639,-0.054672421356538,0.775947737764125,0.274957927098238,-0.113855856710846,-0.208009305857736,-0.153068390243901,-0.465249050088217,-0.238912261558469,-0.0290575805570972,-0.305461482582238,-0.17012557755966,0.326337905769219,-0.097790830806336,0.0286082110337658,0.295621282413702,0.0193606114606094,0.0801014662982551,-0.32045279592223,-0.0700448406190589,-0.378688171830805,-0.208733937395122,-0.206954909614966,-0.228929756130292,-0.017535845253838,0.410231199696929,0.145283810809394,0.338902350074404,0.105522364929717,0.224638787251741,-0.104033906321467,-0.304389196517915,-0.491593955688163,-0.227709464238292,0.100009282932142,0.0428830681694805,-0.164557169290514,0.19753063365951,0.14814733274409,0.594679355734568,0.422061506090557,-0.112265213811496,-0.265051376442839,-0.149682614620995,-0.42045847669956,-0.0714516407755433,-0.302279139062377,0.0200073323365641,-0.0116020774569418,-0.373279828882223,-0.333866082153723,0.0332516491349364,-0.0337123969365648,-0.273104758110871,-0.0639057768785725,-0.152839114375048,-0.0937597028963834,-0.383082365236657,-0.392262533878907,0.377427058760793,0.181667237540104,-0.471531153171443,-0.154945607364754,0.416401966956414,0.631171246577534,-0.023464745841828,-0.151880058913928,0.266594017860565,-0.227166697289602,-0.35897740795033,0.0197030032590376,0.366192286329645,0.246953427175685,-0.142577244566987,-0.213063892200963,0.548614162817989,-0.216243462513513,-0.206038636030763,-0.226775409811808,-0.176204151480579,-0.109105900627522,0.00492423736140297,0.327579500162951,-0.210809387086974,-0.082942937848479,0.0295643114835863,0.0934876485207424,0.103287788101105,-0.107190511401633,-0.200031546491299,-0.0354722469440136,-0.155528784631161,0.1489629609287,-0.0966932654348689,0.158424930052613,-0.0230641359260544,-0.0463431383154361,0.105401070177563,-0.606564799702511,0.138055953388213,-0.0775296119610148,-0.296543194146787,0.0752335345499036
"表兄-表妹",-0.147775409600126,-0.0642637671604017,0.508078953140059,1,0.203723606575124,0.47547848793325,-0.0504464045531011,-0.315164858232803,0.0111873650582456,0.322800126550497,0.307793565490561,-0.114398896547096,0.715150429097292,-0.00526853614989157,0.378221220376687,0.473860747710612,0.0994438802752525,-0.24566175665644,0.0894272153454252,-0.280530951823883,-0.119373035718479,0.409616657806557,0.607883358811787,-0.200568552715342,-0.203140932388954,0.123787058354578,0.598051016438808,0.297426346234222,0.233866243240722,0.0560297769152275,0.0975446076792587,0.197094766068321,-0.184905350415012,-0.133293827139133,-0.0820468049054996,0.686018230829573,0.00842344830446277,0.145938667309424,0.371631136904373,-0.135593493788232,0.124127302256305,-0.292724665589796,0.532717693455806,0.43834784821044,-0.103350542463398,-0.0918042424507017,-0.104063537921869,-0.326340935557701,-0.0217424130523105,-0.0529979110386,-0.128772058294375,-0.234310617303207,-0.00196386227882781,-0.110583588406943,-0.0986368332367708,-0.00551828029604995,0.184103464383988,0.0916881572680857,-0.123840328914047,-0.248325831234223,-0.0723102998363244,-0.237696330510918,-0.00773105966242426,-0.143122629668197,-0.0650195547081393,0.526955068253067,0.501244708296054,0.429476022887386,0.219116777570712,0.202446998102477,-0.0995823531851686,-0.28388116863638,-0.164165440722868,-0.388766098331724,-0.00386068822300855,-0.128958931978777,-0.354844749986485,0.632216603755562,0.130016514825549,0.568479109844646,0.366345863674481,-0.320828480385312,-0.148162444308447,0.00709440122700964,-0.313851529289688,-0.381231791607968,-0.366618465294989,-0.360618832572116,-0.137936217154662,-0.351354930241239,-0.407118730895954,-0.226590926967446,-0.0561938328073542,-0.334026004977501,-0.0863196444987705,-0.245326381363605,-0.211780189756587,-0.296735466214804,-0.22322094855793,0.650296484739445,0.15790148739279,-0.494539837063171,-0.158395972179022,0.552763824652252,0.613210412416399,-0.138211754280293,-0.210719891573014,0.149301676345172,-0.269369565336238,-0.325510196923871,-0.0938798075183234,0.354032521942661,0.166421202252487,0.0776409007650609,-0.288877865663413,0.317374868194045,-0.0965977897760234,-0.264090252575479,-0.0998684691065919,-0.184920678377984,-0.127921004809896,-0.0453298048072502,0.111679162663279,0.00754283330586007,0.0411707642830447,0.0705826253920788,-0.160361040023306,-0.160810153771125,-0.148946884912341,-0.219299170818621,0.0931244493667357,0.0669459102449827,0.320627250316713,0.0413408563187772,0.428005568840591,-0.178002809822131,0.0702351356174125,0.184260767071075,-0.342547050151541,0.0829137892299323,-0.399612550304524,-0.406680522588272,0.401572685634078
"表姐-表弟",0.027010809476994,-0.209719527524033,0.231023640928776,0.203723606575124,1,0.266881874549382,-0.357599698233702,-0.378800492671453,-0.151691159650554,-0.51187741384393,-0.214445141265843,-0.20052124020663,0.106191405018405,-0.0231569463804835,0.0959675116099278,0.164414702258207,0.359188751200525,0.0653910110555277,-0.491277725539501,0.199912515186434,-0.0478602473650026,0.047623262780614,0.0429733703609897,-0.00395838611933814,-0.103588048307009,0.244219174415962,0.0600621753856329,-0.167541919712844,0.299710536083101,0.156293315916217,0.259462261299248,0.492266342241901,-0.210297029838628,0.0677809918576427,-0.474807669034957,0.105681719372038,0.0862356284946088,0.706520387496935,0.153633405636232,0.397461230782383,0.0925775662170655,0.30434144521172,0.157310027320037,-0.115284372456754,0.113138016689816,0.0626336839683829,0.0349465376047588,-0.163770572512858,-0.569169953520743,0.153663569118496,0.239566903835868,-0.0322193183038858,0.143166144569559,-0.0198439496919498,0.190401536383916,0.138168498237672,-0.355959336475949,-0.415887552948162,-0.285553220170243,-0.210930984178041,-0.325143702978395,-0.0314899906286838,0.136487616510577,0.0727636823622402,-0.200327220910494,-0.0686676393364645,0.298554505225944,0.0186039061452603,0.389339087144341,0.702019467818446,0.108529657939154,-0.292223672739763,-0.223313821854957,0.119699988286018,-0.474979860840137,-0.149350865694223,-0.0176560555050126,0.0162054812861049,-0.416752615805594,0.143805690543451,-0.075299634906635,-0.0283508504987533,-0.238919186178743,-0.306412735271156,0.160884318658511,-0.132241241234813,-0.17739220073548,-0.0722926735772027,-0.278761505262411,0.00638502838505363,0.0109051512139489,-0.296031115422592,0.096566172614699,-0.0947241409319473,-0.0265163686467685,-0.0897222511449929,-0.3585451271697,-0.35426649150191,-0.136239747089557,0.255530486566899,0.803386652845363,-0.229905887164682,-0.0918023731414503,0.0557669902137393,0.0339324614742879,-0.160084333409224,-0.00313091734785414,0.345191450415699,-0.0681137524343164,0.0917211781810346,-0.158338892321432,-0.367792681203252,0.855086023284839,0.263363803395535,0.369006489730898,0.00136973135213731,0.0536683776447141,0.121658790846011,0.200496311845415,0.182155451209567,0.093946777196063,-0.145116811434051,-0.103476011448414,-0.140956429365051,0.0628439263694626,-0.0555379778388271,-0.211089914081739,0.320090764012286,0.456629801734695,-0.244169618631948,-0.26984213143414,-0.3018937072547,0.381525566525767,0.0650562493622883,0.063274701907788,-0.245350003883635,-0.202642367240925,-0.13997459680109,-0.178916792223341,0.0873672219308749,-0.133395346870331,-0.0648737359603733,0.193038721641366
"表姐-表妹",-0.0387140714328326,0.119550070818138,0.698885300795322,0.47547848793325,0.266881874549382,1,-0.099663936371097,-0.168352535973496,-0.307764775454001,0.110131265493156,0.183693153251618,-0.177334895467653,0.328993677455349,0.165586846154535,0.504651371521777,0.00928411349563166,0.139506667089283,0.143754840066043,-0.071840323263068,-0.323343774877796,-0.322031174924975,-0.0918525300584622,0.216640465285874,0.212717462139565,-0.190499112592117,0.245146941509637,0.471204610284125,0.0895626875009789,0.108890282963495,0.126247018120004,-0.156580389234642,-0.00606656579760074,-0.250709481727153,0.219150100929118,-0.352197115071332,0.276314188885484,0.0593343485353957,0.327554579406005,0.630490047833458,-0.0153792513626083,0.221296989352643,-0.0453925229263986,0.723108107073517,0.353668009374853,-0.11298487028711,-0.276180099140313,0.0315138314110342,-0.360845230708648,-0.346130611281351,0.109034702946075,-0.330618284139317,-0.12610016275079,0.330161831529756,-0.104231707909775,0.0733469943685821,0.307812898630334,-0.0665288933040275,0.0091538140648064,-0.42231952348789,-0.0658235193074779,-0.397933858660675,-0.146307749547991,-0.176717641723449,-0.235488142774722,-0.0927303234059442,0.331199409038245,0.111335742212412,0.286644154149103,0.000215727753398452,0.16464034763985,-0.114255661442348,-0.113576009075474,-0.456281618958879,-0.227410207320503,0.162870309688902,0.0902123973884657,-0.0770157459967718,0.148281539943649,0.192988388514626,0.438667463363132,0.174332584713195,0.0594998019740512,-0.235658406940443,-0.173261853403702,-0.375578775273985,-0.0527757456010117,-0.259910322177631,-0.00482166797101749,0.0991651871137227,-0.277977008823127,-0.269501563467271,-0.00662299038227718,0.0158389883816313,-0.293502410481998,-0.103595636689857,-0.184290267236829,0.00977012892386123,-0.305038147155616,-0.280810375211341,0.191516715304103,0.186817425827031,-0.424565846888841,-0.192777279774891,0.399468305811273,0.449884644587944,0.029799058198183,-0.135835311612154,0.165707376291991,-0.234408130456395,-0.303461035841359,0.00789856993588707,0.315215239318556,0.293257864567525,-0.0336537566529467,-0.0706888735030975,0.394927973196197,-0.293044205783322,-0.228938887065065,-0.090915602552779,-0.136633524607643,-0.160369347059688,0.0444722189639397,0.407209012236922,-0.28283961991235,0.00874815685842124,-0.0774578033034437,0.0720294233802763,0.201756548197434,0.0135991155545941,-0.341261850492046,-0.0641660248334029,-0.156632204690701,0.0909351665373647,-0.0824602699722368,0.0192670245733106,0.0713505618974762,0.0578746932573859,0.209877028538449,-0.571159556524667,0.170802156602392,-0.0101389651967633,-0.183036928584161,0.0803499551851174
"伯父-侄女",-0.251912620280504,0.0559022662412235,-0.0108436904845304,-0.0504464045531011,-0.357599698233702,-0.099663936371097,1,0.26273343314353,0.106442812861265,0.292014956968048,0.56155888066459,0.803347271358201,0.113164167332332,0.0518309193904368,-0.0735327467508905,0.0136488785788158,-0.411377698321225,0.0191959704415571,0.474185218491466,-0.269508919005993,0.352018005100535,-0.116891448651349,-0.04514361538664,-0.044964223651676,0.212531070142927,-0.0362323360184263,0.00129195569990185,-0.0602891851507142,-0.0499832842180513,0.0463042562960409,-0.178495291250175,-0.351135510721356,0.379981345317359,0.0498731312352089,0.330535291916052,0.07701848690839,-0.0307096536263656,-0.173550225766092,-0.0544094215472623,-0.531366250540202,-0.222521385264056,-0.127395022103478,-0.0271570368445349,0.391091305672625,-0.395470759497836,-0.234054717175275,-0.169238945741061,0.0624406667256636,0.452818271255983,0.0116984454807903,-0.423482146278836,0.151232207018443,-0.183047701954741,-0.278278672653781,0.143965062386881,-0.205075537176508,0.637373684486898,0.445829481300221,0.333276901038457,-0.0982785300734667,-0.0316943647717001,-0.0879844247182665,-0.0420195844198423,0.0793861719808523,0.676325998532719,-0.193869629044269,-0.00739416385241948,-0.0408383598521606,-0.213173400358136,-0.423760779059488,-0.388102604408483,0.123095814179779,0.134852761413874,-0.318169403173836,0.280159179744392,-0.0497630203591333,-0.219101067749242,-0.25047691031656,0.260731863750873,0.0895043863959175,0.0483589502327648,-0.122624014897617,0.139385484894149,0.173352527096083,-0.367112589911725,0.00142697403455947,0.0957395774198918,-0.0417745195041948,0.0748010593606547,0.228970383123424,0.300628220903433,0.139365966253935,0.0631976345596052,0.171959451901201,-0.26539849960629,0.228429546844389,0.0822953344613959,0.433275265339707,0.198982819802022,-0.0746018202282388,-0.373847779563135,0.0588563943605196,-0.285170810470948,-0.0874052608730572,0.0573651992163008,-0.0818927610210974,-0.00969907184542071,-0.456542893604426,-0.0423172362791782,-0.202820798974327,0.336508325374079,0.353468790940709,-0.322904511273309,-0.237000606484518,-0.140958616357034,-0.164668568480966,-0.222076870186698,-0.359233883430137,-0.126172761956227,-0.412635019703715,-0.397163778146712,0.344620365286155,0.1797476988585,0.469919546521575,0.256356964899717,-0.225308454991,0.355552873949841,-0.398988531096489,-0.32466853375829,0.317835287845375,0.0289243388986562,-0.163813546668604,-0.246860181432526,-0.323046704052246,-0.15215101664967,-0.0364237193432748,0.255193570545341,0.26191474124348,0.142686494772254,-0.0687762328586402,-0.0552785483529672,-0.296539611940599,0.0770180767894244
"伯父-侄媳",0.313070959111068,0.451864946121854,-0.292658619529954,-0.315164858232803,-0.378800492671453,-0.168352535973496,0.26273343314353,1,0.444239687193461,0.175418785789357,0.105575008924585,0.358956904785798,-0.254742642968414,0.381612901440183,-0.291851263446946,-0.057594235882266,-0.408954826986329,-0.115707389627582,0.112040774937635,-0.240463940490177,0.11295869821334,-0.11901472448825,-0.269205439369024,-0.136885402302978,0.292676776735557,-0.160184136929483,-0.322806642545143,-0.0879111441402535,-0.518514083884735,-0.433371780936902,0.268967156001426,-0.525446249667815,0.170266258331079,-0.169129226755519,0.143601773898784,-0.357208892841679,0.267282631432562,-0.260404606884998,-0.20783651990089,0.00698982925786987,-0.478060277617129,-0.0560341953071735,-0.182491128528951,0.0492619250899981,-0.329508441355856,-0.439253260542714,0.473681318538481,0.177734994158137,0.139718216799992,-0.255740974616494,-0.346450586221051,0.192071504901678,-0.399612983893522,-0.401402890149096,-0.164885017579987,-0.401075235056943,0.0527412475964525,0.156107264078294,0.0496571420289528,-0.00553787725203243,0.0226858939039092,-0.0320132945815488,0.260560603927873,0.271457706927254,0.348432661954153,-0.12894759527776,-0.000595700687080308,-0.016547727474293,-0.560035679167233,-0.479022138301787,-0.351432588782081,0.704284571280149,0.460110905759318,-0.102682631647107,0.350951067041133,-0.0821811199003667,-0.0636066557414084,-0.227144858761773,0.426728892100991,-0.373248230403492,-0.148123685121727,0.0413181555875345,0.279507146410723,0.100679983672373,-0.101227481262263,-0.00996419222446216,0.259185340853101,0.00160173624980629,0.471238790286019,0.119718324824447,0.0858987072791169,0.434710316739698,-0.0315165391991827,0.278515191489028,-0.381562934506673,0.350438969985097,0.436146015216187,0.420765150427699,0.482472252171475,-0.283816791759063,-0.328613033649931,0.359973669658906,-0.273987712973737,0.0383469212719844,-0.294475581891405,-0.101381311350891,-0.137160505318682,-0.400903410639343,-0.0735743150565257,-0.0870642136009228,0.397046782709424,0.21442219356789,-0.366415256787736,-0.178575291624142,-0.173275523242431,-0.133456671036656,-0.450284399884764,-0.252533288009055,0.285360681274533,-0.244877278862031,-0.384858498503342,0.425077004044168,0.317669267038,0.0920965781905636,0.28527838739401,0.234133859268457,0.459133847294726,0.122841214622995,-0.00804466071513306,0.151809423659316,-0.201810954600564,-0.0571298967458414,-0.521938891455119,0.333370200791001,-0.224100885574167,0.513443701159497,0.321025611170567,0.364036912174449,0.315182290524593,-0.301052042818602,-0.0451263986948626,0.043628962211008,0.0243797783769507
"伯父-侄女婿",0.157629852516835,-0.00117002884130525,-0.383351895303833,0.0111873650582456,-0.151691159650554,-0.307764775454001,0.106442812861265,0.444239687193461,1,0.0713052942229733,0.156798720725927,0.241066349958467,0.0817849000030182,0.184403872235494,-0.299284683279422,0.331530520858869,-0.343964809818993,-0.400113141068482,0.0287586930843851,-0.129406495196097,0.288903145187919,0.150474366248764,0.0822963592137897,-0.202353411908727,0.152331711093919,-0.106592674802733,-0.20599074815821,-0.0165875394199574,-0.315636735598508,-0.270305333787303,0.406193278856532,-0.134253846612832,0.0662756813344935,-0.302546071313054,0.123704062547747,-0.0597458279190183,0.163783608291735,-0.0840909282005861,-0.348134944780122,-0.101300422888199,-0.464688126732465,-0.144788971958047,-0.301739093871052,0.19923842183112,-0.338026733002268,-0.193691073498717,0.0978732483497271,0.122430222941226,0.218595937566535,-0.151358256742284,-0.104572886281381,0.0643166348061118,-0.491106476747454,-0.359067764288402,-0.217688065828393,-0.519825618117558,0.159782499444418,-0.0206606468887281,0.198279680675393,-0.343175653124459,0.10377377118816,-0.143384397794561,0.47657322533552,0.436565250012464,0.211574366925261,-0.0746304943441675,0.376064244513805,0.0742533164068588,-0.277504057685822,-0.182960074139803,-0.350742175586723,0.316874338862795,0.661713126085963,-0.223334045717772,0.0766470571584199,-0.380940959071964,-0.309912398996843,0.090889964358217,0.178037588010498,-0.107279987445189,-0.0820558984407933,-0.161053800530129,0.166844997228746,0.0269678849213587,-0.00579812541018834,-0.10949872879416,-0.0126738786447452,-0.171959988552502,0.238725977949179,0.172539391947743,0.0689949662835225,0.0650658485592842,-0.0403492040975809,0.0625960426994681,-0.36193737930488,0.0576728931365771,0.133419236180716,0.282309485385673,0.592385019119478,0.0705120869401826,-0.0638353153349678,0.143167897574686,-0.284854334642559,0.0481274737264447,-0.170326509942556,-0.320345398552704,-0.233937249341229,-0.276866647868694,-0.137384932733254,-0.0836068405858937,0.19673455847662,0.134172493031674,-0.0994634053964249,0.220814654598544,-0.0332513337380577,-0.297639376708582,-0.153682192802664,-0.286435974384941,0.437928390369306,-0.26204417157974,-0.356903041554967,0.171127416901169,0.123570310088274,0.191660018765078,0.404323822501998,0.205629043380391,0.201171593156621,-0.14698813511296,0.00277874018473952,0.0326836458408315,-0.116438818092949,-0.0929211119677326,-0.183617693129055,0.434501564518029,0.249827949743769,0.206364514035249,0.243418921649586,0.373075566365323,0.582382931505583,-0.0849673122072035,-0.165046915040035,-0.116780698850812,0.416242338665111
"伯父-侄子",0.0725188930175424,0.266464320680227,0.209579688269633,0.322800126550497,-0.51187741384393,0.110131265493156,0.292014956968048,0.175418785789357,0.0713052942229733,1,0.512215161331348,0.242197654240261,0.310917562234508,0.239519361359523,0.211504646354405,0.252626778740841,-0.203393554312325,-0.183342757785251,0.544014113054982,-0.336240936893734,-0.0522943374249375,0.237113294108317,0.316737448722376,-0.174470034057987,-0.125773845464477,-0.163831555643198,0.312440666364243,0.248517701056492,-0.181968019036822,-0.210977230588338,-0.0759923139002952,-0.343176771898631,0.0953723504128698,-0.208544890431734,0.376674973630709,0.318646848540816,0.199100080502879,-0.366895767380902,0.164067900916862,-0.385619882855368,-0.0433597470587435,-0.409445090656291,0.247140117700077,0.387740200219667,-0.172582405956447,-0.212332208239376,0.0343974900769435,-0.162934358398228,0.34601184656886,-0.273421267919748,-0.32743410990242,-0.199010574648773,-0.19010190568098,-0.116784959950537,-0.328919482480367,-0.2212357086094,0.311121916336955,0.375055868125059,0.0839255878693977,-0.0737120498163347,0.0825961559936809,-0.243380301078856,-0.0896951567934418,-0.0401310205946062,0.182259773020831,0.248994752212923,0.165494435333351,0.441243418864182,-0.313635039707838,-0.437539998235864,-0.150941675414377,0.125929699835206,0.033929072712949,-0.255215802766261,0.516500975076993,0.0019427020769705,-0.122628212211694,0.244984342956135,0.48564665393921,0.254393251671904,0.446158934533272,-0.330206198049893,0.0451215800101232,0.290712112826919,-0.380505691130667,-0.229231543717861,-0.283832163115374,-0.318876028743388,0.218779472451661,-0.272384021313117,-0.273613823063245,0.306162808940969,-0.278128239405261,-0.178600564616005,-0.0778341502387746,-0.0721946668452913,0.241832589360585,0.0921462450969866,-0.00556587925941379,0.272897308001761,-0.527847582826233,-0.274817329636432,-0.110618586835654,0.375598723856759,0.391906791788417,0.049726292051609,-0.16112396627485,-0.197184258045336,-0.224281987809038,-0.355307538429953,0.274880833388995,0.59790914270273,-0.46786685767432,-0.25975079215883,-0.469336861968891,0.148029608598828,-0.177156292337238,-0.19384408179231,-0.167007856173864,-0.196136979569965,-0.114171521523999,0.284870272023341,0.331408829126934,0.021888186051808,0.0497825473574936,0.219723801696044,0.278432467267446,-0.288522502407912,-0.502677295350129,0.145325536878179,0.184438590217696,0.269551062991845,-0.286542971514009,0.0479401387610675,0.288361913760247,0.227660099066517,0.150516299922944,0.190130718267693,-0.203776049229432,-0.117418824179528,-0.278643561804816,-0.230571870167298,0.158867082382213
