"","夫-妻","父-子","父-女","母-子","母-女","兄-弟","兄-妹","姐-弟","姐-妹","祖父-孙子","祖父-孙女","祖母-孙子","祖母-孙女","外祖父-外孙子","外祖父-外孙女","外祖母-外孙子","外祖母-外孙女","曾祖父-曾孙子","曾祖父-曾孙女","曾祖母-曾孙子","曾祖母-曾孙女","高祖父-玄孙","高祖母-玄孙","外曾祖父-外曾孙","外曾祖母-外曾孙","祖先-后代","伯父-侄子","伯父-侄女","伯母-侄子","伯母-侄女","叔父-侄子","叔父-侄女","叔母-侄子","叔母-侄女","姑父-侄子","姑父-侄女","姑母-侄子","姑母-侄女","舅父-外甥","舅父-外甥女","舅母-外甥","舅母-外甥女","姨父-外甥","姨父-外甥女","姨母-外甥","姨母-外甥女","堂兄-堂弟","堂兄-堂妹","堂姐-堂弟","堂姐-堂妹","表兄-表弟","表兄-表妹","表姐-表弟","表姐-表妹","姑表兄-姑表弟","姑表兄-姑表妹","姑表姐-姑表弟","姑表姐-姑表妹","舅表兄-舅表弟","舅表兄-舅表妹","舅表姐-舅表弟","舅表姐-舅表妹","姨表兄-姨表弟","姨表兄-姨表妹","姨表姐-姨表弟","姨表姐-姨表妹","岳父-女婿","岳母-女婿","公公-儿媳","婆婆-儿媳","舅父-甥媳","舅父-甥女婿","伯父-侄媳","伯父-侄女婿","姐夫-妻弟","妹夫-妻兄","妹夫-妻姐","叔-嫂","姑-嫂","弟媳-伯","兄妻-弟妻","姐夫-妹夫","亲家-亲家","从祖父-从孙子","从祖父-从孙女","从祖母-从孙子","从祖母-从孙女","从祖姑-从侄孙","再从兄-再从弟","三从兄-三从弟","堂伯-堂侄","表叔-表侄","族伯叔-族侄","族兄-族弟","族姐-族妹","堂祖父-堂侄孙","堂祖母-堂侄孙","堂姐夫-堂内弟","表嫂-表小叔","姻伯叔-姻侄","舅公-甥孙","姨婆-姨甥孙","继祖父-继孙子","继祖父-继孙女","继祖母-继孙子","继祖母-继孙女","继外祖父-继外孙子","继外祖父-继外孙女","继外祖母-继外孙子","继外祖母-继外孙女","继父-继子","继父-继女","继母-继子","继母-继女","继兄-继弟","继兄-继妹","继姐-继弟","继姐-继妹","养父-养子","养父-养女","养母-养子","养母-养女","义父-义子","义父-义女","义母-义子","义母-义女","干爹-干儿子","干爹-干女儿","干妈-干儿子","干妈-干女儿","同父异母兄-同父异母弟","同父异母姐-同父异母妹","同父异母兄-同父异母妹","同父异母姐-同父异母弟","同母异父兄-同母异父弟","同母异父姐-同母异父妹","同母异父兄-同母异父妹","同母异父姐-同母异父弟","异父异母兄-异父异母弟","异父异母姐-异父异母妹","异父异母兄-异父异母妹","异父异母姐-异父异母弟"
"夫-妻",1,0.485308886868426,0.426789693737518,0.208493748925804,0.378844170976729,0.151955720913965,0.0117305920521242,0.152614598418924,0.0444730813682981,0.142744834113589,0.160393413281189,-0.0548793192064705,0.205916021690785,0.0707587002394561,0.0997518428007658,0.118943869927097,0.0414832423421808,-0.258646183198846,-0.182918018673911,-0.208902787387388,0.178544590193247,-0.0915029094308152,-0.148257011149642,-0.163838632278413,0.0773561974027406,0.354211676331322,-0.13639130917629,0.115215442218836,-0.0769131263870708,-0.0441026008824191,0.170152197824673,0.0429381487021343,-0.0783578097624437,0.0377100067966055,-0.230148451652805,0.102549630559221,-0.0670080836717976,-0.139981019183934,-0.211381983833308,0.128631385614125,-0.251670548493953,-0.124401306885775,-0.228943962227884,0.0829211856984026,-0.0378241260094802,-0.00944246260530173,0.0118688755140954,0.0407862760936849,-0.0978459209458994,0.0484550561043938,0.143488387695086,-0.345501411563293,-0.0237071207471462,0.133578579283026,-0.12583589814171,-0.21114839598254,0.0698766316950285,0.0884884054602796,-0.0161398548710294,0.0336532206544077,-0.0841655199412524,-0.129383628368239,-0.284311345447541,-0.0323301687311847,-0.208755139767273,-0.210604239392029,0.208679254231185,0.213493840447381,0.026266865462674,0.127655578171326,-0.267671975835993,-0.0483692522845017,-0.0830612298913736,-0.0316306894143053,0.0902274813082833,-0.221616919806858,-0.0449572756388657,0.104801435226606,0.144453108703478,0.0676374366961459,0.0551563554253175,0.174399876733588,0.329548146347258,0.0717308650644162,-0.0643596066772723,-0.290530740912779,-0.111205390599265,-0.422118827830188,-0.254899685518691,-0.352538464516922,0.104101406912046,-0.137387498680271,-0.0966305632343328,-0.152474165773638,0.229782484377057,-0.100049450978242,-0.0968181131553,-0.308924342685365,-0.0647329949243429,-0.0168772229432787,-0.197554533080743,-0.342330068027941,-0.218833748311691,-0.00410233481500371,-0.322630338688793,0.110326206295479,-0.129653490356624,0.0616481249143273,0.0761832996388678,-0.0106457499817624,0.0270789650430392,-0.112351091277765,-0.059393525436,-0.203860906888105,-0.157857101042026,0.260781858501151,0.11307874301179,0.231364606581654,0.320841190634218,0.211223008451991,0.370794059413316,0.19496948239863,0.220353973384348,-0.0408840533888964,0.0796500289986059,-0.0228773458550293,-0.141977257704838,-0.122892404436019,-0.235251202374433,-0.0423574820005151,0.345510944430205,0.111909498377043,-0.00658113672495825,0.066827636844475,0.08118907752091,-0.0740397549442793,-0.211776162811198,0.0469106532043254,-0.104708761896846,0.0304210113432476,-0.162257242008221,0.162771491150573
"父-子",0.485308886868426,1,0.572630650561005,0.223383896052489,0.522282097434478,-0.178807332247565,-0.234530488464397,0.0484329880369143,-0.171188016645782,0.053742324318756,-0.100033288145651,0.00435059780522537,0.398290596213302,0.335057525252311,0.165976530901603,-0.167394546091874,0.179032109642604,-0.327513868214627,-0.186295391148605,-0.0894342448459023,0.229886044254027,-0.231912596376702,-0.260575966459289,-0.214326250994808,0.0477152754082606,0.250508118949677,-0.143239037652503,0.26615057221145,0.045172144778645,0.00250618234385692,0.0798891261452464,-0.204134784268793,-0.190722970493903,0.0726151420846454,-0.128978900029267,-0.046654392967728,-0.0546526283731758,-0.177797770173138,-0.0775105842329082,0.159661312505723,-0.201557274738678,0.166485230278144,0.0385240183072379,0.272024266651175,0.0886893449894147,0.163990810570587,0.124942267359077,0.337506653981193,0.260037427950486,0.275263024139761,0.013869203565541,-0.340642860474948,-0.268401146731515,-0.00375764910061255,-0.116988666564854,-0.360242305836409,0.0310120094711874,0.0127275958796959,-0.0139574654031237,-0.107475786184202,-0.0120742087278918,-0.052285636689043,-0.152930250522994,0.0505643223484091,-0.0917932646052627,-0.183849473051481,0.352348144713325,0.219342844452491,-0.0260407915327116,0.0720891755311098,-0.215624782636017,0.219483457766745,0.122572191455842,0.230405764091802,0.170041045599401,-0.177617461443835,-0.0571239071037784,0.273417046068221,0.227392422649047,0.269000947145083,-0.365378490725727,0.0267749249008882,0.0932815007103658,-0.159049922814743,-0.381130271604536,-0.325471923763476,-0.00427535600602686,-0.348118335341988,-0.231549582790126,-0.410382058959844,0.275767518201879,0.0569902218792865,0.015907551383393,0.0606447430007794,0.0820180983893598,0.0173392985645481,0.128216502798121,-0.233203628643515,0.114396768754019,0.116332129001703,-0.197331651363436,-0.171974037074443,-0.174865785538857,0.232368570401165,-0.125444492409734,0.0745912325948563,-0.383402404932166,0.00816889030476236,0.0972351363806438,-0.289616322890342,-0.27404493398601,-0.183706117154587,-0.0841409080278528,-0.321456812330288,-0.34138919627191,0.258540694721798,0.237070325844568,0.349791479190322,0.272471683980822,0.0744356128050066,0.380847707799343,0.141969555334017,0.229570094580999,-0.0293988849469897,0.0451422375641001,-0.178614834912031,-0.230180263359279,-0.288340826089642,-0.162781471963296,-0.149532892853578,0.225079439416227,0.0153358930915213,0.106347537144817,0.107122616569033,0.253846299257856,-0.197999589830529,-0.266628856982012,0.14133216744551,-0.154964587323147,0.104152524578815,-0.380516636699348,0.0221927053054837
"父-女",0.426789693737518,0.572630650561005,1,0.174850970597561,0.501905692078169,-0.114741631623771,0.0512297064339306,0.134572479784911,0.122740131084121,0.109663917398404,-0.023360017045553,0.0105959761087703,0.26934407045045,0.121212807127437,0.309975482205093,-0.0295304364253255,0.100917065477939,-0.209505352629626,0.00223555233653142,-0.0617127811791946,0.270000323501926,-0.11140497573852,-0.0712283589452095,-0.183141817389053,0.179536222882726,0.150893088755979,-0.181469540217109,0.181835845458703,-0.0189265652200717,0.0447734112153862,0.124737423920639,0.137694553759221,0.0842484189064711,0.176472119858566,-0.102855795722508,-0.0286841330525242,0.0678214044615777,-0.0841445074550497,-0.197087702415624,0.064244958953581,-0.321335189900827,-0.0517775030481982,-0.198969663082631,0.115115639977478,0.0937630352592292,-0.0344864462523313,0.0197369270055825,0.125741978469908,0.129480073786508,0.153277591345045,-0.0736174751376611,-0.296613237346659,-0.0599001964960052,0.188905309796716,-0.113956569555302,-0.143685711299328,0.127954129552983,0.191861502343421,0.117107171468298,0.14158319411109,-0.0823451305270152,-0.0663173693605644,-0.169717582884329,0.0600425604760452,-0.0886420504425102,-0.265273653420072,0.212447622044323,0.163070386091927,-0.0615689058450999,-0.0159646688414617,-0.32161332514857,0.0275102565931264,-0.0198803119771975,0.0127765529474342,0.0431700260901613,-0.215284903382004,-0.182193324154306,0.144633039495536,0.0755516662556558,0.0506825132479026,-0.179381152067948,-0.00526684323082768,0.100039225686469,-0.0213447737616098,-0.14169805138025,-0.26509173694601,-0.026316947557414,-0.271998428664671,-0.258695816525159,-0.333098461287394,0.131308486357256,-0.090094838705901,-0.17147990731035,-0.108447341092855,0.154530426907437,-0.145933458677393,-0.148768110979183,-0.329458780370003,-0.00743512606509608,-0.0302235970446122,-0.170160538069029,-0.240586026574934,-0.163930530228277,-0.0267893211545691,-0.270392641293642,-0.0576625655010087,-0.201267063427441,0.0787057524627028,0.114225608738776,-0.0173838397356536,-0.217254432070477,-0.072871980661556,0.0880364424087967,-0.122228721251018,-0.117835900981144,0.114703684633874,0.115572291942505,0.121947648543824,0.246555551532113,0.220477933497674,0.319218379347088,0.297509781569896,0.0993937003199501,0.0469388582681185,0.100175209254225,-0.247052052971377,-0.152566790002582,-0.200173125005102,-0.149155953735764,0.0104615948284441,-0.0574879107703928,0.0577513034759305,-0.0396545115444156,0.140536760044929,0.0232496128766746,-0.377850030550837,-0.26017869108529,0.102684334081639,-0.0526945659405118,0.0187526645791688,-0.295550351684669,0.140719176096595
"母-子",0.208493748925804,0.223383896052489,0.174850970597561,1,-0.0723469406827892,0.169505160407262,0.214080174177679,-0.308486215615657,0.243548716136959,-0.39724364939541,0.495592811613579,0.173549923444506,-0.33830085658339,-0.377825459272724,-0.053064387514092,0.437814241880534,-0.205839521432873,0.508697750446661,0.425043962771268,0.271268601779031,-0.149436399652085,0.538036627844814,0.496123875916128,0.485096885680124,-0.00100521036172018,-0.341102099893701,0.0394869163742325,-0.479213411734109,-0.2876026575319,-0.3481952190376,-0.315708188180995,0.0581261499181718,0.338021494790142,-0.552117749622109,-0.433837819170187,0.338544936732096,0.540259311722443,0.685665349701178,0.610364513924785,-0.200500024402306,0.399059744203232,-0.124324233694063,-0.0644485773679481,-0.472304908993463,-0.168038538996684,-0.467893597411126,-0.327018305395871,-0.195145575003711,-0.214603294174664,-0.227203078402107,-0.39383789805795,0.375332430297743,0.168695639281164,-0.294338666543465,-0.465588784923034,0.563188584534943,-0.421518320028229,-0.426986187497495,-0.573427266013826,-0.401886439338681,-0.470093561565917,-0.518678406947576,-0.448452629613809,-0.600167330516965,-0.534206576259876,0.532784485536498,-0.367694167842609,-0.523040930026136,0.558877574455561,0.326307573401382,0.449462281151212,-0.470018904784453,-0.408387718232436,-0.352402246112498,-0.649683723858794,0.483691113564524,0.0516454424662348,-0.227738002145289,-0.201615865101209,-0.496734498687972,-0.0699073009657074,-0.479271127502737,-0.41542680050783,-0.477645116918023,-0.0119154508711518,0.493559387105169,-0.316917209065199,0.219051590222301,-0.346745873414566,0.468779015432221,-0.31202694324949,-0.245466171120935,-0.00332426649845566,-0.0164293760800717,-0.208174052058539,-0.402950796498184,-0.213140479250337,0.136701005833522,-0.47786689285798,-0.514232956478588,0.47549671321754,-0.120307115981967,0.509259178842411,0.105574004326311,0.427884829017628,-0.393315294090809,0.349301116993263,-0.328964115898478,-0.42014998698366,0.424038807630095,0.535204780015266,0.488335275748885,-0.12264370497179,0.423109535882903,0.370921747004158,-0.141704261057818,-0.359746282626808,-0.264425352058153,-0.393162901255193,0.639764160243923,-0.223743382064627,0.334591727774565,-0.238017659161633,0.304561924218705,0.134826204260398,0.565793893498651,0.510896282335237,0.496603093468118,0.497986399864575,0.101311018680791,-0.00134180206042719,0.580864497340085,-0.088008236628398,0.264114921694685,-0.253878564101608,0.0828749503127899,0.413731547132957,-0.51947786811303,-0.027510808533173,-0.465545138187001,0.588378338288334,-0.545859417406993
"母-女",0.378844170976729,0.522282097434478,0.501905692078169,-0.0723469406827892,1,-0.126846771852376,-0.0357446833523773,0.25192014477625,0.0446971524425715,0.253661051782583,-0.153125010259874,0.0379213933479879,0.517052575711107,0.261647840169105,0.241220501852075,-0.215069917183967,0.339187817453366,-0.34828220644837,-0.212450540576358,-0.169178440680377,0.26904981997271,-0.257140756434576,-0.216839717558924,-0.38395786968582,0.274790225834618,0.379636725773093,-0.127371737812778,0.290582479588828,0.0991609735508814,0.37024595900409,0.133479469133344,0.0105386514948692,-0.18882362349967,0.341586747303567,-0.141200545693838,-0.244184575802695,-0.13825273656574,-0.247972695619346,-0.363366331825103,0.250215782677733,-0.371771513415561,-0.00844096895503966,-0.143143608009278,0.332253380718978,0.147459471738592,0.304680894029514,0.152252140450844,0.23265781758478,0.0799735341776381,0.270788490617487,0.00470806081958447,-0.525274319457018,-0.117004789931704,0.264774270888656,-0.161017005766698,-0.440478047555528,0.0761815889436918,0.310345561650145,0.172369044993619,0.219920393384616,0.0171599618639225,0.0813988825336188,-0.0832263871259565,0.131541665331215,0.0161600699578015,-0.371426655974754,0.311674929660459,0.420330880526169,-0.265189690089512,0.029114351973339,-0.410404902571643,0.187043502742382,0.0892556434940176,0.130637705285917,0.324452543071866,-0.361486121397693,-0.0624668124213808,0.133540482135222,0.147514973280494,0.271796969532178,-0.163287902682629,0.0215217512859943,0.191931399118571,-0.00985669386754795,-0.264021631715357,-0.476990034493429,-0.00604413978109978,-0.456731339097913,-0.0871043360453101,-0.463515157696508,0.164443571750069,-0.0019314022776003,-0.168953116636811,-0.149364042951997,0.20848218732288,0.00909438529225204,-0.0671440920748078,-0.291439451052505,0.0850454918094949,0.203023716377164,-0.356523380612373,-0.156712979263063,-0.437291307989282,-0.0395942835654096,-0.429769899180878,0.0102208837691996,-0.344492742854009,0.102033287413317,0.197322813241513,-0.22844720313126,-0.421923073799095,-0.231250014059496,-0.00744943926004255,-0.239530540427003,-0.183754467052636,0.270305292535012,0.325236771285255,0.387143399245892,0.442558562458099,-0.00819602347731566,0.32635121869187,0.154479134420722,0.281660832827229,-0.102289673011708,0.0477215362035353,-0.38768257153846,-0.244685272042355,-0.260369280372236,-0.305046116814441,0.0699848141536978,0.143480226758319,-0.0837003869285648,-0.0172396324494168,0.104021222917938,0.16869170064483,-0.304079628876304,-0.446724087406811,0.207063165330129,-0.0664241770901935,0.258618556992591,-0.534851275889742,0.195014356703365
"兄-弟",0.151955720913965,-0.178807332247565,-0.114741631623771,0.169505160407262,-0.126846771852376,1,0.534676539030466,0.19857913656605,0.413897877723922,0.135199361748313,0.491390194491103,-0.0614331246733462,-0.23769854428852,-0.275882667170986,-0.0843851103878778,0.432770486509921,-0.117259948762194,0.223446377396288,0.114990325068673,-0.0163485258334118,-0.188069509382393,0.274046051411879,0.288880189411336,0.215051741621047,-0.0738648054359579,0.133839539578481,0.171332626490689,-0.149202948364422,-0.107923537442623,-0.00604093155565611,0.0757541199194204,0.305448251271668,0.274585999012686,-0.139103306436155,-0.166210187829803,0.191724467775215,0.0589463479143887,0.244484124029172,0.115722086062611,-0.217062252541722,-0.0999842169453828,-0.476815305126816,-0.421861800601493,-0.392720995017264,-0.560164277034883,-0.381286667315653,-0.197316010518851,-0.338945886637369,-0.361375689581348,-0.341256078021832,0.168240868795972,0.217221392403165,0.393416544052044,0.0806467584803065,-0.00664501686326003,0.337302955000293,-0.05946807397022,0.0283258239038972,-0.0591940489416766,0.046680967654368,-0.220138900735152,-0.150140352508992,-0.230178455279755,-0.194439680373843,-0.254115869169739,0.10280612850984,-0.294407582170904,-0.243041966107662,0.109488044702501,0.104612963798113,-0.0547015449121568,-0.594508664579743,-0.547037082272275,-0.572740504930649,-0.441706443004452,-0.0146835425642701,-0.16601981389054,-0.34314785489447,-0.318248395408533,-0.380217453674332,0.372849960147612,-0.0488360240240948,0.0649078358650624,0.154372468385273,0.397485802800876,0.135208121500293,-0.127176498750063,0.13143423775424,-0.128931386790446,0.289201292449564,-0.397699293427811,-0.415315497840835,-0.197719508290832,-0.185900503016698,-0.123979872603231,-0.304942017889025,-0.494351892477766,-0.153252324747675,-0.5717519653526,-0.36989969805417,0.00799189314341405,-0.379039528083715,0.0252078011568118,-0.167314165616581,-0.167693254498637,-0.0251606078737233,0.4343432524836,0.114100632655241,0.00367341656345939,0.427088990737265,0.583556771246234,0.490571941828543,0.190877834792399,0.459684485865584,0.409832568470787,-0.310565985920721,-0.329923743579142,-0.238468570975511,-0.150174386050327,0.278343124559471,-0.180639682123143,0.123377412732481,-0.144001782908268,0.0938712390143328,0.103038495567064,0.360431844153707,0.314092607241966,0.31490395515992,0.0940809095654944,0.105454283177684,0.089910888939135,0.178598052573274,-0.0390070962786668,0.0197504366297161,-0.236712043531921,0.280030426577324,0.267327765960467,-0.171115548189195,0.198792059648405,-0.116207334317577,0.461673002242288,0.0679608626458618
"兄-妹",0.0117305920521242,-0.234530488464397,0.0512297064339306,0.214080174177679,-0.0357446833523773,0.534676539030466,1,0.369452425064936,0.707713088109399,0.308506606121541,0.323455934500565,0.124778248569427,-0.289311308847516,-0.371389828464526,0.021605338669496,0.424498002985258,-0.137288018138833,0.308117045584524,0.343636053272492,0.0828870456002777,-0.285371237248618,0.258695152716458,0.340482378007657,0.151795309265145,-0.00849341032526408,-0.189219093796085,0.0669897500415221,-0.255436640684998,-0.0883886443239575,0.00644810415663705,0.0903146032431104,0.529155175253149,0.409666671003415,-0.0650051105794251,-0.0965615488674042,0.0806687936221545,0.289633017897032,0.265133735483665,0.12767657785611,-0.245085667882529,-0.0174698136024278,-0.441979867797804,-0.342636074739667,-0.436825568813413,-0.284439032585627,-0.479444480919182,-0.217078183324209,-0.3009225523609,-0.29007800143368,-0.385023513637856,-0.117580357682821,0.364818864999758,0.526306575040987,0.209340112002518,-0.0331960033977972,0.54341554536591,0.0173482062429679,0.0842173999279521,0.0432224901980054,0.290002675683589,-0.368949083015404,-0.240200720595181,-0.240901762536621,-0.231162267595131,-0.22654685543458,0.0863023107628456,-0.407337855123664,-0.296894929711855,0.172284455580472,0.0938153593315719,0.0871176461300214,-0.568490250812392,-0.484601447031474,-0.523668433854646,-0.521743275969653,0.0207317013733107,-0.282748834245216,-0.398352717096337,-0.323605156863536,-0.510231857982392,0.260368600196241,-0.284732281291069,-0.153894928292409,0.0107965854961541,0.433041847295853,0.212100003888046,-0.219717936442321,0.17848106863034,-0.168045917501296,0.359233345143483,-0.396195883965604,-0.433581387210976,-0.228356364805706,-0.235195099481516,-0.119820230300372,-0.449688778334128,-0.519039063965681,-0.0399730443118797,-0.49852155592301,-0.442266888351686,0.153763972766657,-0.147171214946692,0.155569427803446,-0.343433426733459,-0.0421134539511088,-0.256424843438961,0.491797515142514,-0.0119158943331193,-0.0131088531014316,0.555080680146301,0.425486129014866,0.514594578066804,0.279647897995898,0.537315688130571,0.532114188522833,-0.287888878378961,-0.34066361253885,-0.33845654628317,-0.26153906945912,0.327061532485419,-0.280943368576483,0.198913438383141,-0.320584416029162,0.136345051786884,0.029193778160221,0.129617911886979,0.207758885498749,0.245980819702964,0.0817095983495062,0.0516179638304698,-0.283952699283794,0.220946381409665,-0.301783213554981,0.270032788138307,-0.371453487027669,0.101837785856323,0.260974617840961,-0.129635368615897,0.207711200535828,-0.11842170441938,0.394410224506961,-0.0987158739332319
"姐-弟",0.152614598418924,0.0484329880369143,0.134572479784911,-0.308486215615657,0.25192014477625,0.19857913656605,0.369452425064936,1,0.298113767741428,0.625495949344882,-0.205675394005288,-0.118022407194124,0.265608394357361,0.1484788146055,0.139133484031619,-0.163921117335674,0.0924461141472003,-0.421911251085542,-0.254725027773487,-0.221182600682084,-0.13033313996191,-0.420487803748907,-0.348720375220982,-0.467133105419107,-0.00701329595927851,0.386016979591193,0.0911591672427141,0.42533843585478,0.250136858793068,0.417135979247804,0.47878896874693,0.41814837002723,0.109898974121253,0.509587506103294,0.237460644954363,-0.193236584379953,-0.252231557607543,-0.395535221449401,-0.406272713247701,0.197128524624925,-0.408723968487295,-0.103829601557239,-0.264116966241787,0.175681099861805,-0.0638559387436717,0.156030973120526,0.0862841998776955,0.0196217446566624,0.0158688771420615,0.0476332766867533,0.390916426369835,-0.181579497399226,0.323444105847178,0.514409443711422,0.257169519716594,-0.232321552316096,0.484496359408981,0.523031504938321,0.481946778616914,0.509962525182237,0.13294282816888,0.282682283159081,0.154437082695981,0.414058521797662,0.208920912816742,-0.450021825875122,0.11338677996632,0.292734726384402,-0.418692716063476,-0.139451950141816,-0.39432918850385,0.0103369807039433,0.0193856374767224,0.00730647947003515,0.238507422555506,-0.522512593290459,-0.308179083584206,-0.0456136790427497,0.0253146833931881,0.0904469788823978,0.167706659684281,0.353901912130349,0.361634437780815,0.330231546985619,0.102717123216904,-0.5163546848848,0.0747279799089501,-0.40284975721441,-0.108482963131027,-0.436989005004046,0.00359950086603463,-0.208915733294612,-0.296193273328659,-0.348949423878261,0.0220955589380397,-0.147483203253524,-0.171435574392747,-0.449802592814044,-0.063845934531663,0.118105627737442,-0.508529847205698,-0.264928387646174,-0.420691067093118,-0.187763818779864,-0.504064126875056,0.364346906825439,-0.0641901379545775,0.41927833865386,0.449557747057295,0.0646701493861539,-0.152296055780987,0.0084232137884337,0.330763708111705,-0.0273030672073546,-0.0513531521921969,-0.0226409266498799,0.141845666713,0.0141616531819165,0.247202750246247,-0.254240813408325,0.0699424001490919,-0.16132327189424,-0.0458929397165261,-0.218717187243536,-0.149232693808109,-0.435751158238077,-0.421755842668306,-0.350082419238245,-0.521427474844213,-0.116105773381825,-0.0213488691597486,-0.316791993886045,-0.192426883191247,-0.0587438094876993,-0.00443523313026636,0.0271568594050077,-0.186343665093406,0.478673173548949,0.0300595471769496,0.463690266101588,-0.321183061854151,0.414133287525052
"姐-妹",0.0444730813682981,-0.171188016645782,0.122740131084121,0.243548716136959,0.0446971524425715,0.413897877723922,0.707713088109399,0.298113767741428,1,0.260294759648806,0.204724658617784,0.0690526609462833,-0.23200290321702,-0.343852362118906,0.0659545628856051,0.318493148641806,-0.0759223204887928,0.229351569109374,0.300024485164895,0.131489877381259,-0.265844474105551,0.206418065422114,0.334663378187883,0.0757500571072909,0.0834513277384251,-0.178681676394086,0.0947354758078818,-0.195496237742554,-0.0849920236277903,0.0336954916802416,-0.000140897914418424,0.449162785022488,0.447685427253441,0.033122921501734,-0.0426449031997356,-0.00125963021654074,0.251156516590816,0.292833951096424,0.101799083793252,-0.23813145385963,-0.0702567502262739,-0.334714095733776,-0.326390084494889,-0.41923692463248,-0.207971341375664,-0.421936764365138,-0.166240726067989,-0.247945842377558,-0.284455392140724,-0.179049080651796,-0.116053906492686,0.283274986431271,0.428088135522622,0.24920339470175,-0.0358489177597731,0.495020797470256,0.102315995191984,0.199125253316072,0.0597238304104785,0.249469914288563,-0.331138239233555,-0.1591469152596,-0.124843460146743,-0.094999232320926,-0.0982123104171956,0.00709044562419994,-0.364876715527906,-0.312732369237211,0.0466623265510641,0.0905045718309545,-0.00887120386016093,-0.514591533057803,-0.41905980100648,-0.397398800784809,-0.409257855989035,0.030798053026385,-0.247707840478937,-0.358482740288444,-0.309289414707442,-0.463354250879229,0.212668241964738,-0.175471892135396,-0.131413202310849,-0.00906647283143315,0.341737130462658,0.174176531384671,-0.208457654744851,0.182047131768195,-0.192500148292483,0.274501733797259,-0.46315025655542,-0.416153709456014,-0.203153138272446,-0.223559708684376,-0.156253702670847,-0.417030400594343,-0.492816593712054,-0.0442422877008633,-0.407084002099632,-0.384337622854674,0.0806199248562876,-0.220202392394694,0.117629015633044,-0.389199121667458,-0.0514828820688314,-0.260232132678933,0.407739550502158,-0.0802803845525626,-0.0182280781988427,0.4645214570667,0.241062034704354,0.379726032603478,0.192596468556393,0.46859079688023,0.528519810288335,-0.270948527144967,-0.20202606007513,-0.259352930800566,-0.24352687591938,0.292595852891814,-0.21002497007229,0.133877213859322,-0.293552618867149,0.0599112847999493,0.0210740546705798,0.0496760612175614,0.158668424517333,0.155796938827221,0.14465685566345,0.0978929897446994,-0.272566510430615,0.188373009195329,-0.303267613622373,0.24470043972985,-0.320531605102185,0.0734907755362558,0.205981993804683,-0.142485215311423,0.251367341262903,0.00974410846533387,0.307983764902008,-0.0653168144356483
"祖父-孙子",0.142744834113589,0.053742324318756,0.109663917398404,-0.39724364939541,0.253661051782583,0.135199361748313,0.308506606121541,0.625495949344882,0.260294759648806,1,-0.27068622359406,-0.0564788928338849,0.272635558566929,0.27530992218791,0.150532232840266,-0.0806754188127915,0.19928418337264,-0.365674410632942,-0.29601036161472,-0.106990804655427,0.0483473495104861,-0.38985817366205,-0.343210340327925,-0.461060408906344,0.0663228530789204,0.438733767057534,0.0141861745045473,0.3720342451957,0.313469074827016,0.358558675884583,0.336555161046212,0.20821342904803,-0.094895430599992,0.463664068793968,0.284042309872041,-0.382366706740155,-0.348404079770185,-0.48353518342215,-0.493399182199636,0.10921564268342,-0.502159885674936,-0.147275050355715,-0.211317678353463,0.262884040279588,-0.0614961384982768,0.196384620261176,0.146197947090099,0.0397821061088149,-0.0794557835016637,0.0760081406161456,0.352236657608005,-0.313639001867316,0.185393400514594,0.474421684908698,0.364997215165751,-0.300278565998032,0.446264888004639,0.58546953782403,0.57254250894597,0.519674479955434,0.159911602586058,0.300207782827932,0.114240336070137,0.35794148257891,0.246189724865764,-0.558856519650931,0.163712621672345,0.383214567552872,-0.438059865440259,-0.111581486035306,-0.509125835781354,0.0667138979897307,0.0183840739883153,0.0265618403689155,0.290085037143716,-0.598002221993293,-0.339114455967554,-0.056968372991003,0.0272656783332183,0.166815084794102,0.215910477838639,0.260844360686734,0.392919476686119,0.40536498578863,0.0888751925190017,-0.449264506178781,0.158895377775825,-0.231657177697964,0.0664055259955289,-0.406335375963842,0.0472073116416623,-0.138417693619838,-0.224531781161884,-0.241270883080588,0.0236490364330799,0.0905012354808094,-0.133140975897691,-0.339733230059779,0.0206353652232354,0.227258379448802,-0.51152960839687,-0.149548307437538,-0.47611851243364,-0.191307148484957,-0.45990710619708,0.247525213286797,-0.0952546308989196,0.323766950569035,0.498628573622238,-0.0374285535317882,-0.302366795388134,-0.143932131837415,0.414723453298998,-0.0611413373686561,-0.0399259284683056,-0.063630490115351,0.158290862326696,0.0466612509443553,0.288185918805663,-0.34199246576736,0.0962175721167228,-0.204220901244845,0.0501723166590431,-0.287004572595964,-0.20637839049377,-0.486263554365353,-0.389984541810386,-0.369903570161267,-0.485962213520246,-0.123256100511817,0.0101262765935043,-0.312463576349134,-0.144594614473875,-0.0659402051590442,0.0934378978589857,-0.0257388669454901,-0.312055090553745,0.475603791875664,0.118721165330122,0.486644548889061,-0.427375779303657,0.389998137340427
