"","夫-妻","父-子","父-女","母-子","母-女","兄-弟","兄-妹","姐-弟","姐-妹","祖父-孙子","祖父-孙女","祖母-孙子","祖母-孙女","外祖父-外孙子","外祖父-外孙女","外祖母-外孙子","外祖母-外孙女","曾祖父-曾孙子","曾祖父-曾孙女","曾祖母-曾孙子","曾祖母-曾孙女","高祖父-玄孙","高祖母-玄孙","外曾祖父-外曾孙","外曾祖母-外曾孙","祖先-后代","伯父-侄子","伯父-侄女","伯母-侄子","伯母-侄女","叔父-侄子","叔父-侄女","叔母-侄子","叔母-侄女","姑父-侄子","姑父-侄女","姑母-侄子","姑母-侄女","舅父-外甥","舅父-外甥女","舅母-外甥","舅母-外甥女","姨父-外甥","姨父-外甥女","姨母-外甥","姨母-外甥女","堂兄-堂弟","堂兄-堂妹","堂姐-堂弟","堂姐-堂妹","表兄-表弟","表兄-表妹","表姐-表弟","表姐-表妹","姑表兄-姑表弟","姑表兄-姑表妹","姑表姐-姑表弟","姑表姐-姑表妹","舅表兄-舅表弟","舅表兄-舅表妹","舅表姐-舅表弟","舅表姐-舅表妹","姨表兄-姨表弟","姨表兄-姨表妹","姨表姐-姨表弟","姨表姐-姨表妹","岳父-女婿","岳母-女婿","公公-儿媳","婆婆-儿媳","舅父-甥媳","舅父-甥女婿","伯父-侄媳","伯父-侄女婿","姐夫-妻弟","妹夫-妻兄","妹夫-妻姐","叔-嫂","姑-嫂","弟媳-伯","兄妻-弟妻","姐夫-妹夫","亲家-亲家","从祖父-从孙子","从祖父-从孙女","从祖母-从孙子","从祖母-从孙女","从祖姑-从侄孙","再从兄-再从弟","三从兄-三从弟","堂伯-堂侄","表叔-表侄","族伯叔-族侄","族兄-族弟","族姐-族妹","堂祖父-堂侄孙","堂祖母-堂侄孙","堂姐夫-堂内弟","表嫂-表小叔","姻伯叔-姻侄","舅公-甥孙","姨婆-姨甥孙","继祖父-继孙子","继祖父-继孙女","继祖母-继孙子","继祖母-继孙女","继外祖父-继外孙子","继外祖父-继外孙女","继外祖母-继外孙子","继外祖母-继外孙女","继父-继子","继父-继女","继母-继子","继母-继女","继兄-继弟","继兄-继妹","继姐-继弟","继姐-继妹","养父-养子","养父-养女","养母-养子","养母-养女","义父-义子","义父-义女","义母-义子","义母-义女","干爹-干儿子","干爹-干女儿","干妈-干儿子","干妈-干女儿","同父异母兄-同父异母弟","同父异母姐-同父异母妹","同父异母兄-同父异母妹","同父异母姐-同父异母弟","同母异父兄-同母异父弟","同母异父姐-同母异父妹","同母异父兄-同母异父妹","同母异父姐-同母异父弟","异父异母兄-异父异母弟","异父异母姐-异父异母妹","异父异母兄-异父异母妹","异父异母姐-异父异母弟"
"夫-妻",1,0.508076690727301,0.422869551895768,0.431440087058748,0.579977332678989,0.0768084708605075,0.0829747794253266,-0.0454141680727015,-0.0901445151940118,0.0839459095115806,-0.30718664509474,0.200712387313012,0.125011688882922,-0.225862032362137,0.0835469005367153,-0.00307540739823569,0.197981981399873,-0.134156699173119,0.179051225969377,-0.330961707356448,0.120393183185202,-0.0428433753899658,-0.0712286287339984,-0.260623157422127,-0.0853596690709424,-0.0855382482251143,-0.194457923545117,-0.475628377450361,0.240423063838794,0.0667176147762585,-0.265980808538125,-0.339951638022875,-0.515635328681152,0.0547804631726613,-0.60028231671872,-0.0497590972746403,0.178325219361604,0.203379876069004,-0.172778762008851,0.164727749944017,0.161530302084125,0.573796537176219,0.0507373555655569,0.166196727398865,0.359305245923901,0.204244270777957,0.160128643186306,0.29253261646699,0.162688896697542,0.183659871731595,0.174960389285128,0.0702882793822111,-0.248255903646385,-0.289117298420615,0.0784271509890185,-0.241967648593383,-0.360619127380848,-0.236636759162394,0.0457185295502063,-0.301962522537743,-0.193246686594174,0.0135391420759364,-0.384254391817462,-0.00660910572907365,0.00934058460322903,-0.22157267319928,-0.112882870124568,-0.272719527103923,-0.148798175412072,-0.010857490741213,-0.0360688006729391,-0.367674800010471,0.0427877354562058,-0.491402961187007,0.0675311953546479,0.138991429669742,0.303870885378791,0.224972233206543,0.28635755720589,-0.0261202716330346,-0.190768087670688,0.0350057690714888,-0.099344419880952,-0.384648080222759,-0.245182480858982,-0.194028300357497,-0.156355930750886,-0.215689675877791,0.0835547616211825,-0.129479048850452,0.254439918786008,0.526959609863797,0.0301841929376294,0.310885403851135,0.33424058589402,0.0196501546806831,0.159463493274203,-0.186984744161777,0.127008975732974,-0.197241988793947,0.316651332291378,-0.230316940040607,-0.031529099623732,0.123606150928971,-0.133037982116737,-0.338469553551248,-0.45889730597843,-0.583069117306795,-0.242660692747263,-0.190006545307323,0.153270988123118,0.0646805437643509,-0.114356095575882,-0.133140548651021,-0.132691764889234,0.251370771438116,0.578870494106981,0.167890016312021,0.351988215753715,0.337973582568855,0.460311822836056,0.176954968108613,-0.210254397675873,0.106378356377771,-0.297274073618934,-0.167288753639409,0.289616591428971,0.194390384645917,0.242533723192997,0.21393035695526,0.197388498397048,0.0321819250822971,-0.192002984079876,-0.0309525254754731,-0.0313461943953611,-0.101625502023725,-0.278843113909148,-0.52536376034819,0.0227756924975373,0.0123640878255014,-0.311077531793112,0.0413504911098764
"父-子",0.508076690727301,1,0.682998840486563,0.892177430531887,0.776437226529028,-0.520925331287736,-0.0318089382012334,0.205537454056658,0.0910019703986434,-0.0977447765870609,-0.21347727327407,-0.107382133610291,-0.260422017826735,-0.0523945317796281,-0.135764457584737,-0.167150048108298,-0.186350492504537,-0.345346154433553,-0.35910239214066,-0.187131705664923,0.40322460680881,0.242320290036105,0.112220338049948,-0.0862382933616956,-0.0761302823097247,0.219457056515302,0.206621269341789,-0.10106334551551,0.039208232518083,0.351789405664951,-0.187652732861832,-0.334267398791639,-0.180040800473139,0.079664121894631,-0.16797142144112,-0.0169354067903817,-0.114675167032461,-0.108567947110416,-0.227326389535548,-0.0969956008774895,-0.238267946728042,0.369433881283628,0.160375361077766,0.746713797125632,0.477310036761447,0.0490976961837073,-0.31554912121626,0.222936215404342,0.431336093823754,0.26974469764278,0.080394102177554,0.0278881803573496,0.0474062453064206,-0.161582174281599,0.0275401315734333,-0.356035690962935,-0.153712836999217,0.127918416504065,-0.218433692935114,0.166475904922064,0.128009489074101,-0.19835300073311,0.0916941443875703,-0.0518653493969604,-0.207846901644957,-0.285008956004358,-0.17577531696344,-0.042666108956977,-0.106470367798904,0.0562769613526849,0.343692042675184,0.0265611968164543,0.387487958741319,-0.120625266094669,0.36512732545651,0.231514361815476,0.234460858683763,-0.104176381290368,-0.0324909336811305,-0.148079533039678,-0.439073921938399,-0.117984203540936,-0.326488061362325,-0.00680599715936742,-0.12160054038664,0.184828396238323,0.17635646498274,-0.400683163965384,-0.104261755094209,-0.598499477604002,-0.220001144248312,0.263967869937896,-0.302397180020555,0.269282345021246,0.0355430797340175,0.30081499082038,-0.278777020638811,-0.0426852227134799,-0.190830877995199,0.104176632402896,0.218154762249512,-0.30352822651244,-0.0432066142262294,0.285091827183372,-0.236678266160227,0.0850910899647366,-0.282590956826302,-0.235672141599679,-0.398659129166582,-0.384630515702134,0.165096940796067,-0.108771755130021,-0.266882714182605,-0.34742099399681,-0.306394901568024,0.155708348493699,0.294693193833753,0.140781262893649,-0.174667033515856,0.00491645332430498,0.128670442086956,-0.128453688581905,-0.231950531156914,-0.143418244001801,-0.195753939384033,-0.229210037308102,0.0207977170305689,0.0302564908158047,0.298245589672964,0.0522525506207318,0.325128479247599,0.358642287602386,0.203111518769958,0.257843994013535,-0.203982926065472,-0.357970868793164,0.132085781169854,-0.282755615834766,-0.400617604480188,-0.208821426875391,-0.387661371522602,-0.561210664465677
"父-女",0.422869551895768,0.682998840486563,1,0.745538813394807,0.594327115473675,-0.313316650312889,0.129738186132247,0.292134361312689,0.244656757403866,-0.122597133235848,0.0465435590710167,-0.147486776340101,0.0527728527121342,0.264383858268792,-0.0274711759566344,-0.115380309794038,-0.348685544609042,-0.27971508507847,-0.341265413207663,-0.273405517634225,0.373239394306153,0.475812136972326,0.463279175824834,0.212027557808704,0.0475168472794948,0.391993236925873,0.355133551097426,-0.0652800651377213,0.174597731950754,0.419421088796408,-0.0743026508377326,-0.14977511684328,-0.11819193412921,0.0767369058251762,-0.28354522042871,0.251270587500213,-0.181471399810777,-0.129620883548331,-0.248306169150715,-0.162442983748779,-0.0914904371949545,0.204520701719222,-0.116671790956875,0.5856719901663,0.520659643442028,-0.327070601132764,-0.113398879268464,0.232245606211538,0.420302117308788,0.149354689693244,0.0495639192205826,-0.00679158655255978,0.364335108140372,0.00816245600555053,-0.130564239398255,-0.288675965501136,0.205718474103604,0.176348245359347,-0.219150996957942,0.160154923480221,-0.0170298954800643,-0.337285379606875,0.148951442433809,0.0140121150341138,-0.338564330920858,-0.318241916817063,-0.0257573342923568,-0.00952301992349747,-0.0239623033510957,-0.0728294729247213,0.22110565563059,-0.134397651456352,0.30645497644534,-0.13967315744604,0.484478768627947,-0.038433848223333,0.30521767048253,-0.129141075163428,0.023639629435707,-0.154508547591424,-0.438851255487069,0.119099156188231,-0.373890082235005,0.0603423751229714,0.187904076422633,0.191181377409526,0.00336383134803356,-0.49487134073462,-0.204847672728609,-0.352417141673065,-0.0383975936597606,0.237719872579871,-0.146937178367712,0.216223821641918,-0.234058044037045,0.345357043714851,-0.241278605651386,-0.193393361892627,-0.305811599628105,0.325098381489962,-0.15870313696535,-0.314138305619494,-0.356320325974923,0.0933726457550093,-0.403881381552372,0.0790232937740274,-0.423363703992742,-0.417921545715117,-0.309218126092828,-0.466336530106931,-0.0294547050698021,-0.17440758650815,-0.142913927772267,-0.417625636378067,-0.447159656670504,-0.223628598529555,0.230100316204004,-0.233013988203362,0.0435377301571533,0.109596647095538,-0.201146066945773,-0.210577860579214,-0.11839426535726,-0.282478466323605,-0.0390860572318384,-0.285177709853525,0.295814114903333,0.299609337786665,0.137065826184506,-0.10100270327701,0.124907435358517,0.367472012195063,0.269990387693212,0.365679468435733,-0.397029265392447,-0.616933671275406,0.0923716939321601,-0.281440000907565,-0.623688836110922,-0.256921813684918,-0.352056610958874,-0.380757259992672
"母-子",0.431440087058748,0.892177430531887,0.745538813394807,1,0.626257490002352,-0.541822398535332,-0.0983986466425395,0.211482599703315,0.0969133521876784,-0.201621989719209,-0.127115318932698,-0.193289755410784,-0.170455782898929,-0.0194680089516411,-0.18754942234849,-0.220630781337948,-0.313823399086712,-0.310040353685237,-0.461262759464141,-0.219080312169199,0.399913352890224,0.295380795377136,0.23081553478666,0.0540984758225872,-0.12492902877253,0.319470836821227,0.341655177600225,-0.0499607943973249,0.0171335809349934,0.304121489643205,-0.219465360701663,-0.326002139517944,-0.0776921046119552,0.097953832738459,-0.11182695416513,-0.00378540751299712,-0.111492658519384,-0.128687927686174,-0.219216643638439,-0.165314882917611,-0.208709593211385,0.279120319544571,0.173717119926753,0.764138482229449,0.474889409471299,-0.109126639992752,-0.269536802179126,0.231793144568105,0.390841567237932,0.345576509612446,0.00659109416690859,-0.0437594782553373,0.178585669225204,-0.080543893056431,0.0494433795657804,-0.293473620413366,-0.0534633593666093,0.168872565820901,-0.247204301602185,0.205324360310962,0.126057839410256,-0.234808706580643,0.168904507210057,0.0713145667609601,-0.29432069443181,-0.275703430680545,-0.157041063334586,0.0157170894216028,-0.0796636879662718,-0.0617673579166646,0.338862153191528,0.0587967250373849,0.383752175886947,-0.0358661765844801,0.414006002979723,0.258381397344113,0.310084864852409,-0.0812814593475957,0.0689411788429962,-0.175371423847323,-0.483208384950551,-0.0632346689890229,-0.299568379574895,0.032840886499938,-0.116093251504265,0.124200223589912,0.0913882167748467,-0.476403489175083,-0.19644790298699,-0.543996721007573,-0.193229609498316,0.221059055527001,-0.219707326440331,0.26468646486524,-0.128898247145842,0.299166395843272,-0.315915508064811,-0.101533831172852,-0.207600034804249,0.261207500270687,0.164772969340371,-0.302589482637394,-0.0723532819285349,0.287021926410481,-0.247174371948413,0.0962570369275251,-0.360690092992938,-0.275431813995729,-0.363533563207474,-0.401324408674496,0.210616627974029,-0.170404465064236,-0.220656956573192,-0.432520248897909,-0.342459793129669,0.129519358620889,0.216525940450215,0.0775027942877238,-0.154611881676834,0.0709407703350996,-0.0387458500563759,-0.167274278008831,-0.157971148940671,-0.196301196729717,-0.117165421319288,-0.153509455891942,0.0718058917086464,0.161401874649347,0.246086933331979,0.0356880023063662,0.24904989575947,0.389821356245805,0.22561069294397,0.322995162167447,-0.223011999476283,-0.447979626322822,0.183845451709307,-0.228783591837133,-0.532008311306931,-0.274690174507755,-0.30072245544196,-0.632884853752484
"母-女",0.579977332678989,0.776437226529028,0.594327115473675,0.626257490002352,1,-0.248015474959008,0.167611229624662,0.0407648294826547,0.196336613140961,0.0472886508559604,-0.201835682512581,-0.125714403541557,-0.217762480375611,-0.0876500286315781,-0.0381186960685255,-0.0873662155434894,-0.0473876397560439,-0.534249005242447,-0.127207922347812,-0.233722680176193,0.280093216923148,0.356518801542063,-0.0406118271405936,-0.138087021473336,0.0835281254813914,-0.0314014711935223,-0.0746082460397145,-0.210848700298107,0.250375927265061,0.493266043274382,-0.0591683344133971,-0.239930416444498,-0.310550706774603,0.0719184210500614,-0.323928311301935,0.0448663533430017,-0.270960018674998,-0.136466728876149,-0.196192194510693,-0.126856543469989,-0.0961306076165207,0.424265607270554,0.0392724600510657,0.491916829859235,0.637994697107382,0.151405221992217,-0.0881974168808113,0.254014768385163,0.5615919581852,0.136947139588026,0.253147456271696,0.189672402640484,-0.153604515475008,-0.159617182839544,-0.15072046164541,-0.247526869268284,-0.205008294419825,0.111360811633615,0.00814561970384476,0.12486587705314,0.082094534681314,-0.0368217208177073,0.082103592227286,-0.182415840291789,-0.0436656495341262,-0.261819535040897,-0.0946203291967515,-0.100374813656247,-0.0966870268279622,0.128302582964493,0.142126408718265,-0.152887403947654,0.181165871671024,-0.29029345216688,0.417342400282041,0.0839967697344144,0.214203583554851,-0.311515773731512,-0.206999007778473,-0.133287422365201,-0.362928538253556,-0.00641280696913243,-0.520007954956401,-0.130778116590716,-0.0196812746851981,0.235506790472644,0.14582295463587,-0.476324692469114,0.0246429977358018,-0.41402027616027,-0.0666507793122467,0.37283977597076,-0.306151676981132,0.279984846915173,0.199520549430675,0.369685499253437,-0.025203906255856,-0.0304631376410933,-0.321574874885593,-0.114894032541266,0.128845290456164,-0.264133978627876,-0.093688978257126,0.172710984830278,-0.315900184428592,0.127891320227672,-0.268798395530993,-0.321749977352326,-0.392964260699249,-0.493204124302707,-0.0421819746131493,0.116798797450821,-0.151042931810816,-0.283744965607055,-0.415729637788107,0.101063890283272,0.40222652898228,0.135091588652191,0.0155872311214552,-0.114469782957833,0.235205713246413,-0.196881047449979,-0.196996085975387,-0.280857069374685,-0.207141922731919,-0.214461682408987,0.170320091270955,0.013283448546677,0.357009418110354,0.0583300470216034,0.321868878852791,0.293498774186607,0.223161053659619,-0.0101407497942506,-0.245557699990915,-0.332248861538991,-0.130036623895399,-0.411079794389051,-0.238960584862601,0.00314094838905799,-0.295081364238853,-0.285216901150614
"兄-弟",0.0768084708605075,-0.520925331287736,-0.313316650312889,-0.541822398535332,-0.248015474959008,1,0.443273857399623,-0.048768558240084,0.146107286511153,0.537877597750422,-0.0515231574507344,0.0829689133812244,0.216811686071662,-0.0996018896402251,0.137095527353707,0.128028964159602,0.303605847025427,0.169217495642102,0.495889509993624,-0.0632344653898029,-0.361524739773478,-0.215628039710951,-0.243578580710432,-0.176480797773478,-0.0183842253646949,-0.345968763257179,-0.405590109885886,-0.309050886868016,0.137162373998425,-0.280388004413755,0.0289440139948981,0.0400608756540009,-0.243575293192816,-0.0215026331687964,-0.312161860094518,-0.126929569108776,0.0713281813954478,0.00404149690455856,-0.0512222537172201,0.0527258474464835,0.220251206693682,-0.0146439704868408,-0.116221564866687,-0.594893490544798,-0.199032825391879,0.0412122360059275,0.341208572048176,-0.0297534974564869,-0.219796715204881,-0.14537676714747,0.130526200888305,0.0318525937872526,-0.296405428533847,-0.107557519599985,0.0752170292115669,0.295655690360897,-0.12650789306797,-0.180972963841775,0.348813898382225,-0.272235167406442,-0.191865393815704,0.271787083941111,-0.289927595720371,0.0746509757048518,0.243780289398622,0.0398118724479341,-0.062088814309914,-0.229063531194885,-0.103438305228195,-0.148086791959635,-0.416792662379092,-0.407989920742075,-0.426125771445252,-0.333612753356214,-0.341408217386725,-0.157584288114072,-0.0414557993275696,0.0261505526490892,0.0277012042448371,-0.0945489866336555,0.242014597033504,0.140241373540261,0.181345747952158,-0.155095967209426,0.049517148482198,-0.277939650827224,-0.127835886431772,0.233962010285915,0.338705507751741,0.548024750723743,0.289838593197757,0.0936513443080451,0.210265388425181,-0.0731321720285002,0.204773510154121,-0.267234728398263,0.315468991831334,-0.235959793202721,0.0451480721481004,-0.386647418325818,-0.0665320611257326,0.0179122881632582,-0.0114215878497434,-0.141727190837396,-0.0347265684901064,-0.263202758247452,-0.0467173048029874,-0.171070114605161,0.29509846370587,0.181977566345305,0.00116261558934229,0.255129151372016,0.302175375637231,0.218428253293184,0.158986404056642,0.00958996941116538,0.104206794546902,0.000626066846079372,0.337023649541098,0.140967748598126,0.180075704451577,0.0854839169725212,-0.0345184800182698,0.0628819193792425,-0.0783925176353159,0.157231501997435,0.134182850740585,0.0592517053369877,-0.0949583653423568,0.112542079959223,-0.0595469922096171,-0.188601918433386,-0.205199554284854,-0.292380346675347,0.284905108626795,0.393144580541951,-0.227867797831871,-0.0343160188385351,0.519887391334632,0.399119200620131,0.314925560173568,0.684863153741261
"兄-妹",0.0829747794253266,-0.0318089382012334,0.129738186132247,-0.0983986466425395,0.167611229624662,0.443273857399623,1,0.407501230075826,0.687732204182274,0.612280129267243,-0.280643198612993,-0.260886989688247,-0.193662148881819,0.0700090183374351,-0.202749093620198,-0.250042370804561,-0.0418006703697375,-0.204467990134739,0.036500256868773,-0.26571905857375,0.131939495238217,0.316214856061142,0.0592848779847259,-0.00249929128517359,0.0781962119876377,0.0267692867301032,-0.00511307236978129,-0.458364080876821,0.447876594008685,0.274691022006091,0.138369536567832,-0.147998891836346,-0.386897058880734,-0.0326526738150609,-0.403134234284237,-0.03862346094708,-0.278428849375986,-0.351063197440769,-0.389992606281632,-0.389231872369222,-0.261001473384254,0.0970030985097992,-0.276506002670616,-0.106723559198618,0.0962675107937062,-0.290342649142338,-0.16532967292495,-0.0402558881728549,0.0984146405376093,-0.305469164973097,0.523864563965513,0.387991615005723,0.060192353106261,-0.354718144612791,0.151838459675432,0.0903285962631224,0.183584395118509,0.462547492533022,0.209559901063463,0.381707137769854,0.359640396419388,0.210743448259209,0.24292953475347,0.25956390999816,0.237621233082869,-0.329136178173344,-0.41542880740412,-0.359682926520976,-0.438171434488369,-0.159571034137606,0.114859438901883,-0.540412601602706,0.0639874032926207,-0.560765765802963,0.0542014473485457,-0.361234748547437,-0.150386591976306,-0.411458252248272,-0.370631776956624,-0.482508054677742,-0.122269646523577,0.395834709987242,-0.15072615602479,0.168895544877856,0.486862073450636,0.197447436397046,0.388349061572124,-0.0461307955019483,0.318895147279337,0.0969129676551207,-0.152986439371757,0.163621186253057,-0.204072226208141,-0.0989221765887494,-0.0897092392264073,0.208928043518852,-0.179533487857596,-0.228607119599116,-0.388472821148161,-0.0709137223484853,-0.349523169805391,-0.389693947855575,-0.234484335793532,0.132838487605591,-0.407703076211674,0.276524829451933,-0.0617731865610707,-0.157631680128098,-0.0573880791205105,-0.166388613533912,0.0960317212604904,0.105799315456132,0.0779292125610716,-0.144042331921966,-0.197665863215545,-0.231508189256813,0.154580415139331,-0.238012054361394,-0.0231587355199506,-0.214642180358048,-0.113847212776921,-0.291786989188447,-0.346248576786542,-0.34908433679108,-0.364788144516277,-0.119664567641694,0.262847653586118,0.1866691801317,0.348868621603068,0.106149591532839,0.410701899721822,0.309553255817986,0.236480133721063,0.0531336107643858,-0.0373871369379068,0.0774626493912749,0.218212773343633,-0.287231972528983,0.106065896591645,0.226009046527807,0.0791438443598257,0.201881568724358
"姐-弟",-0.0454141680727015,0.205537454056658,0.292134361312689,0.211482599703315,0.0407648294826547,-0.048768558240084,0.407501230075826,1,0.640946472814936,0.184080574617763,0.03434069482592,0.0687069693657604,-0.223915496366529,0.355988909792912,0.0427646977860961,-0.173160824955384,-0.324610617224003,-0.0253843622216678,-0.31621132549746,0.0609203309586059,0.476293538508815,0.233931792251282,0.447677669142559,0.195157315183501,0.299928703963917,0.568983373424798,0.530724073457945,0.0376790257678913,-0.075460964213919,0.322671133129808,0.332161952793062,0.0209099928713361,0.106729692967273,-0.23514889175708,0.0998968743092333,0.203413617397873,0.105931639163556,0.00587921383770267,-0.141502674779307,-0.00873562839229494,-0.512137787025812,-0.193479240273533,-0.32596477411538,0.169564955038196,-0.246957771387438,-0.45248613904184,-0.4611845303317,-0.421932740738059,-0.270441251978122,-0.407406585836282,0.0917092482440243,0.0388024808661542,0.472543192732255,0.00623447029295454,0.000768531810298872,-0.408152838190058,0.361239244812257,0.291175037355748,-0.38280111333807,0.243261649143346,0.194796099421036,-0.274196214828615,0.129046089897485,0.0223068937713101,-0.205423254561056,-0.185611037272737,-0.145887410086117,0.104215394887536,-0.159815969102909,0.246364671162755,0.560661834484675,0.00314439117826371,0.534954806390634,-0.0631726944562739,0.0116967788718267,-0.398083513100132,-0.411997522833394,-0.0950625435242614,-0.157781825446698,-0.228961472819285,-0.0616950693270234,-0.0747454045702464,0.0576585168517381,0.494016349811406,0.335981567547335,0.224378498248133,0.217006215566062,0.00774604405859482,-0.140889359727231,-0.337966686020943,-0.450526287221532,-0.238033202329191,-0.387679593609437,-0.434029913519356,-0.267804492748131,0.192119153941281,-0.588811779593421,0.106577386754433,-0.0921633090206727,0.2785154435347,-0.358446351640913,-0.163153939261536,-0.349081468708057,-0.119059554421131,-0.182089008847639,0.213100170183143,0.178679668067389,0.212452148377058,-0.276184298155189,0.0105075144366023,0.0149715027079067,-0.348838631982321,-0.356633711092457,-0.0284803230198316,0.01002671353741,-0.335065013798451,-0.246476428217552,-0.354403119011736,-0.285357177790726,-0.04338584207808,-0.303699812593976,0.0806009171981968,-0.166579292343312,0.0305617657177325,-0.0351603246722766,-0.40101174574433,-0.15813232246026,-0.089825137799829,0.169612680277722,-0.0132449648006552,0.223912202205013,0.308168972760819,0.183235459314622,0.59894261197751,-0.288095544939603,-0.244306146278953,0.660991734504408,0.115178172653714,-0.335809578697601,-0.29773489510339,-0.43021466508032,-0.267208175192726
"姐-妹",-0.0901445151940118,0.0910019703986434,0.244656757403866,0.0969133521876784,0.196336613140961,0.146107286511153,0.687732204182274,0.640946472814936,1,0.45278678466727,0.0524186927441791,-0.135572912340889,-0.371001598914081,0.236979827886846,0.0408233411216617,-0.0651798269932032,-0.339697755588909,-0.307881123715703,-0.249408641871103,-0.0850531331096861,0.446805252193287,0.539801383957058,0.258910203370583,0.168225859805516,0.286380834638125,0.228908237310733,0.190826051930766,-0.19234479109763,0.114507915529241,0.527450957388542,0.245961051064431,0.0984289069638878,-0.0751195042530283,-0.158130114622632,-0.151777956657778,0.0997087866335555,-0.251952435123228,-0.16689142077349,-0.134761117631087,-0.267688599887634,-0.493515529937187,-0.199782679383381,-0.407248682354784,0.0237771115319213,-0.0127440659814362,-0.434340794161871,-0.35238328894887,-0.182688030605204,-0.0574786976652991,-0.31397064519371,0.216606063712285,0.103760156519157,0.24260838514855,0.0171854100493193,-0.000706686117053594,-0.130434975927469,0.326528246477363,0.440418139125958,0.0569206839141551,0.347041343233417,0.219137873655222,0.0173578640352343,0.272433861757883,-0.0122636769721644,0.0186239806620408,-0.111339471325886,-0.0699244571069905,-0.0255757791492338,-0.0979170849859526,0.0415334865969728,0.423468494673957,-0.236153915209085,0.381163595734639,-0.228539307438613,0.226891641161418,-0.472695369670239,-0.255280770487458,-0.529484124421954,-0.498913790193293,-0.211465376446396,-0.0702565330927266,0.056235395294701,-0.231562843895716,0.348461836481781,0.437635418933093,0.351148226202416,0.206885420112925,-0.127989547428104,0.140706069900876,-0.244490744992794,-0.354274458060605,-0.0537250312637338,-0.418637833149967,-0.22550689226443,-0.220846627138262,0.471794661210569,-0.357716643809455,-0.0231457446787469,-0.407863025421677,0.114987015180618,-0.467055415559844,-0.17741621651064,-0.357851263542619,-0.16793260939148,-0.278504067680897,0.476286779911362,0.115909437222885,0.0225045945123401,-0.299807148421569,-0.200972949580046,-0.0886006338417465,-0.0558441807082773,-0.117560468065492,-0.0290788939901743,-0.131324951101735,-0.324962073513173,-0.0856205963130215,-0.332407443409161,-0.198310568180524,-0.29675249746195,-0.215038768633399,-0.250205995846555,-0.0237070174570491,-0.327065488230316,-0.0210640594588587,-0.377370431645972,-0.0263332138697882,-0.0778639981246865,0.144963904347414,-0.0543618359801533,0.283289550717357,0.372682154439996,0.439737453550693,0.296043698546522,-0.259716457454567,-0.270309758373784,0.506182635499434,-0.0170233413346473,-0.258741178942434,0.089828383796692,-0.135195146068611,-0.161980613264627
"祖父-孙子",0.0839459095115806,-0.0977447765870609,-0.122597133235848,-0.201621989719209,0.0472886508559604,0.537877597750422,0.612280129267243,0.184080574617763,0.45278678466727,1,-0.178286658210478,-0.00940524852206687,-0.231673171438083,-0.32277735758162,0.0262251368785347,0.0459180078780107,0.139376377605872,-0.070747057070162,0.154861937028133,-0.187531404082786,0.0325114945119368,0.040874197877046,-0.324816601297474,-0.418887779871769,-0.232446111958548,-0.274878036154681,-0.30118770105794,-0.447520405355764,0.204386266336006,0.0760691199617702,-0.118646123116416,-0.0203019425497671,-0.335050476880337,0.115481798279977,-0.389715347233061,-0.381865362342059,-0.0894185371188195,-0.132802890961534,-0.172488625511963,-0.142848833527409,-0.287868955987777,0.0871113912329136,-0.0616826572612443,-0.225457970793771,-0.100390891897717,-0.034415274337577,-0.203762981470645,0.0765150491910611,-0.141093761928378,-0.0680059064566474,0.304723140527535,0.197239258057228,-0.350761506488306,-0.268703236744309,0.349313928048841,0.289436117569838,-0.258087788013372,0.165857813815679,0.567240247294697,0.0950161317222162,0.116515839798805,0.566561340440438,-0.0259758466249822,0.308595415176938,0.541505507254488,-0.0928343928460321,-0.226935038597123,-0.362064288178832,-0.244383911524948,-0.296490908027878,-0.015580871549397,-0.552730787107566,0.00220875577419056,-0.511048662110518,-0.0759229481725851,-0.143897954287557,0.00264448857239739,-0.374679360854113,-0.366225111261417,-0.207390879223452,0.161036526238357,0.253630806490397,0.114762329553221,-0.0145648472363221,0.116214795420898,0.0305332586406764,0.123566618749669,0.18584108030887,0.648710831302067,0.139456752626471,-0.197580931627206,0.193608753973736,-0.282022211048116,0.00379446022743016,0.135165479607704,0.0841338326202832,-0.113434319279234,-0.381474218513629,-0.224251712837987,-0.451891090807668,-0.0637338694481376,-0.167020532556327,-0.00726711901433512,-0.0664992789670974,-0.201052034661564,0.0983341779167829,-0.205506482964238,-0.253840115230525,-0.00622522576331894,0.0181176628907811,0.380940657415097,0.473223700789633,0.291372501377152,0.214901408522146,0.164965234473478,0.00738980165460013,0.171200410131764,0.0208679130469099,-0.111569889577681,-0.250714654722705,0.0962705478118951,-0.152316965274091,-0.205476696761508,-0.168903619635927,-0.273833366841249,0.00460954914243378,0.0818741828156088,0.0863517931043274,0.0877943323003017,0.40279016637476,0.174391098823373,0.0362699883535744,0.0202045628895786,-0.257726998924796,0.123499794214285,0.273743627041091,0.021553036900717,-0.286854503994844,0.277898666010363,0.538994548618817,0.289071915010073,0.304005934951278
