"","query","layer","position","r_value"
"1","q3.2_bert_embedding_data","hidden","CLS",0.136955444888714
"2","q3.2_bert_embedding_data","layer0","CLS",0.0413608422761264
"3","q3.2_bert_embedding_data","layer1","CLS",0.0603805232461167
"4","q3.2_bert_embedding_data","layer10","CLS",0.073304509856584
"5","q3.2_bert_embedding_data","layer11","CLS",0.136955444888714
"6","q3.2_bert_embedding_data","layer2","CLS",0.0620017423031259
"7","q3.2_bert_embedding_data","layer3","CLS",0.0716148383039914
"8","q3.2_bert_embedding_data","layer4","CLS",0.0794375457712009
"9","q3.2_bert_embedding_data","layer5","CLS",0.0811116312129983
"10","q3.2_bert_embedding_data","layer6","CLS",0.0826405334022583
"11","q3.2_bert_embedding_data","layer7","CLS",0.0605307245884044
"12","q3.2_bert_embedding_data","layer8","CLS",0.0379673178661738
"13","q3.2_bert_embedding_data","layer9","CLS",0.0325749596297209
"14","q3.2_bert_embedding_data","hidden","MASK",0.153016959862732
"15","q3.2_bert_embedding_data","layer0","MASK",0.00841638704038717
"16","q3.2_bert_embedding_data","layer1","MASK",0.0135862716120826
"17","q3.2_bert_embedding_data","layer10","MASK",0.121485292653148
"18","q3.2_bert_embedding_data","layer11","MASK",0.153016959862732
"19","q3.2_bert_embedding_data","layer2","MASK",0.0148022917901726
"20","q3.2_bert_embedding_data","layer3","MASK",0.0172736838749757
"21","q3.2_bert_embedding_data","layer4","MASK",0.0168446930986652
"22","q3.2_bert_embedding_data","layer5","MASK",0.0214248307415251
"23","q3.2_bert_embedding_data","layer6","MASK",0.0248523900272266
"24","q3.2_bert_embedding_data","layer7","MASK",0.0343138020638583
"25","q3.2_bert_embedding_data","layer8","MASK",0.0560584097501125
"26","q3.2_bert_embedding_data","layer9","MASK",0.0888881060527332
"27","q3.2_bert_embedding_data","hidden","关系",0.1520899266973
"28","q3.2_bert_embedding_data","layer0","关系",0.01785721135447
"29","q3.2_bert_embedding_data","layer1","关系",0.0347199177728243
"30","q3.2_bert_embedding_data","layer10","关系",0.127227189993979
"31","q3.2_bert_embedding_data","layer11","关系",0.1520899266973
"32","q3.2_bert_embedding_data","layer2","关系",0.0527712893324031
"33","q3.2_bert_embedding_data","layer3","关系",0.0534603655108878
"34","q3.2_bert_embedding_data","layer4","关系",0.0635820110385626
"35","q3.2_bert_embedding_data","layer5","关系",0.0890837282822923
"36","q3.2_bert_embedding_data","layer6","关系",0.0962291825903728
"37","q3.2_bert_embedding_data","layer7","关系",0.0939974898701908
"38","q3.2_bert_embedding_data","layer8","关系",0.101361082198029
"39","q3.2_bert_embedding_data","layer9","关系",0.120315467629295
