"","V1","V2","V3","V4","V5"
"互动强度",-0.512150383322243,0.572031371052196,-0.259259180189581,0.223309145696505,-0.216997808839024
"交配",-0.0412286081880841,0.100493491545405,0.685690316299912,0.00948089832297624,-0.195030012615809
"亲密性",-0.486405536853627,0.530845304152821,0.06002878218977,0.284185220834204,-0.177664656409292
"代沟评估",-0.296939317437781,-0.0787997264737593,0.763266775555964,-0.0809775519752822,0.0930378077422255
"依恋",-0.432027198009601,0.674845878380633,0.114557224742578,0.0176413230252014,-0.0640891324589208
"信任评估",-0.67007567989752,0.461906123200172,0.0800468065997748,-0.201742448941439,0.0252507747917727
"信息传递",-0.0800871102947252,0.609598744555168,-0.315486187910401,0.0162870418651968,-0.0259937626473541
"共有式分享",-0.697220126426328,0.188463916611501,0.110864353030819,-0.114527082300046,-0.0760722406916688
"关系效价",-0.716319258012854,0.0410350291810034,-0.0923163600676284,-0.0983559496205633,-0.0289263734416099
"具体性",0.00208271720062458,-0.234083275519276,-0.257403650200936,0.393567876079495,0.606999427007154
"冲突",0.487367585088016,0.210915546175226,0.0649892119739011,0.373914131486717,0.353434451954443
"可见性",-0.604588601343903,-0.164195738914645,0.0668885399018916,0.265112582474062,-0.102078069696256
"同步性",-0.0684718898596569,0.578885388799665,-0.261022603896083,-0.252719481178549,0.391021304404209
"品德评估",-0.67954721103401,0.178706970746163,0.0774400594388409,-0.215728924808928,-0.0267855582994278
"商品交换",0.168297067640234,0.127769194922734,-0.0690836799130355,-0.111619944860495,0.770121195311119
"对相关人员的重要性",-0.513796705037031,0.593089816089835,0.0367061122213251,-0.147334860521989,0.0277374936390506
"对社会的重要性",-0.188706000812846,0.735274341482635,0.117736500581121,0.20880014229751,0.0840947611905051
"平等性",-0.0748382368571614,0.174411666860694,-0.854227070400663,0.0797201344045629,-0.129960393353814
"强迫",0.410937962536846,0.354118246050094,0.391531248165029,0.257522786656562,0.376354069001144
"持久性",-0.773596578035717,0.22859193204304,0.0609744370963467,-0.133676044322843,-0.0553349219948982
"服务交换",-0.0904050805316186,0.010501033189439,0.264632883572395,0.0401213945286709,0.768922519791675
"期待互惠性",-0.0193302313611969,0.154859205744078,-0.14946855602913,0.81958919931256,0.0330087685202005
"正式性",0.204413654233716,0.014893745614793,-0.103535230750523,0.731398609208191,-0.0238210618736192
"爱的表达",-0.750365887164823,0.258514838911917,0.174049984867135,-0.0607875208074836,-0.14281730542671
"独特性",-0.104940620432565,-0.0116831197910668,-0.203250992143839,-0.359778991784312,-0.0427761402647604
"理性",0.483574785715834,-0.0668893977485543,-0.093964391655279,0.557964662592925,0.0683972328342277
"社会情感性",-0.76593257477294,-0.0104842246907562,-0.107585477234346,-0.240131627067738,-0.223182665490811
"积极性",-0.729379374476931,0.242806807484247,-0.133290824887498,0.0269628873388454,-0.195327630762595
"空间距离",0.144568574634268,0.778150496387985,0.0542554490940526,0.00279317821422319,0.177138870906455
"职业性",0.465839953071962,0.186235346082993,0.0440248834814715,0.20335449435143,0.468182906431733
"联盟.联合组织",0.277530101214183,0.229800908061827,-0.133775183075675,0.060846430624964,-0.0269042074702783
"谈判",0.536346037494077,0.168278786865384,-0.0351501420500657,0.335073639505263,0.514277946059519
"金钱交换",0.275995750312973,-0.0165647334350633,-0.0177629785779071,-0.0474038553704365,0.7362134449301
