¹ØÏµ,»¥¶¯Ç¿¶È,½»Åä,Ç×ÃÜÐÔ,´ú¹µÆÀ¹À,ÒÀÁµ,ÐÅÈÎÆÀ¹À,ÐÅÏ¢´«µÝ,¹²ÓÐÊ½·ÖÏí,¹ØÏµÐ§¼Û,¾ßÌåÐÔ,³åÍ»,¿É¼ûÐÔ,Í¬²½ÐÔ,Æ·µÂÆÀ¹À,ÉÌÆ·½»»»,¶ÔÏà¹ØÈËÔ±µÄÖØÒªÐÔ,¶ÔÉç»áµÄÖØÒªÐÔ,Æ½µÈÐÔ,Ç¿ÆÈ,³Ö¾ÃÐÔ,·þÎñ½»»»,ÆÚ´ý»¥»ÝÐÔ,ÕýÊ½ÐÔ,°®µÄ±í´ï,¶ÀÌØÐÔ,ÀíÐÔ,Éç»áÇé¸ÐÐÔ,»ý¼«ÐÔ,¿Õ¼ä¾àÀë,Ö°ÒµÐÔ,ÁªÃË/ÁªºÏ×éÖ¯,Ì¸ÅÐ,½ðÇ®½»»»
Èý´ÓÐÖ-Èý´ÓµÜ,0.66190462,-0.686519981,0.035658378,-1.362276559,-2.374283644,-2.330052915,-3.70619173,0.327166762,0.139029811,1.629043302,1.819495827,0.246639124,-0.87491748,-0.2217068,-1.85644413,-3.150948089,-1.944611432,0.85585396,-1.028773457,0.688576397,-1.365191361,1.0008842,1.281168195,0.714426038,1.146177704,2.48354423,-0.307352342,1.151315657,-1.645699136,-0.528241817,2.421540085,2.196340237,-1.640064055
ÒåÄ¸-ÒåÅ®,0.963256647,-0.686519981,-0.43701128,0.56788946,1.220361115,0.185482489,1.31844014,-0.565613185,0.78358959,-0.124985764,-0.78341835,-0.75559459,-0.100667544,-0.319058866,-0.01080537,-0.094402651,-1.111239405,-1.069606288,-0.529672391,-0.037373761,0.29310483,-0.339774265,-1.485384643,0.070443744,0.264705053,-0.632339917,0.458161171,0.514450683,0.9845479,1.017537534,1.458905578,-0.465990894,0.593921284
ÒåÄ¸-Òå×Ó,0.646837018,-0.491869164,-0.614262402,0.589495796,-0.098277414,0.229358106,0.062282172,-0.293424177,0.213402093,-0.02300733,-0.204461336,-0.865840298,0.854521235,-0.513762999,-0.366893283,-0.205955404,-1.001171401,-1.315483407,0.094203943,-0.17615835,0.279731474,-0.563217343,-0.479365429,-1.051494158,1.321572773,0.453768271,-0.602621839,-0.244888323,0.65576702,1.257133333,0.423213988,1.584198407,0.49917637
Òå¸¸-ÒåÅ®,-1.748911599,1.989928757,-0.555178695,0.164571187,-1.019518031,-1.511041388,-0.21617649,-1.567268735,0.287774375,2.240913906,1.302740807,0.427041193,0.740908473,-3.239620859,0.972197883,-2.347768266,-1.755923426,-0.681743792,0.672707452,-1.87360063,0.881532511,-1.010103498,1.281168195,-1.881627584,0.498565144,0.240107644,-0.635429561,-1.641092303,0.233048747,3.274375386,0.771309501,2.079741793,1.591236167
Òå¸¸-Òå×Ó,-0.603773895,-1.173147025,0.685579159,0.250996531,0.768772578,-1.979047975,1.194680734,0.457817486,-0.90218214,-1.002000296,1.819495827,-2.278989835,0.437941107,0.0703494,0.370359156,0.931882678,0.555504649,-0.972640664,1.965832944,0.176140991,1.951401022,1.391909586,-0.932074076,1.016292738,-1.660143391,2.430129073,-2.669508323,-2.596389763,1.642109659,0.02823875,0.358751855,2.138041015,2.369141776
Ç×¼Ò-Ç×¼Ò,0.541363809,-1.173147025,-0.230218305,-1.203830095,-0.125372727,0.185482489,0.823402517,0.131190676,0.43651894,0.282927972,-0.304941479,-0.204366047,1.700305133,0.021673367,1.062473691,1.300006764,1.21591267,1.541539445,-0.382210712,0.656549184,-0.429056414,-1.010103498,0.325449942,-0.462854093,0.28269429,-0.561119708,-0.504198673,0.159275987,0.961063551,0.306479033,-0.079590643,0.126717861,0.185022181
´Ó×æ¹Ã-´ÓÖ¶Ëï,0.450958201,0.773361149,0.596953598,0.596697908,-0.260849288,0.507237017,-0.476071242,-0.032122729,-0.158459318,-1.216155008,-0.563318989,0.396974181,-0.647691955,-0.951847298,-0.23147957,-0.440216186,0.130956635,-0.827192228,-0.280121857,-0.464403266,-1.124470946,-0.898381959,0.476352824,-0.281734073,0.444597431,-0.774780335,0.151955766,-2.890327443,0.397439186,0.491972555,-0.311654319,-0.718620855,-1.011755678
´Ó×æÄ¸-´ÓËïÅ®,-1.266748356,3.69312341,-0.200676451,1.28810066,-1.073708656,0.302484135,-3.4834248,1.111071106,0.734008068,-2.042180324,-0.764279275,0.727711307,-1.83431414,1.725334529,1.273117246,0.864951026,1.263084672,-2.094671457,-0.620418039,1.585338356,2.967776107,-1.959736578,-1.485384643,1.499279458,1.038242278,-1.095271276,1.3986492,0.342987037,-1.035106074,-0.899228861,-1.75560608,-0.951817743,-0.323608409
´Ó×æ¸¸-´ÓËïÅ®,0.722175025,0.56248943,1.493056493,1.00001618,0.895217368,1.082495113,-0.117168966,1.546573519,1.279404804,2.322496653,0.441482439,1.48940893,1.330011685,1.303475575,0.270052702,1.132677634,1.561840681,0.842001728,0.854198749,1.051551475,1.701765036,1.019504457,1.415304091,-0.593662996,-0.940573879,-0.009163088,1.11431561,1.445253336,0.373954838,-0.682819752,-0.689832161,0.447363582,-1.460547376
´Ó×æ¸¸-´ÓËï×Ó,1.505690296,-0.199892938,1.749085891,1.14405842,0.606200704,0.711989899,-0.364687777,0.91509502,-0.604693011,-1.002000296,-0.362358703,0.727711307,1.548821449,-0.2217068,1.513852736,-0.005160449,0.083784634,1.146750833,-0.212062621,0.752630822,-1.097724234,-1.401128884,1.985381645,1.499279458,-2.469659091,-0.721365179,1.267418312,-0.538826003,-1.645699136,0.120985511,1.699564205,-0.54372319,1.411719488
²®Ä¸-Ö¶Å®,-0.54350349,-1.00282756,-1.500518012,0.351826099,-0.585993035,1.735754307,0.712019052,0.751781615,0.585263504,-0.451316753,-0.96523956,-0.234433058,-0.546702833,1.238574197,-1.104145723,0.965348504,-2.416331447,-0.39084692,-1.301010403,0.624521971,-0.215082712,-1.205616191,-1.912942809,0.382372668,-0.04111199,-1.762960736,1.004956537,0.967604607,-1.73963653,-0.991975622,-2.090809167,-1.359912295,-0.592883427
²®Ä¸-Ö¶×Ó,-2.110534032,0.943680614,-1.973187671,0.481464115,-1.669805525,-1.862046328,-1.96118411,-2.38383576,-1.050926704,-0.05360086,0.441482439,1.178716478,-0.824422919,0.021673367,0.069439793,-1.109532705,-1.496477417,-0.889527272,-0.382210712,0.112086565,0.186117979,-0.339774265,-1.359632242,-0.583600773,-2.037917384,-0.400874238,-0.176121454,-0.502083793,-1.129043468,-0.389121675,0.822879207,-0.22307747,1.082605576
²®¸¸-Ö¶Å®Ðö,0.571499011,0.773361149,-1.234641329,0.150166963,-2.455569581,-1.920547152,-1.144372033,0.065865314,0.473705081,0.588863275,0.096979093,-0.865840298,-1.556594054,0.167701466,0.219899475,-1.544588443,-1.803095427,-1.575212757,-0.007884912,-2.033736695,0.186117979,0.917093046,1.683575881,0.110692637,-2.685529945,1.388533515,0.0535326,0.085791567,-1.176012166,0.167358891,2.060552145,-0.718620855,-0.682641767
²®¸¸-Ö¶Ï±,-0.201971192,-0.78384539,0.173520362,0.7119317,0.154612167,-0.02902053,0.204605489,0.348941883,-0.009714753,1.159942505,0.594595038,0.146415753,-0.959075082,0.037898711,0.631155938,-0.562924215,0.068060633,-0.640187096,0.377784095,0.176140991,-1.026399666,0.032630864,-0.160792678,0.251563764,0.516554382,-0.062578245,0.042596693,0.440966263,0.530517161,-0.590072991,-0.328844221,0.058702103,-1.241138102
