"","V1","V2","V3","V4","V5"
"互动强度",-0.458795358519955,-0.608746359650893,0.244394803332237,-0.207061495880363,0.226809830092399
"交配",-0.0355929047383734,-0.104453526059565,-0.683650705970019,0.00165111638479048,0.161498576983196
"亲密性",-0.415382994055036,-0.574481167391253,-0.0629792530847841,-0.265870542418883,0.191374408143454
"代沟评估",-0.324465351196285,0.0544781950558161,-0.763788157358213,0.0908655990519306,-0.107185195008857
"依恋",-0.352548526325077,-0.706126811669759,-0.105748654874508,-0.0109248916768017,0.0625348381256411
"信任评估",-0.634703317222676,-0.506183026248744,-0.0674670435274895,0.205123084900938,-0.0125058826639154
"信息传递",-0.0596398224064496,-0.593951918320248,0.316396133635306,-0.0126154701377586,0.011857946873646
"共有式分享",-0.663847996108467,-0.256037119619116,-0.111917449463638,0.11582078476952,0.0952435872632215
"关系效价",-0.756005187158356,-0.0934975316431669,0.0750157765667568,0.101684992774961,0.0306625658903366
"具体性",-0.0122703984005441,0.228922686752094,0.274547885332984,-0.412297803149008,-0.589473159891398
"冲突",0.580839094165909,-0.184788136075425,-0.0528752007098151,-0.394603738572031,-0.381508458374261
"可见性",-0.61328236350392,0.107085823783495,-0.100506540078608,-0.274138702146992,0.0804912476739595
"同步性",-0.0211986801010722,-0.564437966210202,0.26531287108284,0.253085089973447,-0.397486189077976
"品德评估",-0.687900809003887,-0.232647700693757,-0.0789222198527789,0.227554212132704,0.0362704068457741
"商品交换",0.161897637148541,-0.10523321645025,0.0651873710892635,0.0989382161305486,-0.779280098238287
"对相关人员的重要性",-0.460383390010426,-0.620612921662868,-0.0432157495831127,0.144228593349371,-0.0427481341416049
"对社会的重要性",-0.133312374172293,-0.735257987106663,-0.10531278952294,-0.1871426190474,-0.0754193256926584
"平等性",-0.0415890813488753,-0.178993774474316,0.843453377083487,-0.0988100685495787,0.133308671253724
"强迫",0.491616325819509,-0.330316638095305,-0.364771531689637,-0.267922387841139,-0.401315832607716
"持久性",-0.777560546565108,-0.289766863659366,-0.0758031017602322,0.164070526830435,0.0893411446878536
"服务交换",-0.0766100286538102,-0.0178425360703071,-0.263101125412714,-0.0222240453421182,-0.770106468181137
"期待互惠性",0.0134453717808098,-0.176106268530358,0.138395579665439,-0.793221057744721,-0.0101046093792638
"正式性",0.172448434114523,0.000101557503580895,0.0849763979655146,-0.740859725213249,-0.0266907632687095
"爱的表达",-0.713305875613147,-0.326902826388505,-0.178211121204092,0.0676657928038114,0.146992980837171
"独特性",-0.134757714974906,0.0223671794812491,0.218023544153852,0.312875363536931,-0.00666847735798847
"理性",0.465629836392658,0.102355195001486,0.0858364626944544,-0.570824747710314,-0.112307141885188
"社会情感性",-0.745822122156062,-0.0607933204393908,0.108311465174521,0.225301059330639,0.226830924857572
"积极性",-0.703938358068476,-0.307449246854044,0.122027243125653,-0.0385992563517665,0.173497001667147
"空间距离",0.181958889790003,-0.739360089881824,-0.0489755467279971,0.0113876870410493,-0.210418168149932
"职业性",0.435286684145788,-0.130863900625566,-0.0436670885135872,-0.191046249150978,-0.490321800798189
"联盟.联合组织",0.312582219647664,-0.212213438328597,0.136189619426188,-0.0444379450525551,0.0507607742779444
"谈判",0.591433035980425,-0.126170277930472,0.0497455353487836,-0.345316173889236,-0.522542800103736
"金钱交换",0.264258842959524,0.0404122939268529,0.0210740863980926,0.03236398288696,-0.752555553589702
