"","V1","V2","V3","V4","V5"
"三从兄-三从弟",-0.205946375737879,2.13728869289477,1.28596493248793,-2.55294975621136,0.992768312342729
"义母-义女",0.133177363598684,-0.490618754059884,0.159092325813165,1.16786318601163,-0.177737066100001
"义母-义子",0.635443851687168,-0.184879890605096,-0.0581975707355125,0.763096597338978,-0.582442355548699
"义父-义女",1.30576802346403,1.1521103191485,-0.388068815106434,-0.437854092642378,-1.8032198056933
"义父-义子",1.64330196753146,-1.55644132213351,-1.06453740073647,-0.271295690762373,-1.09050290735732
"亲家-亲家",0.0949060622017633,-0.959745375257467,1.66905200670379,0.889772597378307,-0.589459684874763
"从祖姑-从侄孙",0.697572640886889,-0.08432096433661,-1.0070855338273,0.513212845911299,1.19101008197284
"从祖母-从孙女",-1.56466436268635,1.23142287279728,-3.21466791904782,1.40711206742826,-0.734393581578748
"从祖父-从孙女",-1.88487510843988,-0.55301445332169,-0.178555500355446,-1.94535732411681,-1.18934579589738
"从祖父-从孙子",-0.562901244124438,-0.499046525657049,0.065013100597562,-0.187289476936319,-0.0385425584614414
"伯母-侄女",-1.21176108015326,1.26820419824308,0.361164081101933,1.86831803325801,0.191796736624319
"伯母-侄子",0.444123138280776,2.03646253487676,-1.01519269355095,0.420498215984736,-0.221934241578402
"伯父-侄女婿",0.194326532426561,1.72712669602865,-0.730596772348318,-1.66540750317927,0.518363536294742
"伯父-侄媳",-0.219855266596256,0.150614248864621,-0.16095237999522,-0.376662928220094,0.113278595266593
"伯父-侄子",0.204095332074868,-0.476913542283155,-0.00288940302220274,-0.741043156230054,-1.20857873943189
"兄妹",-0.0220093125546855,-1.07469024371226,0.0261051677196067,0.0405940734988645,0.889410303703188
"兄弟",-0.169726258273082,-1.18346981253881,1.21173821478486,-0.0737440993509094,0.188277205466506
"公公-儿媳",-0.416873496973559,0.222431015550666,-0.679002822055261,-1.46870373629516,-1.40439093443846
"养母-养女",0.323152481623282,-0.546375971441164,-0.00592190509206147,0.102580106480072,0.40090167723507
"养母-养子",1.94360742098378,-0.270041115636676,-0.943028656197932,-0.0668164180107618,-0.198872473541996
"养父-养女",1.35118297887553,-0.260443994976432,-1.16190981616885,0.0430647038349056,0.104898818810429
"养父-养子",-0.496397255184558,-1.13537724570007,-2.03785351922511,0.565469402858268,1.21118915030798
"再从兄-再从弟",1.10866424597828,0.275651988105096,0.358766454363031,-1.069629506833,-1.37500420491088
"叔-嫂",-0.600562047024556,0.76661236281651,1.15179270752835,0.821613764771095,-0.939344150365749
"叔母-侄女",-0.798260011883977,0.456479818101734,0.100091995419877,-0.589987203837504,-0.35801068227397
"叔母-侄子",-0.0623880397111892,-0.283556924843034,0.0936431773757554,-0.522846972174361,-2.05619829380254
"叔父-侄女",-0.135386845851624,-1.15782124312437,-0.273885890063227,1.86207066082072,0.651556976342225
"叔父-侄子",-0.41479223845512,0.330882059802098,0.34370081197784,-1.37352294166311,3.04066480373874
"同母异父兄-同母异父妹",1.38303674079464,-0.360267652429555,0.736653039151463,-0.814018543633342,0.251565639204457
"同母异父兄-同母异父弟",2.19539812941612,-0.709180696264564,-0.396395667871936,-0.556034557196093,-0.720127500589068
"同母异父姐-同母异父妹",2.17254723832026,0.126232674529362,0.169937244733363,-0.0254084036677892,0.770481698884503
"同母异父姐-同母异父弟",1.02962200352447,-0.0936014572951062,0.399554538866432,0.0567980157112848,0.46761952103743
"同父异母兄-同父异母妹",2.12945744267476,0.271645046422019,-0.309818551205447,0.533058418883109,-0.773042031641139
