"","表嫂-表小叔","表叔-表侄","表兄-表弟","表兄-表妹","表姐-表弟","表姐-表妹","伯父-侄女","伯父-侄媳","伯父-侄女婿","伯父-侄子","伯母-侄女","伯母-侄子","曾祖父-曾孙女","曾祖父-曾孙子","曾祖母-曾孙女","曾祖母-曾孙子","从祖父-从孙女","从祖父-从孙子","从祖姑-从侄孙","从祖母-从孙女","从祖母-从孙子","兄-弟","同父异母兄-同父异母弟","母亲-亲生子女","母亲-非亲生子女","同父异母兄-同父异母弟","同父异母兄-同父异母妹","同父异母子女-同父异母子女","同父异母姐-同父异母弟","同父异母姐-同父异母妹","弟媳-伯","夫-妻","夫-妻","出轨者-第三者","夫-妻","父-女","父-子","高祖父-玄孙","高祖母-玄孙","公公-儿媳","姑表兄-姑表弟","姑表兄-姑表妹","姑表姐-姑表弟","姑表姐-姑表妹","姑母-侄女","姑母-侄子","姑-嫂","姑父-侄女","姑父-侄子","亲家-亲家","继父-继女","继父-继子","继母-继女","继母-继子","继外祖父-继外孙女","继外祖父-继外孙子","继外祖母-继外孙女","继外祖母-继外孙子","继兄-继弟","继兄-继妹","继姐-继弟","继姐-继妹","继祖父-继孙女","继祖父-继孙子","继祖母-继孙女","继祖母-继孙子","舅表兄-舅表弟","舅表兄-舅表妹","舅表姐-舅表弟","舅表姐-舅表妹","舅父-外甥女","舅父-甥媳","舅父-甥女婿","舅父-外甥","舅公-甥孙","舅母-外甥女","舅母-外甥","妹夫-妻兄","妹夫-妻姐","母-女","母-子","婆婆-儿媳","原配-第三者","三从兄-三从弟","叔父-侄女","叔父-侄子","叔母-侄女","叔母-侄子","叔-嫂","继母-继子女","继母-继子女","堂伯-堂侄","堂兄-堂弟","堂兄-堂妹","堂姐-堂弟","堂姐-堂妹","堂姐夫-堂内弟","堂祖父-堂侄孙","堂祖母-堂侄孙","外曾祖父-外曾孙","外曾祖母-外曾孙","外祖父-外孙女","外祖父-外孙子","外祖母-外孙女","外祖母-外孙子","兄-弟","兄-妹","兄妻-弟妻","养父-养女","养父-养子","养母-养女","养母-养子","姨表兄-姨表弟","姨表兄-姨表妹","姨表姐-姨表弟","姨表姐-姨表妹","姨母-外甥女","姨母-外甥","姨婆-姨甥孙","姨父-外甥女","姨父-外甥","义父-义女","义父-义子","义母-义女","义母-义子","姻伯叔-姻侄","原配-继室","岳父-女婿","岳母-女婿","再从兄-再从弟","姐-弟","姐-妹","姐夫-妹夫","姐夫-妻弟","兄-弟","族伯叔-族侄","族兄-族弟","族姐-族妹","祖父-孙女","祖父-孙子","祖母-孙女","祖母-孙子","祖先-后代"
"表嫂-表小叔",1,0.303571619456406,-0.130841347423406,-0.0768715358688717,0.440130182152223,-0.210118187022957,-0.324654990900549,0.339120966606513,0.244662178291554,0.164050675475104,0.070831923242353,0.185598155244034,-0.100536486388285,0.581275041425703,-0.134817691636902,0.192656168092658,-0.490476351383576,-0.298851555565911,-0.299714420642428,-0.0279002330398941,-0.0604884006506414,0.000729053215388822,-0.0377890136873707,-0.44917794204431,-0.00758897212883376,-0.285220487280014,-0.081869868973789,-0.0979474920194228,-0.357583716479726,-0.333489652556229,0.797213459309215,-0.339614121990503,-0.28045779831696,-0.462247872422959,-0.390348955007936,-0.0606376198473589,0.835262176245099,0.127839733312978,-0.199081710123561,0.395187508180985,-0.217997294822177,0.219684030170215,-0.121080966540481,0.103929047924783,-0.350671194344072,-0.301813482529736,0.642205537780641,0.448653448797411,-0.160838390444892,-0.341323704770002,-0.327092567781538,0.00252004622869389,-0.478069268836319,-0.298829929874635,-0.29566487599178,-0.459219563308755,-0.27971937229352,-0.345787590090658,-0.408208611196565,-0.167782945381245,-0.0260599339370986,-0.0466895861493112,0.766079813909752,0.75097358993391,0.185257017633016,-0.0364351042504334,0.559257016112928,0.108484007609488,-0.401935887624056,-0.0316580229528947,-0.362837912861059,0.358314532072564,0.234420648598609,0.170357767118113,0.12984108998533,-0.201802985945082,0.135579394006587,-0.00923048289561899,0.140073976246018,-0.0594339720262971,-0.143580941411157,-0.256569795087284,-0.277796780973626,-0.344971931848178,0.0168233528892576,-0.369220102063672,0.118203010335063,-0.387851208834057,0.285368587272829,0.126080566192519,0.0802467999882041,0.232122335732023,-0.290840644529718,-0.0367836401869342,-0.311264142862198,-0.0284426413711349,0.279949511537569,0.245217663466474,0.34321791338518,-0.0565692838512658,0.424189833268407,0.0501513662674378,-0.26941013720114,0.0804947740293945,-0.120664580511811,-0.22245061202073,-0.0741903224286318,-0.488251770717329,-0.0665641475830869,0.287617538032244,0.226937083005244,0.0904273956951833,0.404869669546517,0.233929098991463,0.344086415031825,-0.0680184954002636,-0.317286284263901,-0.185960528483086,0.721194136551531,-0.194044583120566,-0.321748477285369,0.253049098906733,0.201563290555179,-0.439810279881598,0.26033660285561,0.373814823337869,0.332597863729078,0.0631068067179946,0.239226160153092,-0.259151291321122,-0.116128098732387,-0.0739889848026112,-0.441837665503642,0.690892489944131,-0.0170383697854284,0.261033079105351,0.12904847612396,0.119835694980051,-0.053905955475047,-0.508527544026593,-0.376900087908525,0.171439243137255,0.481701163858925
"表叔-表侄",0.303571619456406,1,-0.174753076418838,-0.0593258935631388,-0.304397895517862,0.0461780635053837,0.236034483419102,0.0871193379628244,0.100998864901998,0.294086896093798,0.506441652030938,0.18687412792555,-0.1048348615112,0.561999065453458,-0.177513934467273,0.195788183435296,-0.411177181734332,0.31567391476398,-0.310754929336334,-0.367805937965894,-0.384092180505518,0.129956281707351,-0.0325448242182885,0.00289263467547365,-0.404496941102277,0.132427484791862,-0.164240952229668,-0.12607188093047,-0.353614518493742,-0.0973509140693721,0.136995714520401,-0.528055353751451,-0.421975757336444,-0.0111012272475776,-0.275560194448487,-0.0749702727357258,0.232587301139875,0.0822347317668266,0.0540632621577403,-0.397309637777942,-0.304485330476048,0.275578701532477,-0.152537863357032,0.557520473821096,-0.215957634043727,-0.233869179477051,0.599700364794544,0.0880364202735362,-0.173484238678178,0.133936847729852,-0.311696243491144,-0.14685183240135,-0.330002434837938,-0.428150646993692,-0.0168722063839139,-0.332385340747545,-0.24802555091177,-0.375986820568695,-0.298225827269014,0.156639592378222,0.0725825409085858,0.188020661291314,0.154294669088339,0.510345647183531,0.186332529040634,-0.12416942270502,0.072037072394498,0.147324309258019,-0.39786819203268,-0.467751769348005,-0.220387989149532,0.0970881216998361,0.101590505834048,-0.399721106072082,0.672731150553449,0.119544081681882,-0.0271108979226699,-0.0245635508491195,0.649413204952502,-0.242561212833636,0.0392455003627987,0.335306834051717,-0.410310277674198,-0.271560251224955,-0.353726422538226,0.0264060172336015,-0.136033757911075,0.0193967969045342,0.914695315313306,-0.308957202865447,-0.30308688154242,0.854118967626658,-0.0163497178888616,-0.429327338626481,-0.401230794293775,-0.421941124335969,0.896418585076015,0.238509431206227,0.139059982720462,0.0903193500144161,-0.303417500841688,-0.332432374816326,-0.375774820171604,0.115456790983554,-0.145253605723368,0.117348180330365,0.131317597801838,-0.449668193318243,0.139998453193191,-0.25799163594293,0.0400525034697396,0.305175229423062,-0.327247724954668,-0.0256184881560495,0.162436572901067,-0.119639432315079,-0.226392849808795,-0.325051004082472,0.484506937630528,-0.325021396103683,-0.197058586862894,0.0447819638623966,0.855738009333927,-0.313996356096789,0.0703011163151046,0.165981806918052,0.109089545861807,0.207311583275234,0.1258721522656,-0.399438188505893,-0.106386747202341,-0.00549471829545254,-0.418203608292795,0.174709041562995,0.126080857196683,0.847685315089804,0.744314833375266,0.75696454728911,-0.375596607654005,-0.087673836675211,0.0383059003411862,0.0243743865587612,0.048128546393117
"表兄-表弟",-0.130841347423406,-0.174753076418838,1,0.314100984856998,0.10151558638047,0.640714713536498,-0.191236396966348,-0.317270946184327,-0.406968793104665,0.169885997929232,0.235696044108013,-0.386099335260073,0.339214317256903,-0.194473799188232,0.838161504267692,-0.0896405482594726,-0.0708025675819592,-0.13851701174194,0.268567754264541,-0.20511961549613,-0.201931918601902,0.085534958157633,0.203216622664933,-0.0445159383668935,-0.159150974037439,0.412669204076888,0.614776269912241,0.425350152977027,0.0977792151245247,0.289036425143686,-0.0944052515550379,-0.0168131961428873,-0.17678739417404,-0.13807071079911,-0.148737788763026,0.239744077149895,-0.200562388487203,0.00569412746653253,0.508397120433768,-0.0168704383562999,0.202224537231642,-0.276804736672439,0.834821135809438,0.28878868587348,-0.154683744352867,-0.035070802115924,-0.276388202664627,-0.185849227019952,0.20623296390967,0.0184336709427969,-0.210496630851424,-0.0215569119127344,0.314991327810927,0.124659879236428,-0.149918722969971,0.297758469574256,0.300768563563075,0.250958540926443,-0.144496908052427,-0.0710439198258635,-0.126546857540085,-0.161843174551021,-0.0629076972660245,-0.190290833234248,-0.402521285862051,0.583587440521659,-0.098726002506736,0.14587057473172,-0.0308245813819014,0.0955204542161025,-0.145790107200683,-0.306849099583431,-0.427504031337861,-0.0521216903912919,0.0467510893832255,-0.0428392839579073,-0.190422927563923,0.278783107526762,0.0234665358872566,0.716444292967472,0.175025759203455,-0.210545566608549,-0.22242114024876,-0.157216647700271,-0.206481886232028,-0.177679374900257,-0.186413690597391,-0.137984637145058,-0.233862991282736,-0.158290314764654,-0.0486682134950857,-0.200524909934516,-0.0163779755692647,0.000284514892114062,0.190985624331615,0.0124905923108342,-0.257746868048549,-0.369147497940962,-0.265717877824172,0.235353150717119,0.0954293306282595,-0.0969253209492097,0.162493460627139,0.0514834207544999,0.514739261226686,0.00325287545567032,-0.0887501226990178,-0.0614009004745433,-0.128355571436941,-0.156017492273935,-0.374896693163463,0.35978836248098,0.192987801305951,-0.262436364120026,-0.347827036213084,0.784088716669458,-0.0212007574193714,-0.275048639133255,-0.260139843180555,-0.280454280919146,-0.20025858155146,-0.308507917027315,-0.120951670778387,-0.167250182513732,-0.168137363036267,-0.0806948885551308,-0.337099925788108,0.0635320160708414,-0.0477898477031629,-0.107862246348969,0.464092778479819,0.171661826589248,-0.0768087964243677,-0.14537842882907,0.102613365903227,-0.180653020200089,-0.0452569832927168,-0.0418561418287467,-0.243094953530748,0.0609034482843941,-0.186493996559905,-0.215513817980694,-0.152443070510773
"表兄-表妹",-0.0768715358688717,-0.0593258935631388,0.314100984856998,1,0.0196557120553529,0.268830544604595,-0.390467253885647,-0.470607092140063,-0.273751428784371,0.0588829031074066,-0.0907364752433519,-0.402002169337463,0.874227399274535,0.00979780002698391,0.333655767552575,0.349876231721054,0.214363840108986,-0.364704635679523,0.0614254563862865,-0.308649983290774,-0.137844470120004,0.585280326000548,0.787203322737945,-0.232318562848766,-0.242160900188062,0.118313428808413,0.650953329582488,0.656165150284946,0.193607236750897,-0.223297449510701,-0.0845763632849379,0.183917491947587,-0.0156685846873123,-0.199853649843875,0.195254090159011,0.862543674560418,-0.0287972180350165,0.00426036810974806,0.225509362466298,-0.12182327232035,0.126679282703724,-0.33340895427091,0.421059603240553,-0.154807475916651,-0.0754275887653146,-0.0458904612187198,-0.0749796676402009,-0.153052412863229,-0.146993061932985,-0.213882407381967,-0.0434599096110513,-0.182635542875698,-0.222969220843358,0.0127435770083601,-0.172660239515677,-0.238121140306491,-0.0917266225896498,0.0800664932845251,-0.015922668735854,-0.0417378613749836,0.460369750693871,-0.0959859868622747,-0.130496538768125,-0.108796158879655,-0.415313589839291,0.60020133081231,0.128011624898485,0.483594179747955,0.316245283477225,-0.0414247260610245,-0.052286410935458,-0.518694822699905,-0.323148998135764,-0.301979699371662,-0.167065555151756,0.0210681351195053,-0.133684301254186,0.847943724465195,-0.135243383920296,0.583542294963454,0.649778184004228,-0.359039070302494,-0.0575290519292469,0.179083517448792,-0.364394428532497,-0.221523037884143,-0.274837023729756,-0.30025916768006,-0.0677830246568525,-0.287005095654225,-0.303129157352046,-0.127778657985214,-0.202819635037837,-0.298614272141804,0.0362148841544403,-0.262645204124436,-0.0750670863371602,-0.447328552599374,-0.56420114728787,0.614266111873186,-0.0271903318095844,-0.280046523454068,0.022277646913609,0.552187245201616,0.787438688047061,-0.0150180708055077,-0.0991734438499693,0.228550236089899,-0.0845884473235489,-0.184178160679573,-0.458411591900957,-0.0661685247349297,-0.0186923371104388,-0.122449815391293,-0.257638281569151,0.257578064167908,-0.0228355117564003,-0.161907476282088,-0.120335719598921,-0.109760213487939,-0.0663865292623726,-0.360056587727813,0.00389948581412904,0.0811775059059726,-0.499852635218217,0.184334844213852,-0.450732174250584,0.098788909119766,-0.0111161669164273,-0.08337268163244,0.0820573128254499,0.493638218542567,0.339965453515489,-0.04072059446917,0.605106629516987,-0.132380601441946,-0.120781898164365,-0.0717531075724714,-0.157182750867816,-0.286106121493222,-0.252642465486947,-0.151658568508715,0.1000103655848
"表姐-表弟",0.440130182152223,-0.304397895517862,0.10151558638047,0.0196557120553529,1,0.111576819453374,-0.355097160152802,0.0602471922404694,-0.26068768771044,-0.395628531713374,-0.373435917801789,0.00987181497724539,-0.0354719478683967,0.185122025206616,0.113632036478387,-0.111784633306987,0.0632773038412953,-0.194975185404239,-0.292609891973036,0.222353158910177,-0.0385803092395699,-0.201796953001986,-0.0790153426901987,-0.215895103263832,0.10461760109863,0.0271539786617678,0.0334951732069477,-0.0500985556961657,0.0617838173068761,-0.0428920132554285,0.405715795060079,0.173355125993291,-0.10558040737374,-0.223693202063734,-0.33398189577786,-0.0610958463556392,0.42783552711595,0.560602642653088,0.0728855288906748,0.732776745969131,0.120067907312974,0.26074446499206,0.16177246823881,-0.377919696400342,-0.186226641564147,-0.210613790658818,0.142304473868535,0.0711937051140442,-0.270956576310971,-0.0630663223924087,-0.119644608667759,0.167167889966879,-0.0762066610596485,-0.0350265531951956,-0.0948195277506874,-0.0781953407306228,-0.208695507122173,-0.255405690954054,-0.343695585410235,-0.0630885419875645,-0.333400763037522,0.133112765954484,0.387601152774406,0.273251622141024,-0.0125945869871052,0.0188001865174803,0.162936278314558,-0.123675617374431,0.0720774814487824,0.47930741918605,-0.201292369504457,0.0420107745868339,-0.268114396552017,0.395073705351426,-0.444351777299252,-0.0411984705594028,0.311725489094432,-0.0637875265942239,-0.40992759427764,0.149776051967725,-0.196272430870695,-0.171975047997265,-0.167970623796895,-0.33510886645122,0.164264024221815,-0.263789851584734,0.173756950441244,-0.300539834321185,-0.316832917509037,0.228245638535353,0.257325343037933,-0.372292674802297,-0.104294484321428,0.122574548120929,-0.00027222435687999,0.161323933804309,-0.311312021024605,-0.040210329997116,0.00145781573168871,-0.132340664778962,0.926725893675991,0.147445725848671,-0.0385694380371758,-0.152958895868227,0.0281705633369242,-0.0153947487364149,0.129341048399505,0.0999636372899286,0.121698150029121,0.455530378177827,-0.131631639953891,-0.356823496266542,0.917558002443626,0.112943432559167,0.370093573482775,0.0665472712521164,-0.178578177399779,-0.0386068370398458,0.231025584580795,0.00904187927905877,-0.191323474057027,-0.0923018155678812,-0.272707356467067,-0.312814905714099,0.0549118690187852,-0.000896588191078608,0.109084204692563,0.431322324312545,0.59374514951186,-0.166503939152916,-0.0896459797394106,-0.19450963028011,0.0589028752027105,0.222884034104411,-0.190129990173016,-0.366180740532456,-0.429460855375218,-0.392049063763297,-0.0394821253537183,-0.211651365618411,-0.242299329629369,0.32160581407437,0.145548513173379
"表姐-表妹",-0.210118187022957,0.0461780635053837,0.640714713536498,0.268830544604595,0.111576819453374,1,-0.0568181036444051,-0.47012363906746,-0.367420421794408,-0.221972410416916,0.294834518147974,-0.332332237373923,0.257486640244479,-0.208395334861693,0.647614255370551,0.0845194701194662,-0.0785696297890082,0.0124245356496918,-0.18221086925514,-0.132086464840785,-0.16459653266995,-0.0291711837088894,0.088052999994529,0.184120765849563,-0.234906375175995,0.639747571890368,0.296609264811207,0.0947672732752601,-0.191333655485207,0.255059567876961,-0.235578880198913,0.00881685264620552,-0.173993080000847,0.182903305696708,-0.235146265656756,0.170841875320374,-0.238790486999697,0.174745228758908,0.872372144210718,-0.0164168897353668,0.0129917934211907,-0.328727165963739,0.676395242265035,0.353571339586862,-0.225598601093681,-0.161574573128879,-0.259438260245482,-0.194009678255145,-0.121804735037233,0.231007302341346,-0.189902395809552,-0.167224960367584,0.229234925812691,-0.0273916636691123,-0.00292661428951563,0.221465104208818,0.0341750973707628,-0.189270397553188,-0.286819943642345,0.228821171528879,-0.0915375476420937,0.044010912357947,-0.196561062975962,-0.272914300991974,-0.373647771900734,0.294888637654423,-0.058946732395439,0.217840839600871,-0.0306392130226815,0.157326258231492,-0.242652821756853,-0.483285092619269,-0.388439702889906,-0.184298492934228,0.29542168943269,0.294785111700134,-0.108768251013095,0.208668224899501,0.276555639688052,0.564418965740855,0.104883917971241,0.0514054316853499,-0.235030100787243,-0.263600375940103,-0.168388020686638,0.0536239840834696,-0.267299056806625,0.096982234006195,-0.00774652453592437,-0.304927755203647,-0.202827591050567,-0.0593633672193649,0.0429329193386916,-0.115506404658219,0.132591772449346,-0.0692183929239842,-0.00806452901772078,-0.354544615343566,-0.436129654868657,0.188333678449489,0.12018749660149,-0.119870079857504,0.0619135272929734,0.190625664666772,0.232081748202008,0.305491142812957,0.00208713087272201,-0.0393599185925245,-0.000270510681658071,-0.125184835036818,-0.365532971308939,0.161487100527682,0.141834248460113,-0.113475647556744,-0.260214826291701,0.602243502219906,-0.112536026337775,-0.0918304338591931,-0.24454267621381,-0.0292967970778273,-0.251952441485787,-0.339617164919307,0.05208557156442,-0.240189331572468,-0.346113907711736,-0.0748998241270158,-0.473200969206838,0.247098686363559,0.0886901496747034,-0.203261377923556,0.39477630503245,-0.0287757116687397,-0.00633017221771601,-0.152513465368726,0.00517499125383362,-0.0792634756831026,0.0911483239195547,0.150508469839026,-0.15186966944779,0.192496349333714,0.12778683427615,-0.0510472550854652,-0.0519957999212488
"伯父-侄女",-0.324654990900549,0.236034483419102,-0.191236396966348,-0.390467253885647,-0.355097160152802,-0.0568181036444051,1,0.483740764338077,0.307097782729844,0.117835802919539,0.279891018198551,0.601782708531233,-0.427875968599223,-0.0270673128301659,-0.239279139092731,-0.348685027300232,-0.0125610910015018,0.405055624834077,0.269852577688874,-0.18925163651787,0.167814574170761,-0.341105145164388,-0.404908197208356,0.295108084908356,0.177239285279977,0.180406744967023,-0.31179107154973,-0.367031284318632,0.0204467179124359,0.18173236903647,-0.281623796066787,-0.131331129830007,0.232334281684136,0.328964702181729,0.304314718818939,-0.413334923919085,-0.233648564070137,-0.0896898625058125,-0.0494201176343998,-0.301292194671507,-0.0405546036934729,0.09308736286334,-0.207143556250306,0.198758660271816,-0.117334608319072,-0.169197606768187,-0.0125948032550587,-0.258234197729765,0.321301679943669,0.30904520174375,-0.120770518377453,0.116486994518159,0.0329641150979671,-0.218465616883929,0.238803220087231,0.0231839290687102,0.316227833435497,0.301191554755665,0.33560754892548,0.0211355230653255,-0.397771823753081,-0.0421665871137744,-0.295053279091814,-0.13899923316947,0.569019864788605,-0.368141942705875,-0.392452145711478,-0.504048094102222,-0.0515665678132403,-0.302032582487431,-0.10315130387839,0.440265407742266,0.299168860877917,-0.278712784504071,0.263411483372159,0.0502815154302803,-0.101061870491672,-0.466626983347146,0.298299884854816,-0.361478175982972,-0.403837394723136,0.366595156846901,0.23624836324216,0.303638409196608,-0.158300118485082,0.339513464677522,0.0702641309587974,0.28687910271319,0.266172750823222,0.107981409193963,0.0223873156030616,0.297051918427549,0.199317347320267,0.123656563706944,-0.257021112332349,0.0984822282579277,0.294609154485865,0.492337993766898,0.337600171191394,-0.448134840334725,-0.391580816464616,0.0674912154775424,-0.312333673319576,-0.466347511656843,-0.394983113998367,-0.00485396596710736,0.00494212485331141,0.0180841271185568,-0.00158480571201927,-0.290096130576276,0.344844901707822,0.125736734045997,-0.38224578938795,-0.153201632351729,-0.00963793878869752,-0.252253927272481,-0.176065503873243,-0.122990647111947,-0.103447039197886,-0.120771783748842,-0.101509272699135,0.386473032426935,0.302224120941249,0.375058624473112,0.332215530058173,-0.312575705553543,0.41285560553593,0.0391484080022658,-0.0608828607224439,0.198924801434321,-0.309214610722043,-0.444972287206253,-0.0355297583796458,-0.315685245178041,-0.402194654512915,0.269173647036865,0.310323037721316,0.319813563294625,0.155282624528211,0.266373309234562,0.283645695656221,-0.18096012231739,-0.343223885773771
"伯父-侄媳",0.339120966606513,0.0871193379628244,-0.317270946184327,-0.470607092140063,0.0602471922404694,-0.47012363906746,0.483740764338077,1,0.588438611884267,0.344101232049578,0.118486798699899,0.775696657869937,-0.462250213071952,0.347103859138268,-0.351321333181949,-0.274325432729709,-0.250096490306746,0.0942678257014114,0.24971157179671,-0.101461035959942,0.12904282456855,-0.396716786935433,-0.440611632857006,-0.200684340979564,0.159795985444928,-0.336328749285175,-0.378679334606706,-0.379589051119047,0.0292240240940093,0.00495778135680817,0.345553586738965,-0.19044248151468,0.0857378475467818,-0.209277269539088,0.0312206821246976,-0.450353131857498,0.344304216021872,-0.0664093539639094,-0.442143911514361,0.107030162486719,0.0149589062589245,0.365451976912568,-0.334414889361615,0.0526902517035044,-0.125326342998722,-0.1783195993164,0.364029135377594,0.0673702014358488,0.231875828182626,0.016120251588553,-0.146575948013751,0.194859982571002,-0.172132238948131,-0.188902999318212,-0.0582731401669794,-0.220895471477507,0.18999713276938,0.238753630875803,0.0339570889152778,-0.294574586179565,-0.379424011013575,-0.184288296372356,0.346587245310058,0.348465281054511,0.718180107704892,-0.381404149067221,-0.0403467097426789,-0.479845973294702,-0.228596112344766,-0.268700147337309,-0.134391656945256,0.93856545101784,0.557633045273878,0.010467878509799,0.0735521893222637,-0.302794834865722,-0.0835837495675488,-0.491515451063978,0.0663580723892032,-0.375863377362244,-0.552113776463746,0.128680177894592,0.0480669349625847,0.0395111437499953,-0.0455715312121407,-0.144168528503565,0.248581352927796,-0.185913540812107,0.155905254460701,0.235117158837551,0.169910465585038,0.180529664501325,-0.0336297944054843,0.153915146801719,-0.207942678962258,0.129471506047863,0.155979950776294,0.727364732198119,0.749041374417537,-0.490389985533086,0.0684499118197795,0.162554545801078,-0.206729544723237,-0.419405915379643,-0.410478515836215,-0.338419112990949,-0.142162932641389,-0.225755138169756,-0.130092820674368,0.0494732765882121,0.576551107980355,0.204403060530655,0.0278608447338798,0.0919371557863555,0.30553283654727,-0.349709846083214,-0.182130905426081,-0.178182672390436,0.336912854697538,-0.167521295917255,-0.125115358756805,0.562511350410463,0.117703506711893,0.0458850818629975,0.689629730181269,-0.0547618626922211,0.84830206650593,-0.0505673956114631,-0.0157782932568109,0.0904403843724303,-0.438566314303508,-0.37073006956504,-0.213728526040694,0.145532792073882,-0.43449487101038,0.137824773145156,0.129144756250624,0.113781032976682,0.125598426843167,-0.199423374449594,-0.182816067545787,-0.103340350960902,0.0517232867417712
"伯父-侄女婿",0.244662178291554,0.100998864901998,-0.406968793104665,-0.273751428784371,-0.26068768771044,-0.367420421794408,0.307097782729844,0.588438611884267,1,0.368150170293929,0.299912625462687,0.461621418104278,-0.286547837462887,0.0694658725851046,-0.421915884101633,0.22886517167553,-0.0582532926109726,0.0655388463568276,0.0407322104336034,0.010958976645264,0.282641989303184,-0.0685936176569827,-0.258043745156148,-0.270650146783973,0.0520692664636473,-0.375345377611238,-0.444612809887989,-0.455862954086803,-0.058351597372764,0.0422370508136311,0.313115030378592,0.0848958584927727,0.26586284091719,-0.255125813383247,0.132945202175335,-0.292240084484144,0.258173679731872,-0.486672735329707,-0.34167357136833,-0.0778364992223291,-0.0160377143720255,0.0041518280116973,-0.399665342868772,0.234399350014776,-0.0415708627836695,-0.144649311912945,0.0646739390613113,0.192902307965686,0.102397183365497,0.117334939135309,0.123580099679295,-0.204961712813807,-0.299359136723089,-0.168007013311514,-0.23975612385429,-0.304984002018664,0.0163997252440282,0.0239972699303069,0.170974183656016,-0.351683662851094,0.00330098398035165,-0.461454198204842,0.294113086317323,0.0754632795798373,0.416666153430745,-0.459045774183667,0.432767594633446,0.0199121256980184,-0.0319510859666435,-0.0636777671805636,-0.0411248239901954,0.567058120482278,0.923070057219547,-0.0848509651325964,0.328565589196691,-0.365211612929391,-0.38643567848775,-0.305489000830018,0.310871592172898,-0.392745360689063,-0.287777114307821,0.0739013973202216,0.220745587119239,0.165763251907109,0.0631524836509097,-0.140255308417823,-0.162220706064049,-0.210333839452553,0.15566135449032,-0.0724460131564934,-0.123363793781228,0.155816722421966,-0.239804373278274,-0.00857195562620772,-0.228196824662382,-0.0115614321875266,0.135424101533975,0.426454006849332,0.587338281084118,-0.15661206409427,-0.257843747232341,0.0895572448375738,-0.184303961006066,0.0832881504125058,-0.449379212489764,-0.354918663299565,-0.461856159960437,-0.0387672926895151,-0.43581528259494,-0.188275693945384,0.700651248999156,0.281711413374613,-0.291453786613191,0.421222034685425,0.0782460308965012,-0.45056491188255,-0.181270756803302,0.128648765764629,0.0789629366776565,0.149728219365101,-0.0323365876408171,0.756638110432884,0.131855755729275,0.170831661896269,0.538814391465677,0.361333454314608,0.496770653346934,-0.457944833766882,-0.483099712923948,0.239466340128327,-0.337710696271814,-0.22700822972778,-0.00421208978201683,0.399283764866628,-0.0772233287180777,0.134773720498669,0.256851316698253,0.207864380667314,0.325961582963002,-0.267050704575746,-0.180426287774246,-0.368984708264338,0.440193660116179
"伯父-侄子",0.164050675475104,0.294086896093798,0.169885997929232,0.0588829031074066,-0.395628531713374,-0.221972410416916,0.117835802919539,0.344101232049578,0.368150170293929,1,0.560076633184624,0.237008741600069,0.0850946701101384,0.157620283999793,0.138420209997431,0.118920522011214,-0.228322890086209,0.0143066888422554,0.413681988190992,-0.320070454518043,-0.241261546341616,0.0426546934282531,0.0574515956579071,-0.335416312462114,-0.269608504658482,-0.373710151574733,0.274715339272483,0.168778467891458,0.247714614374813,0.204288474776737,0.12368492817639,-0.405349267232838,-0.274427409563179,-0.372596067870173,0.101452699212377,0.0456115766231172,0.190292988566359,-0.378136027298123,-0.224217235349496,-0.424484414580097,0.333524976769325,0.0875839012397441,0.113115175405525,0.53184924466744,0.0291768323525534,0.132709339144697,0.166600773468088,0.104180795466071,0.442469326316801,-0.0402189692239804,-0.158840288510333,-0.176308940216364,-0.177063380227064,0.0145389149307374,-0.350133543306522,-0.208657457898474,0.423206579385783,0.346635694671317,-0.0692301613916437,-0.470332062856742,0.0448370475362791,-0.408355372921956,0.146857165337438,0.238783076955726,0.201157952184901,0.275182085973402,0.0513899512291202,0.00173471250748625,-0.126585636764124,-0.439134578860079,0.0402290721734328,0.343125886871027,0.333862354834516,-0.319472088242343,0.341724297906276,-0.458130935302743,-0.34801242390664,0.0466793753477958,0.301793142903348,0.175059812767863,0.0417494260376987,0.00128136523867038,-0.278796144957637,0.0767111142245407,-0.300206158312859,-0.347026468571756,-0.193794369388357,-0.339922021255573,0.30027536767444,-0.220440532902847,-0.212132777009022,0.308594914981456,-0.282051869624304,-0.276992109195594,0.00998302402175235,-0.292894432294881,0.262903230720707,0.239920410101561,0.459694278880888,0.0284212515143755,-0.370063388915945,-0.249611558792112,0.0411982631819028,0.0201308184888345,0.174599611852415,-0.4770681604704,-0.422544217076126,-0.243256281838632,-0.38570227384588,-0.378675307934227,0.338991943978931,0.650764711614267,-0.393465531001067,0.032506413288948,0.0473165106032025,0.122075330534005,0.12922942369598,-0.287623054857553,0.209645519002564,-0.287879352652713,0.0355791034208333,0.344056779516066,0.28417162030473,-0.0956418052879466,0.410245857483418,0.0744259811155317,0.302469447093718,-0.434298517997729,-0.417581775154236,-0.217275561838245,-0.0401071050779926,0.17858554164395,-0.120377095568503,0.166002724229245,0.0280401863590096,0.283393385792453,0.231979506969714,0.224928607347884,-0.254378858450414,-0.218693059492562,-0.345668599854537,-0.328460743915958,0.0492018157150727
