"","表嫂-表小叔","表叔-表侄","表兄-表弟","表兄-表妹","表姐-表弟","表姐-表妹","伯父-侄女","伯父-侄媳","伯父-侄女婿","伯父-侄子","伯母-侄女","伯母-侄子","曾祖父-曾孙女","曾祖父-曾孙子","曾祖母-曾孙女","曾祖母-曾孙子","从祖父-从孙女","从祖父-从孙子","从祖姑-从侄孙","从祖母-从孙女","从祖母-从孙子","兄-弟","同父异母兄-同父异母弟","母亲-亲生子女","母亲-非亲生子女","同父异母兄-同父异母弟","同父异母兄-同父异母妹","同父异母子女-同父异母子女","同父异母姐-同父异母弟","同父异母姐-同父异母妹","弟媳-伯","夫-妻","夫-妻","出轨者-第三者","夫-妻","父-女","父-子","高祖父-玄孙","高祖母-玄孙","公公-儿媳","姑表兄-姑表弟","姑表兄-姑表妹","姑表姐-姑表弟","姑表姐-姑表妹","姑母-侄女","姑母-侄子","姑-嫂","姑父-侄女","姑父-侄子","亲家-亲家","继父-继女","继父-继子","继母-继女","继母-继子","继外祖父-继外孙女","继外祖父-继外孙子","继外祖母-继外孙女","继外祖母-继外孙子","继兄-继弟","继兄-继妹","继姐-继弟","继姐-继妹","继祖父-继孙女","继祖父-继孙子","继祖母-继孙女","继祖母-继孙子","舅表兄-舅表弟","舅表兄-舅表妹","舅表姐-舅表弟","舅表姐-舅表妹","舅父-外甥女","舅父-甥媳","舅父-甥女婿","舅父-外甥","舅公-甥孙","舅母-外甥女","舅母-外甥","妹夫-妻兄","妹夫-妻姐","母-女","母-子","婆婆-儿媳","原配-第三者","三从兄-三从弟","叔父-侄女","叔父-侄子","叔母-侄女","叔母-侄子","叔-嫂","继母-继子女","继母-继子女","堂伯-堂侄","堂兄-堂弟","堂兄-堂妹","堂姐-堂弟","堂姐-堂妹","堂姐夫-堂内弟","堂祖父-堂侄孙","堂祖母-堂侄孙","外曾祖父-外曾孙","外曾祖母-外曾孙","外祖父-外孙女","外祖父-外孙子","外祖母-外孙女","外祖母-外孙子","兄-弟","兄-妹","兄妻-弟妻","养父-养女","养父-养子","养母-养女","养母-养子","姨表兄-姨表弟","姨表兄-姨表妹","姨表姐-姨表弟","姨表姐-姨表妹","姨母-外甥女","姨母-外甥","姨婆-姨甥孙","姨父-外甥女","姨父-外甥","义父-义女","义父-义子","义母-义女","义母-义子","姻伯叔-姻侄","原配-继室","岳父-女婿","岳母-女婿","再从兄-再从弟","姐-弟","姐-妹","姐夫-妹夫","姐夫-妻弟","兄-弟","族伯叔-族侄","族兄-族弟","族姐-族妹","祖父-孙女","祖父-孙子","祖母-孙女","祖母-孙子","祖先-后代"
"表嫂-表小叔",1,0.471491898215002,0.135785808105924,0.0755108362620939,-0.102966329871977,0.0478716960895776,0.069686560379126,0.240871200409305,0.117037759429336,0.246093511317505,0.256816089735589,0.269855489172956,-0.159345130025735,0.415376138675068,-0.00840693928212726,0.149349743154853,-0.360474332526871,-0.285178570067087,8.71333402994322e-05,-0.099722542171522,0.0369099097073874,0.201221013536367,0.152086418117729,-0.401784494542992,0.00524272439689734,0.124979298466274,-0.00989687077960055,-0.149436297862572,-0.461951711220107,-0.57392517484697,0.541397947349771,-0.284722558813319,-0.245566486106464,-0.557528915999892,0.145037423645163,0.0935617634138517,0.405200744327626,-0.0803274109468307,-0.00786929152189793,0.0489695597250866,-0.456546419982155,-0.255346460286272,0.0784369021959348,0.182339278302308,-0.355642574662027,-0.398307927186547,0.680115273180797,0.0527901485081626,0.219134095699392,-0.379912477913407,-0.268361932202806,0.00534321174810908,-0.396176156994795,-0.267498908665635,-0.30967476090113,-0.389154807227026,-0.325681367871838,-0.126090727264344,0.137643005934013,-0.0573939407493557,0.0146276481688628,0.0173309816453261,0.4064674630713,0.543918391023846,0.298922128609055,0.128315850824214,0.449512518363087,0.215084582071035,-0.5155101507089,-0.222981975923959,-0.326777132215307,0.47837500329442,0.137275123471459,-0.0384579158888986,0.457378446102417,0.0655038092136898,0.139218263382798,0.281894755886069,0.330264273722945,-0.0157323286088842,-0.0372641117322188,-0.369343663080143,0.110284546406703,0.140680761452184,-0.175642822575482,-0.363981368576949,-0.240488356408865,-0.433539912719791,0.326447591413339,0.0886630335759862,-0.0566642464000113,0.620248539060142,-0.30762300826561,-0.211937114686243,-0.349826682528687,-0.0369731408434903,0.430017494956368,0.446283617978606,0.572683275159252,0.235938445263053,-0.170222544301177,0.0866804573150435,-0.307113138093164,0.164029637256962,0.0654980997319562,0.00745437144865949,-0.0201709184877297,-0.43138543930628,-0.0104187026450299,-0.0107025178537538,0.244152853767126,0.227389649275686,-0.097234193363584,0.0206510223933967,-0.25557930743359,0.0584461468141602,-0.426401683462436,-0.249009035550705,0.603123934123619,-0.266076010604246,-0.345056324673013,0.409328766255586,0.423259427911507,-0.184360047493487,0.201877158314508,0.486448797106726,0.323312921197377,0.166471992873835,0.00109084500604191,-0.0712246290847104,-0.0120277867326383,-0.0604335247439454,-0.409198124556927,0.578826981085478,0.428965744314143,0.485339078085332,0.478782990506894,0.439656526592996,-0.0845936731383073,-0.423829716352389,-0.268492943668844,0.0018293744300087,0.262432750008641
"表叔-表侄",0.471491898215002,1,0.257417763776167,0.0624207220455933,-0.0834343162265052,0.249492686563121,0.178264924596975,0.249276808284448,0.0318948353362569,0.311746884027914,0.362434221274766,0.125321958020877,0.121861074968729,0.477095759758414,0.153016748333767,0.168721295918075,-0.321438763345669,-0.185794322246197,0.00926123652082254,-0.301074735890547,-0.166726098423291,0.0512332487790159,-0.00968173485631045,-0.220225322632672,-0.157808024914743,0.0630741063542695,0.0866488747931181,-0.0421440280842278,-0.421486609100486,-0.371470708403585,0.409865204644198,-0.325870944156351,-0.140112451364461,-0.229301024580392,-0.112092583175228,0.120101424870129,0.288568940519444,0.0858705940219222,0.24794252104785,-0.172956474015462,-0.23421879192444,-0.0648110367016082,0.241648547656432,0.284081202454443,-0.277625243948308,-0.152877669785993,0.547985920184214,-0.124534904998087,0.0230058964583032,-0.165087190085321,-0.0930187481585579,-0.0922345177692445,-0.258497065192155,-0.30621039663232,-0.0613852436515544,-0.227497467513159,-0.016906952307242,-0.135853859804079,-0.121015821562591,-0.0489965606164084,-0.144735974997847,-0.0432689632698457,0.405458743524307,0.386071824172036,0.143091389387554,0.00876039412281718,0.166607077194119,0.211304660227,-0.327747760846168,-0.267835143019083,-0.167660563658549,0.244879761279403,0.177000659238552,-0.184057537626336,0.41459675219296,-0.0158098555467251,-0.0481299410442683,0.0303465425029723,0.437851413825796,0.135437831920871,-0.0182588483397235,-0.176738847371781,-0.0800634269197891,-0.100627717948401,-0.271151608952355,-0.241030872547563,-0.119297669941242,-0.228334377851331,0.418827857571229,-0.174316731447019,-0.215823621645257,0.650096951192884,-0.178697689480043,-0.167667492897179,-0.302536686460507,-0.138169881500529,0.582789301141577,0.326150355341135,0.195113214725458,0.0728662908711082,-0.0489103251404937,0.033698993298136,-0.289539305567874,0.176007791927984,0.11870687034922,-0.0471676484660906,-0.0712897122763373,-0.350655075706263,-0.0827845774547223,-0.142080999569296,0.0943487963419095,0.215627989765288,-0.0811351091993308,-0.0871160654676218,-0.08102920263775,0.125942873382472,-0.173195456799293,-0.151713725821176,0.343086364302865,-0.123668394961693,-0.248744380812361,0.304228711167268,0.266979233484744,-0.191589837405365,0.201820862194418,0.426541108776478,0.240660618263353,0.341337075738814,0.260226707874491,-0.0563846422677864,-0.0571550785547717,-0.112557868495576,-0.492156653809232,0.334294274959917,0.0446450494161517,0.198964601908268,0.477173771775635,0.313350246070655,-0.188822346704511,-0.168084282508283,-0.186702712418139,-0.0848489012205851,0.0907937440551851
"表兄-表弟",0.135785808105924,0.257417763776167,1,0.689482551627659,0.267194253200711,0.757990660664686,-0.14759756241073,-0.285037226796535,-0.203969833029498,0.280330447425673,0.277265700384135,-0.163833891130422,0.529182736066341,0.0309924494486948,0.597603138853921,0.244775531992361,-0.0116375373796982,-0.147586059557665,-0.156065313461484,-0.224752244386445,-0.330631292434996,0.297381106314902,0.425250810516295,-0.236247595737368,-0.401636292459853,0.456281058303298,0.654993566619873,0.36924242963942,0.0589984690862946,-0.0104350346101986,0.0540584650922257,-0.15053840849719,-0.298916116592457,-0.292865897414002,-0.2711228552388,0.4365590569462,0.0495936544922075,0.177679926378392,0.567035528868408,0.00412567994325548,0.108497961602608,-0.0747010843067276,0.848498035430105,0.352853251140143,0.149640161570461,-0.0679516574314851,0.0874892564784633,-0.355848309048132,-0.144939971661333,-0.176449364850808,-0.162100085160713,-0.309143209586457,-0.066419481615267,0.0816541279488407,-0.270796328835957,-0.143673152526834,-0.0569063008686651,-0.103908411113005,-0.340934070158458,-0.116694353234059,-0.230903015060225,-0.206163796303025,0.00869020000554313,0.0642425294351866,-0.25393819126342,0.574574229804952,0.290758830875897,0.406930626520692,-0.045047152243951,-0.0262024403390477,0.0772841893515726,-0.287325778670125,-0.157302289308178,-0.246214683559451,0.307544125512141,-0.101397284960208,-0.228487588980865,0.534422509978226,0.306666408838803,0.616414867951911,0.34611643954609,-0.184558243569607,-0.308081428485758,-0.247492968059308,-0.241849012913117,-0.379037739063588,-0.418242525394119,-0.292691422948635,0.13422173418766,-0.252411419922732,-0.383768966152938,0.301868022798389,-0.213984925840913,-0.249858439374789,0.052635867402343,-0.189091598426294,0.114034499484472,-0.248953703830557,-0.220924562544928,0.541914400818723,0.182850516699287,-0.445991440743222,0.0536492005483839,0.434960318255157,0.532837125442219,-0.141237283374639,-0.193621155858478,0.0369957733081721,-0.219431051349146,-0.293102348447753,-0.098202784984197,0.319254136667032,0.194535411695336,-0.113382182490045,-0.0941743922303405,0.646955647259959,-0.0786042930400692,-0.172522769551063,0.153556173772737,-0.132486342738364,0.06996168751666,-0.0902305829951131,0.322475823959778,-0.25451629746761,-0.0709599480716785,0.139786436199953,-0.179697132899838,0.180763571676572,0.0623400920539479,-0.337561929059086,-0.0874216615342792,-0.140702746106983,0.00349933058168068,0.166812378921827,0.441257086297546,0.116090894381513,0.238926534054958,0.251798022654613,-0.426181983891458,-0.181495792938398,-0.339833406271933,-0.274997751770757,0.116692474922305
"表兄-表妹",0.0755108362620939,0.0624207220455933,0.689482551627659,1,0.386045239077752,0.58529786914698,-0.177279147629162,-0.305221931507204,-0.0313272880412247,0.212675494463045,0.0613909263192831,-0.110863846018549,0.593964923084107,-0.0304935577219639,0.364637804402419,0.411655099643065,0.0276893573019781,-0.167486351124546,-0.192693138414498,-0.312007712561698,-0.341483888880271,0.323747238059176,0.536559572841128,-0.122155446562283,-0.402720608305574,0.21984104515795,0.635573951137953,0.324181850565421,0.0959322638487678,-0.065461690622372,0.10168868693565,-0.0685419010075341,-0.17808242620054,-0.212322116150055,-0.226117950108118,0.466393180727565,0.072147332381689,0.221737221401727,0.358242406577318,0.190649663186187,0.152835834479369,0.0536689505739452,0.678499245258872,0.388052238156644,0.219877991303935,-0.0118368838482175,0.00597791137184063,-0.410825740723773,-0.204325850083543,-0.131838184371435,-0.105102825605119,-0.266481093389571,-0.00148892193019117,0.238739699995877,-0.236747593845153,-0.137552164199743,-0.103921284977803,-0.102669909205273,-0.273905684477286,-0.34761601091608,-0.270997072985061,-0.414977956947912,0.028594791675881,0.0457695904962895,-0.383948051094794,0.707578157438848,0.456333649416681,0.562575062888957,-0.0497449922131199,0.0345161401474231,0.116329322251456,-0.319625603006162,-0.0482380845102972,-0.373030674918833,0.122412899140211,-0.37947438760329,-0.425128903716719,0.662879668022464,0.203062397409478,0.531990794037608,0.373438133891302,-0.119585846606496,-0.115952022743812,-0.258232918349184,-0.317155996317481,-0.365134043883032,-0.347038393821316,-0.298772138808017,0.104988132994538,-0.210891865314342,-0.259351907789929,0.0111983742401959,-0.197891694938022,-0.189929956702791,0.153649095199626,-0.0963501375458864,-0.0396868489717994,-0.24152863621612,-0.165754389303001,0.668724200095854,0.212079428493877,-0.422724967789492,0.131502709669641,0.613407642136351,0.509374520360193,-0.397807917959033,-0.421634701464314,0.093174484714713,-0.419416899919265,-0.439506474689796,0.0333893466684638,0.309704144069833,0.241268263977129,0.241404473331921,0.085140071492692,0.519999710871517,-0.0231439222631666,-0.239292323449518,0.18593270343842,-0.169755671677118,0.102927492511573,-0.04809194702737,0.266072429179623,-0.223696886329957,0.0475144201335071,0.236106651942164,-0.188192275443339,-0.051269713074704,0.0707818857906106,-0.231510097707224,-0.275863247911271,-0.223891853511141,0.139591247778549,0.347334794520468,0.538390133139026,0.165746153045808,0.0642443926786703,0.109917390582106,-0.281919342003616,-0.128555671890328,-0.35170269283412,-0.451812504592732,0.328639160021267
"表姐-表弟",-0.102966329871977,-0.0834343162265052,0.267194253200711,0.386045239077752,1,0.389112264643916,-0.214274055490648,-0.441230609475869,-0.352462799342226,-0.345908322072649,-0.354735142091091,-0.161952841827116,0.134197397612584,-0.244585917083236,-0.00787201473427558,0.0381184732900196,0.382551375346796,0.362934125244993,-0.507766697787637,-0.250016545628492,-0.286893645875829,-0.21972609049675,0.0286178982759026,0.169258192081083,-0.410401721842228,0.179183987054111,0.018883675136167,-0.127989323934692,0.411150883554105,0.371743171415294,-0.114591649090946,0.275604815307508,-0.123970495749148,0.136315442511845,-0.5181683848758,0.0341478152070551,-0.113907093521632,0.697457423991436,0.150147528550459,0.671223148156667,0.421764765430857,0.589129316786219,0.284697583710745,0.108149361815753,0.455262525105209,0.238763259739383,-0.11115433912583,-0.500710830728071,-0.523012748410734,0.3812984336369,0.0834343657984278,-0.0991273414681217,0.277666511256948,0.459497977789006,0.262629051709293,0.129593215331637,-0.339380016872554,-0.389545862731175,-0.499556312732578,-0.331529820830357,-0.585420233335804,-0.363167173407839,-0.0905654878539821,-0.17223909433412,-0.51063101430784,0.171879761093149,0.166349727757244,0.0319434415273561,0.304043330558099,0.497506391567327,0.365186528900112,-0.465676433696675,-0.416803085825562,-0.25929229792629,-0.259692093953217,-0.382365506069333,-0.304959771944533,0.244238420143059,-0.135887555827319,0.150542753460682,-0.141661912985253,0.461599459123668,-0.259097094956534,-0.421320489713968,-0.237958313541827,-0.0394616131111091,-0.0611498419651473,0.0144599544460173,-0.0927453049298697,-0.117594210234297,-0.0519723098170074,-0.148337142065436,0.124068540940277,-0.128879907825831,0.442180466676796,0.0124317864539773,0.0271989779687932,-0.270502471152819,-0.438157065482714,0.260415581206476,0.775850421087972,-0.342889031050563,0.322418038387925,0.0705041587387304,0.0290630486286122,-0.405223655759588,-0.353592437425923,0.501008972061757,-0.361717628559865,-0.32404911806531,-0.266846160743145,-0.209540538213422,0.818984740337218,0.221893902242198,0.551431838344327,0.115124225568471,0.239479166197072,-0.00606238584592037,0.138701138700922,0.063847666341923,0.363324393942365,-0.347110423301908,0.0091836466225889,-0.424525201254369,-0.102759938923041,-0.0677328432316663,-0.240053440970473,0.287137278504482,0.560127294599593,-0.267121010581211,-0.517829125810735,-0.585770540574534,0.429397012748121,0.194281114960517,0.106732224656683,0.0801738162619289,-0.172433083681909,-0.144625987688266,-0.326541768623568,0.321941580851144,0.0083765829854268,-0.347110620832071,0.161915211263325
"表姐-表妹",0.0478716960895776,0.249492686563121,0.757990660664686,0.58529786914698,0.389112264643916,1,-0.15893594462788,-0.309842099750886,-0.287712151477295,0.148549690487644,0.193642845847932,-0.228352826489151,0.420541223580938,-0.0187852444047536,0.493188213614057,0.165757870106569,0.106895604213047,0.0544384961541003,-0.2328716815191,-0.184917125673329,-0.427793265444277,0.0866927478224561,0.222339159953159,-0.147711987187198,-0.506662283678264,0.419160181358883,0.451384930185022,0.175436378618954,0.0770866656950318,0.151072865568589,-0.0325477759104887,-0.0610237485832848,-0.306158118685835,-0.186814415873334,-0.412560252038375,0.339305512870919,-0.0233869115921569,0.324558332576374,0.597206745976575,0.0922675054229198,0.193439354039734,0.0305072041527176,0.770972099091925,0.37823030879423,0.153257962167849,0.00259171053686879,0.0345625640563194,-0.360389009061018,-0.276943188766827,0.0507095159769903,-0.0640854040320314,-0.337044946849103,0.0343784970147788,0.0583698381666544,-0.128231507251354,-0.0124295097583876,-0.123400561802522,-0.147632420876943,-0.473057477989278,-0.0647462160544172,-0.261499181136764,-0.138126871984557,0.0045502030157801,-0.00680301128670683,-0.290395166435219,0.404818251137978,0.192687539310306,0.311595645661472,0.0629200174303585,0.144259100609919,0.118283589252724,-0.303808655703985,-0.198211415870304,-0.180701786068617,0.221227528992381,-0.021608138372284,-0.130813533612413,0.347798103385867,0.189169513393047,0.554137150058686,0.172209298608621,-0.00937151177607097,-0.40484969970343,-0.346170315621507,-0.229929278915063,-0.347991053772913,-0.340244414958564,-0.255383848906141,0.117696428005637,-0.331875401782798,-0.363110890579052,0.210532350848692,-0.190791165689566,-0.34179208013037,0.0771904050089174,-0.256446508911079,0.200727897002832,-0.279375498342524,-0.323469484779522,0.454865614546098,0.307969554979368,-0.491464409410941,0.0295797140568273,0.330632335875017,0.373214572211004,-0.0522164965356504,-0.127437291847225,0.0973076345623926,-0.147940975490635,-0.226195760933991,-0.150253122231485,0.200256262120396,0.346551271652903,-0.0785715308256834,0.0539631059079328,0.515396004931027,0.0222034248805685,-0.136981899001631,0.102890654140031,-0.0648932604128841,0.0715852580482802,-0.0836719259828843,0.320434704349412,-0.385315274644804,-0.0955141330999535,0.0418532489896538,-0.144918620194358,0.302325958802114,0.264391076259206,-0.434098548247276,-0.0368434204312216,-0.156390216649836,0.0813272172187215,0.115415254072915,0.27882556362258,0.149132332699405,0.213977413595699,0.220536564806721,-0.51003997175943,-0.103344263328011,-0.277273966669994,-0.174951492204847,0.0192747721294583
"伯父-侄女",0.069686560379126,0.178264924596975,-0.14759756241073,-0.177279147629162,-0.214274055490648,-0.15893594462788,1,0.278526719218904,0.210201713379065,0.332134463380692,0.499136289436124,0.693910544356332,-0.126700672755438,0.255137156617125,-0.229803971524192,0.0759300824586326,-0.44052995849175,-0.0429039514790747,0.262954063646329,-0.415198728463466,0.100811594467645,-0.305711260335038,-0.216979811222469,0.242374972860833,0.0812627114151732,-0.130250962218788,-0.195859855718133,-0.234863966811246,-0.272152424659394,-0.0874879171932108,0.190240388958816,-0.322209546080248,0.249683724314234,0.213850814127913,0.19665226133177,-0.12466075680031,0.224932512054259,-0.104842378828649,-0.101519739133421,-0.188733079076212,-0.288089821025161,-0.10566042090881,-0.0600136950100608,0.456015118300818,-0.21979151294393,-0.0212029084262062,0.241448504128271,-0.117420376436436,0.327627841122754,0.0545124183853361,0.0309546118704348,0.0351563296431601,0.0878001777999397,-0.176664222975229,0.142384494807958,0.0917220851257491,0.334321153216425,0.223171904911601,0.160242388594311,-0.245187324542535,-0.223258606323733,-0.242983989664182,0.259776945429176,0.293162356206006,0.526983074372429,-0.268067524780226,0.163026624855972,0.0363024380260102,-0.358599722625264,-0.323740825280097,-0.157546794856526,0.350878973669572,0.157482890368882,-0.383419420103365,0.34317786143744,-0.196401829747937,-0.243066983317422,-0.315563008785481,0.360992966302794,-0.0582029813252217,-0.152875325539225,0.0137773781609567,0.191481653929077,0.0628682836311651,-0.409721991512383,0.0474530345481049,-0.0531271690633365,0.0166825012186664,0.167017267134368,0.163939380218346,0.238058172244111,0.23930038222753,-0.010272490390589,-0.0264306217812573,-0.193145588216749,0.142240455332591,0.306185187708511,0.419255952271938,0.247667671111609,-0.168660046667826,-0.309267711862274,0.0717508849842614,-0.238644435175567,0.0139056059868895,-0.0405016581555242,-0.216512870743759,-0.2356457875939,-0.331312970735461,-0.247121770982859,-0.325945470594067,0.28680586688577,0.437618314193857,-0.244074376158547,0.0551918254306106,0.0455073136835473,-0.283486508065782,-0.00909658570666142,-0.295515700010115,0.237792201191524,-0.27356793280205,-0.21495853423101,0.338315632165958,0.32458809801336,0.194736451724911,0.393405475749061,-0.0950026801248019,0.407558409533379,-0.314987651690475,-0.197965454470822,0.173174238045081,-0.161323327817653,-0.251168442665374,-0.357331142113746,0.0919541794348652,-0.205567947008402,0.256553277016496,0.400552107241215,0.426418395563629,-0.0126558693396656,0.0999067975384834,0.0724114990719739,-0.298783198760162,0.305082090841167
"伯父-侄媳",0.240871200409305,0.249276808284448,-0.285037226796535,-0.305221931507204,-0.441230609475869,-0.309842099750886,0.278526719218904,1,0.581871752988148,0.106496812085371,0.23054403026948,0.34594965191729,0.0319961055534314,0.408424232079436,-0.184205693507155,0.0962315353093252,-0.418543793659873,-0.520482894799047,0.284565713775431,0.0152555013942112,0.273636694396888,0.18771055797394,-0.0680062729506417,-0.238031843340908,0.402657556041054,-0.155004180036982,-0.0709521932721378,0.164582483774524,-0.449815925678045,-0.400725176932342,0.387236094024716,-0.406719684301969,0.367028458331126,-0.0775798148170957,0.166143547898109,-0.20525894737901,0.360573414997616,-0.382609644653737,-0.199598958572313,-0.392074480886119,-0.466082034389738,-0.389201186352138,-0.202995489838085,-0.11975255771683,-0.589769545885965,-0.451394450295412,0.330623414301385,0.331530922228741,0.245774494606208,-0.441189385526439,-0.291269129554309,0.250138559951661,-0.34094473915586,-0.435012218228257,-0.162621700740009,-0.273689469508628,0.396573807385367,0.348226720166839,0.242874690862712,0.231564260338276,0.229879757929912,0.203065912826372,0.497742098102413,0.442906941145087,0.561798694460326,-0.21005289959573,0.147210509283495,0.0620442772444525,-0.34843446708098,-0.409146138515432,-0.562884785674817,0.63402471816762,0.593733435939689,0.085757499103632,0.210449644712482,0.0936292949597675,0.0401752586252868,-0.317839247161657,0.187167711425546,-0.336394696192537,0.0500722106320211,-0.396332583131893,0.129479050256642,0.113335352335078,0.146564131767049,0.0150811601536961,0.24246002917908,0.0524163141775624,0.258893115688998,0.047534618298511,0.0750754020306781,0.381506941535179,-0.0351627720167144,0.333236997471236,-0.4969085882176,0.143312683950587,0.0860151690199859,0.263795808744713,0.516497182488234,-0.167277276203495,-0.415335885087633,0.394212092920667,-0.355939075799021,0.106004682070843,-0.184021257496875,0.17001120480083,0.196505228975037,-0.448644556534314,0.219146825551527,0.165714499694568,0.46753075418843,0.124793165208918,-0.440222407458567,-0.0767508031572501,-0.434234566795061,-0.04249897921196,-0.454005800000952,-0.177152640572566,0.0698995540818374,-0.24168583152374,-0.531876552118399,0.401691562410254,0.194480732119621,0.416205186556102,0.391597900316209,0.177024609226014,0.550395248054206,-0.0929424396962302,-0.297073155407753,0.249970161379254,0.0930196730478583,0.204577795671834,-0.460408205619789,0.147875770981191,-0.264335931390329,0.0347904104729078,0.207936043090366,0.293273130629358,0.4309743131266,-0.296151244899556,-0.0905045704676428,0.192934104874063,-0.00578835847345056
"伯父-侄女婿",0.117037759429336,0.0318948353362569,-0.203969833029498,-0.0313272880412247,-0.352462799342226,-0.287712151477295,0.210201713379065,0.581871752988148,1,0.165579179971903,0.121382033988743,0.352503173685204,0.275242904204937,0.264782729320217,-0.0477846164671681,0.362713077802978,-0.347038542951157,-0.570171625070452,0.146400828348431,-0.137144396363992,0.204204925459555,0.215219836782395,0.138479429575513,-0.175645956875034,0.228336808433678,-0.158031576775803,0.0927478575241003,0.341633613755905,-0.270460103015204,-0.272756930340356,0.432683103920709,-0.339206483997291,0.442768256660504,-0.0370504417596706,0.0702276332375442,-0.12248033710776,0.3467113126496,-0.36027376523788,-0.156423718236512,-0.260995655298919,-0.301708006270869,-0.290618367490169,-0.114132136716287,0.0273290711537857,-0.382023548850868,-0.351794375762185,0.0527320757089818,0.11794126936597,0.201279190726238,-0.471198265764558,-0.251097124973516,0.066791878495924,-0.33019153526081,-0.336258994564414,-0.219738648091443,-0.365306638741502,0.455224522862442,0.202991663238292,0.181176556460716,-0.0569373252448614,0.129869472174206,-0.0973594147896329,0.508628781713236,0.440430791776961,0.328828458433802,0.0505224847640562,0.325640909728384,0.354973173330628,-0.277985331422481,-0.300099042555586,-0.414369050921728,0.378035106886318,0.638887434822489,-0.143700534108533,0.149729751355349,-0.209471068666797,-0.267783558717222,-0.0234815172211938,0.236820942490629,-0.0934299843970645,0.250752408812577,-0.283326756768815,0.121845757861712,-0.0789465745263861,0.0114291071424583,0.0611894899743779,0.192271292855669,0.0641612969204901,0.184758299499318,-0.00952474805983803,0.120306786137408,0.0858539976656903,-0.0882596999786316,0.292237224892033,-0.260307817927042,0.18913629928142,-0.0344084984102863,0.109503363731263,0.371738651989435,0.0381000888567304,-0.387101798359923,0.374194112143055,-0.221317084904646,0.369172193107565,0.0662475318222565,-0.113490121777158,-0.0739804704235674,-0.248134682635658,-0.0629900517933663,-0.0943893070386966,0.448788976853938,0.166056256822973,-0.395016385705355,0.0552000409930486,-0.250534183758428,0.0496967158419746,-0.31986446451493,-0.184535963085379,0.145206459333874,-0.178116541903617,-0.39580817199237,0.275879104613538,0.105404381493354,0.394922213144352,0.452961384194406,0.259135522447046,0.362540212589515,-0.210912484966109,-0.291770009959318,0.325897102255851,-0.0690389246313803,0.103583964090863,-0.288846338990847,0.295553089663445,-0.062781485232247,-0.0487425190857867,0.0583353123429698,0.213912772955752,0.513343014724257,-0.164241937622895,-0.0810195268023207,-0.087282337216632,0.266410126620779
"伯父-侄子",0.246093511317505,0.311746884027914,0.280330447425673,0.212675494463045,-0.345908322072649,0.148549690487644,0.332134463380692,0.106496812085371,0.165579179971903,1,0.614916336488111,0.222261331223312,0.233238315886753,0.380192865127452,0.239083528656319,0.370772170370641,-0.253102790553048,-0.263213062619825,0.417553849704373,-0.389686463759393,-0.143247465760021,0.0575167349558546,0.0473905552213162,-0.201653359722048,-0.109465812431446,-0.155538939787222,0.267264226035272,-0.0856586043331188,-0.276933803695189,-0.319371949756585,0.162135200591085,-0.18973104912952,-0.00454448511343059,-0.300351135194358,0.395097370007995,0.34847840962555,0.268946419572606,-0.203345947973236,0.251712841472349,-0.411153706774667,-0.145374656168234,-0.313708122523753,0.281491355105895,0.547148006755003,-0.147056924381979,-0.100356565236485,0.298806013384975,-0.162146821862663,0.374351737347339,-0.135927678655113,-0.0766373071237694,-0.271813377343239,-0.154601336218128,-0.204355657092153,-0.106829764814919,-0.187974468298537,0.250039690169214,0.118569234092177,0.0908904225626413,-0.304130899599145,-0.036922085790176,-0.322411331757618,0.232211797872872,0.156428894780631,0.169037098206195,0.105815059997545,0.265430710129987,0.426897854893667,-0.308038442218676,-0.32117761167922,-0.0298826030410563,0.179076945496077,0.27608298838931,-0.338876350716078,0.545408819193271,-0.148235793817421,-0.161973697519642,0.107053572551899,0.483599322099604,0.315578874511746,0.145839629236561,-0.35006557332401,0.0943917505226843,0.139538830378274,-0.433580932745638,-0.352850044908094,-0.410966063700254,-0.482684538356957,0.223232638572968,-0.0853666860532826,-0.183504502889193,0.320469837891212,-0.356144169373721,-0.308196303301299,-0.186383553106636,-0.129329673184399,0.469515243558131,0.337544385206168,0.265020204957266,0.299398152205774,-0.265370617809336,-0.045873818446753,-0.271041960038,0.378434731578525,0.443253749548289,-0.19981352816853,-0.308692320540246,-0.217844618796928,-0.300977671717587,-0.354842893569346,0.198770605649539,0.559256331490722,-0.303757157026867,0.0187228398004085,-0.252027895695126,-0.0299372725266768,-0.0707406721739733,-0.133029368584048,0.218029843010981,-0.0376830836039605,-0.0844449951546451,0.449683368942469,0.236367189718351,0.0233028811909676,0.31262132767646,0.344350555467697,0.253333412801968,-0.225035221953318,-0.263867171616962,0.0901467533826277,-0.0226733709277433,0.0100945809172109,-0.312772585364595,0.189535267935905,0.329326138653196,0.129508758890932,0.343080514396554,0.281625224106722,-0.279254082063981,-0.088547110975156,-0.323670469131982,-0.287046306541627,0.295418920696896
