"","表嫂-表小叔","表叔-表侄","表兄-表弟","表兄-表妹","表姐-表弟","表姐-表妹","伯父-侄女","伯父-侄媳","伯父-侄女婿","伯父-侄子","伯母-侄女","伯母-侄子","曾祖父-曾孙女","曾祖父-曾孙子","曾祖母-曾孙女","曾祖母-曾孙子","从祖父-从孙女","从祖父-从孙子","从祖姑-从侄孙","从祖母-从孙女","从祖母-从孙子","兄-弟","同父异母兄-同父异母弟","母亲-亲生子女","母亲-非亲生子女","同父异母兄-同父异母弟","同父异母兄-同父异母妹","同父异母子女-同父异母子女","同父异母姐-同父异母弟","同父异母姐-同父异母妹","弟媳-伯","夫-妻","夫-妻","出轨者-第三者","夫-妻","父-女","父-子","高祖父-玄孙","高祖母-玄孙","公公-儿媳","姑表兄-姑表弟","姑表兄-姑表妹","姑表姐-姑表弟","姑表姐-姑表妹","姑母-侄女","姑母-侄子","姑-嫂","姑父-侄女","姑父-侄子","亲家-亲家","继父-继女","继父-继子","继母-继女","继母-继子","继外祖父-继外孙女","继外祖父-继外孙子","继外祖母-继外孙女","继外祖母-继外孙子","继兄-继弟","继兄-继妹","继姐-继弟","继姐-继妹","继祖父-继孙女","继祖父-继孙子","继祖母-继孙女","继祖母-继孙子","舅表兄-舅表弟","舅表兄-舅表妹","舅表姐-舅表弟","舅表姐-舅表妹","舅父-外甥女","舅父-甥媳","舅父-甥女婿","舅父-外甥","舅公-甥孙","舅母-外甥女","舅母-外甥","妹夫-妻兄","妹夫-妻姐","母-女","母-子","婆婆-儿媳","原配-第三者","三从兄-三从弟","叔父-侄女","叔父-侄子","叔母-侄女","叔母-侄子","叔-嫂","继母-继子女","继母-继子女","堂伯-堂侄","堂兄-堂弟","堂兄-堂妹","堂姐-堂弟","堂姐-堂妹","堂姐夫-堂内弟","堂祖父-堂侄孙","堂祖母-堂侄孙","外曾祖父-外曾孙","外曾祖母-外曾孙","外祖父-外孙女","外祖父-外孙子","外祖母-外孙女","外祖母-外孙子","兄-弟","兄-妹","兄妻-弟妻","养父-养女","养父-养子","养母-养女","养母-养子","姨表兄-姨表弟","姨表兄-姨表妹","姨表姐-姨表弟","姨表姐-姨表妹","姨母-外甥女","姨母-外甥","姨婆-姨甥孙","姨父-外甥女","姨父-外甥","义父-义女","义父-义子","义母-义女","义母-义子","姻伯叔-姻侄","原配-继室","岳父-女婿","岳母-女婿","再从兄-再从弟","姐-弟","姐-妹","姐夫-妹夫","姐夫-妻弟","兄-弟","族伯叔-族侄","族兄-族弟","族姐-族妹","祖父-孙女","祖父-孙子","祖母-孙女","祖母-孙子","祖先-后代"
"表嫂-表小叔",1,0.491795981415134,0.0946159927994231,5.39343095133406e-05,0.0397386198941099,0.0771883768846493,-0.36283013377515,0.0898215277450476,0.124308988197189,-0.0469880235906427,-0.0593478487811924,-0.203502279392521,-0.230486718706914,-0.237680805793525,-0.180284537690564,-0.285300288436081,0.0148195419819129,0.237753465979277,-0.125945156347732,-0.435637368703,-0.166616746086727,0.224959975100679,0.161052430032126,-0.210744718689995,-0.279742188669472,0.209449951801472,-0.270491086900457,0.11665801341482,0.0873470783604126,0.0125685610327528,0.274210925675172,-0.207203302106669,-0.364401602280978,-0.322243425990532,-0.366761022926515,-0.193782857725727,-0.242932980783132,0.00903865154160993,-0.13878596814839,0.201831214563899,0.305736837795865,0.276613965902671,0.155676504697005,0.0781617570306718,-0.222682407083696,-0.262546990559803,0.245880223799128,-0.287605817134756,0.343882769889778,-0.00442997729236737,-0.357431180535742,-0.452618651094498,-0.273251105485695,-0.307348315029878,-0.344520575154262,-0.231676636346612,-0.180889327943998,-0.182781615448914,-0.0172256678384775,-0.220636496157954,-0.0466653269532123,-0.0823621094284728,0.278895454247659,0.132231968255301,-0.426598863671703,0.14463415426478,0.178305195821562,0.103729669420513,-0.000228686236264546,0.108452601032461,-0.228061727343897,0.244492697928875,0.298905058419175,-0.245640979793509,0.373265338623432,-0.266467017072791,-0.19951417333048,0.411241233159045,0.203680516537019,-0.094297486926312,-0.196756587725712,0.254332182629584,-0.322680453829603,-0.191986531650012,-0.0699248507109487,-0.0278534707478079,0.107308407503574,0.0701756177611557,0.06037008889634,-0.238402057757878,-0.25007166899626,0.246283556864084,-0.148603724704953,-0.093920242397656,-0.175018650172014,-0.055998343863899,0.537294356531236,0.298611519025828,0.381727726744769,0.121335896283929,-0.0138933523875617,0.221569826240449,0.0886102145589353,-0.155565518811711,-0.00846655161071997,-0.233601242284131,-0.366928975491477,0.0388933593120183,-0.314059215725777,-0.13580523226049,-0.381770674721885,-0.440195461080447,0.22074200077516,0.146912528181812,0.166200005321239,0.358073906715961,-0.192487749619783,-0.118590451493423,0.524853553730587,-0.254513614732657,-0.155933892060404,-0.237248183754678,-0.157458467632213,-0.34253746696383,-0.0497786416901918,0.469786872737291,-0.253119375649215,0.287145219264539,0.34344726989207,-0.10217181343233,-0.280740409295874,-0.288050638111617,0.149721933835913,0.350732310401363,0.299428035305865,0.389752976562367,0.319372264361662,0.316872912675546,-0.0509312238682173,-0.168301725354961,0.0813114953355961,-0.123787393813411,-0.250592432535929
"表叔-表侄",0.491795981415134,1,0.0828667844031375,-0.071447246374618,0.0395562126778147,0.0131569489088501,-0.0656662525565059,0.275698923531113,0.0124599468074008,0.0999522654983861,0.150598469651877,0.0209833136840114,-0.0722304456839122,-0.363435817936083,-0.22779372101757,-0.194477616888353,0.110886349531144,0.354007595808506,-0.116660198458265,-0.486518264877445,-0.24826140993701,0.393336159484911,0.39725228268626,-0.364737012155579,-0.360738396588017,0.248357725280462,-0.275019531417201,0.170710770483676,0.0891169662756951,0.121746380866866,0.361987017308876,-0.0275837077445125,-0.259346869651081,-0.480160437449039,-0.287933770545741,0.0324730005703924,-0.128834759796805,-0.159283352140933,-0.0834404818476021,0.21349315715634,0.285946213719463,0.318064738112848,-0.0323968899252573,-0.260171620774627,-0.31231559079104,-0.343363951228559,0.480844548563446,-0.399475198408666,0.547604191018535,0.0859711258318425,-0.346291580515202,-0.355026347541943,-0.298486169956152,-0.489293483103925,-0.395765580676866,-0.347869650939108,-0.214406697465013,-0.190450161516771,0.0168158369529888,-0.116011046107536,-0.197161288579659,-0.122408638773896,0.37442978886563,0.237772672702513,-0.359367920266422,0.273716211929639,0.0244731420843711,-0.0374104096691702,0.0113715144780347,0.013112127058119,-0.383793343096644,0.165075174641011,0.154879687262777,-0.402342296799911,0.438568169104898,-0.394239510334799,-0.36389491724323,0.477580013193676,0.07391731039268,-0.0199711180237657,-0.10315359001875,0.217464680952906,-0.340348130244878,-0.339824608075179,-0.139806652522758,-0.111212073480033,-0.0486840121937075,0.115716083605361,0.0292557494583042,-0.245498457874863,-0.373069360315186,0.447514766226922,-0.28471956754304,-0.34789388267763,-0.227291990991366,-0.192086957211668,0.483749476076879,0.331995188372445,0.299423362328081,0.173800770483567,-0.00154595972866553,0.284246449193637,0.231873488768153,-0.137111871565995,0.0736430473558523,-0.563252096393551,-0.26487656192131,0.0219722140469083,-0.246160048694299,-0.0848921732594557,-0.30530144827372,-0.344373564046767,-0.000998594495701269,0.249441607399365,0.239121196383744,0.308483304872744,-0.319494375853582,-0.127326404175585,0.51801086717663,-0.357041008938613,-0.231122955337522,-0.194733638878862,-0.109280690877966,-0.347830248072145,-0.175738469300797,0.577155860848904,-0.179158147121552,0.511346608828806,0.486482422187767,-0.180315012958546,-0.444580252139759,-0.26118366240645,0.160494005336624,0.232529475767399,0.465721316438629,0.185902913812603,0.279106741534277,0.382431490893119,0.136021949809975,-0.355054936190865,0.0762506170575674,-0.080494450374728,-0.403465388642662
"表兄-表弟",0.0946159927994231,0.0828667844031375,1,0.4420653320818,0.572175387262887,0.51555465940521,0.0735090842433787,-0.344977368086628,-0.415637002653714,-0.0158159568854366,0.108664408211809,-0.0920370940165269,0.16323740376882,0.0247491088667965,0.0995822876383725,0.128362419529271,0.237898032238621,0.292449901707962,0.0744160575975679,-0.0486850048219158,0.0772751727795697,-0.0548615296109011,0.0467613042391549,-0.295398357809269,-0.0269816981821492,-0.19914391395972,0.209369631145907,-0.0926181380750701,0.287260496490664,0.168813305399496,-0.119319885464027,0.0961460576085732,-0.120220676695207,-0.111216352351911,-0.290644288662323,0.104972832993774,-0.1847161349845,0.287816203714903,0.204400316726323,-0.126529726135877,0.367651355362408,0.431226316399872,0.604752539327857,0.28310552501741,0.0272261378307564,-0.0317716300161903,-0.229082591341717,-0.0161196360963626,-0.222889571177416,0.294742611328396,-0.211653592335036,-0.107413577190069,-0.0737034869546758,-0.187421724298169,0.0656773925315299,0.0281208129165617,0.0866938802592064,0.0660704210445634,0.197875717456274,-0.350084537939802,-0.50538304090078,-0.325887266733833,-0.24201002195309,-0.283320000938231,0.104937167647835,-0.150375903346067,0.312005570527697,0.261850407267516,0.598719052654338,0.556950383758311,0.0885328267289796,-0.182435818697073,-0.299501531373558,-0.188512751907883,-0.186570219442264,-0.0735678846100103,-0.0775294869895297,0.0854894652237077,-0.057767214895518,-0.0425331600221417,-0.0541864695400208,-0.133816817806241,-0.173586616999762,0.149218855311859,-0.368249553116775,-0.453949642996161,-0.320674641765085,-0.33034496550825,-0.213735456046916,-0.0803336993585353,-0.0572714325017196,0.0382305332400847,0.0737801601380166,0.0366178058039233,-0.061868391761033,0.180506398448159,-0.0755479993962632,-0.11753059854936,-0.0979409392334608,0.37124057740515,0.265690936811714,-0.450054040321316,-0.418864150303994,0.215145447894769,0.297181764148393,-0.18922124741956,-0.252311016408915,0.356048472670852,-0.553378086602421,-0.350947716371293,-0.0593556558426223,0.0791440948565328,0.421312979906623,0.36517007345734,0.551073994733016,0.170922727567049,-0.15933754232977,-0.0627605147598834,-0.113245733682522,-0.0438489342537477,-0.018342749850181,0.184191645036107,0.064737760758833,0.0597321126656206,0.11795859334362,-0.049886382856479,0.111260518244317,-0.070099198411264,-0.118332952873705,0.27433772667412,-0.145467105573047,-0.138511433564699,0.304017617042097,-0.175066322686048,-0.0226004302426109,0.0809474297860689,0.0591886385314676,0.0545814553613222,-0.475965886398195,-0.0941970241935183,-0.455023598376505,-0.554682091217903,0.0266159658394993
"表兄-表妹",5.39343095133406e-05,-0.071447246374618,0.4420653320818,1,0.506801936716975,0.386875248185238,-0.0685056453702024,-0.224858338831045,-0.288065431607589,-0.235413833965069,-0.03381222702743,-0.173603191686948,0.130868030614468,-0.0155612217350088,-0.000176271486368091,0.00448137677484709,0.185895038113603,0.0782074853778698,-0.12303523260028,-0.140877273896016,-0.0516439164132107,-0.118997749370498,-0.169350818328328,-0.272592219687189,-0.163310584920184,-0.150805357101941,0.068675315673941,-0.133777788373198,0.0727187144690042,0.129048577349154,0.0311094258721976,0.176112551659905,-0.135167903359316,-0.106272367155798,-0.0769537875174112,0.0616669717178883,-0.124495543501811,0.216281543618637,0.0554763266327002,-0.0482230308268127,0.329471097300077,0.581893942111723,0.50283364663844,0.369512409741054,-0.0339150150651015,-0.0784713817949929,-0.118333352408309,-0.140227318671072,-0.304936228874923,0.408664085498555,-0.169025520453931,-0.0933067493477804,-0.146413539838907,-0.0641035780495215,-0.0318173155661103,-0.188496426859931,-0.0217166461773677,-0.14121572332907,0.169691852304491,-0.165177995837894,-0.294923882008977,0.011759132909855,-0.177115164257602,-0.267280839573264,-0.168269212633521,-0.15089667505688,0.265498743503598,0.259877308638106,0.345730574958474,0.439103788214496,-0.0629023678707223,-0.106660812689438,-0.104164592217822,-0.150294434930326,-0.216394622003615,-0.246794972078167,-0.167694520010828,0.15097506502624,0.0776655465679356,0.0743677251081794,0.0447325497037296,-0.00887552623107024,-0.188832083791374,0.14897336891643,-0.213342231718389,-0.320734681897315,-0.0881916268826263,-0.235752976376141,0.0245261657926834,-0.249841993657477,-0.183192997197945,-0.0747560636537391,0.120686105871704,0.25807074414386,-0.0550612781195162,0.200011947189558,-0.0616163333361795,-0.187291522434123,-0.0281993991088724,0.230020697966216,0.207703924488608,-0.157128531786041,-0.287593445984394,0.14061963302609,0.144995951578166,0.00376004900965017,0.0537116956656465,0.286002483144752,-0.198302727039483,-0.208716577346563,-0.130462485541698,0.0282286571315157,0.461341684009471,0.456824160349207,0.356029301981638,0.32430237438721,-0.179914093254422,-0.216964431011276,-0.121191818801599,-0.146295906318937,-0.17703074822933,-0.0223144251045282,0.0276708607503179,-0.0730828008217011,0.131876084006848,-0.114174396070289,-0.107570192792179,-0.0352004201624,0.0400423649811314,0.13088587004891,-0.189902608661056,0.0806330830171738,0.36483792587017,0.0687382905729116,-0.157546835958575,0.109754962278043,0.123905294915842,0.0528755819650755,-0.285344464498624,-0.0465115671320043,-0.20197801005584,-0.332694590927832,0.0430449981888666
"表姐-表弟",0.0397386198941099,0.0395562126778147,0.572175387262887,0.506801936716975,1,0.468443681105905,0.0613056290283546,-0.186599757074729,-0.242250227607141,-0.111094777026078,0.157631035751972,-0.0997572155121703,0.354904311681964,-0.0771497929072862,0.164873214853123,0.235093273377708,0.492816771203767,0.280099833883722,-0.119624610381307,-0.158879402840334,-0.145685641727341,-0.0269607708724091,0.081976405951981,-0.290607314690169,-0.173506010340134,-0.0603536025832529,0.223716442075148,-0.0143925890181238,0.39206957309861,0.44106274533664,0.0653238294306443,0.158862289263971,-0.194270178180819,-0.234439705513274,-0.340870472593447,0.27970264793948,-0.163118797590078,0.30540140208071,0.259328553301292,0.106057245061244,0.463037955782554,0.521858818202847,0.579671310291225,0.239282875275276,-0.150432247339194,-0.166811115650029,-0.129494110216374,-0.265790543967713,-0.233187358557699,0.326068078078526,-0.105460325881152,-0.227978568246657,-0.00671046216669258,-0.210101137093936,0.0228338995962651,-0.266937453705721,0.0309927662821528,-0.100685197786132,-0.0121747859535306,-0.401009510797917,-0.480642513125548,-0.334319040941375,-0.067793874783037,-0.221954664806994,-0.0500152600013095,-0.0632070088065687,0.178809996336098,0.327609741155721,0.617788337814655,0.533111379138059,-0.109839682989605,-0.193647666809735,-0.0869679920025744,-0.314831436513016,-0.182428228025073,-0.301828758253301,-0.336108380493186,0.138763463614541,-0.0424317071430896,0.250330000237397,0.153409368279785,0.14637574005435,-0.302375794809112,-0.0496052369471757,-0.321741515016091,-0.545967937304225,-0.254825761324852,-0.326224957215022,-0.120139587132419,-0.163101218525101,-0.152826599623857,-0.128405470384152,-0.164057251947053,-0.109372933492314,-0.153536517492071,-0.0222919470483272,-0.034998380619532,-0.262969813264323,-0.155066900036921,0.331814675376884,0.527393917902823,-0.308001430402618,-0.333299241919893,0.398086794885659,0.286254293352735,-0.30440124327595,-0.196770895249649,0.382988132674118,-0.498238856056553,-0.436010945320706,-0.0508168489767712,0.0178621276601201,0.462857882883701,0.486533916199792,0.728124420956797,0.158571698962705,-0.275739591640342,-0.280821380782425,-0.0584974938324834,-0.268642967497802,-0.28065848128272,0.119047147222263,0.0922622562093758,-0.116800197769419,0.13790995829203,0.0514464244680304,-0.00574083886867467,0.0774625422564126,0.0556888678185082,-0.0266197932761733,-0.170216469549303,-0.197868000800589,0.302195704807365,0.0550935034018841,-0.0406760681037311,-0.0491288431268501,-0.0861290630120412,0.111638478426453,-0.351069046801685,-0.0353644953063322,-0.25088163375514,-0.500534577682462,0.0367454419682315
"表姐-表妹",0.0771883768846493,0.0131569489088501,0.51555465940521,0.386875248185238,0.468443681105905,1,-0.0381205922379124,-0.22377300518076,-0.166696151417725,-0.30866166345008,0.213076057816322,-0.292916688057468,0.25565061462819,-0.17089712780498,0.150293504956216,0.205915329971542,0.394179154485615,0.146566542225432,-0.114182599201891,-0.0943927782170212,-0.220212929650794,-0.171852433707112,-0.133217825138413,-0.309560553211645,-0.223389189965161,-0.252164555486211,-0.0144522145389808,-0.122867953505986,0.197079970666911,0.428778486172115,0.0110955452361652,0.0559245981637781,-0.108002051942661,-0.155383776283325,-0.351476863890296,0.13501084776354,-0.206341818156336,0.186038027525588,0.215842258549974,0.0419470443568103,0.440643687106406,0.323696463857938,0.504054668282812,0.515037906896955,0.0451890697571045,-0.197133173156681,-0.146232822376063,-0.132878856470121,-0.184544302021511,0.402627315471772,-0.18810161188563,-0.326756667100133,0.0549530374020236,-0.320575226003931,0.0280959791465124,-0.137511771746319,0.0836758629163595,0.0262567551151123,-0.0938729083242949,-0.392930271357264,-0.452045916118708,-0.0823508602311135,-0.128019495922287,-0.285864265377241,-0.0615817112235225,-0.101987493460471,0.261053374542159,0.192696014866093,0.339691710057223,0.605312252278556,0.0544838057278064,-0.25274119529254,-0.0637895617443244,-0.334729191671895,-0.0922940829350949,-0.150571150941348,-0.27744225375479,0.171732140599168,0.0382819907559201,0.308655581880466,-0.0268534626076317,0.136788578762686,-0.257626768673018,0.00487952310979061,-0.255099150775603,-0.548872695218173,-0.0562114635845685,-0.253336239351056,-0.238750422686835,-0.241232555907783,-0.10823071106627,-0.246045997152493,-0.146459021545661,-0.0689569637776252,-0.12623787326023,0.253553632893252,0.108705799970105,-0.234420238090373,-0.000578477867610591,0.269347879751424,0.320132530198228,-0.193537707602487,-0.2867649451529,0.450628607414771,0.0796980704775899,-0.263470744425344,-0.125368785233797,0.287814346674109,-0.441343512566509,-0.400515578232049,0.00801601372491196,-0.0818627325603785,0.46527826521901,0.452750969089884,0.478460243642988,0.191365836919489,-0.214548718151069,-0.295460339235612,-0.0253074614100923,-0.0360725745060657,-0.145977218920169,0.290993469202857,0.129455920719422,-0.0394959252235378,0.214920012859084,0.00801075532512533,0.038460805812274,0.0477057922101593,0.056273340603195,-0.0597263221026585,-0.242104522196408,0.0158056778967586,0.507149761972621,0.114819291374274,-0.0901507746559725,0.039776578031814,0.00572793115001148,0.173141138413845,-0.363883169772906,0.045235190532142,-0.175356933972464,-0.344078727002896,0.0722164454280931
"伯父-侄女",-0.36283013377515,-0.0656662525565059,0.0735090842433787,-0.0685056453702024,0.0613056290283546,-0.0381205922379124,1,0.0601339923237887,-0.26292677426299,0.19432064686081,0.398052640537908,0.28934513773815,0.137573381515089,0.0382472190428005,0.00918721872500167,0.148897392560141,0.0659610575398845,-0.168302846366917,0.217465173459069,0.246503542655717,0.0359865382937789,-0.198128150470983,-0.0490326173175408,0.11334682501144,0.320181262766118,-0.228264834000091,0.343153904035539,-0.0408142019551666,0.228623807356769,0.194142780185305,-0.050630971493263,0.054442089561762,0.386022080064064,0.407660842961407,0.17361522660997,0.18871209888721,0.177809567267075,-0.173226092672375,0.0518778999011498,-0.142025851413146,-0.187974597977366,-0.145660933698471,0.039563029093054,-0.110377004530542,0.279802348218237,0.285492236035506,-0.00672148489727635,0.250811667877321,-0.0331584323612511,-0.124450682933304,0.257193439033849,0.160919063193576,0.146455953756666,-0.0388596563079493,0.312611750780626,0.216577869738471,0.130746764759088,0.271526854182329,-0.210780777256339,-0.00790730376193744,-0.120211083891569,-0.137847797907304,-0.132099951127006,-0.164753086810879,0.317034381347159,-0.175071647573433,-0.183707899809838,0.0188851296911401,0.175357366124986,-0.0631096589753761,0.311071209114117,-0.0864042994377067,-0.11537610286239,0.0789606415477646,-0.265165324921951,0.199078403098308,0.125211201767061,-0.314104205827707,-0.199918202773884,-0.0838591632420578,0.0923004328264545,-0.248510311917985,0.273933193399349,-0.00728212670546297,0.103437836154337,-0.0404110873379033,-0.298642244473996,-0.0200709478754911,-0.192681898735647,0.345738717187358,0.22762509118418,-0.0158907874665097,-0.0681897623946173,-0.0510388858854534,0.0649293855287305,-0.0716619620262556,-0.267996723127263,-0.232238898328328,-0.403263496352575,-0.108460640556029,-0.0855126074860389,-0.234146651523662,-0.222210788381762,0.121425124804987,0.0951255024851167,-0.132600352069788,0.163577355731079,-0.112600199013429,-0.0896778967722392,-0.168040146079904,0.350836512483526,0.158768012381469,-0.237871479729067,-0.171191877564253,0.0458447499167183,-0.342233565992889,0.111715383575835,0.0881990263119084,-0.287485668803951,0.179461821626001,0.168029363607419,0.221790054676234,0.0480129442331076,0.269487021074878,-0.0498874647489134,-0.203003895441517,0.296272988369647,-0.110426509552961,-0.123226740427595,0.0513768026222904,0.159088623703451,-0.0227599287758432,-0.20371113342946,-0.322220284697036,-0.257282604024613,-0.258396727056367,-0.332525664523398,-0.21066048032236,0.0736527885627939,0.0820046749213257,-0.223535857199564,-0.10534467297964,0.109946847849262
"伯父-侄媳",0.0898215277450476,0.275698923531113,-0.344977368086628,-0.224858338831045,-0.186599757074729,-0.22377300518076,0.0601339923237887,1,0.326688032742125,0.0825809831528671,0.130959097338553,0.0215725090893399,0.0228902050803939,-0.140031317697782,-0.0466213861652368,-0.165302033838346,-0.0386417214282,-0.0794040225922992,-0.265433823960707,-0.341014393343005,-0.27663346759716,0.184985150370025,0.189156938336286,-0.0856056545470357,-0.264066436320816,0.368250904634729,-0.28512240918268,0.161965765254341,-0.108632418257202,0.0308500629501759,0.489137049373526,0.012937996590544,-0.0685391144237802,-0.201330043222127,0.0558858747677865,0.0989212945415723,0.137374075900957,-0.16528179414971,-0.130464080432005,0.447434498743727,-0.0424309097149902,-0.0200552035111656,-0.202362909123992,-0.331415724100051,-0.248330118318017,-0.273488167638772,0.342664018610358,-0.276340211478786,0.340650050011937,-0.0280055158012949,-0.0902604822855944,-0.155972914762639,-0.177438890150499,-0.165515993829239,-0.327173138301793,-0.320542450632495,-0.161876265558855,-0.314868277852746,-0.231378176290922,0.115489719490566,0.102954260976618,0.0151786212585586,0.328910761427775,0.0980864418607796,-0.294678271842191,0.107424362338094,-0.217932421043122,-0.168526296740117,-0.255000445183628,-0.398641099319271,-0.268262695351014,0.45743830405055,0.404961059226419,-0.288674299867604,0.353934933256841,-0.28252066441565,-0.301352354511296,0.261249761442019,0.0177385734003952,0.0778442304458995,0.0805363176383978,0.396593417912898,-0.0299940613393625,-0.250203651767324,0.151610920483667,0.171954724719185,0.0621130499998982,0.291013162135478,0.31119356584193,-0.210231116946964,-0.237461396584956,0.176476308000188,-0.210278517456141,-0.273490976038003,-0.160271616567494,-0.295346408782734,0.246948600927857,0.167537067358804,0.0865770480132211,-0.027903523780169,-0.0900068743480133,0.398593870136427,0.305192959102483,-0.133275564943226,-0.0357334123261501,-0.245825648578571,0.0121224102492367,-0.0266456840554527,0.170467108866489,0.208343672157267,-0.190456894638059,-0.200387774256535,-0.242765089873917,0.0979479875878977,-0.130534031384212,-0.0179386130282549,-0.255186806382266,-0.340629857898877,0.200028576386396,-0.301525718559504,-0.371339691710269,-0.223674484205178,-0.140007949355405,-0.287516237072002,-0.117305390767041,0.335560751381692,-0.231254629414218,0.363520311158294,0.381112439049173,-0.316122903648271,-0.306618260128217,-0.140001519645425,-0.131296305724447,0.272859469685311,0.278438278736512,0.0357577990120134,0.0281492632180398,0.230212990398126,0.498255125268838,-0.027452675067746,0.360655596642557,0.312081734154818,-0.0487998717177094
"伯父-侄女婿",0.124308988197189,0.0124599468074008,-0.415637002653714,-0.288065431607589,-0.242250227607141,-0.166696151417725,-0.26292677426299,0.326688032742125,1,-0.0644801205849254,-0.0709764999592191,-0.177536944020626,0.0441986799051735,0.0215575284991635,0.0958239879685114,-7.26051161686445e-05,0.0727006371141059,-0.105401159556977,-0.247821660900158,-0.195407007413976,-0.27723110719781,0.0563917656834942,-0.036352153459829,0.0976830998903547,-0.222576236046188,0.209075793968503,-0.22627829160961,0.0197185869248307,-0.144895792757403,-0.120852445034754,0.226849818782863,-0.0974944449786777,-0.14290210906998,-0.151565670983744,-0.0714671947113418,-0.0472363753818275,-0.0421336329925528,-0.0982425415338681,0.0525477078180216,0.282540723419543,-0.072849914861765,-0.240289201916916,-0.34108439340804,-0.148229739654291,-0.112187400258455,-0.150260432069114,0.0529096564627052,-0.193641208711076,0.13369473186629,-0.0542931295295304,-0.0111308115921801,-0.127107580594245,-0.0412104617416066,-0.0716913384527318,-0.153244965078421,-0.250854162657646,-0.0652590640692144,-0.199523473197795,-0.314039042696786,-0.0266233942708657,0.246051147025075,0.00238236299213485,0.305175239308774,0.299855675005784,-0.196775037456484,0.212740040113611,-0.103835784451758,-0.109425917377837,-0.368274189687887,-0.260052077733334,-0.179362533700827,0.134866743743394,0.468188857981389,-0.0503562335251838,0.241983512368268,-0.100396312604054,-0.187856991501455,0.122627166161593,0.19693471389089,0.231783072351344,0.0219164408215802,0.390298643605121,-0.0588895547242718,-0.289954433082698,0.232765872980656,0.276011778191922,0.319081808811386,0.160226596985865,0.144674095499312,-0.227630646655496,-0.0989706102338948,-0.135297846665289,-0.182924377149192,-0.168251704896001,-0.120755185386989,-0.161141072741029,0.0839614782603746,-0.0495858816591635,0.169366099701178,-0.0928592198988636,-0.0653401381749266,0.412823439842841,0.363787982520821,0.058744743505083,-0.227415428707381,2.20446324912055e-05,-0.0108239333745588,0.00563676198094465,0.203721324610586,0.115181056233469,-0.0694920279358542,-0.189998792879593,-0.0747242184470294,-0.117342013172403,-0.263285709053804,0.0314840941380437,-0.00382276273074698,-0.125466773806962,0.264764154003229,-0.134778240977551,-0.161877528005288,-0.0686816022454431,-0.00614196165035067,-0.180555153043061,-0.0906368260301145,0.131434663781691,-0.216252883860363,0.2355146349558,0.233205429374451,-0.357323655912849,-0.118888623005574,-0.121525806403957,-0.0100212576010776,0.373472183260127,0.0938212439273444,0.0080568161214615,-0.0339665248092578,0.0552116253345759,0.429170428109855,0.157607008746435,0.392973648246307,0.334617545685749,0.132310787668188
"伯父-侄子",-0.0469880235906427,0.0999522654983861,-0.0158159568854366,-0.235413833965069,-0.111094777026078,-0.30866166345008,0.19432064686081,0.0825809831528671,-0.0644801205849254,1,0.14974694749366,0.353696694317176,0.0409204760240043,0.24433723763838,0.124282867811683,0.0293490009836592,-0.0763957529968216,0.214857808778404,0.252798226570667,-0.01449509470363,0.189181049718494,0.142814823806797,0.0405897850169386,0.115272149296749,0.0763320531912473,0.0372883022646862,0.124195086528347,-0.148432259942941,0.0725838975498719,-0.112832018429034,-0.0553490472314953,-0.00193063939173712,0.051865742142777,-0.127602435377179,0.0663696542982254,0.0712867544753679,0.290297607703251,0.0948868245255861,0.0495630834623521,-0.155414895897644,0.0569949861800359,-0.0560235781412522,-0.0466455581288282,-0.320436236068087,0.0563037745909727,0.136727718435624,0.0125144851036212,0.0375564340256388,0.167889025895416,-0.194989212212533,-0.0642123554224389,0.0547783932673226,-0.00868330911118128,0.0572877907010395,-0.192502961532301,0.0451347433969357,-0.14838442657215,0.0363651432247305,0.0639491714672593,-0.0216836133900089,0.127943399932096,-0.29042772997039,-0.0442970240721206,0.141738051646918,0.0817515330656474,0.00221425852346101,0.0786800421576666,0.0155287414598633,0.0739647918217669,-0.185026096534998,-0.0223245014632097,-0.0179925547325402,-0.129842875941345,0.246577302917717,0.131983015674975,0.0895680894564308,0.226655042601154,-0.222119194962496,-0.263336805189732,-0.144551339950065,0.191773548328506,-0.187626752993885,0.0379545509662738,0.059782049792501,-0.105725353998893,0.160719340876518,-0.188264843620453,-0.130755216874774,0.0471809392313854,0.205027136607637,0.0837069497453238,0.18648824473702,0.122598669170275,-0.134513555824075,0.121735975591797,-0.208189645899885,-0.201818257271761,0.118131837623762,-0.154165109375145,0.146287498317144,-0.0380739634468954,-0.135734456641779,-0.0558164336312248,-0.168809236834585,0.184651282704232,-0.000255419343020196,-0.0638517550506332,-0.183283721398147,0.0247157542405012,-0.0482087174281235,-0.075727134648656,0.113692106940405,-0.15804627392463,-0.139477125901614,-0.0748114676455007,-0.352644640410226,0.0417969434295224,0.254348270741154,0.00485874483173863,0.0352441989480364,0.184957358781993,-0.0175872617215205,0.0434002464868933,-0.0390391425263017,-0.0402241368837822,-0.00467695067636233,0.134717911509828,0.0105221317068566,-0.208471866596356,0.159614222963275,0.179686951352951,-0.232542863245583,-0.290311216852316,-0.186642315374429,0.106145541457526,-0.0995474160069696,-0.167994736209105,-0.192544400453818,-0.12288178395278,0.0989231754897579,-0.174937854114581,-0.0240944365107314,-0.15296648347939
