"","夫-妻","父-子","父-女","母-子","母-女","兄-弟","兄-妹","姐-弟","姐-妹","祖父-孙子","祖父-孙女","祖母-孙子","祖母-孙女","外祖父-外孙子","外祖父-外孙女","外祖母-外孙子","外祖母-外孙女","曾祖父-曾孙子","曾祖父-曾孙女","曾祖母-曾孙子","曾祖母-曾孙女","高祖父-玄孙","高祖母-玄孙","外曾祖父-外曾孙","外曾祖母-外曾孙","祖先-后代","伯父-侄子","伯父-侄女","伯母-侄子","伯母-侄女","叔父-侄子","叔父-侄女","叔母-侄子","叔母-侄女","姑父-侄子","姑父-侄女","姑母-侄子","姑母-侄女","舅父-外甥","舅父-外甥女","舅母-外甥","舅母-外甥女","姨父-外甥","姨父-外甥女","姨母-外甥","姨母-外甥女","堂兄-堂弟","堂兄-堂妹","堂姐-堂弟","堂姐-堂妹","表兄-表弟","表兄-表妹","表姐-表弟","表姐-表妹","姑表兄-姑表弟","姑表兄-姑表妹","姑表姐-姑表弟","姑表姐-姑表妹","舅表兄-舅表弟","舅表兄-舅表妹","舅表姐-舅表弟","舅表姐-舅表妹","姨表兄-姨表弟","姨表兄-姨表妹","姨表姐-姨表弟","姨表姐-姨表妹","岳父-女婿","岳母-女婿","公公-儿媳","婆婆-儿媳","舅父-甥媳","舅父-甥女婿","伯父-侄媳","伯父-侄女婿","姐夫-妻弟","妹夫-妻兄","妹夫-妻姐","叔-嫂","姑-嫂","弟媳-伯","兄妻-弟妻","姐夫-妹夫","亲家-亲家","从祖父-从孙子","从祖父-从孙女","从祖母-从孙子","从祖母-从孙女","从祖姑-从侄孙","再从兄-再从弟","三从兄-三从弟","堂伯-堂侄","表叔-表侄","族伯叔-族侄","族兄-族弟","族姐-族妹","堂祖父-堂侄孙","堂祖母-堂侄孙","堂姐夫-堂内弟","表嫂-表小叔","姻伯叔-姻侄","舅公-甥孙","姨婆-姨甥孙","继祖父-继孙子","继祖父-继孙女","继祖母-继孙子","继祖母-继孙女","继外祖父-继外孙子","继外祖父-继外孙女","继外祖母-继外孙子","继外祖母-继外孙女","继父-继子","继父-继女","继母-继子","继母-继女","继兄-继弟","继兄-继妹","继姐-继弟","继姐-继妹","养父-养子","养父-养女","养母-养子","养母-养女","义父-义子","义父-义女","义母-义子","义母-义女","干爹-干儿子","干爹-干女儿","干妈-干儿子","干妈-干女儿","同父异母兄-同父异母弟","同父异母姐-同父异母妹","同父异母兄-同父异母妹","同父异母姐-同父异母弟","同母异父兄-同母异父弟","同母异父姐-同母异父妹","同母异父兄-同母异父妹","同母异父姐-同母异父弟","异父异母兄-异父异母弟","异父异母姐-异父异母妹","异父异母兄-异父异母妹","异父异母姐-异父异母弟"
"夫-妻",1,0.393636656681069,0.553350077215787,0.400228228810815,0.533460655149614,0.207532381117983,-0.0418874848430143,-0.0110156856046344,0.141692416447283,0.0629003859771404,0.397920263101917,0.204564781282415,0.333593331292914,0.198636183176519,0.231153950387662,0.378911313184275,0.177305105443037,-0.166511458835025,-0.231636318900615,-0.0574542505404585,0.117281882518296,0.0897515856701069,0.21233550813559,-0.0514548040659422,0.323698413023421,0.126762848385186,-0.282179002150822,-0.210321308254723,-0.28790606305684,-0.124864672839254,-0.113343025501321,0.122089191968748,-0.097190770833537,-0.0241704001818856,-0.4850040578839,0.192770784823002,0.116489846057535,-0.0387229057224175,-0.162102934974077,0.0100323081234758,-0.133670573716198,-0.189529075651775,-0.170593146777192,-0.230944309161107,-0.0615182412661221,-0.0900599146265203,0.113418313935027,-0.0141343867768907,-0.186949304759196,0.215795272221455,-0.133407917931193,-0.358645700170388,-0.252556680735333,0.0886481003492158,-0.319443648449201,-0.218663127833276,-0.377635497695888,0.10025823715425,-0.184477973652572,-0.174723754084759,-0.26835281540754,-0.321638426089707,-0.543372281589727,-0.169308248922997,-0.274888074755011,0.00244723494259471,0.215769947403994,0.0748571044604847,-0.00401053518975751,0.00906993277476922,-0.260817910291054,-0.164335744725385,-0.196702086780564,-0.331641864300689,-0.341096398190135,-0.0370075464469567,0.144083936818678,0.395485656272601,0.476288619069466,0.122250311137275,-0.126939056538626,-0.0991661252252287,0.320252335173606,0.0107406382090914,-0.124982745398842,-0.42256951207139,-0.29132699549518,-0.475676709778532,-0.146546880873862,-0.239108467242121,-0.0561864414606031,-0.28319303303463,-0.106306789002925,-0.00549898050538883,0.241237316923058,-0.270365259155088,-0.183427660659595,-0.131952048322477,-0.0185801229140023,-0.310835926871873,-0.0846632631607265,-0.362044620404478,-0.0853417872752827,-0.0143323516867018,-0.189483563442035,0.036620114953944,-0.158281843213262,-0.118646752974338,0.0220334928589549,0.0894454678507813,0.0273596249953312,-0.0965263219520825,-0.0697868269544932,-0.159497883848158,0.0628186625282321,0.33246077967549,-0.0457254995689866,0.20278304729167,0.342332394344749,0.401225169337009,0.317984312597753,0.342204261190379,0.251598571103673,0.071754465593651,0.274340562097476,0.27250024426547,0.231059332919565,0.247311933671518,0.251214022826661,0.241336172163067,0.372737312676824,0.298571461071743,-0.0162566749022521,0.104037398180574,0.0304081634651159,-0.157124960979582,-0.283431495518894,-0.233373797500323,-0.18591724345841,-0.0393567521124953,-0.0386922929969409,0.149409137927624
"父-子",0.393636656681069,1,0.523046713031987,0.74005654214341,0.505294419177748,-0.135247183089202,-0.19932858292326,-0.265799510786143,-0.0919541043428469,-0.081498139407447,0.317344743964818,0.310666298680183,0.395635007714671,0.478720473566961,0.542366073196022,-0.0535892829990754,0.339126991999702,-0.0592767880206775,-0.0830874451468301,0.01889261079361,0.262777873531177,0.251811420065403,0.359229832352838,0.126511342151317,0.509128938626154,-0.0153444854630559,-0.139072287669856,-0.169436399302513,-0.206848715926553,-0.0310372242117212,-0.107029731442166,0.0284875844967428,-0.195646714636254,0.052642512402781,-0.287620363803962,0.0704997555613942,0.372977352800717,0.397929122562037,0.304393833522239,0.317858263658676,-0.00144514888522732,0.114385004393981,-0.167210408983332,0.150943995677633,-0.173656963653583,0.224078597714081,0.176921761810465,0.2675223412112,-0.0274126695085309,0.146033792858066,-0.419682696322981,-0.568036233603035,-0.40830719919861,-0.39693422650821,-0.430932930709373,-0.487367145825815,-0.468065086764944,-0.0619718373804092,-0.340597501927401,-0.272375354492751,-0.369624928254098,-0.408580817262241,-0.449144119926886,-0.357304631932897,-0.336382124010892,0.0169602925500784,0.156935791749247,0.00198826200596437,0.0375429482641632,0.0714559660518614,-0.0981521564943752,0.0936521270725636,-0.117352024658345,-0.0256141419935119,-0.22998664570119,0.0129042597709485,0.140053095241319,0.095359428034694,0.24690602010402,-0.0832247704881399,-0.425967571379627,-0.435154859206718,-0.115270631251929,-0.426531867311466,-0.466634832203474,-0.339383078200462,-0.291603465461844,-0.417803312505869,-0.362688004138167,-0.284869151745228,0.204876058989965,-0.100331788958879,0.0870737794442394,0.157615754589663,0.242449995007874,0.0147025107711694,0.0945888109826515,0.0378360509136529,-0.113932679712059,-0.161163063549623,0.0507077597913284,-0.367088963255439,0.114020315038933,0.40193856445515,0.0474583168750568,-0.243882917914837,-0.198181888632285,-0.256735856590757,0.0229863016061936,-0.128962200222992,-0.227218018588706,-0.118518318540737,-0.0131161386684941,-0.214925870549166,-0.200610953975711,0.256145994468332,-0.0392611560384757,0.354957916360777,0.292750337764558,0.406188928206485,0.377407459280073,0.0622251429092218,0.211400257598343,0.0276219588401666,0.181175799795855,0.000833118665500506,0.442090626620674,0.360306206568805,0.391654440987517,0.283927310804568,0.32189659839786,0.396057392265767,0.0946294815486875,0.418881342360853,0.301830619154228,-0.319830184963938,-0.270503186250662,-0.330028168988461,-0.347415905792805,-0.151958908809857,-0.2650403815392,-0.276625483686334
"父-女",0.553350077215787,0.523046713031987,1,0.485264478586341,0.656363254329191,-0.103276851885814,0.0770093597512453,0.0754517709256883,0.109358554728624,0.131737652364916,0.285917457064848,0.449176870121468,0.393283246615155,0.345685061824295,0.428863247881684,0.218627449111975,0.388752746865514,-0.0190641029211711,-0.110750868891493,0.205291400873706,0.0113355676259727,-0.087308344910721,0.124855057023387,-0.0737362059342331,0.331373123836516,-0.076308933035622,-0.169117736728365,-0.118669422944795,-0.24636908092042,0.100009742235672,-0.142657578930013,0.186511922104248,-0.0877878332508814,0.066580326750989,-0.320783515185202,-0.0407705064152804,0.351716566485283,0.136356816120826,-0.038404263069638,0.122851393874114,-0.25422384115313,-0.121789370792411,-0.260356740249044,-0.123133080568347,-0.00841732915427682,-0.0596920256383312,0.10145351654186,0.196083830830982,0.0443640302454619,0.126725933196906,-0.345635470997954,-0.349642754353027,-0.155967938520711,-0.0769585984214857,-0.301769569020935,-0.298045922909736,-0.367485323547389,0.0458997160275258,-0.164217975453435,-0.173417792097507,-0.395266783832636,-0.388743321735719,-0.320383914778894,-0.130231730517971,-0.230794489852651,-0.18376486065554,0.193342139474114,0.0458316506029114,-0.0200948305239095,0.0546857750699963,-0.283445301405813,-0.109784429523431,-0.173541439006695,-0.230958889271094,-0.210144382305221,-0.0823267904287743,-0.00507362032491046,0.36394560289809,0.452288162479124,0.147428526524526,-0.112801946856648,-0.104289998283799,0.0440421549027864,-0.12270226776927,-0.17905844466856,-0.389946068941917,-0.257351176141279,-0.369354113590001,-0.31772292227007,-0.434358388584929,-0.0639289759730425,-0.189938934261566,-0.166860698038599,-0.154388231328189,0.0266558756257298,-0.0406605551446714,-0.182610893097044,-0.0954102888633984,-0.212103884273495,-0.214104163922661,-0.170952781609584,-0.395267353310199,0.00239708239237579,0.0860387975537342,-0.108159981769601,-0.194622612635398,-0.183746667270573,-0.200631027424254,0.10969991523316,-0.074613291650868,-0.123566834538158,0.0144633895856804,0.167840390253188,-0.0168580138024644,0.0106870032579253,0.179357573910035,-0.0780449906470129,0.105747198826918,0.41427003824233,0.2845337516365,0.370563447384106,0.222187630636212,0.128986278255461,-0.028893287940226,0.249847268030799,-0.126088770605716,0.193572607234484,0.261583389807495,0.194468184326472,0.211348251020663,0.0774251376057217,0.27216522844331,-0.0820077959798678,0.213456847373017,0.0782063951529006,-0.321725090612904,-0.164407089293985,-0.177282578847865,-0.201519526296024,-0.015821331040964,-0.20131336084427,-0.110179580527821
"母-子",0.400228228810815,0.74005654214341,0.485264478586341,1,0.313471694582465,-0.111244850391521,-0.281892580116835,-0.246953878697319,-0.108606232951316,-0.120747900319611,0.375630009366976,0.252078609390841,0.366949951329132,0.371400448242094,0.464161501920783,0.0750880420149689,0.314822418883846,-0.137165863596008,-0.128449154653617,0.00376188451865597,0.328992935333279,0.287148433863764,0.284111294488251,0.184171536178258,0.40214056125873,-0.0035641203903331,-0.190600652839684,-0.32330909922862,-0.186928459697368,-0.09810155629944,-0.232437466977452,-0.114198410098578,-0.191626821344307,-0.100959066202746,-0.285774114339438,0.244335355893452,0.398822680590511,0.421390410873611,0.280719443413405,0.30733845879466,0.0876185921857503,0.194203200024041,-0.134191140385915,0.148364426435799,-0.214161844786758,0.20426582267801,0.0552760556567542,0.14956594187836,-0.179366058645908,0.192464518484614,-0.229605580984742,-0.552712745795774,-0.43756632698564,-0.304863756992873,-0.450542365112656,-0.480021245665993,-0.418116728254611,-0.0569258712000313,-0.374922812998606,-0.337207768405671,-0.269371523250675,-0.317675771630719,-0.500791962663804,-0.352094759513132,-0.412636710414524,0.0621695898675221,0.10818846138532,-0.0709756998641918,-0.014185660409405,-0.121344399712653,-0.00369244965231708,0.132833018546088,-0.133598255940851,-0.0296851281031465,-0.16728512757237,0.170017827336892,0.256927272650505,0.0114551437183725,0.131158582644584,-0.139583568465069,-0.429436847119744,-0.401411243420969,0.0217794084734459,-0.395532421111391,-0.436345556400902,-0.366695222765035,-0.297118753682348,-0.444927387681122,-0.404808869737076,-0.306856655261157,0.172699003163524,-0.031618881839511,-0.0276095193303595,0.0691407518565425,0.167877349981739,0.000824104530444402,0.175437510837661,0.0918412818462261,-0.106110127796602,-0.0914741263827662,0.126065892943008,-0.360113243660429,0.223022291054514,0.516596327132525,0.158971840196199,-0.0974173745124386,-0.158270866583583,-0.209394138285969,-0.0557146191324671,0.00738207366463747,0.00184488340651994,-0.108362151193348,-0.0404891109830976,-0.158961868608974,-0.147639156237577,0.278458589927923,-0.14262578247898,0.336400896555975,0.274784293665284,0.408794274427834,0.358392348096399,0.0287242342500265,0.153813042448981,-0.137686277216422,0.114627577672533,0.145594365359956,0.416379761890638,0.467227388802293,0.366963344544064,0.312257247131501,0.501211916940316,0.384456439411311,0.147506734500296,0.273979126786073,0.353940163947837,-0.194575176407889,-0.287732741559052,-0.350233650819443,-0.327408905953124,-0.213081308413305,-0.0375396782776667,-0.191388446129968
"母-女",0.533460655149614,0.505294419177748,0.656363254329191,0.313471694582465,1,0.000395412167978164,0.0896337964254185,0.0747105317897762,0.183168941067741,0.10223443173767,0.121090636350889,0.200142145534425,0.418952167186933,0.227766833826696,0.449905925436337,0.0662937680389071,0.487129166520658,-0.166769797590635,-0.0890076319831416,0.0815563896710237,-0.0697036296420195,-0.208592872430313,0.0965033055137334,-0.299818859516759,0.426180449527057,0.0225010868637023,0.0292749894164212,0.126818325788356,-0.0836109466249079,0.212045593064641,-0.0438158881113154,0.174345662582524,-0.13117089200071,0.369027722848332,-0.313881119114915,-0.134186701921117,0.0174589451227861,0.115243449924604,-0.169895328225404,0.147439588246514,-0.353461198810985,-0.122964934337542,-0.202924383299101,-0.0699669402864061,-0.115088267266353,-0.0219094598749358,0.00657881050816585,0.106133649820696,0.147468567199647,0.218261439307012,-0.281119520101394,-0.230458252598728,-0.0291496779243015,0.0329732365852702,-0.245026302766067,-0.326408986649893,-0.28709660228115,0.151359717594786,-0.223737227568249,0.00170359949721053,-0.315052258408866,-0.321593748599813,-0.280007252117868,-0.0636652586928987,-0.042189536291088,-0.19097453883854,0.0539203228962135,0.0393009660793786,-0.0641464079588392,0.311688803207016,-0.440011885747144,-0.225497692761729,-0.290544437331999,-0.272375102523423,-0.224891008369773,-0.23406630176888,-0.123825544464409,0.173204077314607,0.340307343050416,0.0137232332402967,-0.00465312777075931,-0.0887879878024038,-0.0719039811165703,-0.1553277905666,-0.0857784993994602,-0.320793935855398,-0.0240602787571134,-0.351260221398967,-0.19684671154819,-0.356271481101067,-0.184428340735247,-0.342522446984105,-0.155988232489996,-0.0465216306154457,0.0535890832913633,-0.229279320248832,-0.417196056873802,-0.332548909957117,-0.221257958329743,-0.463894931886573,-0.344517686842123,-0.465711214654267,-0.185675044872092,0.050509065400047,-0.341353983207263,-0.0260055574743319,-0.280952027454477,-0.0849235635223173,0.259859771425474,-0.0639634274059281,-0.151863584783552,0.169917035208504,0.142472583087206,0.065457192072825,0.149756120702785,0.175428354395973,0.116916469667372,0.154794437877426,0.120825349379756,0.157646096409286,0.277629413634343,0.208945513428474,0.0277518169119667,0.0133310819270928,0.127906037122509,-0.0358438403792932,0.347279552446025,0.207394628192078,0.267349095565164,0.246196442889911,0.0843017826178637,0.263330365265395,-0.0685507990126117,0.31846624560399,0.0423047413307346,-0.137019934401772,-0.00537075548323466,-0.0425058069646452,-0.0570198324492968,0.199471580488431,-0.323078306020573,-0.0894586609623616
"兄-弟",0.207532381117983,-0.135247183089202,-0.103276851885814,-0.111244850391521,0.000395412167978164,1,0.488632691572326,0.433231631961517,0.512976772754838,0.545500899024819,0.129593130666514,-0.104751001445731,-0.234626484748454,-0.115574997104189,-0.225491372999057,0.32118232854855,-0.0885110779002979,0.1606840151672,-0.190029891471376,0.154492226251143,-0.122257712254628,-0.0476701087686754,-0.231458944283742,-0.0821814639551243,-0.179657009620949,0.59748015070832,0.108897887733177,0.165671152287077,0.332520633033899,0.285419494544889,0.00347102610673931,0.052107944102045,0.0566179781050653,0.0136808621800272,-0.139131461378994,-0.247534605647674,-0.1205347714962,-0.430393895650849,-0.248429737002607,-0.405421982551707,-0.406598729886362,-0.496682139296968,-0.323976688939323,-0.468197472475921,-0.453310180614842,-0.521106291061382,-0.0401262176496592,-0.176771701452129,-0.529276894162449,-0.143938911473872,0.596088375989586,0.135411262704787,0.207582670288089,0.496479681633361,0.304317299837281,0.165871207142528,0.0607576415330666,0.114263984524531,0.34593378040838,-0.126729889302556,-0.102106821076548,-0.0718724705759995,-0.0513463572513136,0.0294150898647879,-0.0752606944287047,-0.118749698885949,0.242508132028992,0.174429801985672,-0.00072479165075918,0.175295946150239,-0.520695993546039,-0.587307593420586,-0.398806343636758,-0.513186347804833,-0.333024207074993,-0.474188356502484,-0.355367636135195,-0.256528595469217,-0.180105937211928,-0.301501145948045,0.363092529269034,0.257882484568488,0.375044582658313,0.290412619962769,0.341265898605722,-0.175222506187261,0.206717301831724,0.203959916681238,0.464492224276884,0.368353934196572,-0.274746213976705,-0.289211667277313,-0.227244993705413,-0.309396161817628,-0.179762092501446,0.0389539381526722,-0.380854223580896,-0.414315864497874,-0.449583943269518,-0.336045408024643,-0.431297572645715,-0.279541176331946,-0.390736849675865,-0.373112983118575,-0.478500939314994,0.332197418433996,0.198482642780532,-0.0463524287374545,0.319643577224802,0.124133022990923,0.436240777427054,0.263666275853792,0.374246956475041,0.434811380388762,0.487648814910808,-0.27686964669633,-0.217950680666511,-0.289717663461537,0.022474145544402,-0.13050809557504,-0.0120385703380679,-0.140521743658074,-0.122701942123252,-0.228836744108466,-0.0449375768687744,0.295105281968024,0.000127601458736716,0.00351726877859217,-0.162436134164143,0.0422177662265123,0.052022954622003,-0.220720118842905,-0.243657249050448,-0.393472841977393,-0.122517744479467,0.462144664032869,0.329800022075552,0.334368303809497,0.482937035153052,0.487029625116376,0.165114816209855,0.263009802657055
"兄-妹",-0.0418874848430143,-0.19932858292326,0.0770093597512453,-0.281892580116835,0.0896337964254185,0.488632691572326,1,0.786736422285751,0.678308744315027,0.724910543261062,-0.213095909657306,0.129353659070719,-0.28841958186994,-0.169802681713229,-0.303708494140882,0.102074197797705,-0.0247083240911423,0.0581336205772079,-0.180833118103622,0.249495185797222,-0.533907474802378,-0.523807650225272,-0.550740046647751,-0.243470976273909,-0.339690753570762,0.197502404135385,0.244211896684674,0.410459919723238,0.392471418138928,0.518995468155217,0.107539449808887,0.288499874971372,0.274121971340232,0.158356650466417,0.204839361563102,-0.512958198134072,-0.0557634202217528,-0.447729558024342,-0.24013376899423,-0.442483990342211,-0.443452195935643,-0.401007179137462,-0.238456193166263,-0.342139517381922,-0.110236245125514,-0.53547729711188,0.116420087222255,0.0865374266945824,-0.144672407173244,-0.114631085703505,0.341986487759313,0.430673540742658,0.508719121711741,0.539500788181417,0.380200514247234,0.46490641336496,0.302766983349576,0.282363790649249,0.538891969558559,0.193714005371111,-0.0839377664003569,0.118009921208219,0.369967885281987,0.34513759423969,0.262875418855078,-0.473548857977987,0.118581536583283,0.128224627291653,0.010689305790844,0.244161295710354,-0.511573356633779,-0.594806363947046,-0.358524979177602,-0.482701651533056,-0.311347773501171,-0.478654951380479,-0.519306964694532,-0.0873709653743105,-0.118993174714655,-0.106204918132544,0.385006999279011,0.273411762916664,0.192618469531291,0.289930680365365,0.35147380384651,-0.145169549286827,0.0768998074418406,0.195929466000791,0.318835152359278,0.0654720069741281,-0.378936863279868,-0.163973283040234,-0.380847527395978,-0.441960805514686,-0.433865107490515,0.0818873914850039,-0.532867840578381,-0.330945210035105,-0.50161032259361,-0.172584222179018,-0.498234014484056,-0.12718354927745,-0.34348661554532,-0.470303374115681,-0.332648763890219,0.159762559428095,0.248095751924524,-0.0391852702169805,0.390167478896478,0.045580949701515,0.182694806123176,0.33520586717772,0.548240435598587,0.525649771417362,0.428697220504866,-0.37044223766557,-0.190907554223426,-0.46834356023308,0.0758950973136246,-0.286756626881917,-0.189834707489854,-0.194160959128169,-0.368841456425568,-0.20956614270103,-0.265065572688989,-0.222283731676177,-0.207765028196196,-0.142096009474094,-0.275118552606325,-0.161053998508489,-0.444763102223052,-0.329400117270493,-0.455077972778417,-0.320173491440879,-0.357304356793768,0.258657587117053,0.378203086337473,0.40840636638607,0.392075924194489,0.524239438405637,-0.0156942092527305,0.132920019383279
"姐-弟",-0.0110156856046344,-0.265799510786143,0.0754517709256883,-0.246953878697319,0.0747105317897762,0.433231631961517,0.786736422285751,1,0.698299569623788,0.631317305483343,-0.242554958181234,0.100100578768971,-0.264311704931282,-0.168090142063327,-0.304601710873398,0.0801382511971828,-0.13161960903262,-0.0352287804344373,-0.286375807717934,0.144420543229621,-0.483925927090925,-0.490226940270259,-0.506128266328292,-0.223828040016409,-0.303849899157559,0.271703255775097,0.212768358811597,0.364414878967503,0.340767227472627,0.524531915164561,0.10867040650838,0.256536351992811,0.255526673951765,0.111905426796093,0.150739693743478,-0.498370632976876,-0.129797205343662,-0.48267857357077,-0.252010663798728,-0.476117218171498,-0.463173112537209,-0.442659562621228,-0.238534788072627,-0.388974476994497,-0.107707520142479,-0.524091709488711,-0.0219816592531334,-0.073044969289282,-0.132646363303613,-0.116081352643299,0.368272715763273,0.369459150932166,0.555591243539024,0.614055425872063,0.289984528662297,0.365254407390729,0.330571094428026,0.232499676243934,0.38900032860166,0.197102980138721,-0.111320138026207,-0.018037049111186,0.302327065703524,0.273125779647326,0.162935385995532,-0.351620106811588,0.118954402407925,0.260053735375836,0.0349535610937563,0.294493942418526,-0.516600698058727,-0.556492142438996,-0.395850921104259,-0.480470020775388,-0.230781224147171,-0.446913750499529,-0.515809878052396,-0.116538996291327,-0.11883367972991,-0.183294221375438,0.447193092427254,0.292994898936871,0.176645352975703,0.297866455662431,0.322902972443834,-0.106103408232432,0.111243208851629,0.114518092118981,0.290006373090214,0.0317328670398272,-0.441436064387979,-0.213255553887375,-0.417076110965731,-0.51867573929917,-0.51148890657719,-0.050194449409607,-0.529154665723014,-0.364061849648507,-0.467030831991955,-0.24117080433611,-0.565357393191535,-0.123865718721331,-0.307527836111592,-0.435154886868858,-0.328886182061215,0.219020686242415,0.320682008443419,0.0107718853526663,0.490657352447692,0.152635269337588,0.236074973966703,0.323677158543939,0.512710540319634,0.483136900620051,0.443777338667783,-0.317877705481768,-0.145581172850361,-0.391322608049292,0.065434082856649,-0.279376804497304,-0.0610163787804037,-0.0643519725894298,-0.262121329128552,-0.117922670845982,-0.0892737911534545,-0.155813326904795,-0.133316177648889,-0.0819315144928261,-0.269554551829166,-0.241655069118658,-0.348393581051355,-0.348049448316952,-0.459258222386619,-0.235589319311576,-0.374419144755677,0.330562315078287,0.434478942149251,0.508713503449113,0.465863401802301,0.554946820255751,0.0601752600939826,0.164491766343497
"姐-妹",0.141692416447283,-0.0919541043428469,0.109358554728624,-0.108606232951316,0.183168941067741,0.512976772754838,0.678308744315027,0.698299569623788,1,0.613771578834262,-0.295064050970107,0.0368902288917902,-0.197858091939951,-0.195008887312304,-0.199867774150615,0.0236209302155368,-0.01499651515967,-0.158445102486891,-0.304772943615242,0.0679468070493214,-0.383566833018906,-0.413639177757298,-0.36119943651279,-0.339126815451433,-0.121671866435594,0.267431878555934,0.261855965718999,0.382481368735963,0.440731746484299,0.561631551235198,0.0442135116179465,0.0964337129310124,0.304703180010251,0.307358441987145,0.0692132539066834,-0.481137135441385,-0.142239355462442,-0.360979686305009,-0.396604713444318,-0.380713166519079,-0.510965408406066,-0.450590780495804,-0.274998617611116,-0.425021467624391,-0.255816458390986,-0.495135615915153,0.0177502913205786,-0.0349707302223651,-0.238022598460845,0.0920993195036366,0.343489456846568,0.241820213234509,0.40736988834423,0.683060708839053,0.297948622203929,0.344198730250414,0.183110829488777,0.401624611411528,0.458228471524518,0.20964125793384,-0.0662333408067609,0.0700572442385666,0.173415582325537,0.323623113458409,0.229754235195899,-0.404195686427458,0.0695424068323377,0.0704816081307065,-0.178289356438171,0.2830676066624,-0.566896760401077,-0.504653168145378,-0.434651879742184,-0.576150470989734,-0.347195417070217,-0.41796402429547,-0.378983166631479,-0.114770341258034,-0.0899388362220415,-0.260007603836295,0.285778986136503,0.102868044788293,0.168099047219596,0.238194398313858,0.223277953001777,-0.269352240847037,-0.00375441851234918,-0.00379743020313075,0.16222623774472,-0.0557774284022382,-0.325756779437691,-0.365739478825484,-0.455096071911866,-0.448734311729762,-0.365699267003194,0.0505404570614153,-0.517107311968436,-0.393809043300883,-0.434997868842519,-0.374751468951099,-0.521263151792732,-0.342474915533964,-0.39678230198827,-0.447305274428255,-0.454412682890073,0.203521643924728,0.291599775963217,0.0479695379988708,0.450397869252476,0.113115822959586,0.151323808539851,0.273227015420551,0.447966345345757,0.438161867243598,0.601348964837277,-0.189453199651643,-0.156739553701504,-0.287372555668575,0.0624246378996527,-0.149776759966015,0.0885773148391754,-0.120896997563506,-0.1673965401046,-0.23645871029095,-0.0626030764953661,-0.0860450487014751,-0.056856050909514,-0.10454798094302,-0.0427021475821983,-0.0326456817111507,-0.211636861837651,-0.15817570826635,-0.370121488640289,-0.226634909477008,-0.17531171671686,0.254320491949179,0.463651963031731,0.460346810736243,0.452457363370418,0.640849628333167,-0.0638650064694018,0.117092489376078
"祖父-孙子",0.0629003859771404,-0.081498139407447,0.131737652364916,-0.120747900319611,0.10223443173767,0.545500899024819,0.724910543261062,0.631317305483343,0.613771578834262,1,-0.062986453266532,0.304331756638846,-0.299680631613658,0.0990000496742183,-0.0724450020722355,0.318175512866818,-0.0193307055837865,0.201031241572694,-0.225359848205883,0.428528454303803,-0.394704699558942,-0.379311077094388,-0.37403768083276,-0.0868315286719006,-0.145773557280065,0.341480174172708,0.261336953948015,0.184602532373914,0.462474277218393,0.512641614688536,-0.00674390386826542,0.250829453913287,0.198913339694348,0.207077931146642,0.124771705129891,-0.529658720339638,0.175596954267168,-0.436134072315738,-0.11265816998679,-0.463543923782575,-0.464993579305973,-0.483013196273334,-0.332587881063897,-0.479060206251839,-0.332904781494458,-0.564832424723179,0.26377355202264,0.177779059946878,-0.4876249558915,-0.164523763902726,0.313989301398993,0.14720017895654,0.174885431404453,0.385311957631304,0.331618844306028,0.283531838083999,0.0211504451372363,0.184940728179285,0.58438208577434,-0.111121913951505,-0.191961534875464,-0.0118988728378489,0.281334369432043,0.21728304450828,0.105165114969275,-0.477926333915567,0.295666275689421,0.152591842492409,0.0248473000753845,0.269397506533052,-0.546156985996359,-0.580779545493409,-0.35599347078457,-0.550168013414764,-0.308470910082732,-0.614543946131351,-0.537338817552918,-0.205495439869057,-0.137570820195914,-0.226529125800102,0.34625534145879,0.148344787004083,0.144524699840694,0.23773510267234,0.26293011053025,-0.178130136107555,0.0575763230043736,0.271700693086075,0.367523940502776,0.141268701884372,-0.165868419763287,-0.185692384153057,-0.453034350072297,-0.364267749422907,-0.365575192849503,0.358521703021853,-0.380680753819461,-0.237261490757516,-0.551133181226596,-0.168963617600377,-0.444444037806737,-0.182980908450654,-0.404714867123786,-0.349488645861293,-0.274794629332246,0.148337226467546,0.275459308946982,-0.246808380494415,0.516231323561028,-0.0643115825640553,0.158201236184077,0.0926405676474212,0.686215636298283,0.475604685580434,0.491182145351852,-0.428754926434658,-0.310218896759852,-0.507361654048517,0.275823250451799,-0.281091012916056,-0.060441752959679,-0.333047766150791,-0.2845313163998,-0.330120976552347,-0.245767355774426,-0.142480552860857,-0.153682755004487,-0.133985860675125,-0.18616554949804,-0.116579192441019,-0.253130369324084,-0.26880955267607,-0.499941087996128,-0.309199953144952,-0.223841994747241,0.200845520597632,0.307061502442245,0.368317701207982,0.372938395965093,0.507935944614273,-0.140165409671811,0.0548585698588199
