"","夫-妻","父-子","父-女","母-子","母-女","兄-弟","兄-妹","姐-弟","姐-妹","祖父-孙子","祖父-孙女","祖母-孙子","祖母-孙女","外祖父-外孙子","外祖父-外孙女","外祖母-外孙子","外祖母-外孙女","曾祖父-曾孙子","曾祖父-曾孙女","曾祖母-曾孙子","曾祖母-曾孙女","高祖父-玄孙","高祖母-玄孙","外曾祖父-外曾孙","外曾祖母-外曾孙","祖先-后代","伯父-侄子","伯父-侄女","伯母-侄子","伯母-侄女","叔父-侄子","叔父-侄女","叔母-侄子","叔母-侄女","姑父-侄子","姑父-侄女","姑母-侄子","姑母-侄女","舅父-外甥","舅父-外甥女","舅母-外甥","舅母-外甥女","姨父-外甥","姨父-外甥女","姨母-外甥","姨母-外甥女","堂兄-堂弟","堂兄-堂妹","堂姐-堂弟","堂姐-堂妹","表兄-表弟","表兄-表妹","表姐-表弟","表姐-表妹","姑表兄-姑表弟","姑表兄-姑表妹","姑表姐-姑表弟","姑表姐-姑表妹","舅表兄-舅表弟","舅表兄-舅表妹","舅表姐-舅表弟","舅表姐-舅表妹","姨表兄-姨表弟","姨表兄-姨表妹","姨表姐-姨表弟","姨表姐-姨表妹","岳父-女婿","岳母-女婿","公公-儿媳","婆婆-儿媳","舅父-甥媳","舅父-甥女婿","伯父-侄媳","伯父-侄女婿","姐夫-妻弟","妹夫-妻兄","妹夫-妻姐","叔-嫂","姑-嫂","弟媳-伯","兄妻-弟妻","姐夫-妹夫","亲家-亲家","从祖父-从孙子","从祖父-从孙女","从祖母-从孙子","从祖母-从孙女","从祖姑-从侄孙","再从兄-再从弟","三从兄-三从弟","堂伯-堂侄","表叔-表侄","族伯叔-族侄","族兄-族弟","族姐-族妹","堂祖父-堂侄孙","堂祖母-堂侄孙","堂姐夫-堂内弟","表嫂-表小叔","姻伯叔-姻侄","舅公-甥孙","姨婆-姨甥孙","继祖父-继孙子","继祖父-继孙女","继祖母-继孙子","继祖母-继孙女","继外祖父-继外孙子","继外祖父-继外孙女","继外祖母-继外孙子","继外祖母-继外孙女","继父-继子","继父-继女","继母-继子","继母-继女","继兄-继弟","继兄-继妹","继姐-继弟","继姐-继妹","养父-养子","养父-养女","养母-养子","养母-养女","义父-义子","义父-义女","义母-义子","义母-义女","干爹-干儿子","干爹-干女儿","干妈-干儿子","干妈-干女儿","同父异母兄-同父异母弟","同父异母姐-同父异母妹","同父异母兄-同父异母妹","同父异母姐-同父异母弟","同母异父兄-同母异父弟","同母异父姐-同母异父妹","同母异父兄-同母异父妹","同母异父姐-同母异父弟","异父异母兄-异父异母弟","异父异母姐-异父异母妹","异父异母兄-异父异母妹","异父异母姐-异父异母弟"
"夫-妻",1,0.569500512955006,0.605650717791696,0.629354012133592,0.628417290468028,0.0405483295642095,0.107527025359925,-0.229340857638041,-0.0917634404360334,-0.0519788585487942,0.062980485404081,0.0479992174287857,0.243953154144597,-0.285544643881206,0.0568987971825535,-0.0150111980442169,0.0883066784960642,-0.0937528141519721,0.110570179745891,-0.261607705424388,-0.00478536754993455,0.00435176621728946,0.0436870638237574,-0.188706925696398,-0.0675502606599391,0.158464746759378,-0.0868453783350881,-0.235285256866503,0.0965013611545208,-0.176543687703007,-0.370944465506167,-0.314022763836847,-0.498535421117771,0.110694520581228,-0.545601243561093,0.0410289879881345,0.253930244059771,-0.0252478625309054,-0.0970462412505067,0.0777377499125187,0.268274285716892,0.411071669794757,0.247675781790529,0.308913382372995,0.480586637492226,0.394141901279209,0.283319252060415,0.347345546116314,0.328497288667677,0.453574173067333,0.0136358187175967,-0.122358324293286,-0.416303984364788,-0.19359480231713,-0.149676692938663,-0.162859271459388,-0.556315352003058,-0.196019512395245,-0.0948641812504527,-0.345836493372349,-0.307398786135243,-0.210660488819346,-0.459826951671333,0.00914835259192712,-0.213464671426272,-0.196851613776878,-0.0719615442867111,-0.0360281637659248,-0.040965960050562,0.155240630767935,-0.0630493020436353,-0.225722677496511,-0.0264115117914748,-0.25073577808885,0.179764488790661,0.264462608273114,0.403931122608105,0.321971222948745,0.427867551689101,-0.0982943912134254,-0.340493880423697,-0.102806460091682,-0.137699869737609,-0.425130051459563,-0.350200163676659,-0.304876151524081,-0.34025949748533,-0.432468486927088,-0.0862667356306828,-0.262568021559984,0.369419256835457,0.485593906363345,0.157767622919411,0.277618256364669,0.57898379130367,-0.208607857261658,-0.0221590195097375,-0.114023848802272,0.0485202262016293,-0.141112560747024,0.454281361880318,-0.289228221076835,0.260670501595471,0.027801221637406,-0.281093756404513,-0.437288940090177,-0.519545168340196,-0.6005884598324,-0.426820446192683,-0.415419804522215,0.168634042078048,-0.0663350441747456,0.00866316512001436,-0.259126194320872,-0.219854232793816,0.506305764669155,0.651365770948514,0.553257909234415,0.406593576217571,0.522538421603796,0.560727232322343,0.301245408823658,-0.083853178014694,0.189329392561997,-0.0218529288482354,0.0709709280645934,0.245172697124107,0.229283808398169,0.137029335319895,-0.0154037118561494,0.229405182508079,0.209244769350237,-0.303497835661466,0.150059637709457,0.0751685084729868,-0.192264661299844,-0.450153371523655,-0.497109154331129,-0.304613734451251,-0.18398729135113,-0.282550348744078,-0.0614066707065015
"父-子",0.569500512955006,1,0.663585935441686,0.912393261058948,0.776092723260872,-0.369776952640703,-0.0409068853233507,0.0177882727801281,-0.11200877866029,-0.204895984042684,-0.0277805159848668,-0.0450607724205258,0.013441903787205,0.0393336585423094,-0.143810359762312,-0.298410327511974,-0.0138935573298491,-0.257855359354726,-0.0872769480218576,-0.141287508389747,0.186779967881998,0.121337238320133,0.183572950290007,0.0947352218773344,0.0425636538301041,0.410400135809035,0.330899247731366,-0.0486957557152332,0.210587436638846,0.144309878992385,-0.110039586312441,-0.42020917824668,-0.317043345637721,-0.0509145483019798,-0.136441356542359,0.144002898307217,0.0717682737561562,-0.172852157908282,-0.00275357766205466,-0.106197728806581,0.134840509510034,0.504791616094242,0.294663473796097,0.72232585468945,0.517874885562725,0.288720843854167,-0.0990210300780931,0.333973105541368,0.586519357416755,0.299452276736218,0.100040799186768,0.0179317210837847,0.00825206241642248,-0.353168608915729,-0.184239838938533,-0.343270122093033,-0.263950509545981,-0.0726600594250371,-0.279738868766488,-0.0210727752924427,-0.0372468261491588,-0.298472665710355,-0.119128780166326,-0.119604816226808,-0.229252126340441,-0.150969158218407,-0.197266425388669,-0.00904742806434602,-0.131929914920887,0.220563177237725,0.290568223911168,0.0604584428839584,0.258266086606522,-0.0114709189727653,0.318692919409532,0.222917642829371,0.18166800706564,0.071113712177017,0.202613555345328,-0.110506789081932,-0.539731521814979,-0.100552775483419,-0.413741403242732,-0.164207991939485,-0.100038233657503,-0.0271129232867015,-0.137576409207781,-0.582052619227858,-0.338201939511293,-0.544689413128345,-0.0209092209622087,0.454487837246592,-0.0312184331914566,0.294262070779901,0.103140361633948,0.0754110382859766,-0.117208774122326,0.0812432590490959,-0.205950664781614,0.199253133962676,0.21951431611033,-0.211757680248795,0.193530165229546,0.411033137429817,-0.176527230427277,-0.0989320032637926,-0.23135244873492,-0.279832135999609,-0.337989939568732,-0.447852854011116,0.133278255005639,-0.0501224815708406,-0.168651882432086,-0.459728926375979,-0.445950996721029,0.237667909394071,0.414527883062492,0.328908450797651,-0.0393969439778024,0.0735530677657668,0.156499631800027,-0.0511254340062848,-0.19154129207424,-0.0806883939619476,-0.200072301451668,-0.0671113061568237,0.189622577058888,0.247954196005836,0.278262029655615,-0.123898513989614,0.278094480397905,0.176792860793768,-0.0371765184916594,0.191126656268742,-0.0620437945500038,-0.374745717906674,-0.16789091472434,-0.45629086225952,-0.541944292275481,-0.352998148120713,-0.377239270200295,-0.516382193568454
"父-女",0.605650717791696,0.663585935441686,1,0.711889627814759,0.736891820495781,-0.308983012787839,0.170683733769415,0.0447397483236983,0.189731902009956,-0.106813945904599,0.301706979953064,0.0839973056051748,0.0834875122793315,0.171213501363763,0.147661395229488,0.00115849258136475,-0.176153630118837,-0.113210275252812,-0.22585355865377,-0.0921132656015699,0.335059653099956,0.441122075213856,0.423628965296559,0.120990555046902,0.266806271585672,0.420517132051703,0.286057686627547,0.116500066629233,0.21052807644316,0.364604329006224,-0.163237448560563,-0.103128983752127,-0.242060042253776,0.0246184702641112,-0.36573733010177,0.304537862776833,0.0354480873104414,-0.156524362224548,-0.171091609232284,-0.0615446573819694,-0.0544396612592285,0.225768671014915,0.0215097855499361,0.497836695130552,0.586667264287874,-0.0294986652204924,0.0265314804775091,0.0496856634597912,0.402468564861726,0.139120987197191,-0.00284766887078908,-0.0758480826974683,-0.0222749031300464,-0.0578950912168715,-0.207824822221764,-0.429505022525461,-0.107226279319778,0.142243236576652,-0.238522913952368,-0.0228872158492674,-0.131098570382185,-0.350262270729485,-0.259894250507088,-0.0787851466338238,-0.285895505222188,-0.299111522361044,0.153364645153147,0.227349259303758,0.0460616874524,0.30268310275385,0.30793975567134,-0.0342656429243986,0.334941851309959,-0.0393261753922398,0.473581831835304,-0.1003973833618,0.0636223759100051,0.0244990937214576,0.0274861003629913,-0.206050059006724,-0.43675603533677,-0.0927983601260111,-0.358363554635532,-0.0391786163725167,0.0497649212074673,0.137412204616735,-0.13629317333399,-0.395448184638192,-0.168168805275119,-0.551499844074128,0.0651623968391237,0.224594556235533,-0.212327221343588,-0.0975439263726931,0.227205787110731,0.112217948624727,-0.22414253958435,-0.0505704449535226,-0.167034890610554,0.109481843167883,0.0723066598301001,-0.314439797682173,-0.122698138984749,-0.0550878418166536,-0.410988580163557,-0.228723026926154,-0.390947998398488,-0.429987580063394,-0.487543555564961,-0.53894237883727,-0.0944329665699882,-0.27495906514392,-0.219632427032317,-0.24886872698065,-0.453022104868742,0.0714830698410482,0.346421528853741,0.119611669702712,0.23459139692014,0.321455675871525,0.192564359601908,0.0252013663840755,-0.109388574721572,-0.0600468941416639,0.0160266257395433,-0.293327215268415,0.401896260919109,0.274910003538378,0.351022114553932,-0.116134552983012,0.217367647996155,0.449689207920925,0.0132055620440027,0.363812835500495,-0.245870257703846,-0.587812609912006,-0.243618919483239,-0.385212089363352,-0.582579485137666,-0.409127905129874,-0.52614998439134,-0.219297792587794
"母-子",0.629354012133592,0.912393261058948,0.711889627814759,1,0.751911419479609,-0.401746238048289,-0.0658079828057945,-0.0483849290167276,-0.139512288427556,-0.300263542757515,0.039221692380973,-0.0315317912825229,0.0883618379575437,0.0446774332423798,-0.0795106176706539,-0.215129847176889,-0.07110234044718,-0.240588129054898,-0.0971520942598476,-0.121095688883637,0.178370748616598,0.148404180660087,0.27180872445015,0.192654675841002,0.112754188142433,0.463385577180408,0.386309857501168,0.0010640470060383,0.217727043757146,0.155732069433795,-0.129092127208508,-0.4065041843868,-0.295958882615557,-0.0538751795839608,-0.151771174702813,0.166052685395371,0.15533579695512,-0.127050356310249,0.0356138854386475,-0.0878507613984401,0.171883677086622,0.498536415770691,0.272764048022147,0.712556582556478,0.535285805560842,0.266639786849874,-0.0600967160555159,0.333657599784808,0.582210217751268,0.303485111187993,0.0525784410539134,-0.041215740585961,-0.0180661187810853,-0.32089383461153,-0.257653169661944,-0.382646119520301,-0.265800150920084,-0.0958447212177951,-0.335015079129499,-0.0603158527611086,-0.0920005985066916,-0.345767939177021,-0.159809027525219,-0.107508730267726,-0.288796558482069,-0.0867574231431647,-0.120541144178911,0.0449894330260927,-0.0942585862354911,0.236927755648505,0.254205195450708,0.0889393712367505,0.24663948716376,0.0174827301546458,0.292769870918427,0.228847131822822,0.209659183045105,0.0947620749310746,0.265876895781406,-0.0787280878417063,-0.53529798820557,-0.14085991861182,-0.390285810899955,-0.207669603357663,-0.148789475591636,-0.0790155423468452,-0.218387072607812,-0.623236868840723,-0.394331163734423,-0.570542095843416,0.00548198301064024,0.459768547078742,-0.00128055780683706,0.275080312135245,0.144879856550928,0.0634710910753394,-0.160363958602001,0.0964680397867758,-0.211040556535632,0.259223570966297,0.20366330241959,-0.225837075028827,0.195034751924626,0.379910610808117,-0.251890385252249,-0.144792876617731,-0.21907248185414,-0.314713448076468,-0.34652603896616,-0.454292783968839,0.105381452303286,-0.117349606263491,-0.18169133350054,-0.455528824848949,-0.406502737440349,0.247620308232043,0.426386639203567,0.335872329480117,0.0470636057586449,0.184777543824666,0.14762213402514,-0.0425987532046161,-0.147484042423268,-0.092682460614544,-0.185049217586849,-0.0982552391523448,0.231439272807598,0.28515573235538,0.290678491924701,-0.20245846837313,0.292339296128157,0.212768881530124,-0.0681524442928328,0.237827111697687,-0.0659715646463354,-0.417749192117896,-0.173050188132632,-0.44478046650419,-0.588157459232279,-0.421751633226964,-0.384469014721223,-0.493389484396872
"母-女",0.628417290468028,0.776092723260872,0.736891820495781,0.751911419479609,1,-0.265751960370971,0.213158678588832,-0.0169584997245022,0.0978207472494757,-0.0800704212699137,-0.00763547198897893,-0.0265401707006905,-0.0203675651952517,-0.0415834523889456,0.0298197683755252,-0.233920271691496,-0.0601552442577845,-0.279711633843076,-0.101933101334951,-0.300374101153792,0.166971552924298,0.163620457220759,0.0959028567001113,-0.0584556928364667,0.148346244736926,0.236859418279758,0.0934202538458421,-0.133718011300486,0.242458302994432,0.286438263474749,-0.086092324158416,-0.181238768895141,-0.299241404296276,0.212107388161568,-0.353768788713898,0.0373863119210057,-0.0943169696930891,-0.230203853625734,-0.188057504711433,-0.0637090620186691,0.0198545467302951,0.460833621739311,0.077207711242266,0.593883289744648,0.558415069107222,0.165942955989896,0.0250601816667065,0.2007957473911,0.553810929154633,0.241111923025971,0.145406761083496,0.101331955749566,-0.1238375598094,-0.217279389749195,-0.224258271552513,-0.204926149009442,-0.172802990238695,0.122003226099683,-0.112877257260142,0.091245027832408,0.0156724980893334,-0.0934201144820143,-0.0959153565613773,0.027577752485148,-0.0464974841965815,-0.310067537445823,-0.114429735969519,-0.000709437336969339,-0.134576275618659,0.21631697879894,0.0747878845914533,-0.221008077977185,0.0578094352687795,-0.26432901668709,0.318530122093198,0.00653687875272612,0.0602615849739452,-0.0708938667254126,0.0904339987810707,-0.295223173136865,-0.36282295789987,0.0606921687573133,-0.431316268582938,-0.144065598097149,0.0431547141927606,0.0323312405663241,-0.0101078945936119,-0.477822438905427,-0.0947453786204523,-0.405952702458726,-0.0881496850078096,0.371418533676468,-0.186853092966966,0.12084047981984,0.227955447334216,-0.0712232250633961,-0.267148641170078,-0.170371856080701,-0.284727937695447,-0.0970969685818199,0.0900765131516761,-0.292342150280461,0.0131485041672616,0.149675388310026,-0.190556906188828,-0.0870201054620995,-0.273898553327701,-0.292454735502124,-0.309761469700654,-0.396501987994918,0.120301482101473,0.0479273518992251,-0.0803692488525338,-0.313697390610242,-0.418783070502402,0.116719042856256,0.496665942937156,0.354946512147182,0.0440245884499147,0.147334167548714,0.208649429302292,-0.0119937089149957,-0.305472200707023,-0.0958771274075437,-0.203561079794932,-0.120488551133838,0.350286020207873,0.256073363683702,0.313231107592538,0.029153052117842,0.219985121172403,0.311481009148834,-0.0545201503713054,0.149121592418896,-0.190260646488483,-0.470677471907528,-0.306522906674956,-0.457179316215355,-0.396386769185548,-0.180812996955535,-0.251210409851504,-0.204245818005217
"兄-弟",0.0405483295642095,-0.369776952640703,-0.308983012787839,-0.401746238048289,-0.265751960370971,1,0.435537512386811,0.0999744525777853,0.270795380184605,0.488815548807255,0.0286077448545584,0.00295414016344482,0.0796820227625528,-0.174856424561343,0.155866393607135,0.187797464979921,0.15790710933395,0.26491489323703,0.223848635086041,-0.0293667804059389,-0.198171936308794,-0.150846291070775,-0.267030575974393,-0.24049683960686,-0.138547142700802,-0.160636789687771,-0.423109711161153,-0.219871929066535,-0.16925317025224,-0.309870168914867,-0.154683498030817,0.114527444896538,-0.0631116232235135,0.019527799537677,-0.286368343860017,-0.306885418018625,0.119691064119814,0.0468157234253376,-0.00527615581544533,-0.0071162536338192,0.0188414790484529,-0.27669331049702,-0.0785023922369117,-0.468381507917147,-0.28715446782343,-0.0242967389624342,0.312739859752633,-0.0739650731410074,-0.397712998166762,0.0449373770060899,-0.0397571398926369,-0.154693538400273,-0.285895247366673,0.0805502419550567,0.0659028188525,0.228651348206062,-0.116982614331643,-0.0570520984221181,0.313335405809888,-0.177537941712775,-0.220416135720894,0.0927614926969245,-0.233467739465814,-0.00761084647791223,0.0059199324310944,-0.034389878068986,0.110207922237975,-0.0480109559823328,0.0787221981019317,-0.083568656087559,-0.286777664239155,-0.174136909504229,-0.31198888964312,-0.162856083342442,-0.188653709236928,-0.11747979310045,-0.0542778915392343,0.0693813885407281,0.0467734155956942,-0.0141739929927663,0.312459134838765,-0.0778857023235625,0.454988609119599,-0.0520621086833934,-0.114317377609517,-0.397265758856598,-0.104210470084457,0.33234267775061,0.336389233600342,0.43306369415677,0.114838999520156,-0.169942617511501,0.140590814682045,-0.0838898030336698,0.0880275924897937,-0.268280152065588,0.052363185806874,-0.192504216341149,-0.0185968123118581,-0.307752013478259,0.0500185665903194,0.00375593517032301,-0.0754753714238318,-0.33760442689037,-0.00779119210547185,-0.151405715525645,-0.108242121776777,-0.140947180629458,0.145667328037359,0.170564456089478,-0.0311778786674967,0.108327811531426,0.242890570602447,0.37518842614721,0.444186210734731,0.0821096082773931,-0.0198035255115491,0.0401983531335972,0.240054046512056,0.208703592395812,0.161599970284831,0.0680713417662526,0.124590906225137,0.0559437833962556,0.0438863626380203,0.207626364874264,-0.10992948868385,-0.156005824553237,-0.314224724125385,0.116988393177282,-0.00674162746979019,-0.0901969680810292,-0.267200789332257,-0.169935675317157,0.303463280985571,0.357194884943939,-0.105391198164157,0.175007254495512,0.442335814337037,0.304939398926791,0.188551843718228,0.483248128444842
"兄-妹",0.107527025359925,-0.0409068853233507,0.170683733769415,-0.0658079828057945,0.213158678588832,0.435537512386811,1,0.455226995878327,0.780517524412662,0.655499330073107,-0.113335610598547,-0.342278645404995,-0.396547169010655,-0.000488544312485516,-0.100021475683778,-0.109602316090297,-0.249130614490182,-0.140794368248917,-0.213829903363169,-0.353991700186208,0.189857493708333,0.281418058776606,-0.0251119200223367,-0.0347413453307212,0.126428512367999,0.0154989159129181,-0.147904263430483,-0.335478089475329,0.187385365127457,0.273692234034382,0.141603027182086,0.188668412136865,0.0190874560572074,0.140092013892876,-0.350186962282794,-0.187162156957615,-0.347535255141799,-0.499442427013635,-0.413585520003454,-0.447075234581348,-0.385305352139392,-0.149375943491329,-0.360633676238394,-0.0928399791665355,0.0107550393873603,-0.427382605063494,-0.15955081318398,-0.181941547203762,-0.102873165657265,-0.134406335472362,0.322037409754778,0.264193994518844,0.014600476107107,0.0206123250715725,0.0516599789023488,0.278350113969513,0.265339946685861,0.509920288747921,0.39490257987153,0.371557817595686,0.232827732858202,0.205444470712415,0.164640725892033,0.250716448876607,0.189759129924357,-0.451906580736918,-0.0491925807310019,-0.0726600821380352,-0.111396393073979,0.054256392609138,0.0303199412765708,-0.429720294265378,0.0363941383356209,-0.427080892248643,0.288711531836415,-0.421196832037422,-0.25229897978044,-0.432338766885017,-0.350171070852183,-0.489034989593556,0.0917411697976828,0.335797248884931,-0.059581170573678,0.203801999065314,0.351407219109938,0.0167747590287597,0.364218444070746,0.0700376876033443,0.427705444956706,0.102762575336242,-0.330953310034015,-0.11161736570476,-0.352529437185957,-0.282067786105069,-0.092059662642574,-0.0411502661094599,-0.407847219059515,-0.350282106648016,-0.497803229243353,-0.259554251679585,-0.299360690033437,-0.403117912874587,-0.481576865605031,-0.284373498831575,-0.12690249611074,0.28436270456075,0.065171711342334,-0.0495977531021615,-0.0302850600344264,0.0107537859321435,0.125641956888982,0.231607115741884,0.197368117644058,0.110373556051387,-0.0110826681167945,-0.282237088491239,0.0252092452034424,-0.112071014548503,-0.0700932807684894,-0.0570413070701866,-0.122369532656814,-0.322757529139973,-0.355192437816814,-0.353114077976923,-0.348473384222037,-0.133650898941382,0.276757810411401,0.0838371343130508,0.131538852887717,0.139245324566532,0.26172400997756,0.385545838786508,0.028925309282238,0.0786106239343525,-0.0790407859185696,-0.0532939416002656,0.0447173359162971,-0.0188216648121594,0.164759228820925,0.33808624520398,0.22616471578047,0.295658584064798
"姐-弟",-0.229340857638041,0.0177882727801281,0.0447397483236983,-0.0483849290167276,-0.0169584997245022,0.0999744525777853,0.455226995878327,1,0.601371527109899,0.417281019380502,-0.047260756094072,-0.205255614846638,-0.404565650911774,0.297896460564648,-0.139111930154618,-0.120510294253012,-0.326190060469736,-0.181561224410962,-0.373235766741664,-0.081377439586448,0.21627432950133,0.179746163119524,0.128963480005147,0.0748676310051599,0.0693506376059545,0.228318246891248,0.165713331324049,0.0410506015464093,-0.128016917240907,0.199343605474009,0.445485047252273,0.280669725277531,0.398354441920025,-0.00722814980366761,0.177135673540452,0.0859213024397278,-0.323184101399602,-0.29436629746226,-0.183357129030837,-0.316065188226927,-0.503726288930876,-0.373356083975272,-0.2615633741975,0.00373783978245267,-0.17072967726236,-0.529385914223467,-0.447091663404482,-0.311036996214144,-0.184891746051118,-0.308170493375725,0.188503121637513,0.201457813764495,0.521663540269623,0.241873817663907,-0.00306349561908745,0.133726146725355,0.516119520354905,0.396260079374847,0.0913531877362448,0.410942772629113,0.349072177112474,0.0307051030754522,0.393430687882983,0.0586298474512485,0.0101960951545309,-0.241462720279534,-0.0676116947485237,0.043410731488874,-0.0783962689111347,0.141292431778493,0.250809875704537,-0.0978508937022919,0.223774805280462,0.00349524140361106,0.134115998743357,-0.42384556970554,-0.405807665912448,-0.445138227730527,-0.430898958012488,-0.301180141383427,0.126872373144673,0.239511423347703,-0.0234108700376754,0.429176398091019,0.347450794992752,0.156416668512059,0.315859024034676,0.0588958674789194,0.145510212646122,-0.00807995076167055,-0.442691751857636,-0.323879848915887,-0.392885719168104,-0.318670718823846,-0.455544985002967,0.154809019594009,-0.399341441321778,-0.0862504153098291,-0.474372058918383,0.0432715052249738,-0.407230389265939,-0.281675195684123,-0.452386936684739,-0.175408029893752,0.104149942864562,0.483179260284441,0.3360611393789,0.377892885327355,0.0970104213920864,0.229266442581472,0.046235537070236,0.151000076398473,0.00314437897666509,0.0707733273169942,-0.00443756127515927,-0.391676880736287,-0.347700952825653,-0.415143914235229,-0.381286610522664,-0.350091646662753,-0.464780874141562,-0.302908476622139,-0.134947720193326,-0.224151889676708,-0.067379258406241,-0.19628670321363,-0.205059711989688,-0.23047094051131,-0.116210417801625,0.0419828234441225,-0.0201000655900737,0.076842687747099,0.206545255413653,0.163067831450477,-0.322824833730226,-0.06206720860587,0.457855917947233,0.31041733240593,-0.020172058076003,0.169184567525867,0.112273317722025,-0.100107151367358
"姐-妹",-0.0917634404360334,-0.11200877866029,0.189731902009956,-0.139512288427556,0.0978207472494757,0.270795380184605,0.780517524412662,0.601371527109899,1,0.567140557530674,0.0366727581039695,-0.212498763378673,-0.493339241351126,0.205753719259797,0.0159656591713805,-0.0308056777332683,-0.375454291702304,-0.11974624044433,-0.406603375326319,-0.202527143468906,0.429091427009981,0.460222888501716,0.142778050585779,0.0860673531254317,0.306594962598343,0.087833187529065,-0.0143404254504015,-0.0941001860132988,0.0671888977604847,0.459066518096568,0.230893628956686,0.313059226766973,0.166487065343722,0.0418947387865259,-0.183480483144461,-0.0160494255562458,-0.414318534994204,-0.420555047612373,-0.352725365652754,-0.403685516898715,-0.575484601849028,-0.353824932390121,-0.443757453668156,-0.129828206061633,-0.0292277194608474,-0.635891397743257,-0.257562210796235,-0.361062278254273,-0.198848884762945,-0.300298393380096,0.178595403610395,0.168834836849612,0.202397561709788,0.227997001948792,0.0383273536430027,0.110554817789949,0.479594525413821,0.589514927468008,0.265794297381589,0.413797100957351,0.24985904637303,0.1081492265569,0.196069678251809,0.112806508535422,0.0523307906895404,-0.312283727584783,0.141870007059305,0.0902694601856946,0.0408320348653221,0.167182008995358,0.213343714467831,-0.307070385216684,0.243277769213717,-0.249855312772295,0.375527454446542,-0.596451253921737,-0.37154193934932,-0.563237354925633,-0.560142280938034,-0.419129539213092,0.051390384731578,0.166970353378972,-0.140048122000279,0.352341056658671,0.452344785678113,0.278926238827681,0.388400022946585,0.153876531330732,0.385181025604942,-0.0118206182259383,-0.438200909227594,-0.345194260142941,-0.484236451124437,-0.422929364875431,-0.22964771214745,0.177491213741335,-0.426564864713872,-0.200788819967099,-0.414251600532278,-0.14569732268014,-0.41252188512316,-0.324983683307471,-0.58907509418876,-0.370096607045848,-0.127316203953618,0.383242888474266,0.170170268082737,0.111379344210098,-0.0289435171788341,0.0513370396239148,-0.131536850893033,-0.0271558257935714,-0.0777064196561784,0.104706075213261,-0.070388442478065,-0.37953329083495,-0.15875717842315,-0.33568178715725,-0.110124867500002,-0.133634043184594,-0.220241894833141,-0.343107439552582,-0.157400500482528,-0.362604507189671,-0.166043553809775,-0.328258535292781,0.166736643150758,-0.081141869325993,0.156619415209484,0.0536323785487774,0.179634359717518,0.44132757570534,0.276096485635779,0.223545470622369,-0.201202002694079,-0.150859923755195,0.255191349854572,0.186799217793705,0.0848045790283945,0.248978539280728,0.0491524556939993,0.258416875074755
"祖父-孙子",-0.0519788585487942,-0.204895984042684,-0.106813945904599,-0.300263542757515,-0.0800704212699137,0.488815548807255,0.655499330073107,0.417281019380502,0.567140557530674,1,-0.0221738154528002,-0.128652187685798,-0.244831931468783,-0.0718098170550512,-0.0213380735215659,0.0409544304464973,0.0462050950605535,0.0696059736645492,-0.0648785142212631,-0.139324389408253,0.0673390912582883,0.161134280676524,-0.222310075785133,-0.236747459546668,-0.0786071614313921,-0.205519704056947,-0.365319249959278,-0.320695702423509,-0.0362331709467202,0.0207852660548976,0.0397834758987419,0.169554914221677,0.0406413301866506,0.187306268905983,-0.233687267558159,-0.299674353509207,-0.259810717737245,-0.312238363155133,-0.331116146705395,-0.303615991660754,-0.326493141002039,-0.199086857813018,-0.283334211642146,-0.263448883708925,-0.0566257633365794,-0.34617846593985,-0.0939925966245016,-0.141480839423222,-0.185172142971352,-0.0896839123495776,0.138165853693571,0.17490337066699,-0.0420459069255271,0.0347801248578651,0.222267162476565,0.353291670595423,0.188784696168486,0.331753684296033,0.582693815131499,0.20544177930885,0.129431288070783,0.318584805218433,0.0590968055974864,0.200340736614758,0.255215905663724,-0.341947154581503,0.0653697007964923,-0.0893495812634784,-0.0487300918083598,-0.0215570499014404,-0.0869166556191402,-0.426777388321027,-0.1138333666608,-0.340315837884492,0.0910525594467694,-0.345237061159838,-0.237526682416709,-0.342964582127616,-0.387816654500653,-0.343266141072784,0.177604322818408,0.233545786773588,0.128607533404491,0.213617753965537,0.261973492033514,-0.0553243697827207,0.208245316302559,0.295353562964296,0.612450151447212,0.290851446658987,-0.250391264861804,-0.145153435619374,-0.264591483459474,-0.27797777023962,-0.182165048293706,-0.0746485077494797,-0.140488423163584,-0.351562690068979,-0.293390145898147,-0.38625527602103,-0.13811566921792,-0.239634224687684,-0.28597771036906,-0.244257987342836,0.0186240269493424,0.146103138599125,0.0238779979389669,-0.0238569311397211,0.167331870020269,0.148260800256259,0.132996500878271,0.294919150904558,0.31525919925213,0.20351744645514,0.0796164560345277,-0.186650820647328,-0.101457532347946,-0.211962608605343,-0.0188406270846349,-0.129407168639025,-0.0968697823039577,-0.219766989231942,-0.283592512988554,-0.264555375868583,-0.244826852724138,-0.0539425153769945,0.109399606307757,-0.0120334202557377,-0.0694535316878424,0.204178898769129,0.00556021959301841,0.0414973876687101,-0.101160661966327,-0.228530589472897,0.0249963686323617,0.136931572979253,0.0166630660960663,0.09269757987339,0.361844390039369,0.438809878324101,0.276679941811406,0.314127901518428
